_ID,_VALUE,Name:loc,Description:loc[],SubLevel:int[],SubLevelName:loc[],KnightLevelRequired:int[],OutputItem1:id[],OutputItem1MinCount:int[],OutputItem1MaxCount:int[],OutputItem2:id[],OutputItem2MinCount:int[],OutputItem2MaxCount:int[],OutputItem3:id[],OutputItem3MinCount:int[],OutputItem3MaxCount:int[],OutputItem4:id[],OutputItem4MinCount:int[],OutputItem4MaxCount:int[],OutputItem5:id[],OutputItem5MinCount:int[],OutputItem5MaxCount:int[],MapLevel:id[],JammingRule:string[],MondayChallengeCount:int,TuesdayChallengeCount:int,WednesdayChallengeCount:int,ThursdayChallengeCount:int,FridayChallengeCount:int,SaturdayChallengeCount:int,SundayChallengeCount:int,TitleName:loc,UILevelRewardInfo:loc,UILevelCharacterIcon:string,UIDifficultCharacterIcon:string,MondayBonusTimes:int,TuesdayBonusTimes:int,WednesdayBonusTimes:int,ThursdayBonusTimes:int,FridayBonusTimes:int,SaturdayBonusTimes:int,SundayBonusTimes:int,RecommendedCP:int[]
,,,,11,LOC_PLAYMODEATTACKON_SUBLEVELNAME_4,45,ITEM_BATTLE_SOUL,100000,100000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV4_1,AttackOnRule_Soul_4,,,,,,,,,,,,,,,,,,,105
,,,,14,LOC_PLAYMODEATTACKON_SUBLEVELNAME_5,60,ITEM_BATTLE_SOUL,150000,150000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV5_1,AttackOnRule_Soul_5,,,,,,,,,,,,,,,,,,,145
,,,,17,LOC_PLAYMODEATTACKON_SUBLEVELNAME_6,75,ITEM_BATTLE_SOUL,200000,200000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV6_1,AttackOnRule_Soul_6,,,,,,,,,,,,,,,,,,,185
,,,,20,LOC_PLAYMODEATTACKON_SUBLEVELNAME_7,90,ITEM_BATTLE_SOUL,300000,300000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_SOUL_LV7_1,AttackOnRule_Soul_7,,,,,,,,,,,,,,,,,,,225
ATTACKON_FRUIT,3,LOC_GOTO_FRUIT_ATTACKON_DES,,3,LOC_PLAYMODEATTACKON_SUBLEVELNAME_1,35,ITEM_HERO_EVOLVE_STONE,100,100,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV1_1,AttackOnRule_Fruit_1,4,4,4,4,4,4,4,LOC_GAMEPLAY_ATTACK_ON_NATURAL_FRUIT,LOC_PLAYMODEATTACKON_UILEVELREWARDINFO_FRUIT,Pose_Cat_003,BTN_Click_Cat_003,1,1,1,1,1,2,2,30
,,,,6,LOC_PLAYMODEATTACKON_SUBLEVELNAME_2,35,ITEM_HERO_EVOLVE_STONE,200,200,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV2_1,AttackOnRule_Fruit_2,,,,,,,,,,,,,,,,,,,50
,,,,9,LOC_PLAYMODEATTACKON_SUBLEVELNAME_3,35,ITEM_HERO_EVOLVE_STONE,400,400,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV3_1,AttackOnRule_Fruit_3,,,,,,,,,,,,,,,,,,,80
,,,,12,LOC_PLAYMODEATTACKON_SUBLEVELNAME_4,50,ITEM_HERO_EVOLVE_STONE,600,600,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV4_1,AttackOnRule_Fruit_4,,,,,,,,,,,,,,,,,,,110
,,,,15,LOC_PLAYMODEATTACKON_SUBLEVELNAME_5,65,ITEM_HERO_EVOLVE_STONE,800,800,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV5_1,AttackOnRule_Fruit_5,,,,,,,,,,,,,,,,,,,150
,,,,18,LOC_PLAYMODEATTACKON_SUBLEVELNAME_6,80,ITEM_HERO_EVOLVE_STONE,900,900,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV6_1,AttackOnRule_Fruit_6,,,,,,,,,,,,,,,,,,,190
,,,,21,LOC_PLAYMODEATTACKON_SUBLEVELNAME_7,95,ITEM_HERO_EVOLVE_STONE,1000,1000,None,0,0,None,0,0,None,0,0,None,0,0,LEVEL_EVENT_ATTACKON_FRUIT_LV7_1,AttackOnRule_Fruit_7,,,,,,,,,,,,,,,,,,,230
