_ID,_VALUE,PlayerLevel:int,MinVip:int[],MaxVip:int[],IdNum:int[],Item1:id[],Num1:int[],Item2:id[],Num2:int[],Item3:id[],Num3:int[],Item4:id[],Num4:int[],Shine:int[][],Des1:loc[],Des2:loc[]
,,,6,6,1004,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_SPAR_KEY,10,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,7,7,1005,ITEM_BANQUET_TICKET,8,ITEM_SPAR_SUPER_BOX_TICKET,2,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
,,,8,10,1006,ITEM_BANQUET_TICKET,10,ITEM_SPAR_SUPER_BOX_TICKET,4,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
,,,11,15,1007,ITEM_BANQUET_TICKET,20,ITEM_SPAR_SUPER_BOX_TICKET,8,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
POPUP_BAG_3,3,250,0,0,1001,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,3,ITEM_HERO_EVOLVE_STONE,2000,ITEM_BATTLE_SOUL,50000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_5,LOC_POPUPBAG_DESCRIPTION2_1
,,,1,3,1002,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,8,ITEM_HERO_EVOLVE_STONE,4000,ITEM_BATTLE_SOUL,200000,None,0,1|1|1|0,LOC_POPUPBAG_DESCRIPTION1_2,LOC_POPUPBAG_DESCRIPTION2_1
,,,4,5,1003,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_SPAR_KEY,6,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,6,6,1004,ITEM_TREASURE_EXCHANGE_TICKET,1,ITEM_SPAR_KEY,10,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_3,LOC_POPUPBAG_DESCRIPTION2_2
,,,7,7,1005,ITEM_BANQUET_TICKET,8,ITEM_SPAR_SUPER_BOX_TICKET,2,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
,,,8,10,1006,ITEM_BANQUET_TICKET,10,ITEM_SPAR_SUPER_BOX_TICKET,4,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
,,,11,15,1007,ITEM_BANQUET_TICKET,20,ITEM_SPAR_SUPER_BOX_TICKET,8,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_4,LOC_POPUPBAG_DESCRIPTION2_3
POPUP_BAG_4,4,250,0,0,1001,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,3,ITEM_HERO_EVOLVE_STONE,2000,ITEM_BATTLE_SOUL,50000,None,0,1|1|0|0,LOC_POPUPBAG_DESCRIPTION1_5,LOC_POPUPBAG_DESCRIPTION2_1
,,,1,3,1002,ITEM_RANDOM_SS_HERO_BIG_BOX_22_QUALIFICATION,1,None,0,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_6,LOC_POPUPBAG_DESCRIPTION2_4
,,,4,5,1003,ITEM_RANDOM_SS_HERO_BIG_BOX_22_QUALIFICATION,1,ITEM_SPAR_KEY,6,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_7,LOC_POPUPBAG_DESCRIPTION2_5
,,,6,6,1004,ITEM_RANDOM_SS_HERO_BIG_BOX_22_QUALIFICATION,1,ITEM_SPAR_KEY,10,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_7,LOC_POPUPBAG_DESCRIPTION2_5
,,,7,7,1005,ITEM_OPTIONAL_SS_HERO_BIG_BOX_22_QUALIFICATION,1,ITEM_SPAR_SUPER_BOX_TICKET,5,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_7,LOC_POPUPBAG_DESCRIPTION2_5
,,,8,10,1006,ITEM_OPTIONAL_SS_HERO_BIG_BOX_22_QUALIFICATION,1,ITEM_SPAR_SUPER_BOX_TICKET,8,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_7,LOC_POPUPBAG_DESCRIPTION2_5
,,,11,15,1007,ITEM_OPTIONAL_SS_HERO_BIG_BOX,1,ITEM_SPAR_SUPER_BOX_TICKET,12,None,0,None,0,1|0|0|0,LOC_POPUPBAG_DESCRIPTION1_7,LOC_POPUPBAG_DESCRIPTION2_5
