_ID,_VALUE,Position:int[],DropGroupAndLevel:int[][],Vip:int[],IsFirst:bool[],BuyCountByVIP:int[][],BuyCount:int[],LatticeNum:int[],CorpChallengeChapter:int[],ResetType:string[],AttackOnShopTabIndex:int[],AttackOnMode:id[],AttackOnUnlockLevel:int[],ArenaBuyCount:int[][],#ArenaBuyCount:string,HeroCountOpen:int[],OnUnlockLevel:int[]
,,3,3003#1#999,0,FALSE,,1,,,daily,,,,,,,1
,,4,3004#1#999,0,FALSE,,1,,,daily,,,,,,,1
,,5,3005#1#999,0,FALSE,,1,,,daily,,,,,,,33
,,6,3006#1#999,0,FALSE,,1,,,daily,,,,,,,33
,,7,3007#1#999,0,FALSE,,1,,,daily,,,,,,,33
SHOP_CRUSADE,4,1,4005#1#999,0,FALSE,,3,,,,,,,,,,
,,2,4006#1#999,0,FALSE,,1,,,,,,,,,,
SHOP_SPAR,5,1,5001#1#999,0,FALSE,,0,,,None,,,,,,,
,,2,5002#1#999,0,FALSE,,80,,,daily,,,,,,,
,,3,5003#1#999,0,FALSE,,0,,,None,,,,,,,
,,4,5004#1#999,0,FALSE,,50,,,daily,,,,,,,
,,5,5005#1#999,0,FALSE,,10,,,weekly,,,,,,,
,,6,5006#1#999,0,FALSE,,50,,,weekly,,,,,,,
SHOP_CORPS_CHALLENGE,6,1,6018#1#999,0,FALSE,,5,,1,daily,,,,,,,
,,2,6017#1#999,0,FALSE,,5,,5,daily,,,,,,,
,,3,6016#1#999,0,FALSE,,5,,3,daily,,,,,,,
,,4,6001#1#999,0,FALSE,,10,,2,daily,,,,,,,
,,5,6002#1#999,0,FALSE,,10,,2,daily,,,,,,,
,,6,6003#1#999,0,FALSE,,10,,2,daily,,,,,,,
,,7,6004#1#999,0,FALSE,,10,,4,daily,,,,,,,
,,8,6005#1#999,0,FALSE,,10,,4,daily,,,,,,,
,,9,6006#1#999,0,FALSE,,10,,4,daily,,,,,,,
,,10,6007#1#999,0,FALSE,,10,,6,daily,,,,,,,
,,11,6008#1#999,0,FALSE,,10,,6,daily,,,,,,,
,,12,6009#1#999,0,FALSE,,10,,6,daily,,,,,,,
,,13,6010#1#999,0,FALSE,,10,,8,daily,,,,,,,
,,14,6011#1#999,0,FALSE,,10,,8,daily,,,,,,,
,,15,6012#1#999,0,FALSE,,10,,8,daily,,,,,,,
,,16,6013#1#999,0,FALSE,,10,,10,daily,,,,,,,
,,17,6014#1#999,0,FALSE,,10,,10,daily,,,,,,,
,,18,6015#1#999,0,FALSE,,10,,10,daily,,,,,,,
SHOP_CLUB_ARENA,7,1,7901#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,20#0#9999999,购买次数#个人竞技点范围,,
,,2,7902#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,5#0#9999999,,,
,,3,7903#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,1#0#9999999,,,
SHOP_HEROES,8,1,8001#1#999,0,FALSE,,1,4,,,,,,,,1,
,,2,8002#1#999,0,FALSE,,1,3,,,,,,,,1,
,,3,8003#1#999,0,FALSE,,1,1,,,,,,,,1,
SHOP_CLUB_ARENA_ACTIVITY,9,1,7901#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,50#0#9999999,,,
,,2,7902#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,10#0#9999999,,,
,,3,7903#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,5#0#9999999,,,
,,4,7904#1#999,0,FALSE,,0,,,daily,1,ATTACKON_FRUIT,1,5#0#9999999,,,
SHOP_MONSTER,1001,1,10013#1#999,0,FALSE,,1,,,weekly,,,,,,,1
,,2,10001#1#999,0,FALSE,,0,,,None,,,,,,,1
,,3,10002#1#999,0,FALSE,,0,,,None,,,,,,,1
,,4,10003#1#999,0,FALSE,,0,,,None,,,,,,,1
,,5,10004#1#999,0,FALSE,,20,,,weekly,,,,,,,1
,,6,10005#1#999,0,FALSE,,20,,,weekly,,,,,,,1
,,7,10006#1#999,0,FALSE,,0,,,None,,,,,,,1
,,8,10007#1#999,0,FALSE,,0,,,None,,,,,,,1
,,9,10008#1#999,0,FALSE,,0,,,None,,,,,,,1
,,10,10009#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,11,10010#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,12,10011#1#999,0,FALSE,,12,,,monthly,,,,,,,1
,,13,10012#1#999,0,FALSE,,6,,,monthly,,,,,,,1
,,14,10014#1#999,0,FALSE,,5,,,weekly,,,,,,,29
SHOP_FRIENDSHIP,1002,1,20001#1#999,0,FALSE,,0,,,None,,,,,,,1
,,2,20002#1#999,0,FALSE,,0,,,None,,,,,,,1
,,3,20003#1#999,0,FALSE,,8,,,weekly,,,,,,,1
,,4,20004#1#999,0,FALSE,,20,,,weekly,,,,,,,1
,,5,20005#1#999,0,FALSE,,20,,,weekly,,,,,,,1
SHOP_PET,1003,1,30001#1#999,0,FALSE,,0,,,None,,,,,,,1
,,2,30002#1#999,0,FALSE,,0,,,None,,,,,,,1
,,3,30003#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,4,30004#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,5,30005#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,6,30006#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,7,30007#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,8,30008#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,9,30009#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,10,30010#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,11,30011#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,12,30012#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,13,30013#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,14,30014#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,15,30015#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,16,30016#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,17,30017#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,18,30018#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,19,30019#1#999,0,FALSE,,5,,,weekly,,,,,,,1
,,20,30020#1#999,0,FALSE,,5,,,weekly,,,,,,,1
SHOP_SKIN,1004,1,40001#1#999,0,FALSE,,1,,,,,,,,,,1
,,2,40002#1#999,0,FALSE,,1,,,,,,,,,,1
,,3,40003#1#999,0,FALSE,,1,,,,,,,,,,1
,,4,40004#1#999,0,FALSE,,1,,,,,,,,,,1
,,5,40005#1#999,0,FALSE,,1,,,,,,,,,,1
,,6,40007#1#999,0,FALSE,,1,,,,,,,,,,1
,,7,40009#1#999,0,FALSE,,1,,,,,,,,,,1
SHOP_DUNGEON,1005,1,50001#1#999,0,FALSE,,0,,,None,,,,,,,1
,,2,50002#1#999,0,FALSE,,0,,,None,,,,,,,1
,,3,50003#1#999,0,FALSE,,0,,,None,,,,,,,1
,,4,50004#1#999,0,FALSE,,0,,,None,,,,,,,1
,,5,50005#1#999,0,FALSE,,0,,,None,,,,,,,1
,,6,50006#1#999,0,FALSE,,0,,,None,,,,,,,1
,,7,50007#1#999,0,FALSE,,0,,,None,,,,,,,1
,,8,50008#1#999,0,FALSE,,0,,,None,,,,,,,1
,,9,50009#1#999,0,FALSE,,0,,,None,,,,,,,1
,,10,50010#1#999,0,FALSE,,0,,,None,,,,,,,1
,,11,50011#1#999,0,FALSE,,0,,,None,,,,,,,1
,,12,50012#1#999,0,FALSE,,0,,,None,,,,,,,1
,,13,50013#1#999,0,FALSE,,0,,,None,,,,,,,1
,,14,50014#1#999,0,FALSE,,0,,,None,,,,,,,1
,,15,50015#1#999,0,FALSE,,0,,,None,,,,,,,1
,,16,50016#1#999,0,FALSE,,0,,,None,,,,,,,1
,,17,50017#1#999,0,FALSE,,0,,,None,,,,,,,1
,,18,50018#1#999,0,FALSE,,0,,,None,,,,,,,1
,,19,50019#1#999,0,FALSE,,0,,,None,,,,,,,1
,,20,50020#1#999,0,FALSE,,0,,,None,,,,,,,1
,,21,50021#1#999,0,FALSE,,0,,,None,,,,,,,1
,,22,50022#1#999,0,FALSE,,0,,,None,,,,,,,1
,,23,50023#1#999,0,FALSE,,0,,,None,,,,,,,1
,,24,50024#1#999,0,FALSE,,0,,,None,,,,,,,1
,,25,50025#1#999,0,FALSE,,0,,,None,,,,,,,1
,,26,50026#1#999,0,FALSE,,0,,,None,,,,,,,1
,,27,50027#1#999,0,FALSE,,0,,,None,,,,,,,1
SHOP_GUILD_BATTLE,1006,1,61001#1#999,0,FALSE,,5,,,guildbattle,,,,,,,1
,,2,61002#1#999,0,FALSE,,15,,,guildbattle,,,,,,,1
,,3,61003#1#999,0,FALSE,,10,,,guildbattle,,,,,,,1
,,4,61004#1#999,0,FALSE,,15,,,guildbattle,,,,,,,1
,,5,62001#1#999,0,FALSE,,0,,,guildbattle,,,,,,,1
,,6,62006#1#999,0,FALSE,,12,,,guildbattle,,,,,,,1
,,7,62009#1#999,0,FALSE,,0,,,guildbattle,,,,,,,1
