_ID,_VALUE,#ItemComment:string,ItemName:loc,ItemDes:loc,ItemIcon:string,Itemlimit:bool,ItemType:string,TtemRarity:id,Display:bool,ItemTarget:int,#ItemPara1Des:string,ItemPara1:int[][],#ItemPara2Des:string,ItemPara2:int[][],#ItemPara3Des:string,ItemPara3:int[][],ItemShowAnimation:string,ItemShowEffects:id,ItemShowEmoji:string[][],ItemEmojiDuration:int[]
DUNGEON_ITEM_ESSENCE_OF_FIRE,10009,战神的精魄,LOC_DUNGEON_ITEM_NAME_ESSENCE_OF_FIRE,LOC_DUNGEON_ITEM_DESCN_ESSENCE_OF_FIRE,ICON_Essence_Of_Fire,TRUE,Useable,RARITY_TYPE_PURPLE,TRUE,1,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_LEAF_OF_YGGDEASIL,10010,天地树叶子,LOC_DUNGEON_ITEM_NAME_LEAF_OF_YGGDEASIL,LOC_DUNGEON_ITEM_DESCN_LEAF_OF_YGGDEASIL,ICON_Leaf_Of_Yggdrasil,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_UPG_DAGGER,10011,强化大驹短剑,LOC_DUNGEON_ITEM_NAME_UPG_DAGGER,LOC_DUNGEON_ITEM_DESCN_UPG_DAGGER,ICON_Upg_Dagger,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_LACRYMA_STICK,10012,拉格利玛之杖,LOC_DUNGEON_ITEM_NAME_LACRYMA_STICK,LOC_DUNGEON_ITEM_DESCN_LACRYMA_STICK,ICON_Lacryma_Stick,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_VALKYRIE_ARMOR,10013,瓦尔基里的盔甲,LOC_DUNGEON_ITEM_NAME_VALKYRIE_ARMOR,LOC_DUNGEON_ITEM_DESCN_VALKYRIE_ARMOR,ICON_Valkyrie_Armor,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_EX_DEF_POTION,10014,特级防御药水,LOC_DUNGEON_ITEM_NAME_EX_DEF_POTION,LOC_DUNGEON_ITEM_DESCN_EX_DEF_POTION,ICON_Ex_Def_Potion,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,10015,高浓度的能量结晶,LOC_DUNGEON_ITEM_NAME_HIGH_PURITY_ENERGY_XTAL,LOC_DUNGEON_ITEM_DESCN_HIGH_PURITY_ENERGY_XTAL,ICON_High_Purity_Energy_Xtal,TRUE,Useable,RARITY_TYPE_ORANGE,TRUE,1,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_ELEMENTAL_SWORD,10016,元素之剑,LOC_DUNGEON_ITEM_NAME_ELEMENTAL_SWORD,LOC_DUNGEON_ITEM_DESCN_ELEMENTAL_SWORD,ICON_Elemental_Sword,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,2,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_POISON_BOTTLE,10017,毒药瓶,LOC_DUNGEON_ITEM_NAME_POISON_BOTTLE,LOC_DUNGEON_ITEM_DESCN_POISON_BOTTLE,ICON_Poison_Bottle,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,-1,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_DRAGONBALL_RED,20001,红色龙珠,LOC_DUNGEON_ITEM_NAME_DRAGONBALL_RED,LOC_DUNGEON_ITEM_DESCN_DRAGONBALL_RED,ICON_Dragonball_Red,FALSE,DragonBallRed,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_DRAGONBALL_BLUE,20002,蓝色龙珠,LOC_DUNGEON_ITEM_NAME_DRAGONBALL_BLUE,LOC_DUNGEON_ITEM_DESCN_DRAGONBALL_BLUE,ICON_Dragonball_Blue,FALSE,DragonBallBlue,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_DRAGONBALL_YELLOW,20003,黄色龙珠,LOC_DUNGEON_ITEM_NAME_DRAGONBALL_YELLOW,LOC_DUNGEON_ITEM_DESCN_DRAGONBALL_YELLOW,ICON_Dragonball_Yellow,FALSE,DragonBallYellow,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_DRAGONBALL_TREASURE,30001,龙珠宝箱,LOC_DUNGEON_ITEM_NAME_DRAGONBALL_TREASURE,LOC_DUNGEON_ITEM_DESCN_DRAGONBALL_TREASURE,ICON_Treasure_Chest,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_ATTACK_TOKEN,10020,出击令,LOC_DUNGEON_ITEM_NAME_ATTACK_TOKEN,LOC_DUNGEON_ITEM_DESCN_ATTACK_TOKEN,ICON_Order_Of_Attack,FALSE,AttackToken,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_SWORDSMAN,10021,剑士,LOC_DUNGEON_ITEM_NAME_SWORDSMAN,LOC_DUNGEON_ITEM_DESCN_SWORDSMAN,ICON_HP_Increase_PotionS,FALSE,Swordman,RARITY_TYPE_ORANGE,FALSE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_SAGE,10022,贤者,LOC_DUNGEON_ITEM_NAME_SAGE,LOC_DUNGEON_ITEM_DESCN_SAGE,ICON_HP_Increase_PotionS,FALSE,Sage,RARITY_TYPE_ORANGE,FALSE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_PRIEST,10023,牧师,LOC_DUNGEON_ITEM_NAME_PRIEST,LOC_DUNGEON_ITEM_DESCN_PRIEST,ICON_HP_Increase_PotionS,FALSE,Priest,RARITY_TYPE_ORANGE,FALSE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_REPAIR,10024,修复精华,LOC_DUNGEON_MAGICFOREST2_ITEM_NAME_1,LOC_DUNGEON_MAGICFOREST2_ITEM_DESCRIBE_1,ICON_Restoration_Essence,FALSE,Repair,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_MACHETE,10025,岩刀,LOC_DUNGEON_ITEM_NAME_MACHETE,LOC_DUNGEON_ITEM_DESCN_MACHETE,ICON_Machete,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_SHOVEL,10026,岩铲,LOC_DUNGEON_ITEM_NAME_SHOVEL,LOC_DUNGEON_ITEM_DESCN_SHOVEL,ICON_Shovel,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_PROBE,10027,探测眼镜,LOC_DUNGEON_ITEM_NAME_PROBE,LOC_DUNGEON_ITEM_DESCN_PROBE,ICON_Probe,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_DELIVERY_DEAD,10028,传送珠,LOC_DUNGEON_ITEM_NAME_DELIVERY_DEAD,LOC_DUNGEON_ITEM_DESCN_DELIVERY_DEAD,ICON_Delivery_Dead,FALSE,Useable,RARITY_TYPE_ORANGE,TRUE,0,,0,,0,,0,,,0,0
DUNGEON_ITEM_LAVA_STONE,10029,熔岩矿石,LOC_DUNGEON_ITEM_NAME_LAVA_STONE,LOC_DUNGEON_ITEM_DESCN_LAVA_STONE,ICON_Lava_Stone,FALSE,LavaStone,RARITY_TYPE_ORANGE,FALSE,0,,0,,0,,0,,,0,0
