_ID,_VALUE,Name:loc,Quest:id[],#Name:string,Reward:id[],RewardNum:int[],NeedFinishQuest:int[]
ACHIEVE_QUEST_GROW_MONSTER_STRONGTHEN,8,LOC_ACHIEVE_QUEST_SMALL_TITLE_GROW_MONSTER_STRONGTHEN,ACHIEVE_QUEST_EVOLVE_MONSTER_1,拥有{0}个{1}星以上的魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_1,1,6
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_2,拥有{0}个{1}星以上的魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_2,1,12
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_3,拥有{0}个{1}星以上的魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_3,1,18
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_4,拥有{0}个{1}星以上的魔物,,,
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_5,拥有{0}个{1}星以上的魔物,,,
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_6,拥有{0}个{1}星以上的魔物,,,
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_7,拥有{0}个{1}星以上的魔物,,,
,,,ACHIEVE_QUEST_EVOLVE_MONSTER_8,拥有{0}个{1}星以上的魔物,,,
,,,ACHIEVE_QUEST_INTIMATE_1,拥有{0}个亲密度{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_INTIMATE_2,拥有{0}个亲密度{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_INTIMATE_3,拥有{0}个亲密度{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_INTIMATE_4,拥有{0}个亲密度{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_INTIMATE_5,拥有{0}个亲密度{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_BONDAGE_1,拥有{0}个爱的羁绊{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_BONDAGE_2,拥有{0}个爱的羁绊{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_BONDAGE_3,拥有{0}个爱的羁绊{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_BONDAGE_4,拥有{0}个爱的羁绊{1}级以上的魔物,,,
,,,ACHIEVE_QUEST_BONDAGE_5,拥有{0}个爱的羁绊{1}级以上的魔物,,,
ACHIEVE_QUEST_GROW_EQUIP_STRONGTHEN,9,LOC_ACHIEVE_QUEST_SMALL_TITLE_GROW_EQUIP_STRONGTHEN,ACHIEVE_QUEST_SPAR_LEVEL_1,镶嵌{0}个{1}级以上的宝石,ITEM_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_1,1,8
,,,ACHIEVE_QUEST_SPAR_LEVEL_2,镶嵌{0}个{1}级以上的宝石,ITEM_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_2,1,18
,,,ACHIEVE_QUEST_SPAR_LEVEL_3,镶嵌{0}个{1}级以上的宝石,ITEM_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_3,1,28
,,,ACHIEVE_QUEST_SPAR_LEVEL_4,镶嵌{0}个{1}级以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_LEVEL_5,镶嵌{0}个{1}级以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_LEVEL_6,镶嵌{0}个{1}级以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_1,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_2,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_3,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_4,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_5,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_SPAR_STAR_6,镶嵌{0}个{1}星以上的宝石,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_1,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_2,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_3,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_4,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_5,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_EQUIP_LEVEL_6,装备{0}个{1}级以上的装备,,,
,,,ACHIEVE_QUEST_SCROLL_UNLOCK_1,累计解锁{0}个精华,,,
,,,ACHIEVE_QUEST_SCROLL_UNLOCK_2,累计解锁{0}个精华,,,
,,,ACHIEVE_QUEST_SCROLL_UNLOCK_3,累计解锁{0}个精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_1,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_2,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_3,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_4,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_5,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_6,拥有{0}个{1}星以上的精华,,,
,,,ACHIEVE_QUEST_SCROLL_STAR_7,拥有{0}个{1}星以上的精华,,,
ACHIEVE_QUEST_GROW_EQUIP_ADVANCED,10,LOC_ACHIEVE_QUEST_SMALL_TITLE_GROW_EQUIP_ADVANCED,ACHIEVE_QUEST_ARTIFACT_UNLOCK_1,解锁{0}个神器,ITEM_COLLECTION_BADGE_GROW_EQUIP_ADVANCED_1,1,5
,,,ACHIEVE_QUEST_ARTIFACT_UNLOCK_2,解锁{0}个神器,ITEM_COLLECTION_BADGE_GROW_EQUIP_ADVANCED_2,1,9
,,,ACHIEVE_QUEST_ARTIFACT_UNLOCK_3,解锁{0}个神器,ITEM_COLLECTION_BADGE_GROW_EQUIP_ADVANCED_3,1,13
,,,ACHIEVE_QUEST_ARTIFACT_LEVEL_1,拥有{0}个{1}级以上的神器,,,
,,,ACHIEVE_QUEST_ARTIFACT_LEVEL_2,拥有{0}个{1}级以上的神器,,,
,,,ACHIEVE_QUEST_ARTIFACT_LEVEL_3,拥有{0}个{1}级以上的神器,,,
,,,ACHIEVE_QUEST_ARTIFACT_LEVEL_4,拥有{0}个{1}级以上的神器,,,
,,,ACHIEVE_QUEST_ARTIFACT_LEVEL_5,拥有{0}个{1}级以上的神器,,,
,,,ACHIEVE_QUEST_EXCLUSIVE_LEVEL_1,拥有{0}个{1}级以上的专属装备,,,
,,,ACHIEVE_QUEST_EXCLUSIVE_LEVEL_2,拥有{0}个{1}级以上的专属装备,,,
,,,ACHIEVE_QUEST_EXCLUSIVE_LEVEL_3,拥有{0}个{1}级以上的专属装备,,,
,,,ACHIEVE_QUEST_EXCLUSIVE_LEVEL_4,拥有{0}个{1}级以上的专属装备,,,
,,,ACHIEVE_QUEST_EXCLUSIVE_LEVEL_5,拥有{0}个{1}级以上的专属装备,,,
ACHIEVE_QUEST_PVP_WIN_NUM,11,LOC_ACHIEVE_QUEST_SMALL_TITLE_PVP_WIN_NUM,ACHIEVE_QUEST_ARENA_WIN_1,在竞技场累计取胜{0}次,ITEM_COLLECTION_BADGE_PVP_WIN_NUM_1,1,4
,,,ACHIEVE_QUEST_ARENA_WIN_2,在竞技场累计取胜{0}次,ITEM_COLLECTION_BADGE_PVP_WIN_NUM_2,1,8
,,,ACHIEVE_QUEST_ARENA_WIN_3,在竞技场累计取胜{0}次,ITEM_COLLECTION_BADGE_PVP_WIN_NUM_3,1,12
,,,ACHIEVE_QUEST_ARENA_WIN_4,在竞技场累计取胜{0}次,,,
,,,ACHIEVE_QUEST_SUMMONER_WIN_1,在召唤师竞技累计取胜{0}次,,,
,,,ACHIEVE_QUEST_SUMMONER_WIN_2,在召唤师竞技累计取胜{0}次,,,
,,,ACHIEVE_QUEST_SUMMONER_WIN_3,在召唤师竞技累计取胜{0}次,,,
,,,ACHIEVE_QUEST_SUMMONER_WIN_4,在召唤师竞技累计取胜{0}次,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_WIN_1,在巅峰竞技场常规赛累计取胜{0}次,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_WIN_2,在巅峰竞技场常规赛累计取胜{0}次,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_WIN_3,在巅峰竞技场常规赛累计取胜{0}次,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_WIN_4,在巅峰竞技场常规赛累计取胜{0}次,,,
ACHIEVE_QUEST_PVP_RANK,12,LOC_ACHIEVE_QUEST_SMALL_TITLE_PVP_RANK,ACHIEVE_QUEST_ARENA_RANK_1,竞技场最高排名达到{0}以上,ITEM_COLLECTION_BADGE_PVP_RANK_1,1,4
,,,ACHIEVE_QUEST_ARENA_RANK_2,竞技场最高排名达到{0}以上,ITEM_COLLECTION_BADGE_PVP_RANK_2,1,7
,,,ACHIEVE_QUEST_ARENA_RANK_3,竞技场最高排名达到{0}以上,ITEM_COLLECTION_BADGE_PVP_RANK_3,1,10
,,,ACHIEVE_QUEST_ARENA_RANK_4,竞技场最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_SUMMONER_RANK_1,召唤师竞技最高段位达到钻石3,,,
,,,ACHIEVE_QUEST_SUMMONER_RANK_2,召唤师竞技最高段位达到钻石1,,,
,,,ACHIEVE_QUEST_SUMMONER_RANK_3,召唤师竞技最高段位达到特级大师,,,
,,,ACHIEVE_QUEST_SUMMONER_RANK_4,召唤师竞技最高段位达到特级大师,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_RANK_1,巅峰竞技场决赛最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_PEAK_ARENA_RANK_2,巅峰竞技场决赛最高排名达到{0}以上,,,
ACHIEVE_QUEST_GUILD_TECHNOLOGY,13,LOC_ACHIEVE_QUEST_SMALL_TITLE_GUILD_TECHNOLOGY,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ONE_1,将任意科技的总等级提升至{0}级以上,ITEM_COLLECTION_BADGE_GUILD_TECHNOLOGY_1,1,4
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ONE_2,将任意科技的总等级提升至{0}级以上,ITEM_COLLECTION_BADGE_GUILD_TECHNOLOGY_2,1,7
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ONE_3,将任意科技的总等级提升至{0}级以上,ITEM_COLLECTION_BADGE_GUILD_TECHNOLOGY_3,1,10
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ONE_4,将任意科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ONE_5,将任意科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ALL_1,将所有科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ALL_2,将所有科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ALL_3,将所有科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ALL_4,将所有科技的总等级提升至{0}级以上,,,
,,,ACHIEVE_QUEST_GUILD_TECHNOLOGY_ALL_5,将所有科技的总等级提升至{0}级以上,,,
ACHIEVE_QUEST_GUILD_BATTLE,14,LOC_ACHIEVE_QUEST_SMALL_TITLE_GUILD_BATTLE,ACHIEVE_QUEST_GUILD_BATTLE_WIN_1,在公会战中累计进攻取胜{0}场,ITEM_COLLECTION_BADGE_GUILD_BATTLE_1,1,3
,,,ACHIEVE_QUEST_GUILD_BATTLE_WIN_2,在公会战中累计进攻取胜{0}场,ITEM_COLLECTION_BADGE_GUILD_BATTLE_2,1,6
,,,ACHIEVE_QUEST_GUILD_BATTLE_WIN_3,在公会战中累计进攻取胜{0}场,ITEM_COLLECTION_BADGE_GUILD_BATTLE_3,1,9
,,,ACHIEVE_QUEST_GUILD_BATTLE_WIN_4,在公会战中累计进攻取胜{0}场,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_WIN_5,在公会战中累计进攻取胜{0}场,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_RANK_1,参与公会战且最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_RANK_2,参与公会战且最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_RANK_3,参与公会战且最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_RANK_4,参与公会战且最高排名达到{0}以上,,,
,,,ACHIEVE_QUEST_GUILD_BATTLE_RANK_5,参与公会战且最高排名达到{0}以上,,,
ACHIEVE_QUEST_GUILD_RIGHT,15,LOC_ACHIEVE_QUEST_SMALL_TITLE_GUILD_RIGHT,ACHIEVE_QUEST_GUILD_SIGN_IN_1,在公会中累计签到{0}次,ITEM_COLLECTION_BADGE_GUILD_RIGHT_1,1,4
,,,ACHIEVE_QUEST_GUILD_SIGN_IN_2,在公会中累计签到{0}次,ITEM_COLLECTION_BADGE_GUILD_RIGHT_2,1,8
,,,ACHIEVE_QUEST_GUILD_SIGN_IN_3,在公会中累计签到{0}次,ITEM_COLLECTION_BADGE_GUILD_RIGHT_3,1,12
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_SPAR_1,在哥布林宝藏累计获得{0}个传说级宝石,,,
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_SPAR_2,在哥布林宝藏累计获得{0}个传说级宝石,,,
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_SPAR_3,在哥布林宝藏累计获得{0}个传说级宝石,,,
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_BOX_1,在哥布林宝藏累计打开第5个宝箱{0}次,,,
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_BOX_2,在哥布林宝藏累计打开第5个宝箱{0}次,,,
,,,ACHIEVE_QUEST_GOBLIN_TREASURE_BOX_3,在哥布林宝藏累计打开第5个宝箱{0}次,,,
,,,ACHIEVE_QUEST_GUILD_MVP_1,在公会MVP试炼中累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_GUILD_MVP_2,在公会MVP试炼中累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_GUILD_MVP_3,在公会MVP试炼中累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_GUILD_TOWER_TOTAL_1,无尽之塔累计通过{0}层,,,
,,,ACHIEVE_QUEST_GUILD_TOWER_TOTAL_2,无尽之塔累计通过{0}层,,,
,,,ACHIEVE_QUEST_GUILD_TOWER_1,无尽之塔通过第{1}层,,,
,,,ACHIEVE_QUEST_GUILD_TOWER_2,无尽之塔通过第{1}层,,,
ACHIEVE_QUEST_OTHER_SHOPPING,16,LOC_ACHIEVE_QUEST_SMALL_TITLE_OTHER_SHOPPING,ACHIEVE_QUEST_BUY_GROCERIES_1,在杂货摊购物{0}次,ITEM_COLLECTION_BADGE_OTHER_SHOPPING_1,1,4
,,,ACHIEVE_QUEST_BUY_GROCERIES_2,在杂货摊购物{0}次,ITEM_COLLECTION_BADGE_OTHER_SHOPPING_2,1,6
,,,ACHIEVE_QUEST_BUY_GROCERIES_3,在杂货摊购物{0}次,ITEM_COLLECTION_BADGE_OTHER_SHOPPING_3,1,8
,,,ACHIEVE_QUEST_BUY_GROCERIES_4,在杂货摊购物{0}次,,,
,,,ACHIEVE_QUEST_GOLD_ATTACK_1,进行金钱攻击{0}次,,,
,,,ACHIEVE_QUEST_GOLD_ATTACK_2,进行金钱攻击{0}次,,,
,,,ACHIEVE_QUEST_GOLD_ATTACK_3,进行金钱攻击{0}次,,,
,,,ACHIEVE_QUEST_GOLD_ATTACK_4,进行金钱攻击{0}次,,,
ACHIEVE_QUEST_OTHER_COLLECT,17,LOC_ACHIEVE_QUEST_SMALL_TITLE_OTHER_COLLECT,ACHIEVE_QUEST_HEAD_UNLOCK_1,累计解锁{0}个头像,ITEM_COLLECTION_BADGE_OTHER_COLLECT_1,1,7
,,,ACHIEVE_QUEST_HEAD_UNLOCK_2,累计解锁{0}个头像,ITEM_COLLECTION_BADGE_OTHER_COLLECT_2,1,12
,,,ACHIEVE_QUEST_HEAD_UNLOCK_3,累计解锁{0}个头像,ITEM_COLLECTION_BADGE_OTHER_COLLECT_3,1,17
,,,ACHIEVE_QUEST_HEAD_FREAM_UNLOCK_1,累计解锁{0}个头像框,,,
,,,ACHIEVE_QUEST_HEAD_FREAM_UNLOCK_2,累计解锁{0}个头像框,,,
,,,ACHIEVE_QUEST_HEAD_FREAM_UNLOCK_3,累计解锁{0}个头像框,,,
,,,ACHIEVE_QUEST_PAINT_UNLOCK_1,累计解锁{0}个绘画,,,
,,,ACHIEVE_QUEST_PAINT_UNLOCK_2,累计解锁{0}个绘画,,,
,,,ACHIEVE_QUEST_PAINT_UNLOCK_3,累计解锁{0}个绘画,,,
