_ID,_VALUE,NotRepeat:int[],MapLevelId:id[],EnemyModel:id[],BossLv:int[],BossStar:int[],EnemylImg:string[],Xpos:int[],Ypos:int[],Name:loc[],NameServer:string[],Color:string[],PresenterDistance:double[]
,,20,LEVEL_GUILD_BOSS_LOOP_20_1,HERO_ATROCE,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
GUILD_BOSS_MAP_BANK_2,2,1,LEVEL_GUILD_BOSS_LOOP_1_2,HERO_DARK_LORD,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,2,LEVEL_GUILD_BOSS_LOOP_2_2,HERO_BAPHOMET,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,3,LEVEL_GUILD_BOSS_LOOP_3_2,HERO_OSIRIS,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,4,LEVEL_GUILD_BOSS_LOOP_4_2,HERO_EDDGA,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,5,LEVEL_GUILD_BOSS_LOOP_5_2,HERO_PHREEONI,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,6,LEVEL_GUILD_BOSS_LOOP_6_2,HERO_DRAKE,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,7,LEVEL_GUILD_BOSS_LOOP_7_2,HERO_DOPPELGANGER,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,8,LEVEL_GUILD_BOSS_LOOP_8_2,HERO_TURTLE_GENERAL,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,9,LEVEL_GUILD_BOSS_LOOP_9_2,HERO_ORK_HERO,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,10,LEVEL_GUILD_BOSS_LOOP_10_2,HERO_MOONLIGHT,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,11,LEVEL_GUILD_BOSS_LOOP_11_2,HERO_GARM,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,12,LEVEL_GUILD_BOSS_LOOP_12_2,HERO_G_RANDGRIS,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,13,LEVEL_GUILD_BOSS_LOOP_13_2,HERO_TAO_GUNKA,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,14,LEVEL_GUILD_BOSS_LOOP_14_2,HERO_MAYA,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,15,LEVEL_GUILD_BOSS_LOOP_15_2,HERO_MISTRESS,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,16,LEVEL_GUILD_BOSS_LOOP_16_2,HERO_DELETER,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,17,LEVEL_GUILD_BOSS_LOOP_17_2,HERO_OWL_BARON,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,18,LEVEL_GUILD_BOSS_LOOP_18_2,HERO_WANDER_MAN,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,19,LEVEL_GUILD_BOSS_LOOP_19_2,HERO_NIGHTMARE_TERROR,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,20,LEVEL_GUILD_BOSS_LOOP_20_2,HERO_ATROCE,255,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
GUILD_BOSS_MAP_BANK_3,3,1,LEVEL_GUILD_BOSS_LOOP_1_3,HERO_DARK_LORD,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,2,LEVEL_GUILD_BOSS_LOOP_2_3,HERO_BAPHOMET,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,3,LEVEL_GUILD_BOSS_LOOP_3_3,HERO_OSIRIS,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,4,LEVEL_GUILD_BOSS_LOOP_4_3,HERO_EDDGA,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,5,LEVEL_GUILD_BOSS_LOOP_5_3,HERO_PHREEONI,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,6,LEVEL_GUILD_BOSS_LOOP_6_3,HERO_DRAKE,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,7,LEVEL_GUILD_BOSS_LOOP_7_3,HERO_DOPPELGANGER,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,8,LEVEL_GUILD_BOSS_LOOP_8_3,HERO_TURTLE_GENERAL,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,9,LEVEL_GUILD_BOSS_LOOP_9_3,HERO_ORK_HERO,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,10,LEVEL_GUILD_BOSS_LOOP_10_3,HERO_MOONLIGHT,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,11,LEVEL_GUILD_BOSS_LOOP_11_3,HERO_GARM,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,12,LEVEL_GUILD_BOSS_LOOP_12_3,HERO_G_RANDGRIS,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,13,LEVEL_GUILD_BOSS_LOOP_13_3,HERO_TAO_GUNKA,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,14,LEVEL_GUILD_BOSS_LOOP_14_3,HERO_MAYA,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,15,LEVEL_GUILD_BOSS_LOOP_15_3,HERO_MISTRESS,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,16,LEVEL_GUILD_BOSS_LOOP_16_3,HERO_DELETER,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,17,LEVEL_GUILD_BOSS_LOOP_17_3,HERO_OWL_BARON,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,18,LEVEL_GUILD_BOSS_LOOP_18_3,HERO_WANDER_MAN,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,19,LEVEL_GUILD_BOSS_LOOP_19_3,HERO_NIGHTMARE_TERROR,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,20,LEVEL_GUILD_BOSS_LOOP_20_3,HERO_ATROCE,260,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
