_ID,_VALUE,Checker:int[],Type:string[],Reward:id[],RewardNum:int[],Drop:int[],ScrollBar:decimal[]
,,8,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.15
,,9,empty,None,0,1,0.15
,,10,reward,ITEM_BATTLE_SOUL,30000,1,0.15
,,11,reward,ITEM_CRYSTAL,30,1,0.15
,,12,reward,ITEM_HERO_EVOLVE_STONE,600,1,0.15
,,13,reward,ITEM_PET_EVOLVE_STONE,600,1,0.15
,,14,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,0.28
,,15,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,0.48
,,16,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.48
,,17,empty,None,0,1,0.48
,,18,reward,ITEM_BATTLE_SOUL,30000,1,0.48
,,19,reward,ITEM_CRYSTAL,30,1,0.48
,,20,reward,ITEM_HERO_EVOLVE_STONE,600,1,0.48
,,21,reward,ITEM_PET_EVOLVE_STONE,600,1,0.78
,,22,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,0.98
,,23,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,0.98
,,24,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.98
,,25,empty,None,0,1,0.98
,,26,reward,ITEM_BATTLE_SOUL,30000,1,0.98
,,27,reward,ITEM_GOLD,150000,1,0.98
,,28,reward,ITEM_HERO_EVOLVE_STONE,600,1,1
,,29,reward,ITEM_PET_EVOLVE_STONE,600,1,1
,,30,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,1
,,31,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,1
,,33,reward,ITEM_CRYSTAL,30,1,1
,,34,end,None,0,1,1
DICE_ACHIEVE_CHECKERBOARD_REWARD_4,4,1,start,None,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,40000,1,0
,,3,reward,ITEM_GOLD,200000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,800,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,800,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,5,1,0
,,7,reward,ITEM_ESSENCE_GENERAL_EPIC,6,1,0
,,8,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,1,1,0.15
,,9,empty,None,0,1,0.15
,,10,reward,ITEM_BATTLE_SOUL,40000,1,0.15
,,11,reward,ITEM_CRYSTAL,40,1,0.15
,,12,reward,ITEM_HERO_EVOLVE_STONE,800,1,0.15
,,13,reward,ITEM_PET_EVOLVE_STONE,800,1,0.15
,,14,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,5,1,0.28
,,15,reward,ITEM_ESSENCE_GENERAL_EPIC,6,1,0.48
,,16,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,1,1,0.48
,,17,empty,None,0,1,0.48
,,18,reward,ITEM_BATTLE_SOUL,40000,1,0.48
,,19,reward,ITEM_CRYSTAL,40,1,0.48
,,20,reward,ITEM_HERO_EVOLVE_STONE,800,1,0.48
,,21,reward,ITEM_PET_EVOLVE_STONE,800,1,0.78
,,22,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,5,1,0.98
,,23,reward,ITEM_ESSENCE_GENERAL_EPIC,6,1,0.98
,,24,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,1,1,0.98
,,25,empty,None,0,1,0.98
,,26,reward,ITEM_BATTLE_SOUL,40000,1,0.98
,,27,reward,ITEM_GOLD,200000,1,0.98
,,28,reward,ITEM_HERO_EVOLVE_STONE,800,1,1
,,29,reward,ITEM_PET_EVOLVE_STONE,800,1,1
,,30,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,5,1,1
,,31,reward,ITEM_ESSENCE_GENERAL_EPIC,6,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,1,1,1
,,33,reward,ITEM_CRYSTAL,40,1,1
,,34,end,None,0,1,1
DICE_ACHIEVE_CHECKERBOARD_REWARD_5,5,1,start,None,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,50000,1,0
,,3,reward,ITEM_GOLD,300000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,1000,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,1000,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,7,1,0
,,7,reward,ITEM_ESSENCE_GENERAL_EPIC,8,1,0
,,8,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,2,1,0.15
,,9,empty,None,0,1,0.15
,,10,reward,ITEM_BATTLE_SOUL,50000,1,0.15
,,11,reward,ITEM_CRYSTAL,50,1,0.15
,,12,reward,ITEM_HERO_EVOLVE_STONE,1000,1,0.15
,,13,reward,ITEM_PET_EVOLVE_STONE,1000,1,0.15
,,14,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,7,1,0.28
,,15,reward,ITEM_ESSENCE_GENERAL_EPIC,8,1,0.48
,,16,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,2,1,0.48
,,17,empty,None,0,1,0.48
,,18,reward,ITEM_BATTLE_SOUL,50000,1,0.48
,,19,reward,ITEM_CRYSTAL,50,1,0.48
,,20,reward,ITEM_HERO_EVOLVE_STONE,1000,1,0.48
,,21,reward,ITEM_PET_EVOLVE_STONE,1000,1,0.78
,,22,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,7,1,0.98
,,23,reward,ITEM_ESSENCE_GENERAL_EPIC,8,1,0.98
,,24,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,2,1,0.98
,,25,empty,None,0,1,0.98
,,26,reward,ITEM_BATTLE_SOUL,50000,1,0.98
,,27,reward,ITEM_GOLD,300000,1,0.98
,,28,reward,ITEM_HERO_EVOLVE_STONE,1000,1,1
,,29,reward,ITEM_PET_EVOLVE_STONE,1000,1,1
,,30,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,7,1,1
,,31,reward,ITEM_ESSENCE_GENERAL_EPIC,8,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,2,1,1
,,33,reward,ITEM_CRYSTAL,50,1,1
,,34,end,None,0,1,1
DICE_ACHIEVE_CHECKERBOARD_REWARD_6,6,1,start,None,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,60000,1,0
,,3,reward,ITEM_GOLD,400000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,1200,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,1200,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,9,1,0
,,7,reward,ITEM_ESSENCE_GENERAL_EPIC,10,1,0
,,8,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,3,1,0.15
,,9,empty,None,0,1,0.15
,,10,reward,ITEM_BATTLE_SOUL,60000,1,0.15
,,11,reward,ITEM_CRYSTAL,60,1,0.15
,,12,reward,ITEM_HERO_EVOLVE_STONE,1200,1,0.15
,,13,reward,ITEM_PET_EVOLVE_STONE,1200,1,0.15
,,14,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,9,1,0.28
,,15,reward,ITEM_ESSENCE_GENERAL_EPIC,10,1,0.48
,,16,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,3,1,0.48
,,17,empty,None,0,1,0.48
,,18,reward,ITEM_BATTLE_SOUL,60000,1,0.48
,,19,reward,ITEM_CRYSTAL,60,1,0.48
,,20,reward,ITEM_HERO_EVOLVE_STONE,1200,1,0.48
,,21,reward,ITEM_PET_EVOLVE_STONE,1200,1,0.78
,,22,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,9,1,0.98
,,23,reward,ITEM_ESSENCE_GENERAL_EPIC,10,1,0.98
,,24,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,3,1,0.98
,,25,empty,None,0,1,0.98
,,26,reward,ITEM_BATTLE_SOUL,60000,1,0.98
,,27,reward,ITEM_GOLD,400000,1,0.98
,,28,reward,ITEM_HERO_EVOLVE_STONE,1200,1,1
,,29,reward,ITEM_PET_EVOLVE_STONE,1200,1,1
,,30,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,9,1,1
,,31,reward,ITEM_ESSENCE_GENERAL_EPIC,10,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,3,1,1
,,33,reward,ITEM_CRYSTAL,60,1,1
,,34,end,None,0,1,1
