_ID,_VALUE,TimeCount:int,#Remark:string,Floor:int,Buff:string,EnemyModelType:string,EnemyModel:id,BossStar:int,MapId:id
TOURNAMEN_ENEMY_16,16,1,,16,GuildTower_15,Hero,HERO_VAGABOND_WOLF,6,LEVEL_GUILD_TOWER_16
TOURNAMEN_ENEMY_17,17,1,,17,GuildTower_1,Hero,HERO_G_EREMES,6,LEVEL_GUILD_TOWER_17
TOURNAMEN_ENEMY_18,18,1,,18,GuildTower_24,Hero,HERO_KOBOLD_LEADER,6,LEVEL_GUILD_TOWER_18
TOURNAMEN_ENEMY_19,19,1,,19,GuildTower_10,Hero,HERO_GIORGILI,6,LEVEL_GUILD_TOWER_19
TOURNAMEN_ENEMY_20,20,1,,20,GuildTower_21,Hero,HERO_ORK_HERO,6,LEVEL_GUILD_TOWER_20
TOURNAMEN_ENEMY_21,21,1,,21,GuildTower_3,Hero,HERO_GOLDEN_BUG,6,LEVEL_GUILD_TOWER_21
TOURNAMEN_ENEMY_22,22,1,,22,GuildTower_3,Hero,HERO_MASTERING,6,LEVEL_GUILD_TOWER_22
TOURNAMEN_ENEMY_23,23,1,,23,GuildTower_17,Hero,HERO_ANGELING,7,LEVEL_GUILD_TOWER_23
TOURNAMEN_ENEMY_24,24,1,,24,GuildTower_12,Hero,HERO_GOBLIN_LEADER,7,LEVEL_GUILD_TOWER_24
TOURNAMEN_ENEMY_25,25,1,,25,GuildTower_16,Hero,HERO_EDDGA,7,LEVEL_GUILD_TOWER_25
TOURNAMEN_ENEMY_26,26,1,,26,GuildTower_13,Hero,HERO_DARK_LORD,7,LEVEL_GUILD_TOWER_26
TOURNAMEN_ENEMY_27,27,1,,27,GuildTower_21,Hero,HERO_G_KATRINN,8,LEVEL_GUILD_TOWER_27
TOURNAMEN_ENEMY_28,28,1,,28,GuildTower_2,Hero,HERO_OWL_BARON,8,LEVEL_GUILD_TOWER_28
TOURNAMEN_ENEMY_29,29,1,,29,GuildTower_12,Hero,HERO_MINI_DEMON,8,LEVEL_GUILD_TOWER_29
TOURNAMEN_ENEMY_30,30,1,,30,GuildTower_22,Hero,HERO_SHECI,8,LEVEL_GUILD_TOWER_16
TOURNAMEN_ENEMY_31,31,1,,31,GuildTower_11,Hero,HERO_ALICE,9,LEVEL_GUILD_TOWER_31
TOURNAMEN_ENEMY_32,32,1,,32,GuildTower_23,Hero,HERO_ORC_LORD,9,LEVEL_GUILD_TOWER_32
TOURNAMEN_ENEMY_33,33,1,,33,GuildTower_2,Hero,HERO_DRAKE,9,LEVEL_GUILD_TOWER_33
TOURNAMEN_ENEMY_34,34,1,,34,GuildTower_3,Hero,HERO_EDDGA,9,LEVEL_GUILD_TOWER_34
TOURNAMEN_ENEMY_35,35,1,,35,GuildTower_19,Hero,HERO_MISTRESS,10,LEVEL_GUILD_TOWER_19
TOURNAMEN_ENEMY_36,36,1,,36,GuildTower_1,Hero,HERO_NIGHTMARE_TERROR,10,LEVEL_GUILD_TOWER_36
TOURNAMEN_ENEMY_37,37,1,,37,GuildTower_18,Hero,HERO_ALICE,10,LEVEL_GUILD_TOWER_37
TOURNAMEN_ENEMY_38,38,1,,38,GuildTower_22,Hero,HERO_BAPHOMET,10,LEVEL_GUILD_TOWER_38
TOURNAMEN_ENEMY_39,39,1,,39,GuildTower_10,Hero,HERO_MOONLIGHT,10,LEVEL_GUILD_TOWER_39
TOURNAMEN_ENEMY_40,40,1,,40,GuildTower_21,Hero,HERO_TURTLE_GENERAL,10,LEVEL_GUILD_TOWER_40
TOURNAMEN_ENEMY_41,41,1,,41,GuildTower_20,Hero,HERO_PHREEONI,10,LEVEL_GUILD_TOWER_41
TOURNAMEN_ENEMY_42,42,1,,42,GuildTower_15,Hero,HERO_DOPPELGANGER,10,LEVEL_GUILD_TOWER_42
TOURNAMEN_ENEMY_43,43,1,,43,GuildTower_17,Hero,HERO_ORC_LORD,10,LEVEL_GUILD_TOWER_43
TOURNAMEN_ENEMY_44,44,1,,44,GuildTower_8,Hero,HERO_GARM,10,LEVEL_GUILD_TOWER_44
TOURNAMEN_ENEMY_45,45,1,,45,GuildTower_20,Hero,HERO_GARM,10,LEVEL_GUILD_TOWER_45
TOURNAMEN_ENEMY_46,46,1,,46,GuildTower_2,Hero,HERO_TURTLE_GENERAL,10,LEVEL_GUILD_TOWER_46
TOURNAMEN_ENEMY_47,47,1,,47,GuildTower_11,Hero,HERO_ORK_HERO,10,LEVEL_GUILD_TOWER_47
TOURNAMEN_ENEMY_48,48,1,,48,GuildTower_24,Hero,HERO_DRAKE,10,LEVEL_GUILD_TOWER_48
TOURNAMEN_ENEMY_49,49,1,,49,GuildTower_7,Hero,HERO_OSIRIS,10,LEVEL_GUILD_TOWER_49
TOURNAMEN_ENEMY_50,50,1,,50,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_50
TOURNAMEN_ENEMY_51,51,1,,51,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_1921
TOURNAMEN_ENEMY_52,52,1,,52,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_1922
TOURNAMEN_ENEMY_53,53,1,,53,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_1923
TOURNAMEN_ENEMY_54,54,1,,54,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_1924
TOURNAMEN_ENEMY_55,55,1,,55,GuildTower_23,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_1925
TOURNAMEN_ENEMY_56,56,2,计数填1，表示线上玩家开始的第一轮,1,GuildTower_2,Hero,HERO_GOBLIN_LEADER,2,LEVEL_GUILD_TOWER_51
TOURNAMEN_ENEMY_57,57,2,,2,GuildTower_3,Hero,HERO_BON_GUN,2,LEVEL_GUILD_TOWER_52
TOURNAMEN_ENEMY_58,58,2,,3,GuildTower_6,Hero,HERO_KOBOLD_3,3,LEVEL_GUILD_TOWER_53
TOURNAMEN_ENEMY_59,59,2,,4,GuildTower_12,Hero,HERO_ATROCE,3,LEVEL_GUILD_TOWER_54
TOURNAMEN_ENEMY_60,60,2,,5,GuildTower_17,Hero,HERO_KOBOLD_3,3,LEVEL_GUILD_TOWER_55
TOURNAMEN_ENEMY_61,61,2,,6,GuildTower_1,Hero,HERO_MUMMY,3,LEVEL_GUILD_TOWER_56
TOURNAMEN_ENEMY_62,62,2,,7,GuildTower_14,Hero,HERO_LEIB_OLMAI,4,LEVEL_GUILD_TOWER_57
TOURNAMEN_ENEMY_63,63,2,,8,GuildTower_2,Hero,HERO_KOBOLD_LEADER,4,LEVEL_GUILD_TOWER_58
TOURNAMEN_ENEMY_64,64,2,,9,GuildTower_11,Hero,HERO_NIGHTMARE,4,LEVEL_GUILD_TOWER_59
TOURNAMEN_ENEMY_65,65,2,,10,GuildTower_1,Hero,HERO_NIGHTMARE_TERROR,4,LEVEL_GUILD_TOWER_60
TOURNAMEN_ENEMY_66,66,2,,11,GuildTower_6,Hero,HERO_ATROCE,5,LEVEL_GUILD_TOWER_61
TOURNAMEN_ENEMY_67,67,2,,12,GuildTower_3,Hero,HERO_RAYDRIC,5,LEVEL_GUILD_TOWER_62
TOURNAMEN_ENEMY_68,68,2,,13,GuildTower_13,Hero,HERO_MINI_DEMON,5,LEVEL_GUILD_TOWER_63
TOURNAMEN_ENEMY_69,69,2,,14,GuildTower_4,Hero,HERO_VANESSA,5,LEVEL_GUILD_TOWER_64
TOURNAMEN_ENEMY_70,70,2,,15,GuildTower_1,Hero,HERO_VAGABOND_WOLF,6,LEVEL_GUILD_TOWER_65
TOURNAMEN_ENEMY_71,71,2,,16,GuildTower_18,Hero,HERO_NIGHTMARE_TERROR,6,LEVEL_GUILD_TOWER_66
TOURNAMEN_ENEMY_72,72,2,,17,GuildTower_24,Hero,HERO_ORC_LORD,6,LEVEL_GUILD_TOWER_67
TOURNAMEN_ENEMY_73,73,2,,18,GuildTower_7,Hero,HERO_GRYPHON,6,LEVEL_GUILD_TOWER_68
TOURNAMEN_ENEMY_74,74,2,,19,GuildTower_14,Hero,HERO_KOBOLD_3,6,LEVEL_GUILD_TOWER_69
TOURNAMEN_ENEMY_75,75,2,,20,GuildTower_21,Hero,HERO_ATROCE,6,LEVEL_GUILD_TOWER_70
TOURNAMEN_ENEMY_76,76,2,,21,GuildTower_15,Hero,HERO_ANTONIO,6,LEVEL_GUILD_TOWER_71
TOURNAMEN_ENEMY_77,77,2,,22,GuildTower_4,Hero,HERO_G_EREMES,6,LEVEL_GUILD_TOWER_72
TOURNAMEN_ENEMY_78,78,2,,23,GuildTower_2,Hero,HERO_OWL_BARON,7,LEVEL_GUILD_TOWER_73
TOURNAMEN_ENEMY_79,79,2,,24,GuildTower_18,Hero,HERO_OSIRIS,7,LEVEL_GUILD_TOWER_74
TOURNAMEN_ENEMY_80,80,2,,25,GuildTower_20,Hero,HERO_OWL_BARON,7,LEVEL_GUILD_TOWER_75
TOURNAMEN_ENEMY_81,81,2,,26,GuildTower_14,Hero,HERO_LEIB_OLMAI,7,LEVEL_GUILD_TOWER_76
TOURNAMEN_ENEMY_82,82,2,,27,GuildTower_3,Hero,HERO_HAROLD,8,LEVEL_GUILD_TOWER_77
TOURNAMEN_ENEMY_83,83,2,,28,GuildTower_12,Hero,HERO_MINI_DEMON,8,LEVEL_GUILD_TOWER_78
TOURNAMEN_ENEMY_84,84,2,,29,GuildTower_15,Hero,HERO_PHREEONI,8,LEVEL_GUILD_TOWER_79
TOURNAMEN_ENEMY_85,85,2,,30,GuildTower_24,Hero,HERO_DARK_LORD,8,LEVEL_GUILD_TOWER_80
TOURNAMEN_ENEMY_86,86,2,,31,GuildTower_5,Hero,HERO_G_KATRINN,9,LEVEL_GUILD_TOWER_81
TOURNAMEN_ENEMY_87,87,2,,32,GuildTower_21,Hero,HERO_SEYREN,9,LEVEL_GUILD_TOWER_82
TOURNAMEN_ENEMY_88,88,2,,33,GuildTower_22,Hero,HERO_ORC_LORD,9,LEVEL_GUILD_TOWER_83
TOURNAMEN_ENEMY_89,89,2,,34,GuildTower_15,Hero,HERO_MAYA,9,LEVEL_GUILD_TOWER_84
TOURNAMEN_ENEMY_90,90,2,,35,GuildTower_19,Hero,HERO_OSIRIS,10,LEVEL_GUILD_TOWER_85
TOURNAMEN_ENEMY_91,91,2,,36,GuildTower_4,Hero,HERO_G_RANDEL,10,LEVEL_GUILD_TOWER_86
TOURNAMEN_ENEMY_92,92,2,,37,GuildTower_16,Hero,HERO_GOLDEN_BUG,10,LEVEL_GUILD_TOWER_87
TOURNAMEN_ENEMY_93,93,2,,38,GuildTower_2,Hero,HERO_MISTRESS,10,LEVEL_GUILD_TOWER_88
TOURNAMEN_ENEMY_94,94,2,,39,GuildTower_7,Hero,HERO_WANDER_MAN,10,LEVEL_GUILD_TOWER_89
TOURNAMEN_ENEMY_95,95,2,,40,GuildTower_23,Hero,HERO_DARK_LORD,10,LEVEL_GUILD_TOWER_90
TOURNAMEN_ENEMY_96,96,2,,41,GuildTower_15,Hero,HERO_G_EREMES,10,LEVEL_GUILD_TOWER_91
TOURNAMEN_ENEMY_97,97,2,,42,GuildTower_14,Hero,HERO_DOPPELGANGER,10,LEVEL_GUILD_TOWER_92
TOURNAMEN_ENEMY_98,98,2,,43,GuildTower_3,Hero,HERO_PHREEONI,10,LEVEL_GUILD_TOWER_93
TOURNAMEN_ENEMY_99,99,2,,44,GuildTower_13,Hero,HERO_ANGELING,10,LEVEL_GUILD_TOWER_94
TOURNAMEN_ENEMY_100,100,2,,45,GuildTower_17,Hero,HERO_TAO_GUNKA,10,LEVEL_GUILD_TOWER_95
TOURNAMEN_ENEMY_101,101,2,,46,GuildTower_7,Hero,HERO_ATROCE,10,LEVEL_GUILD_TOWER_96
TOURNAMEN_ENEMY_102,102,2,,47,GuildTower_18,Hero,HERO_GARM,10,LEVEL_GUILD_TOWER_97
TOURNAMEN_ENEMY_103,103,2,,48,GuildTower_12,Hero,HERO_ORK_HERO,10,LEVEL_GUILD_TOWER_98
TOURNAMEN_ENEMY_104,104,2,,49,GuildTower_19,Hero,HERO_MOONLIGHT,10,LEVEL_GUILD_TOWER_99
TOURNAMEN_ENEMY_105,105,2,,50,GuildTower_24,Hero,HERO_G_EREMES,10,LEVEL_GUILD_TOWER_100
TOURNAMEN_ENEMY_106,106,2,,51,GuildTower_7,Hero,HERO_ATROCE,10,LEVEL_GUILD_TOWER_1926
TOURNAMEN_ENEMY_107,107,2,,52,GuildTower_18,Hero,HERO_GARM,10,LEVEL_GUILD_TOWER_1927
TOURNAMEN_ENEMY_108,108,2,,53,GuildTower_12,Hero,HERO_ORK_HERO,10,LEVEL_GUILD_TOWER_1928
TOURNAMEN_ENEMY_109,109,2,,54,GuildTower_19,Hero,HERO_MOONLIGHT,10,LEVEL_GUILD_TOWER_1929
TOURNAMEN_ENEMY_110,110,2,,55,GuildTower_24,Hero,HERO_G_EREMES,10,LEVEL_GUILD_TOWER_1930
TOURNAMEN_ENEMY_111,111,3,计数填1，表示线上玩家开始的第一轮,1,GuildTower_2,Hero,HERO_VANESSA,2,LEVEL_GUILD_TOWER_101
TOURNAMEN_ENEMY_112,112,3,,2,GuildTower_8,Hero,HERO_KOBOLD_LEADER,2,LEVEL_GUILD_TOWER_102
TOURNAMEN_ENEMY_113,113,3,,3,GuildTower_6,Hero,HERO_RAYDRIC,3,LEVEL_GUILD_TOWER_103
TOURNAMEN_ENEMY_114,114,3,,4,GuildTower_12,Hero,HERO_NIGHTMARE,3,LEVEL_GUILD_TOWER_104
TOURNAMEN_ENEMY_115,115,3,,5,GuildTower_17,Hero,HERO_MINOROUS,3,LEVEL_GUILD_TOWER_105
TOURNAMEN_ENEMY_116,116,3,,6,GuildTower_6,Hero,HERO_GOBLIN_LEADER,3,LEVEL_GUILD_TOWER_106
TOURNAMEN_ENEMY_117,117,3,,7,GuildTower_14,Hero,HERO_GRYPHON,4,LEVEL_GUILD_TOWER_107
TOURNAMEN_ENEMY_118,118,3,,8,GuildTower_2,Hero,HERO_OSIRIS,4,LEVEL_GUILD_TOWER_108
TOURNAMEN_ENEMY_119,119,3,,9,GuildTower_13,Hero,HERO_VAGABOND_WOLF,4,LEVEL_GUILD_TOWER_109
TOURNAMEN_ENEMY_120,120,3,,10,GuildTower_19,Hero,HERO_DEVILING,4,LEVEL_GUILD_TOWER_110
TOURNAMEN_ENEMY_121,121,3,,11,GuildTower_6,Hero,HERO_GARM,5,LEVEL_GUILD_TOWER_111
TOURNAMEN_ENEMY_122,122,3,,12,GuildTower_3,Hero,HERO_GOBLIN_1,5,LEVEL_GUILD_TOWER_112
TOURNAMEN_ENEMY_123,123,3,,13,GuildTower_13,Hero,HERO_GRYPHON,5,LEVEL_GUILD_TOWER_113
TOURNAMEN_ENEMY_124,124,3,,14,GuildTower_2,Hero,HERO_ANTONIO,5,LEVEL_GUILD_TOWER_114
TOURNAMEN_ENEMY_125,125,3,,15,GuildTower_10,Hero,HERO_G_EREMES,6,LEVEL_GUILD_TOWER_115
TOURNAMEN_ENEMY_126,126,3,,16,GuildTower_18,Hero,HERO_LOLI_RURI,6,LEVEL_GUILD_TOWER_116
TOURNAMEN_ENEMY_127,127,3,,17,GuildTower_24,Hero,HERO_MARC,6,LEVEL_GUILD_TOWER_117
TOURNAMEN_ENEMY_128,128,3,,18,GuildTower_7,Hero,HERO_ORK_HERO,6,LEVEL_GUILD_TOWER_118
TOURNAMEN_ENEMY_129,129,3,,19,GuildTower_14,Hero,HERO_MASTERING,6,LEVEL_GUILD_TOWER_119
TOURNAMEN_ENEMY_130,130,3,,20,GuildTower_21,Hero,HERO_SOHEE,6,LEVEL_GUILD_TOWER_120
TOURNAMEN_ENEMY_131,131,3,,21,GuildTower_15,Hero,HERO_DEVIRUCHI,6,LEVEL_GUILD_TOWER_121
TOURNAMEN_ENEMY_132,132,3,,22,GuildTower_4,Hero,HERO_ALICE,6,LEVEL_GUILD_TOWER_122
TOURNAMEN_ENEMY_133,133,3,,23,GuildTower_6,Hero,HERO_CAT_O_NINE_TAIL,7,LEVEL_GUILD_TOWER_123
TOURNAMEN_ENEMY_134,134,3,,24,GuildTower_18,Hero,HERO_OWL_BARON,7,LEVEL_GUILD_TOWER_124
TOURNAMEN_ENEMY_135,135,3,,25,GuildTower_20,Hero,HERO_MINI_DEMON,7,LEVEL_GUILD_TOWER_125
TOURNAMEN_ENEMY_136,136,3,,26,GuildTower_14,Hero,HERO_MAGALETA,7,LEVEL_GUILD_TOWER_126
TOURNAMEN_ENEMY_137,137,3,,27,GuildTower_3,Hero,HERO_ANGELING,8,LEVEL_GUILD_TOWER_127
TOURNAMEN_ENEMY_138,138,3,,28,GuildTower_12,Hero,HERO_DEVILING,8,LEVEL_GUILD_TOWER_128
TOURNAMEN_ENEMY_139,139,3,,29,GuildTower_15,Hero,HERO_LOLI_RURI,8,LEVEL_GUILD_TOWER_129
TOURNAMEN_ENEMY_140,140,3,,30,GuildTower_22,Hero,HERO_KOBOLD_LEADER,8,LEVEL_GUILD_TOWER_130
TOURNAMEN_ENEMY_141,141,3,,31,GuildTower_6,Hero,HERO_TAO_GUNKA,9,LEVEL_GUILD_TOWER_131
TOURNAMEN_ENEMY_142,142,3,,32,GuildTower_21,Hero,HERO_NIGHTMARE_TERROR,9,LEVEL_GUILD_TOWER_132
TOURNAMEN_ENEMY_143,143,3,,33,GuildTower_22,Hero,HERO_OWL_BARON,9,LEVEL_GUILD_TOWER_133
TOURNAMEN_ENEMY_144,144,3,,34,GuildTower_15,Hero,HERO_NIGHTMARE_TERROR,9,LEVEL_GUILD_TOWER_134
TOURNAMEN_ENEMY_145,145,3,,35,GuildTower_19,Hero,HERO_G_RANDGRIS,10,LEVEL_GUILD_TOWER_135
TOURNAMEN_ENEMY_146,146,3,,36,GuildTower_4,Hero,HERO_GRYPHON,10,LEVEL_GUILD_TOWER_136
TOURNAMEN_ENEMY_147,147,3,,37,GuildTower_16,Hero,HERO_DARK_LORD,10,LEVEL_GUILD_TOWER_137
TOURNAMEN_ENEMY_148,148,3,,38,GuildTower_2,Hero,HERO_G_EREMES,10,LEVEL_GUILD_TOWER_138
TOURNAMEN_ENEMY_149,149,3,,39,GuildTower_15,Hero,HERO_MISTRESS,10,LEVEL_GUILD_TOWER_139
TOURNAMEN_ENEMY_150,150,3,,40,GuildTower_16,Hero,HERO_DARK_LORD,10,LEVEL_GUILD_TOWER_140
TOURNAMEN_ENEMY_151,151,3,,41,GuildTower_2,Hero,HERO_LOLI_RURI,10,LEVEL_GUILD_TOWER_141
TOURNAMEN_ENEMY_152,152,3,,42,GuildTower_14,Hero,HERO_MISTRESS,10,LEVEL_GUILD_TOWER_142
TOURNAMEN_ENEMY_153,153,3,,43,GuildTower_3,Hero,HERO_TURTLE_GENERAL,10,LEVEL_GUILD_TOWER_143
TOURNAMEN_ENEMY_154,154,3,,44,GuildTower_5,Hero,HERO_ORK_HERO,10,LEVEL_GUILD_TOWER_144
TOURNAMEN_ENEMY_155,155,3,,45,GuildTower_17,Hero,HERO_PHREEONI,10,LEVEL_GUILD_TOWER_145
TOURNAMEN_ENEMY_156,156,3,,46,GuildTower_7,Hero,HERO_GARM,10,LEVEL_GUILD_TOWER_146
TOURNAMEN_ENEMY_157,157,3,,47,GuildTower_19,Hero,HERO_LEIB_OLMAI,10,LEVEL_GUILD_TOWER_147
TOURNAMEN_ENEMY_158,158,3,,48,GuildTower_12,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_148
TOURNAMEN_ENEMY_159,159,3,,49,GuildTower_7,Hero,HERO_TURTLE_GENERAL,10,LEVEL_GUILD_TOWER_149
TOURNAMEN_ENEMY_160,160,3,,50,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_150
TOURNAMEN_ENEMY_161,161,3,,51,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_1931
TOURNAMEN_ENEMY_162,162,3,,52,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_1932
TOURNAMEN_ENEMY_163,163,3,,53,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_1933
TOURNAMEN_ENEMY_164,164,3,,54,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_1934
TOURNAMEN_ENEMY_165,165,3,,55,GuildTower_24,Hero,HERO_MAYA,10,LEVEL_GUILD_TOWER_1935
TOURNAMEN_ENEMY_166,166,4,计数填1，表示线上玩家开始的第一轮,1,GuildTower_16,Hero,HERO_OWL_BARON,2,LEVEL_GUILD_TOWER_151
TOURNAMEN_ENEMY_167,167,4,,2,GuildTower_15,Hero,HERO_HAROLD,2,LEVEL_GUILD_TOWER_152
TOURNAMEN_ENEMY_168,168,4,,3,GuildTower_21,Hero,HERO_HELENA,3,LEVEL_GUILD_TOWER_153
TOURNAMEN_ENEMY_169,169,4,,4,GuildTower_8,Hero,HERO_OBEAUNE,3,LEVEL_GUILD_TOWER_154
TOURNAMEN_ENEMY_170,170,4,,5,GuildTower_17,Hero,HERO_BARTLEY,3,LEVEL_GUILD_TOWER_155
TOURNAMEN_ENEMY_171,171,4,,6,GuildTower_5,Hero,HERO_TYRRHENIA,3,LEVEL_GUILD_TOWER_156
TOURNAMEN_ENEMY_172,172,4,,7,GuildTower_18,Hero,HERO_ORC_LORD,4,LEVEL_GUILD_TOWER_157
TOURNAMEN_ENEMY_173,173,4,,8,GuildTower_11,Hero,HERO_EDDGA,4,LEVEL_GUILD_TOWER_158
TOURNAMEN_ENEMY_174,174,4,,9,GuildTower_2,Hero,HERO_MINOROUS,4,LEVEL_GUILD_TOWER_159
TOURNAMEN_ENEMY_175,175,4,,10,GuildTower_22,Hero,HERO_ORC_LORD,4,LEVEL_GUILD_TOWER_160
TOURNAMEN_ENEMY_176,176,4,,11,GuildTower_7,Hero,HERO_DARK_ILLUSION,5,LEVEL_GUILD_TOWER_161
TOURNAMEN_ENEMY_177,177,4,,12,GuildTower_21,Hero,HERO_CAT_O_NINE_TAIL,5,LEVEL_GUILD_TOWER_162
TOURNAMEN_ENEMY_178,178,4,,13,GuildTower_20,Hero,HERO_MINOROUS,5,LEVEL_GUILD_TOWER_163
TOURNAMEN_ENEMY_179,179,4,,14,GuildTower_11,Hero,HERO_NIGHTMARE,5,LEVEL_GUILD_TOWER_164
TOURNAMEN_ENEMY_180,180,4,,15,GuildTower_18,Hero,HERO_NIGHTMARE,6,LEVEL_GUILD_TOWER_165
TOURNAMEN_ENEMY_181,181,4,,16,GuildTower_15,Hero,HERO_OSIRIS,6,LEVEL_GUILD_TOWER_166
TOURNAMEN_ENEMY_182,182,4,,17,GuildTower_1,Hero,HERO_WHISPER_BOSS,6,LEVEL_GUILD_TOWER_167
TOURNAMEN_ENEMY_183,183,4,,18,GuildTower_24,Hero,HERO_GOBLIN_2,6,LEVEL_GUILD_TOWER_168
TOURNAMEN_ENEMY_184,184,4,,19,GuildTower_10,Hero,HERO_TURTLE_GENERAL,6,LEVEL_GUILD_TOWER_169
TOURNAMEN_ENEMY_185,185,4,,20,GuildTower_21,Hero,HERO_DRAKE,6,LEVEL_GUILD_TOWER_170
TOURNAMEN_ENEMY_186,186,4,,21,GuildTower_7,Hero,HERO_TAO_GUNKA,6,LEVEL_GUILD_TOWER_171
TOURNAMEN_ENEMY_187,187,4,,22,GuildTower_3,Hero,HERO_KOBOLD_LEADER,6,LEVEL_GUILD_TOWER_172
TOURNAMEN_ENEMY_188,188,4,,23,GuildTower_17,Hero,HERO_LOLI_RURI,7,LEVEL_GUILD_TOWER_173
TOURNAMEN_ENEMY_189,189,4,,24,GuildTower_12,Hero,HERO_ALICE,7,LEVEL_GUILD_TOWER_174
TOURNAMEN_ENEMY_190,190,4,,25,GuildTower_21,Hero,HERO_DOPPELGANGER,7,LEVEL_GUILD_TOWER_175
TOURNAMEN_ENEMY_191,191,4,,26,GuildTower_13,Hero,HERO_GRYPHON,7,LEVEL_GUILD_TOWER_176
TOURNAMEN_ENEMY_192,192,4,,27,GuildTower_21,Hero,HERO_NIGHTMARE_TERROR,8,LEVEL_GUILD_TOWER_177
TOURNAMEN_ENEMY_193,193,4,,28,GuildTower_2,Hero,HERO_MOONLIGHT,8,LEVEL_GUILD_TOWER_178
TOURNAMEN_ENEMY_194,194,4,,29,GuildTower_12,Hero,HERO_ORK_HERO,8,LEVEL_GUILD_TOWER_179
TOURNAMEN_ENEMY_195,195,4,,30,GuildTower_22,Hero,HERO_TAO_GUNKA,8,LEVEL_GUILD_TOWER_180
TOURNAMEN_ENEMY_196,196,4,,31,GuildTower_11,Hero,HERO_DELETER,9,LEVEL_GUILD_TOWER_181
TOURNAMEN_ENEMY_197,197,4,,32,GuildTower_23,Hero,HERO_G_EREMES,9,LEVEL_GUILD_TOWER_182
TOURNAMEN_ENEMY_198,198,4,,33,GuildTower_7,Hero,HERO_GRYPHON,9,LEVEL_GUILD_TOWER_183
TOURNAMEN_ENEMY_199,199,4,,34,GuildTower_9,Hero,HERO_G_KATRINN,9,LEVEL_GUILD_TOWER_184
TOURNAMEN_ENEMY_200,200,4,,35,GuildTower_19,Hero,HERO_MAGALETA,10,LEVEL_GUILD_TOWER_185
TOURNAMEN_ENEMY_201,201,4,,36,GuildTower_1,Hero,HERO_NIGHTMARE_TERROR,10,LEVEL_GUILD_TOWER_186
TOURNAMEN_ENEMY_202,202,4,,37,GuildTower_18,Hero,HERO_OWL_BARON,10,LEVEL_GUILD_TOWER_187
