_ID,_VALUE,#EventComment:string[],EventName:loc,BigEventMask:bool,EventOpen:bool,EventSpriteMiddle:string,EventSpriteAfter:string,EventSpriteFront:string,EventTriggerType:string,EventType:string,EventTextLoc:loc,EventChoiceLoc:loc[],EventChoiceSuccessRate:int[],EventChoiceEffectPreviewLoc:loc[],EventChoiceFeedbackLoc:loc[],EventChoiceChaAnimation:string[],EventSuccessDropTextLoc:loc[],EventFailDropTextLoc:loc[],EventSuccessLib:id[][],EventFailLib:id[][],EventEmoji:string,EventAnimType:string[],EventStandby:string,#EventPara1Des:string,EventPara1:int[],#EventPara2Des:string,EventPara2:int[],#EventPara3Des:string,EventPara3:int[],#EventPara4Des:string,EventPara4:int[],#EventPara5Des:string,EventPara5:int[],EventPara6:string,TargetEffect:id[]
DUNGEON_EVENT_HELP_5,10005,马克-牢笼-给面包,LOC_DUNGEON_EVENT_NAME_HELP_5,FALSE,FALSE,Event_Marc,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_5,LOC_DUNGEON_EVENT_HELP_PRESS_7,650,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_7,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_7,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_7,LOC_DUNGEON_EVENT_HELP_RESULT_FAILURE_2,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,马克-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_8,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_6,10006,马克-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_6,FALSE,FALSE,Event_Marc,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_6,LOC_DUNGEON_EVENT_HELP_PRESS_9,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_8,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_8,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_8,LOC_NONE,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,马克-牢笼-给水果,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_10,400,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_9,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_9,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_9,LOC_DUNGEON_EVENT_HELP_RESULT_FAILURE_3,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_MONSTER_GROUP_005,,None,,0,0,0,0,0,0,0,0,0,0,,
,,马克-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_11,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_7,10007,恶魔波利-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_7,FALSE,FALSE,Event_Deviling,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_7,LOC_DUNGEON_EVENT_HELP_PRESS_12,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_10,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_10,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_10,LOC_NONE,DUNGEON_LIB_MONSTER_GROUP_005,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,恶魔波利-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_13,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_8,10008,恶魔波利-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_8,FALSE,FALSE,Event_Deviling,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_8,LOC_DUNGEON_EVENT_HELP_PRESS_14,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_11,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_11,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_11,LOC_NONE,DUNGEON_LIB_MONSTER_GROUP_005,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,恶魔波利-牢笼-开始说教,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_15,300,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_12,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_12,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_12,LOC_DUNGEON_EVENT_HELP_RESULT_FAILURE_4,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_MONSTER_GROUP_005,,None,,0,0,0,0,0,0,0,0,0,0,,
,,恶魔波利-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_16,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_1,10009,剑士-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Swordsman_2,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_1,LOC_DUNGEON_EVENT_HELP_PRESS_1,500,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_1,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_1,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_1,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,剑士-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_8,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_2,10010,剑士-招募,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Swordsman_2,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_2,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_1,-1,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_2,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_2,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_2,LOC_NONE,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_001,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_3,10011,贤者-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Sage_2,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_3,LOC_DUNGEON_EVENT_HELP_PRESS_1,500,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_3,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_3,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_3,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_2,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_002,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,贤者-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_8,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_4,10012,贤者-招募,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Sage_2,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_4,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_2,-1,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_4,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_4,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_4,LOC_NONE,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_002,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_5,10013,牧师-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Priest_2,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_5,LOC_DUNGEON_EVENT_HELP_PRESS_1,500,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_5,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_5,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_5,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_3,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_003,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,牧师-牢笼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_8,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_6,10014,牧师-招募,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Priest_2,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_6,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_3,-1,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_6,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_6,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_6,LOC_NONE,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_003,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_7,10015,天使波力-幸运出击,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Angeling,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_7,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_4,700,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_7,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_7,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_7,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_4,DUNGEON_LIB_ITEMLIB_026,None,,None,,0,0,0,0,0,0,0,0,0,0,,
,,天使波力-幸运招募,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,,,,,,,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_5,300,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_8,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_8,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_8,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_5,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_004,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_8,10016,沙漠受伤事件,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Golden_Bug,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_8,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_6,-1,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_9,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_9,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_9,,DUNGEON_LIB_EFFECT_HELP_THEME_8,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_THEME_9,10017,天使波力-幸运出击,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Angeling,,,Click,Common,LOC_DUNGEON_DESERT_EVENT_HELP_7,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_4,800,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_10,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_7,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_7,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_4,DUNGEON_LIB_ITEMLIB_026,None,,None,,0,0,0,0,0,0,0,0,0,0,,
,,天使波力-幸运招募,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,,,,,,,LOC_DUNGEON_DESERT_EVENT_HELP_PRESS_5,200,LOC_DUNGEON_DESERT_EVENT_HELP_EFFECTPREVIEW_11,LOC_DUNGEON_DESERT_EVENT_HELP_BEHAVIOR_8,,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_SUCCESS_8,LOC_DUNGEON_DESERT_EVENT_HELP_RESULT_FAILURE_5,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_004,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_1,20001,地龙-直接抢,LOC_DUNGEON_EVENT_NAME_INQUIRY_1,FALSE,FALSE,Event_Deleter,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_1,LOC_DUNGEON_EVENT_INQUIRY_PRESS_1,500,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_1,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_1,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_1,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_1,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_2,20002,地龙-和他交换,LOC_DUNGEON_EVENT_NAME_INQUIRY_2,FALSE,FALSE,Event_Deleter,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_2,LOC_DUNGEON_EVENT_INQUIRY_PRESS_2,-1,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_2,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_2,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_2,LOC_NONE,DUNGEON_LIB_ITEMLIB_GROUP_001,None,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,地龙-威胁交出,,,,,,,,,,LOC_DUNGEON_EVENT_INQUIRY_PRESS_3,450,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_3,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_3,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_3,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_2,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_3,20003,恶魔波利-询问宝物,LOC_DUNGEON_EVENT_NAME_INQUIRY_3,FALSE,FALSE,Event_Deviling,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_3,LOC_DUNGEON_EVENT_INQUIRY_PRESS_4,500,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_4,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_4,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_4,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_3,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_4,20004,恶魔波利-询问宝物,LOC_DUNGEON_EVENT_NAME_INQUIRY_4,FALSE,FALSE,Event_Deviling,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_4,LOC_DUNGEON_EVENT_INQUIRY_PRESS_5,500,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_5,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_5,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_5,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_4,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,恶魔波利-肯定是骗子,,,,,,,,,,LOC_DUNGEON_EVENT_INQUIRY_PRESS_6,500,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_6,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_6,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_6,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_5,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_5,20005,人鱼-询问口袋,LOC_DUNGEON_EVENT_NAME_INQUIRY_5,FALSE,FALSE,Event_Obeaune,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_5,LOC_DUNGEON_EVENT_INQUIRY_PRESS_7,800,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_7,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_7,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_7,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_6,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,人鱼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_INQUIRY_PRESS_8,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_INQUIRY_6,20006,人鱼-等待她过来,LOC_DUNGEON_EVENT_NAME_INQUIRY_6,FALSE,FALSE,Event_Obeaune,,,Click,Common,LOC_DUNGEON_EVENT_INQUIRY_6,LOC_DUNGEON_EVENT_INQUIRY_PRESS_9,-1,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_8,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_8,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_8,LOC_NONE,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,None,,None,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,人鱼-询问口袋,,,,,,,,,,LOC_DUNGEON_EVENT_INQUIRY_PRESS_10,650,LOC_DUNGEON_EVENT_INQUIRY_EFFECTPREVIEW_9,LOC_DUNGEON_EVENT_INQUIRY_BEHAVIOR_9,,LOC_DUNGEON_EVENT_INQUIRY_RESULT_SUCCESS_9,LOC_DUNGEON_EVENT_INQUIRY_RESULT_FAILURE_7,DUNGEON_LIB_ITEMLIB_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,,0,0,0,0,0,0,0,0,0,0,,
,,人鱼-无视离开,,,,,,,,,,LOC_DUNGEON_EVENT_INQUIRY_PRESS_11,-1,LOC_NONE,LOC_NONE,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
