_ID,_VALUE,HeroLv:int[],HeroLvPower:int[],CharacterLvPower:int[],HeroEvolveStar:int[],HeroBasePower:int[],HeroStarRatio:decimal[],ScrollStrength:int[],ScrollBasePower:int[],ScrollStarRatio:decimal[],ScrollPointParam:decimal[],EquipmentLv:int[],EquipmentLvPower1:int[],EquipmentLvPower2:int[],EquipmentSuitsType:string[],EquipmentSuitsPower2:int[],EquipmentSuitsPower3:int[],EquipmentSuitsPower4:int[],SparMasterLv:int[],SparMasterPower:int[],SparLevel:int[],OrangePower:int[],PurplePower:int[],BluePower:int[],GreenPower:int[],SparRefine:int[],SparRefinePercentage:int[],SparRefinePower:int[],BadgeLevel:int[],BadgePowerType:string[],BadgePower:int[],HeroQualification:int[],HeroQualificationFactor:decimal[],ScrollQualification:int[],ScrollQualificationFactor:decimal[],ExclusiveLv:int[],ExclusiveBasePower:int[],EquipmentSuitsLv:int[],EquipmentSuitsPlusFactor:int[]
,,,,,,,,34,288,5.2,164.65,,,,,,,,,,35,8360,6270,4180,2925,,,,,,,,,,,,,,
,,,,,,,,35,288,5.2,186.01,,,,,,,,,,36,8700,6525,4350,3045,,,,,,,,,,,,,,
,,,,,,,,36,288,5.2,207.64,,,,,,,,,,37,9040,6780,4520,3160,,,,,,,,,,,,,,
,,,,,,,,37,288,5.2,237.54,,,,,,,,,,38,9380,7035,4690,3280,,,,,,,,,,,,,,
,,,,,,,,38,288,5.2,263.98,,,,,,,,,,39,9720,7290,4860,3400,,,,,,,,,,,,,,
,,,,,,,,39,288,5.2,303.28,,,,,,,,,,40,10055,7540,5025,3515,,,,,,,,,,,,,,
,,,,,,,,40,288,7.8,334.53,,,,,,,,,,41,10480,7860,5240,3665,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,42,10905,8175,5450,3815,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,43,11330,8495,5665,3965,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,44,11750,8810,5875,4110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,45,12175,9130,6085,4260,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,46,12600,9450,6300,4410,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,47,13025,9765,6510,4555,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,48,13445,10080,6720,4705,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,49,13870,10400,6935,4850,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,50,14295,10720,7145,5000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,51,14805,11100,7400,5180,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,52,15310,11480,7655,5355,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,53,15820,11865,7910,5535,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,54,16330,12245,8165,5715,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,55,16835,12625,8415,5890,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,56,17345,13005,8670,6070,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,57,17855,13390,8925,6245,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,58,18365,13770,9180,6425,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,59,18870,14150,9435,6600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,19380,14535,9690,6780,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,61,19975,14980,9985,6990,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,62,20565,15420,10280,7195,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,63,21160,15870,10580,7405,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,64,21755,16315,10875,7610,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,65,22345,16755,11170,7820,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,66,22940,17205,11470,8025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,67,23530,17645,11765,8235,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,68,24125,18090,12060,8440,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,69,24720,18540,12360,8650,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,70,25310,18980,12655,8855,,,,,,,,,,,,,,
