_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:int[],ConditionParam3:id[],ConditionParam4:string[],#Remark:string
SYSTEM_PARAM_FRIEND_BOSS_BOX,53,FriendBossBox,6000,,,,搜寻到铜宝箱的概率（万分比）
,,,3000,,,,搜寻到银宝箱的概率（万分比）
,,,1000,,,,搜寻到金宝箱的概率（万分比）
SYSTEM_PARAM_FRIEND_BOSS_KILL_REWARD_TIME,54,FriendBossKillRewardTime,3600,,,,好友BOSS击杀额外奖励有效时间（秒）
SYSTEM_PARAM_FRIEND_BOSS_KILL_REWARD_ADDITION,55,FriendBossKillRewardAddition,30,,,,好友BOSS有效时间击杀奖励加成（百分比）
SYSTEM_PARAM_FRIEND_BOSS_EMOTIONAL_VALUE,56,FriendBossEmotionalValue,10,,,,单次助战增加有情值点数
SYSTEM_PARAM_FRIEND_BOSS_RANKING_REWARD,57,FriendBossRankingReward,4,,ITEM_FRIENDSHIP_VOUCHER,,伤害排行榜奖励第一名
,,,3,,ITEM_FRIENDSHIP_VOUCHER,,伤害排行榜奖励第二名
,,,2,,ITEM_FRIENDSHIP_VOUCHER,,伤害排行榜奖励第三名
,,,1,,ITEM_FRIENDSHIP_VOUCHER,,伤害排行榜奖励非前三名
SYSTEM_PARAM_FRIEND_BOSS_REWARD_LIMIT,58,FriendBossRewardLimit,10,,ITEM_FRIENDSHIP_VOUCHER,,每个玩家每天最多获得魔神之卵上限
SYSTEM_PARAM_AUTO_BATTLE_RESOURCE_TIME,1001,AutoBattleResourceTime,5,,,,挂机基础资源间隔时间（秒）
SYSTEM_PARAM_AUTO_BATTLE_RESOURCE_SHOW_TIME,1002,AutoBattleResourceShowTime,60,,,,挂机基础资源显示用时间（秒）
SYSTEM_PARAM_AUTO_BATTLE_DROP_TIME,1003,AutoBattleDropTime,180,,,,挂机掉落组间隔时间（秒）
SYSTEM_PARAM_AUTO_BATTLE_DROP_TIME_LIMIT,1004,AutoBattleDropTimeLimit,43200,,,,挂机资源时间上限（秒）
SYSTEM_PARAM_AUTO_BATTLE_ACCELERATE,1005,AutoBattleAccelerate,2,,,,挂机加速时间（小时）
SYSTEM_PARAM_INTIMACY_CHALLENGE_MONSTER_LIMIT,1006,IntimacyChallengeMonsterLimit,60,,,,每日亲密度挑战值魔物基础上限
SYSTEM_PARAM_INTIMACY_CHALLENGE_PET_LIMIT,1007,IntimacyChallengePetLimit,20,,,,每日亲密度挑战值宠物基础上限
SYSTEM_PARAM_LOTTERY_MUST_SS_MONSTER_TIMES,1008,LotterySsMonsterTimes,25,,,,新号必出SS魔物所需的抽奖次数
SYSTEM_PARAM_LOTTERY_MUST_SS_SCROLL_TIMES,1009,LotterySsPetTimes,45,,,,新号必出SS宠物所需的抽奖次数
SYSTEM_PARAM_LOTTERY_HATCH_POINT_LIMIT,1010,LotteryHatchPointLimit,3000,,,,积分累计上限
SYSTEM_PARAM_LOTTERY_FREE_CD,1011,LotteryFreeCd,79200,,,,免费单抽CD时间/秒
SYSTEM_PARAM_MONSTER_BOX_LIMIT,1012,,500,,,,魔物背包数量上限
SYSTEM_PARAM_SCROLL_CONVERSION,1013,PetConversion,30,,RARITY_TYPE_BLUE,,宠物整卡转化碎片
,,,30,,RARITY_TYPE_PURPLE,,
,,,30,,RARITY_TYPE_ORANGE,,
SYSTEM_PARAM_LOVE_LINK_UNLOCK_INTIMACY_LEVEL,1014,LoveLinkUnlockIntimacyLevel,25,,,,爱的羁绊亲密度解锁等级
SYSTEM_PARAM_LOTTERY_HATCH_POINT_COST,1015,LotteryHatchPointCost,500,,,,积分抽奖消耗
SYSTEM_PARAM_SUBSTITUTION_CARD_NUM,1016,SubstitutionCardNum,6,,,,置换消耗卡牌数量
SYSTEM_PARAM_SUBSTITUTION_ITEM_NUM,1017,SubstitutionItemNum,20,,ITEM_SOUL_WHISPER,,置换消耗道具数量和id
SYSTEM_PARAM_FRIENDSHIP_GIFT_NUMBER,1018,FriendshipGiftNumber,10,,ITEM_FRIENDSHIP_POINT,,好友单次赠送道具及数量
SYSTEM_PARAM_FRIENDSHIP_DAY_NUMBER,1019,FriendshipDayNumber,30,,,,好友单日可领取次数
SYSTEM_PARAM_FRIENDSHIP_PEOPLE_NUMBER,1020,FriendshipPeopleNumber,30,,,,好友列表人数上限
SYSTEM_PARAM_BLOCKLIST_PEOPLE_NUMBER,1021,BlocklistPeopleNumber,50,,,,屏蔽列表人数上限
SYSTEM_PARAM_CHAT_ROOM_ID_MIN,1022,ChatRoomIdMin,1,,,,
SYSTEM_PARAM_CHAT_ROOM_ID_MAX,1023,ChatRoomIdMax,500,,,,
SYSTEM_PARAM_ADVENTURE_ACC_CONSUME,1024,AdventureAccConsume,1,,ITEM_ACC_POTION,,挂机加速消耗道具及数量
SYSTEM_PARAM_OWN_MONSTER_MAX,1025,OwnMonsterMax,500,,,,玩家拥有的最大魔物数量
SYSTEM_PARAM_ONLINE_ADVENTURE_BONUS,1026,OnlineAdventureBonus,1000,,,,在线时挂机额外收益（万分比）
SYSTEN_PARAM_SUMMONER_JOUNERY_GOAL_NUM,1027,SummonerJourneyGoalNum,50,,,,最强召唤师之路计算分母
SYSTEN_PARAM_FIRST_HATCH_CD,1028,FirstHatchCD,3600,,,,首次单抽倒计时（秒）
SYSTEM_PARAM_SUPREME_GIFT_ICON,1029,ICON_GiftBox_4_L,,,,,卡普拉补给包icon
SYSTEM_PARAM_FINGER_GUIDE_SHOW_LV,1030,FingerGuideShowLv,1,13,,,13级之前，非强制手指指向波利
SYSTEM_PARAM_INTIMACY_FOOD_GIFT,1031,IntimacyFoodGift,5,,ITEM_FOOD_APPLE,,29级亲密度引导结束后发进背包
,,,5,,ITEM_FOOD_BANANA,,
,,,5,,ITEM_FOOD_GRAPE,,
SYSTEM_PARAM_BATTLE_RANK_OPEN_TIME,1032,BattleRankOpenTime,43200,50400,,,召唤师竞技开放时间
,,,68400,75600,,,
SYSTEM_PARAM_ARENA_POWER_PARAM_1,1033,ArenaPowerParam1,300,,,,竞技场比值参数（百分比）
SYSTEM_PARAM_ARENA_POWER_PARAM_2,1034,ArenaPowerParam2,100000,,,,竞技场不计算参数（战力值）
SYSTEM_PARAM_CORPS_NEW_REWARD_TIPS,1035,CorpsNewRewardTips,80,,,,单人爬塔特殊奖励解锁层数红字提示
SYSTEM_PARAM_CHALLENGE_CAMERA,1036,,269,,,,主城点击挑战时，镜头移动的坐标*100
,,,630,,,,
,,,-1270,,,,
SYSTEM_PARAM_MAX_CRIT_DAMAEGE,1037,MaxCritDamage,25000,,,,最大附加暴击伤害（万分比）
SYSTEM_PARAM_IS_OPEN_PINNACLE,1038,IsOpenPinnacle,1,,,,巅峰竞技是否开启
SYSTEM_PARAM_IS_OPEN_GEFFEN_BONUS,1039,IsOpenGeffenBonus,1,,,,是否开启吉芬塔加成
SYSTEM_PARAM_OPEN_PINNACLE_TIME,1040,OpenPinnacleTime,,,,2020-03-16,巅峰竞技开启日期
,,,,,,05:00:00,巅峰竞技开启时间
SYSTEM_PARAM_EXCLUSIVE_WASH_NUMBER,1041,ExclusiveWashNumber,1,100,,,专属洗练条目数权重
,,,2,500,,,
,,,3,200,,,
SYSTEM_PARAM_EXCLUSIVE_WASH_PARAM,1042,ExclusiveWashParam,9,,,,专属洗练N次后使用新权重
SYSTEM_PARAM_OPEN_WEB_CUMMUNITY,1043,OpenWebCummunity,999,,,,韩服社区网页自动弹出最低等级
SYSTEM_PARAM_DICE_ACRIVITY_TICKET_ID,1044,DiceActivityTicket,,,ITEM_DICE_TICKET,,骰子活动的骰子券ID
SYSTEM_PARAM_DICE_ACHIEVE_ACRIVITY_TICKET_ID,1045,DiceAchieveActivity,,,ITEM_DICE_ACHIEVE_TICKET,,成就骰子活动的骰子券ID
SYSTEM_PARAM_DICE_ACHIEVE_ACRIVITY_OPEN_TIME,1046,DiceAchieveActivity,604800,1814400,,,成就骰子活动账号创建后多久开启和持续时间
SYSTEM_PARAM_DICE_ACHIEVE_ACRIVITY_NAME,1047,DiceAchieveActivity,,,,LOC_ACTIVITY_DICE_ACHIEVE_NAME,成就骰子活动的名字
SYSTEM_PARAM_INTIMACY_CHALLENGE_ADD_LIMIT,1048,IntimacyChallengeAddLimit,10,80,,,玩家等级对应增加亲密度挑战值
,,,20,100,,,玩家等级对应增加亲密度挑战值
,,,40,120,,,玩家等级对应增加亲密度挑战值
SYSTEM_PARAM_EXCLUSIVE_AND_PET_SHOP_VERSION,1049,ExclusiveAndPetShopVersion,2,,,,每次更新专属商店或者宠物商店这个值要变化
SYSTEM_PARAM_LOTTERY_NOVICE_POOL,1050,LotteryNovicePool,5,,,,新手池抽取次数限定
