_ID,_VALUE,Theme:int,MapTitleLoc:loc,AutoGenerateTemplate:id,ManualGenerateTemplate:id,ArtTemplate:id,MapEffect:id[]
DUNGEON_MAP_031,11011,1,LOC_DUNGEON_MAP_NAME_1_31,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_009,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_032,11012,1,LOC_DUNGEON_MAP_NAME_1_32,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_010,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_033,11013,1,LOC_DUNGEON_MAP_NAME_1_33,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_011,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_034,11014,1,LOC_DUNGEON_MAP_NAME_1_34,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_012,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_035,11015,1,LOC_DUNGEON_MAP_NAME_1_35,,DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_007,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_036,11016,1,LOC_DUNGEON_MAP_NAME_1_36,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_013,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_037,11017,1,LOC_DUNGEON_MAP_NAME_1_37,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_014,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_038,11018,1,LOC_DUNGEON_MAP_NAME_1_38,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_015,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_039,11019,1,LOC_DUNGEON_MAP_NAME_1_39,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_016,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_040,11020,1,LOC_DUNGEON_MAP_NAME_1_40,,DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_009,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_DESERT_001,20001,2,LOC_DUNGEON_MAP_NAME_1_1,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_001,,DUNGEON_ART_TEMPLATE_002,DUNGEON_EFFECT_ITEM_HPREDUCE_8
DUNGEON_MAP_DESERT_002,20002,2,LOC_DUNGEON_MAP_NAME_1_2,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_002,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_003,20003,2,LOC_DUNGEON_MAP_NAME_1_3,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_003,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_004,20004,2,LOC_DUNGEON_MAP_NAME_1_4,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_004,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_005,20005,2,LOC_DUNGEON_MAP_NAME_1_5,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_001,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_006,20006,2,LOC_DUNGEON_MAP_NAME_1_6,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_005,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_007,20007,2,LOC_DUNGEON_MAP_NAME_1_7,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_006,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_008,20008,2,LOC_DUNGEON_MAP_NAME_1_8,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_007,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_009,20009,2,LOC_DUNGEON_MAP_NAME_1_9,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_008,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_010,20010,2,LOC_DUNGEON_MAP_NAME_1_10,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_002,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_011,20011,2,LOC_DUNGEON_MAP_NAME_1_11,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_009,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_012,20012,2,LOC_DUNGEON_MAP_NAME_1_12,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_010,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_013,20013,2,LOC_DUNGEON_MAP_NAME_1_13,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_011,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_014,20014,2,LOC_DUNGEON_MAP_NAME_1_14,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_012,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_015,20015,2,LOC_DUNGEON_MAP_NAME_1_15,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_003,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_016,20016,2,LOC_DUNGEON_MAP_NAME_1_16,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_013,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_017,20017,2,LOC_DUNGEON_MAP_NAME_1_17,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_014,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_018,20018,2,LOC_DUNGEON_MAP_NAME_1_18,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_015,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_019,20019,2,LOC_DUNGEON_MAP_NAME_1_19,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_ORDINARY_016,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_020,20020,2,LOC_DUNGEON_MAP_NAME_1_20,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_004,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_021,21001,2,LOC_DUNGEON_MAP_NAME_1_21,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_001,,DUNGEON_ART_TEMPLATE_002,DUNGEON_EFFECT_ITEM_HPREDUCE_8
DUNGEON_MAP_DESERT_022,21002,2,LOC_DUNGEON_MAP_NAME_1_22,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_002,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_023,21003,2,LOC_DUNGEON_MAP_NAME_1_23,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_003,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_024,21004,2,LOC_DUNGEON_MAP_NAME_1_24,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_004,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_025,21005,2,LOC_DUNGEON_MAP_NAME_1_25,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_001,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_026,21006,2,LOC_DUNGEON_MAP_NAME_1_26,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_005,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_027,21007,2,LOC_DUNGEON_MAP_NAME_1_27,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_006,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_028,21008,2,LOC_DUNGEON_MAP_NAME_1_28,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_007,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_029,21009,2,LOC_DUNGEON_MAP_NAME_1_29,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_008,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_030,21010,2,LOC_DUNGEON_MAP_NAME_1_30,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_002,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_031,21011,2,LOC_DUNGEON_MAP_NAME_1_31,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_009,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_032,21012,2,LOC_DUNGEON_MAP_NAME_1_32,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_010,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_033,21013,2,LOC_DUNGEON_MAP_NAME_1_33,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_011,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_034,21014,2,LOC_DUNGEON_MAP_NAME_1_34,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_012,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_035,21015,2,LOC_DUNGEON_MAP_NAME_1_35,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_003,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_036,21016,2,LOC_DUNGEON_MAP_NAME_1_36,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_013,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_037,21017,2,LOC_DUNGEON_MAP_NAME_1_37,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_014,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_038,21018,2,LOC_DUNGEON_MAP_NAME_1_38,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_015,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_039,21019,2,LOC_DUNGEON_MAP_NAME_1_39,DUNGEON_AUTO_GENERATE_DESERT_TEMPLATE_INFERNAL_016,,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_DESERT_040,21020,2,LOC_DUNGEON_MAP_NAME_1_40,,DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_004,DUNGEON_ART_TEMPLATE_002,
DUNGEON_MAP_GLACIER_001,30001,3,LOC_DUNGEON_MAP_NAME_1_1,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_001,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_002,30002,3,LOC_DUNGEON_MAP_NAME_1_2,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_002,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_003,30003,3,LOC_DUNGEON_MAP_NAME_1_3,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_003,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_004,30004,3,LOC_DUNGEON_MAP_NAME_1_4,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_004,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_005,30005,3,LOC_DUNGEON_MAP_NAME_1_5,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_001,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_006,30006,3,LOC_DUNGEON_MAP_NAME_1_6,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_005,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_007,30007,3,LOC_DUNGEON_MAP_NAME_1_7,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_006,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_008,30008,3,LOC_DUNGEON_MAP_NAME_1_8,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_007,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_009,30009,3,LOC_DUNGEON_MAP_NAME_1_9,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_008,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_010,30010,3,LOC_DUNGEON_MAP_NAME_1_10,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_002,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_011,30011,3,LOC_DUNGEON_MAP_NAME_1_11,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_009,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_012,30012,3,LOC_DUNGEON_MAP_NAME_1_12,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_010,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_013,30013,3,LOC_DUNGEON_MAP_NAME_1_13,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_011,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_014,30014,3,LOC_DUNGEON_MAP_NAME_1_14,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_012,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_015,30015,3,LOC_DUNGEON_MAP_NAME_1_15,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_003,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_016,30016,3,LOC_DUNGEON_MAP_NAME_1_16,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_013,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_017,30017,3,LOC_DUNGEON_MAP_NAME_1_17,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_014,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_018,30018,3,LOC_DUNGEON_MAP_NAME_1_18,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_015,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_019,30019,3,LOC_DUNGEON_MAP_NAME_1_19,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_ORDINARY_016,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_020,30020,3,LOC_DUNGEON_MAP_NAME_1_20,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_ORDINARY_004,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_021,31001,3,LOC_DUNGEON_MAP_NAME_1_21,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_001,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_022,31002,3,LOC_DUNGEON_MAP_NAME_1_22,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_002,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_023,31003,3,LOC_DUNGEON_MAP_NAME_1_23,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_003,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_024,31004,3,LOC_DUNGEON_MAP_NAME_1_24,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_004,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_025,31005,3,LOC_DUNGEON_MAP_NAME_1_25,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_001,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_026,31006,3,LOC_DUNGEON_MAP_NAME_1_26,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_005,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_027,31007,3,LOC_DUNGEON_MAP_NAME_1_27,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_006,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_028,31008,3,LOC_DUNGEON_MAP_NAME_1_28,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_007,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_029,31009,3,LOC_DUNGEON_MAP_NAME_1_29,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_008,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_030,31010,3,LOC_DUNGEON_MAP_NAME_1_30,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_002,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_031,31011,3,LOC_DUNGEON_MAP_NAME_1_31,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_009,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_032,31012,3,LOC_DUNGEON_MAP_NAME_1_32,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_010,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_033,31013,3,LOC_DUNGEON_MAP_NAME_1_33,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_011,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_034,31014,3,LOC_DUNGEON_MAP_NAME_1_34,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_012,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_035,31015,3,LOC_DUNGEON_MAP_NAME_1_35,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_003,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_036,31016,3,LOC_DUNGEON_MAP_NAME_1_36,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_013,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_037,31017,3,LOC_DUNGEON_MAP_NAME_1_37,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_014,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_038,31018,3,LOC_DUNGEON_MAP_NAME_1_38,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_015,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_039,31019,3,LOC_DUNGEON_MAP_NAME_1_39,DUNGEON_AUTO_GENERATE_GLACIER_TEMPLATE_INFERNAL_016,,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_GLACIER_040,31020,3,LOC_DUNGEON_MAP_NAME_1_40,,DUNGEON_GLACIER_MANUAL_GENERATE_TEMPLATE_INFERNAL_004,DUNGEON_ART_TEMPLATE_003,
DUNGEON_MAP_MAGICFOREST_001,40001,4,LOC_DUNGEON_MAP_NAME_1_1,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_001,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_002,40002,4,LOC_DUNGEON_MAP_NAME_1_2,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_002,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_003,40003,4,LOC_DUNGEON_MAP_NAME_1_3,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_003,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_004,40004,4,LOC_DUNGEON_MAP_NAME_1_4,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_004,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_005,40005,4,LOC_DUNGEON_MAP_NAME_1_5,,DUNGEON_MAGICFOREST_MANUAL_GENERATE_TEMPLATE_ORDINARY_001,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_006,40006,4,LOC_DUNGEON_MAP_NAME_1_6,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_005,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_007,40007,4,LOC_DUNGEON_MAP_NAME_1_7,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_006,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_008,40008,4,LOC_DUNGEON_MAP_NAME_1_8,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_007,,DUNGEON_ART_TEMPLATE_004,
DUNGEON_MAP_MAGICFOREST_009,40009,4,LOC_DUNGEON_MAP_NAME_1_9,DUNGEON_AUTO_GENERATE_MAGICFOREST_TEMPLATE_ORDINARY_008,,DUNGEON_ART_TEMPLATE_004,
