_ID,_VALUE,TechnologyType:string,Icon:string,Sort:int,UnlockParam:int,LevelupCondition:id,AttributeTarget:string[],Type:string[],AttrType:string[],AttrBuffType:string[],AttrNum:obsint[],AttrGrowthNum:obsint[],AttrDes:loc[],Power:int[],PowerGrowth:int[]
ALCHEMY_TECHNOLOGY_205,205,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_206,206,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,Damage,Percentage,120,120,LOC_TECHNOLOGY_ATTR_DES_CORPS_DAMAGE,39,39
,,,,,,,corps,Attribute,Magic,Percentage,120,120,LOC_TECHNOLOGY_ATTR_DES_CORPS_MAGIC,0,0
ALCHEMY_TECHNOLOGY_301,301,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_302,302,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_303,303,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_304,304,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
ALCHEMY_TECHNOLOGY_305,305,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_306,306,ELEMENT_TYPE_EARTH,icon_Alchemy_Skill_Earth_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,PhysicalHurt,Percentage,-150,-150,LOC_TECHNOLOGY_ATTR_DES_CORPS_PHYSICAL_HURT,39,39
ALCHEMY_TECHNOLOGY_401,401,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_402,402,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_403,403,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_404,404,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
ALCHEMY_TECHNOLOGY_405,405,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_406,406,ELEMENT_TYPE_FIRE,icon_Alchemy_Skill_Fire_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,PhysicalAttack,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CORPS_PHYSICAL_ATTACK,39,39
,,,,,,,corps,Attribute,MagicalAttack,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CORPS_MAGICAL_ATTACK,0,0
ALCHEMY_TECHNOLOGY_501,501,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_502,502,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_503,503,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_504,504,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
ALCHEMY_TECHNOLOGY_505,505,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_506,506,ELEMENT_TYPE_HOLY,icon_Alchemy_Skill_Light_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,MagicalHurt,Percentage,-150,-150,LOC_TECHNOLOGY_ATTR_DES_CORPS_MAGICAL_HURT,39,39
ALCHEMY_TECHNOLOGY_601,601,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_602,602,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_603,603,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_604,604,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
ALCHEMY_TECHNOLOGY_605,605,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_606,606,ELEMENT_TYPE_DARK,icon_Alchemy_Skill_Dark_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,CriticalHit,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CORPS_CRITICAL_HIT,39,39
ALCHEMY_TECHNOLOGY_701,701,RANK_TYPE_S,icon_Alchemy_Skill_S_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_401,character,Attribute,HP,Percentage,60,60,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,20,20
ALCHEMY_TECHNOLOGY_702,702,RANK_TYPE_S,icon_Alchemy_Skill_S_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_402,character,Attribute,Armor,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_ARMOR,18,18
,,,,,,,character,Attribute,MagicDef,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC_DEF,0,0
ALCHEMY_TECHNOLOGY_703,703,RANK_TYPE_S,icon_Alchemy_Skill_S_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_403,corps,Attribute,Cured,Percentage,150,150,LOC_TECHNOLOGY_ATTR_DES_CORPS_CURED,10,10
ALCHEMY_TECHNOLOGY_704,704,RANK_TYPE_S,icon_Alchemy_Skill_S_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_404,hero,Attribute,HP,Percentage,40,40,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,13,13
ALCHEMY_TECHNOLOGY_705,705,RANK_TYPE_S,icon_Alchemy_Skill_S_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_405,corps,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,26,26
ALCHEMY_TECHNOLOGY_706,706,RANK_TYPE_S,icon_Alchemy_Skill_S_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_EPIC_406,hero,Attribute,Damage,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,26,26
,,,,,,,hero,Attribute,Magic,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_801,801,RANK_TYPE_SS,icon_Alchemy_Skill_SS_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_301,character,Attribute,HP,Percentage,60,60,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,20,20
ALCHEMY_TECHNOLOGY_802,802,RANK_TYPE_SS,icon_Alchemy_Skill_SS_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_302,character,Attribute,Armor,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_ARMOR,18,18
,,,,,,,character,Attribute,MagicDef,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC_DEF,0,0
ALCHEMY_TECHNOLOGY_803,803,RANK_TYPE_SS,icon_Alchemy_Skill_SS_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_303,corps,Attribute,Cured,Percentage,150,150,LOC_TECHNOLOGY_ATTR_DES_CORPS_CURED,10,10
ALCHEMY_TECHNOLOGY_804,804,RANK_TYPE_SS,icon_Alchemy_Skill_SS_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_304,hero,Attribute,HP,Percentage,40,40,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,13,13
ALCHEMY_TECHNOLOGY_805,805,RANK_TYPE_SS,icon_Alchemy_Skill_SS_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_305,corps,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,26,26
ALCHEMY_TECHNOLOGY_806,806,RANK_TYPE_SS,icon_Alchemy_Skill_SS_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_306,hero,Attribute,Damage,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,26,26
,,,,,,,hero,Attribute,Magic,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
