_ID,_VALUE,#Name:string,AttackFrame:int[],TotalAttackFrame:int[],CastSkillBeginSlowTick:int,CastSkillEndSlowTick:int,CastSkillTick:int,CastSkillTotalTick:int,CastNexusTick:int,RandomValue:int
ANIMATION_RETINUE_DRAKE,38,海盗之王P,11,26,0,0,32,53,2,8
,,,14,31,,,,,,
ANIMATION_GRYPHON,39,狮鹫,9,21,0,0,9,21,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GRYPHON,40,狮鹫P,9,21,0,0,9,21,2,8
,,,,,,,,,,
ANIMATION_MONKEY,41,猴子无用,15,24,0,0,15,24,2,8
,,,,,,,,,,
ANIMATION_PORING_GHOST,42,幽灵波利,17,36,0,0,17,36,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GHOSTRING,43,幽灵波利P,17,36,0,0,17,36,2,8
,,,,,,,,,,
ANIMATION_RABBIT,44,疯兔无用,13,26,0,0,13,26,2,8
,,,,,,,,,,
ANIMATION_TAO_GUNKA,45,塔奥群卡和树人,17,29,0,0,17,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_TAO_GUNKA,46,塔奥群卡和树人P,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_ALICE,47,爱丽丝女仆,10,34,0,0,10,34,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ALICE,48,爱丽丝女仆P,10,34,0,0,10,34,2,8
,,,,,,,,,,
ANIMATION_RANDGRIS,49,巴基力,12,20,0,0,10,19,2,8
,,,,,,,,,,
ANIMATION_RETINUE_G_RANDGRIS,50,巴基力P,12,20,0,0,10,19,2,8
,,,,,,,,,,
ANIMATION_DEVILING,51,恶魔波利,20,40,0,0,5,93,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DEVILING,52,恶魔波利P,20,40,0,0,5,93,2,8
,,,,,,,,,,
ANIMATION_LOLI_RURI,53,银月魔女,13,23,0,0,9,26,2,8
,,,,,,,,,,
ANIMATION_RETINUE_LOLI_RURI,54,银月魔女P,13,23,0,0,9,26,2,8
,,,,,,,,,,
ANIMATION_OSIRIS,55,俄塞里斯,8,16,0,0,18,36,2,8
,,,10,19,,,,,,
ANIMATION_RETINUE_OSIRIS,56,俄塞里斯P,8,16,0,0,32,36,2,8
,,,10,19,,,,,,
ANIMATION_GOLDEN_BUG,57,黄金虫,27,46,0,0,11,15,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GOLDEN_BUG,58,黄金虫P,27,46,0,0,11,15,2,8
,,,,,,,,,,
ANIMATION_MISTRESS,59,蜂后,11,21,0,0,8,22,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MISTRESS,60,蜂后P,11,21,0,0,8,22,2,8
,,,,,,,,,,
ANIMATION_ORC_HERO,61,兽人英雄,10,20,0,0,9,23,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ORK_HERO,62,兽人英雄P,10,20,0,0,9,23,2,8
,,,,,,,,,,
ANIMATION_LEIB_OLMAI,63,狂暴大脚熊,7,25,0,0,12,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_LEIB_OLMAI,64,狂暴大脚熊P,7,25,0,0,12,29,2,8
,,,,,,,,,,
ANIMATION_GOBLIN_LEADER,65,哥布林首领,9,19,0,0,12,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GOBLIN_LEADER,66,哥布林首领P,9,19,0,0,12,29,2,8
,,,,,,,,,,
ANIMATION_BAPHOMET,67,巴风特,21,37,0,0,22,42,2,8
,,,9,25,,,,,,
ANIMATION_BAPHOMET_S,68,巴风特P,4,21,0,0,4,21,2,8
,,,,,,,,,,
ANIMATION_JAKK,69,南瓜先生,10,25,0,0,10,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_JAKK,70,南瓜先生P,10,25,0,0,10,25,2,8
,,,,,,,,,,
ANIMATION_SOHEE,71,鬼女,11,20,0,0,11,20,2,8
,,,,,,,,,,
ANIMATION_RETINUE_SOHEE,72,鬼女P,11,20,0,0,11,20,2,8
,,,,,,,,,,
ANIMATION_MARC,73,马克,23,33,0,0,23,33,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MARC,74,马克P,23,33,0,0,23,33,2,8
,,,,,,,,,,
ANIMATION_OBEAUNE,75,人鱼,9,20,0,0,9,20,2,8
,,,,,,,,,,
ANIMATION_RETINUE_OBEAUNE,76,人鱼P,9,20,0,0,9,20,2,8
,,,,,,,,,,
ANIMATION_MASTERING,77,波利之王,7,12,0,0,7,12,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MASTERING,78,波利之王P,7,12,0,0,7,12,2,8
,,,,,,,,,,
ANIMATION_BARTLEY,79,初心者巴特莱,15,30,0,0,15,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_BARTLEY,80,初心者巴特莱P,15,30,0,0,15,30,2,8
,,,,,,,,,,
ANIMATION_ANGELING,81,天使波利,20,35,0,0,30,60,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ANGELING,82,天使波利P,20,35,0,0,30,60,2,8
,,,,,,,,,,
ANIMATION_MAGALETA,83,神官玛嘉雷特,12,21,0,0,27,54,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MAGALETA,84,神官玛嘉雷特P,12,21,0,0,27,54,2,8
,,,,,,,,,,
ANIMATION_ORC_LORD,85,兽人酋长,5,20,0,0,5,45,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ORC_LORD,86,兽人酋长P,17,36,0,0,17,36,2,8
,,,,,,,,,,
ANIMATION_WHISPER_BOSS,87,巨大白幽灵,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_WHISPER_BOSS,88,巨大白幽灵P,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_HIGH_ORC,89,兽人战士长,8,25,0,0,8,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_HIGH_ORC,90,兽人战士长P,8,25,0,0,8,25,2,8
,,,,,,,,,,
ANIMATION_G_RANDEL,91,圣殿十字军兰达,10,30,0,0,11,35,2,8
,,,,,,,,,,
ANIMATION_RETINUE_G_RANDEL,92,圣殿十字军兰达P,10,30,0,0,11,35,2,8
,,,,,,,,,,
ANIMATION_DALEME,93,服事黛儿蜜,26,49,0,0,26,49,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DALEME,94,服事黛儿蜜P,26,49,0,0,26,49,2,8
,,,,,,,,,,
ANIMATION_RAYDRIC,95,幽灵剑士,9,25,0,0,9,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_RAYDRIC,96,幽灵剑士P,9,25,0,0,9,25,2,8
,,,,,,,,,,
ANIMATION_MUMMY,97,木乃伊,6,15,0,0,28,35,2,8
,,,8,18,,,,,,
ANIMATION_RETINUE_MUMMY,98,木乃伊P,6,15,0,0,28,35,2,8
,,,8,18,,,,,,
ANIMATION_PHREEONI,99,皮里恩,8,26,0,0,8,31,2,8
,,,,,,,,,,
ANIMATION_RETINUE_PHREEONI,100,皮里恩P,8,26,0,0,8,31,2,8
,,,,,,,,,,
ANIMATION_OWL_BARON,101,鹗枭男爵,15,31,0,0,15,31,2,8
,,,,,,,,,,
ANIMATION_RETINUE_OWL_BARON,102,鹗枭男爵P,15,31,0,0,15,31,2,8
,,,,,,,,,,
ANIMATION_MOONLIGHT,103,月夜猫,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MOONLIGHT,104,月夜猫P,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_KOBOLD_LEADER,105,犬妖首领,15,29,0,0,15,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_KOBOLD_LEADER,106,犬妖首领P,15,29,0,0,15,29,2,8
,,,,,,,,,,
ANIMATION_NIGHTMARE,107,梦魇,15,25,0,0,15,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_NIGHTMARE,108,梦魇P,15,25,0,0,15,25,2,8
,,,,,,,,,,
ANIMATION_MAYA,109,蚁后,10,22,0,0,13,24,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MAYA,110,蚁后P,7,15,0,0,7,15,2,8
,,,,,,,,,,
ANIMATION_HELENA,111,剑士（女）海伦娜,10,30,0,0,10,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_HELENA,112,剑士（女）海伦娜P,10,30,0,0,10,30,2,8
,,,,,,,,,,
ANIMATION_BON_GUN,113,妖道,9,19,0,0,9,19,2,8
,,,,,,,,,,
ANIMATION_RETINUE_BON_GUN,114,妖道的僵尸P,9,19,0,0,9,19,2,8
,,,,,,,,,,
ANIMATION_ANTONIO,115,邪恶老公公,9,29,0,0,9,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ANTONIO,116,邪恶老公公P,9,29,0,0,9,29,2,8
,,,,,,,,,,
ANIMATION_NIGHTMARE_TERROR,117,七彩梦魇,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_NIGHTMARE_TERROR,118,七彩梦魇P,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_KOBOLD_ARCHER,119,犬妖弓箭手,13,25,0,0,13,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_KOBOLD_ARCHER,120,犬妖弓箭手P,13,25,0,0,13,25,2,8
,,,,,,,,,,
ANIMATION_TURTLE_GENERA,121,乌龟将军,8,20,0,0,8,20,2,8
,,,,,,,,,,
ANIMATION_RETINUE_TURTLE_GENERAL,122,乌龟将军P,8,20,0,0,8,20,2,8
,,,,,,,,,,
ANIMATION_TYRRHENIA,123,初心者（女）塞尼亚,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_TYRRHENIA,124,初心者（女）塞尼亚P,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_PETIT,125,毕帝特地龙,8,16,0,0,22,33,2,8
,,,,,,,,,,
ANIMATION_RETINUE_PETIT,126,毕帝特地龙P,8,16,0,0,22,33,2,8
,,,,,,,,,,
ANIMATION_ISSUS,127,剑士（男）伊瑟斯,10,30,0,0,10,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ISSUS,128,剑士（男）伊瑟斯P,10,30,0,0,10,30,2,8
,,,,,,,,,,
ANIMATION_HAROLD,129,盗贼（男）哈罗德,9,21,0,0,9,21,2,8
,,,,,,,,,,
ANIMATION_RETINUE_HAROLD,130,盗贼（男）哈罗德P,9,21,0,0,9,21,2,8
,,,,,,,,,,
ANIMATION_DELETER,131,七彩地龙,8,16,0,0,22,33,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DELETER,132,七彩地龙P,8,16,0,0,22,33,2,8
,,,,,,,,,,
ANIMATION_KOBOLD_3,133,-----刺锤犬妖-----,16,29,0,0,16,29,2,8
,,,,,,,,,,
ANIMATION_RETINUE_KOBOLD_3,134,刺锤犬妖P,16,29,0,0,16,29,2,8
,,,,,,,,,,
ANIMATION_GOBLIN_2,135,链锤哥布灵,20,30,0,0,20,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GOBLIN_2,136,链锤哥布灵P,20,30,0,0,20,30,2,8
,,,,,,,,,,
ANIMATION_GOBLIN_1,137,刺刀哥布林,12,28,0,0,12,28,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GOBLIN_1,138,刺刀哥布林P,12,28,0,0,12,28,2,8
,,,,,,,,,,
ANIMATION_VAGABOND_WOLF,139,狼王流浪之狼,10,26,0,0,10,26,2,8
,,,,,,,,,,
ANIMATION_RETINUE_VAGABOND_WOLF,140,狼王流浪之狼P,10,26,0,0,10,26,2,8
,,,,,,,,,,
ANIMATION_MINOROUS,141,米洛斯,12,25,0,0,12,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MINOROUS,142,米洛斯P,12,25,0,0,12,25,2,8
,,,,,,,,,,
ANIMATION_DEVIRUCHI,143,小恶魔,12,24,0,0,12,33,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DEVIRUCHI,144,小恶魔P,12,24,0,0,12,33,2,8
,,,,,,,,,,
ANIMATION_VANESSA,145,弓箭手（女）温妮莎,11,19,0,0,11,19,2,8
,,,,,,,,,,
ANIMATION_RETINUE_VANESSA,146,弓箭手（女）温妮莎P,11,19,0,0,11,19,2,8
,,,,,,,,,,
ANIMATION_GIORGILI,147,魔法师（女）乔吉莉,17,30,0,0,17,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_GIORGILI,148,魔法师（女）乔吉莉P,17,30,0,0,17,30,2,8
,,,,,,,,,,
ANIMATION_DARK_ILLUSION,149,迷幻之王,9,25,0,0,9,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DARK_ILLUSION,150,迷幻之王P,9,25,0,0,9,25,2,8
,,,,,,,,,,
ANIMATION_ATROCE,151,阿特罗斯,12,25,0,0,12,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_ATROCE,152,阿特罗斯P,12,25,0,0,12,25,2,8
,,,,,,,,,,
ANIMATION_WANDER_MAN,153,邪骸浪人,8,25,0,0,8,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_WANDER_MAN,154,邪骸浪人P,8,25,0,0,8,25,2,8
,,,,,,,,,,
ANIMATION_MINI_DEMON,155,狂暴小恶魔,13,25,0,0,17,27,2,8
,,,,,,,,,,
ANIMATION_RETINUE_MINI_DEMON,156,狂暴小恶魔P,13,25,0,0,17,27,2,8
,,,,,,,,,,
ANIMATION_DARK_LORD,157,黑暗之王,14,33,0,0,14,33,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DARK_LORD,158,黑暗之王P,14,33,0,0,14,33,2,8
,,,,,,,,,,
ANIMATION_EDDGA,159,虎王,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_EDDGA,160,虎王P,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_DOPPELGANGER,161,死灵,10,22,0,0,12,27,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DOPPELGANGER,162,死灵P,10,22,0,0,12,27,2,8
,,,,,,,,,,
ANIMATION_GARM,163,卡仑-流浪之狼,13,25,0,0,13,25,2,8
,,,,,,,,,,
ANIMATION_CAT_O_NINE_TAIL,164,狂暴月夜猫,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_RETINUE_CAT_O_NINE_TAIL,165,狂暴月夜猫P,13,30,0,0,13,30,2,8
,,,,,,,,,,
ANIMATION_SEYREN,166,骑士领主赛依连,10,25,0,0,10,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_SEYREN,167,骑士领主赛依连P,10,25,0,0,10,25,2,8
,,,,,,,,,,
ANIMATION_SHECI,168,神射手迪文,12,19,0,0,32,49,2,8
,,,,,,,,,,
ANIMATION_RETINUE_SHECI,169,神射手迪文P,12,19,0,0,32,49,2,8
,,,,,,,,,,
ANIMATION_G_EREMES,170,十字刺客艾勒梅斯,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_G_EREMES,171,十字刺客艾勒梅斯P,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_G_KATRINN,172,超魔导师凯特莉娜,7,25,0,0,7,25,2,8
,,,,,,,,,,
ANIMATION_RETINUE_G_KATRINN,173,超魔导师凯特莉娜P,7,25,0,0,7,25,2,8
,,,,,,,,,,
ANIMATION_EGGYRA,175,转转蛋,13,20,0,0,13,20,2,8
,,,,,,,,,,
ANIMATION_CROW,176,召唤物-乌鸦,10,20,0,0,13,20,2,8
,,,,,,,,,,
ANIMATION_MIMIC,177,邪恶箱,7,15,0,0,7,15,2,8
,,,,,,,,,,
ANIMATION_BOSS_MAYA,178,蚁后,10,22,0,0,13,24,2,8
ANIMATION_BOSS_ORC_HERO,179,兽人英雄,10,20,0,0,9,23,2,8
ANIMATION_BOSS_HIGH_ORC,180,兽人战士长,8,25,0,0,8,25,2,8
ANIMATION_BOSS_RANDGRIS,181,巴基力,12,20,0,0,10,19,2,8
ANIMATION_BOSS_GARM,182,卡仑-流浪之狼,11,17,0,0,13,25,2,8
ANIMATION_BOSS_BAPHOMET,183,boss巴风特,16,33,0,0,16,33,2,8
ANIMATION_DARK_SNAKE_LORD,184,墨蛇君,11,25,0,0,11,25,2,8
ANIMATION_KNIGHT_OF_WINDSTORM,185,冰暴骑士,8,24,0,0,10,25,2,8
,,,10,26,,,,,,
ANIMATION_RETINUE_DARK_SNAKE_LORD,186,墨蛇君,11,25,0,0,11,25,2,8
ANIMATION_RETINUE_KNIGHT_OF_WINDSTORM,187,冰暴骑士,8,24,0,0,9,38,2,8
,,,10,26,,,,,,
ANIMATION_DRACULA_BARON,188,德古拉男爵,12,29,0,0,33,50,2,8
,,,,,,,,,,
ANIMATION_RETINUE_DRACULA_BARON,189,德古拉男爵,12,29,0,0,10,25,2,8
ANIMATION_BOSS_DRACULA_BARON,190,boss德古拉男爵,12,29,0,0,10,25,2,8
ANIMATION_TURTLE_GENERA_FOOTBALL,191,乌龟将军-football,8,20,0,0,8,20,2,8
,,,,,,,,,,
ANIMATION_RETINUE_TURTLE_GENERAL_FOOTBALL,192,乌龟将军-football-P,8,20,0,0,8,20,2,8
,,,,,,,,,,
ANIMATION_HARWORD,193,霍华德,11,24,0,0,17,30,2,8
,,,8,24,,,,,,
ANIMATION_RETINUE_HARWORD,194,霍华德P,11,24,0,0,17,30,2,8
,,,8,24,,,,,,
ANIMATION_BAPHOMET_SKIN,195,巴风特-皮肤,15,34,0,0,22,42,2,8
,,,8,25,,,,,,
ANIMATION_ORC_HERO_SKIN,196,兽人英雄-皮肤,10,20,0,0,9,23,2,8
,,,,,,,,,,
ANIMATION_TAO_GUNKA_SKIN,197,塔奥群卡-皮肤,13,29,0,0,17,29,2,8
,,,,,,,,,,
ANIMATION_GARM_SKIN,198,卡仑-皮肤,13,25,0,0,13,25,2,8
,,,,,,,,,,
ANIMATION_EDDGA_SKIN,199,虎王-皮肤,11,25,0,0,11,25,2,8
,,,,,,,,,,
ANIMATION_G_KATRINN_SKIN,200,超魔导师凯特莉娜-皮肤,12,30,0,0,15,30,2,8
,,,,,,,,,,
ANIMATION_MAGALETA_SKIN,201,神官玛嘉雷特-皮肤,12,21,0,0,27,54,2,8
,,,,,,,,,,
ANIMATION_SHECI_SKIN,202,神射手迪文-皮肤,12,19,0,0,32,49,2,8
,,,,,,,,,,
ANIMATION_CELIA,203,智者CELIA,10,24,0,0,10,24,2,8
,,,12,31,,,,,,
ANIMATION_RETINUE_CELIA,204,智者CELIA仆从,10,24,0,0,10,24,2,8
,,,12,31,,,,,,
ANIMATION_BACSOJIN,205,白素贞,11,20,0,0,12,35,2,8
,,,12,26,,,,,,
ANIMATION_RETINUE_BACSOJIN,206,白素贞仆从,11,20,0,0,12,35,2,8
ANIMATION_DOPPELGANGER_DARKSWORD,207,死灵暗黑血刃,10,21,0,0,11,26,2,8
ANIMATION_RETINUE_DOPPELGANGER_DARKSWORD,208,死灵P暗黑血刃,10,21,0,0,11,26,2,8
ANIMATION_VESPER,209,贝思波,9,20,0,0,19,30,2,8
,,,13,20,,,,,,
ANIMATION_RETINUE_VESPER,210,贝思波P,9,20,0,0,19,30,2,8
,,,13,20,,,,,,
ANIMATION_GLOOMUNDERNIGHT,211,幽暗梦魇,9,20,0,0,1,40,2,8
ANIMATION_RETINUE_GLOOMUNDERNIGHT,212,幽暗梦魇p,9,20,0,0,1,40,2,8
ANIMATION_MOONLIGHT_SKIN,213,月夜猫-皮肤,13,26,0,0,13,26,2,8
ANIMATION_RETINUE_MOONLIGHT_SKIN,214,月夜猫-P-皮肤,13,26,0,0,13,26,2,8
ANIMATION_SKIN_HERO_G_RANDEL_GRIFFON,215,兰达狮鹫皮肤,10,23,0,0,9,25,2,8
ANIMATION_SKIN_RETINUE_G_RANDEL_GRIFFON,216,兰达狮鹫皮肤P,10,23,0,0,9,25,2,8
ANIMATION_LADY_TANEE,217,嗒妮小姐,10,22,0,0,20,30,2,11
,,,15,25,0,,,,,
ANIMATION_RETINUE_LADY_TANEE,218,嗒妮小姐P,10,22,0,0,15,27,2,11
,,,15,25,0,,,,,
ANIMATION_LORD_OF_DEATH,219,死灵骑士,10,22,0,0,15,35,2,11
,,,13,25,0,,,,,
ANIMATION_RETINUE_LORD_OF_DEATH,220,死灵骑士P,10,22,0,0,15,35,2,11
,,,13,25,0,,,,,
ANIMATION_MYSTERY_BOSS_OSIRIS,221,沙·俄赛里斯,8,16,0,0,18,36,2,8
,,,10,19,,,,,,
ANIMATION_MYSTERY_BOSS_OSIRIS_MUMMY,222,沙·俄赛里斯召唤物,6,15,0,0,28,35,2,8
,,,8,18,,,,,,
ANIMATION_WORLD_BOSS_LORD_OF_DEATH,223,世界BOSS死灵骑士,10,22,0,0,20,35,2,11
,,,13,25,0,,,,,
ANIMATION_DRACULA_BARON_POSEIDON,224,海神德古拉男爵,12,29,0,0,33,50,2,8
ANIMATION_RETINUE_DRACULA_BARON_POSEIDON,225,海神德古拉男爵宠物,12,29,0,0,33,50,2,8
ANIMATION_PHREEONI_PUFU,226,刺豚皮里恩,8,26,0,0,8,31,2,8
ANIMATION_RETINUE_PHREEONI_PUFU,227,刺豚皮里恩宠物,8,26,0,0,8,31,2,8
ANIMATION_HERO_MISSTRESS_SUMMER_BEACH,228,夏日沙滩蜂后,11,21,0,0,8,22,2,8
ANIMATION_RETINUE_MISSTRESS_SUMMER_BEACH,229,夏日沙滩蜂后宠物,11,21,0,0,8,22,2,8
ANIMATION_HERO_MAYA_POOLPARTY,230,泳池派对·蚁后,10,23,0,0,16,25,2,8
ANIMATION_RETINUE_MAYA_POOLPARTY,231,泳池派对·蚁后P,10,23,0,0,16,25,2,8
ANIMATION_HERO_SEYREN_DRAGON,232,暴龙骑士·赛依连,10,18,0,0,8,30,2,8
ANIMATION_RETINUE_SEYREN_DRAGON,233,暴龙骑士·赛依连P,10,18,0,0,8,30,2,8
ANIMATION_HERO_CLOWN_ALPHOCCIO,234,搞笑艺人,13,29,0,0,18,27,2,11
,,,10,24,,,,,,
ANIMATION_RETINUE_CLOWN_ALPHOCCIO,235,搞笑艺人P,13,29,0,0,18,27,2,11
,,,10,24,,,,,,
ANIMATION_HERO_GYPSY_TRENTINI,236,冷艳舞姬,14,27,0,0,37,58,2,11
,,,19,38,,,,,,
ANIMATION_RETINUE_GYPSY_TRENTINI,237,冷艳舞姬P,14,27,0,0,37,58,2,11
,,,19,38,,,,,,
ANIMATION_BACSOJIN_FASHION,238,白素贞皮肤,18,30,0,0,12,35,2,8
ANIMATION_RETINUE_BACSOJIN_FASHION,239,白素贞皮肤p,18,30,0,0,12,35,2,8
ANIMATION_HARWORD_PUNK,240,霍华德皮肤,13,24,0,0,18,30,2,8
ANIMATION_RETINUE_HARWORD_PUNK,241,霍华德皮肤p,13,24,0,0,18,30,2,8
ANIMATION_BOSS_MYSTERY_GARM,242,秘境-冰川卡仑,11,17,0,0,13,25,2,8
ANIMATION_SKIN_HERO_DARK_SNAKE_LORD_KIMONO,243,墨蛇君,11,25,0,0,11,25,2,8
ANIMATION_SKIN_RETINUE_DARK_SNAKE_LORD_KIMONO,244,墨蛇君,11,25,0,0,11,25,2,8
ANIMATION_HERO_PHARAOH,245,法老王,17,25,0,0,13,37,2,11
,,,17,25,,,,,,
ANIMATION_RETINUE_PHARAOH,246,法老王P,17,25,0,0,13,37,2,11
,,,17,25,,,,,,
ANIMATION_HERO_AMON_RA,247,古埃及王,10,25,0,0,22,37,2,11
,,,20,44,,,,,,
ANIMATION_RETINUE_AMON_RA,248,古埃及王P,10,25,0,0,22,37,2,11
,,,20,44,,,,,,
ANIMATION_BOSS_MYSTERY_LADY_TANEE,249,秘境boss嗒妮小姐,10,22,0,0,32,32,2,11
,,,15,25,0,,,,,
ANIMATION_SKIN_HERO_OSIRIS_HELLFIRE,250,俄塞里斯-地狱火皮肤,8,16,0,0,18,36,2,8
,,,10,19,,,,,,
ANIMATION_SKIN_RETINUE_OSIRIS_HELLFIRE,251,俄塞里斯-地狱火皮肤P,8,16,0,0,32,36,2,8
,,,10,19,,,,,,
