_ID,_VALUE,#Name:string,NameKey:loc,Lv:int[],HideUIName:bool,DesKey:loc[],ShortDesKey:loc,DamageType:string,#Parameter1Name:string,Parameter1:obsint[],#Parameter2Name:string,Parameter2:obsint[],#Parameter3Name:string,Parameter3:obsint[],#Parameter4Name:string,Parameter4:obsint[],#Parameter5Name:string,Parameter5:obsint[],#Parameter6Name:string,Parameter6:obsint[],PhysicalFactor:decimal[],MagicFactor:decimal[],BaseDamage:int[],CriticalHit:int[],CriticalDamage:int[],AdjustFactor:int,TargetTeam:string,TriggerConfig:int[][],TriggerType:string,TriggerCount:int[],IconSprite:string,CoolTime:int[],AnimationType:int,AnimationName:string,Priority:int,AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],BuffTarget:string[],SkillBuff:bool,PassiveKind:string,SpecialType:string[],UnlockCondition:loc
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_ANNIHILATION,,,,4,,,,,,,,,,,0,0.5,2000,0,0,,,,,0,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_ANNIHILATION,,,,4,,,,,,,,,,,0,0.7,5000,0,0,,,,,0,,0,,,,,,,Hero,,,,
TALENT_WILD_SICKLE,90201,狂野之镰,LOC_SKILL_NAMECN_TALENT_WILD_SICKLE,1,,LOC_SKILL_DES_DETAIL_TALENT_WILD_SICKLE,LOC_SKILL_DES_DETAIL_TALENT_WILD_SICKLE,Physical,增伤最大百分比,13,溅射半径,5,溅射角度,120,溅射伤害比例/千分比,200,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_TALENT_WILD_SICKLE,0,,,,,,,Hero,FALSE,Talent,"[[100,90,75,60,45,30],[0,5,7,9,11,13]]",
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_WILD_SICKLE,,,,20,,5,,120,,300,,,,,0,0,0,0,0,,,,,0,,0,,,,,,,Hero,,,"[[100,90,75,60,45,30],[0,7.5,10.5,13.5,16.5,19.5]]",
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_WILD_SICKLE,,,,29,,5,,120,,450,,,,,0,0,0,0,0,,,,,0,,0,,,,,,,Hero,,,"[[100,90,75,60,45,30],[0,11,15.5,20,24.5,29]]",
PASSIVE_FIGHTBACK_BLADE,90202,反击之镰,LOC_SKILL_NAMECN_PASSIVE_FIGHTBACK_BLADE,1,,LOC_SKILL_DES_DETAIL_PASSIVE_FIGHTBACK_BLADE_NEW_1,LOC_SKILL_DES_DETAIL_PASSIVE_FIGHTBACK_BLADE,Physical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_FIGHTBACK_BLADE,0,,,,HP#Damage,0.04#0.04,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_FIGHTBACK_BLADE_NEW_1,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#Damage,0.06#0.06,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_FIGHTBACK_BLADE,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#Damage#ArmorPenetration,0.09#0.09#300,Percentage#Percentage#Constant,Hero,,,,
PASSIVE_THUNDER_BLAST,90203,雷爆,LOC_SKILL_NAMECN_PASSIVE_THUNDER_BLAST,1,,LOC_SKILL_DES_DETAIL_PASSIVE_THUNDER_BLAST,LOC_SKILL_DES_DETAIL_PASSIVE_THUNDER_BLAST,Physical,正前方半径 R,5,正前方距离,8,眩晕时间,2,,,,,,,0.8,0,0,0,0,0,Enemy,180,AttackPer,0,ICON_PASSIVE_THUNDER_BLAST,8,100,Attack2,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_THUNDER_BLAST,,,,5,,8,,2,,,,,,,0.95,0,0,0,0,,,200,,0,,8,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_THUNDER_BLAST,,,,5,,8,,3,,,,,,,1.2,0,0,0,0,,,220,,0,,8,,,,,,,Hero,,,,
TALENT_DARK_RESENTMENT,90301,暗黑怨念,LOC_SKILL_NAMECN_TALENT_DARK_RESENTMENT,1,,LOC_SKILL_DES_DETAIL_TALENT_DARK_RESENTMENT,LOC_SKILL_DES_DETAIL_TALENT_DARK_RESENTMENT,Physical,进入暗黑状态的概率/千分比,70,配置的N级状态,1,持续时间,5,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_TALENT_DARK_RESENTMENT,0,,,,Armor,0.08,Percentage,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_DARK_RESENTMENT,,,,110,,1,,5,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Armor,0.12,Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_DARK_RESENTMENT,,,,170,,1,,5,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Armor,0.2,Percentage,Hero,,,,
PASSIVE_DEMON_EYE,90302,噬目,LOC_SKILL_NAMECN_PASSIVE_DEMON_EYE,1,,LOC_SKILL_DES_DETAIL_PASSIVE_DEMON_EYE,LOC_SKILL_DES_DETAIL_PASSIVE_DEMON_EYE,Physical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_DEMON_EYE,0,,,,HP#PhysicalHurt,0.04#-0.05,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_DEMON_EYE,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#PhysicalHurt,0.06#-0.07,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_DEMON_EYE,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#PhysicalHurt,0.10#-0.13,Percentage#Percentage,Hero,,,,
PASSIVE_PETRIFICATION,90303,石化术,LOC_SKILL_NAMECN_PASSIVE_PETRIFICATION,1,,LOC_SKILL_DES_DETAIL_PASSIVE_PETRIFICATION,LOC_SKILL_DES_DETAIL_PASSIVE_PETRIFICATION,Physical,石化持续时间/10,30,石化提升的物抗/千分比,150,,,,,,,,,1.5,0,500,0,0,0,Enemy,4,AttackNum,0,ICON_PASSIVE_STONECURSE,8,100,Skill,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_PETRIFICATION,,,,30,,150,,,,,,,,,1.6,0,3000,0,0,,,4,,0,,8,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_PETRIFICATION,,,,40,,150,,,,,,,,,1.8,0,5500,0,0,,,3,,0,,8,,,,,,,Hero,,,,
,,,,4,,LOC_SKILL_DES_DETAIL_PASSIVE_PETRIFICATION,,,,40,,150,,,,,,,,,0,1,0,0,0,,,3,,0,,0,,,,,,,Hero,,,,
TALENT_THE_POWER_OF_BEAST,90401,野兽之力,LOC_SKILL_NAMECN_TALENT_THE_POWER_OF_BEAST,1,,LOC_SKILL_DES_DETAIL_TALENT_THE_POWER_OF_BEAST,LOC_SKILL_DES_DETAIL_TALENT_THE_POWER_OF_BEAST,Physical,增加的攻速/千分比,500,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_TALENT_THE_POWER_OF_BEAST,0,,,,Damage,0.1,Percentage,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_THE_POWER_OF_BEAST,,,,600,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage,0.15,Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_THE_POWER_OF_BEAST,,,,800,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage,0.25,Percentage,Hero,,,,
PASSIVE_ADAMANTINE_HARDNESS,90402,金刚不坏,LOC_SKILL_NAMECN_PASSIVE_ADAMANTINE_HARDNESS,1,,LOC_SKILL_DES_DETAIL_PASSIVE_ADAMANTINE_HARDNESS_LV1,LOC_SKILL_DES_DETAIL_PASSIVE_ADAMANTINE_HARDNESS,Physical,受到所有伤害减少/千分比,300,持续时间/10,80,,,,,,,,,0,0,0,0,0,0,Enemy,400,HPPer,1,ICON_PASSIVE_MENTALSTRENGTH,15,900,,,Armor#MagicDef,0.06#0.06,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_ADAMANTINE_HARDNESS_LV1,,,,350,,100,,,,,,,,,0,0,0,0,0,,,500,,1,,15,,,,Armor#MagicDef,0.10#0.10,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_ADAMANTINE_HARDNESS_LV3,,,,400,,120,,,,,,,,,0,0,0,0,0,,,600,,1,,15,,,,Armor#MagicDef#HP,0.16#0.16#0.06,Percentage#Percentage#Percentage,Hero,,,,
PASSIVE_BEAST_BLOOD,90403,狂兽血性,LOC_SKILL_NAMECN_PASSIVE_BEAST_BLOOD,1,,LOC_SKILL_DES_DETAIL_PASSIVE_BEAST_BLOOD,LOC_SKILL_DES_DETAIL_PASSIVE_BEAST_BLOOD,Physical,自身技能半径 R,9,损失自身最大生命/千分比,450,,,,,,,,,1.7,0,1500,0,0,0,Enemy,0,Skill,0,ICON_PASSIVE_BEAST_BLOOD,20,900,Attack2,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_BEAST_BLOOD,,,,9,,450,,,,,,,,,1.9,0,8000,0,0,,,0,,0,,20,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_BEAST_BLOOD,,,,9,,450,,,,,,,,,2.1,0,15000,0,0,,,0,,0,,20,,,,,,,Hero,,,,
TALENT_LONGTONGUED_MONSTER,90501,长舌怪,LOC_SKILL_NAMECN_TALENT_LONGTONGUED_MONSTER,1,,LOC_SKILL_DES_DETAIL_TALENT_LONGTONGUED_MONSTER,LOC_SKILL_DES_DETAIL_TALENT_LONGTONGUED_MONSTER,Magical,双攻下降/千分比,70,攻速下降/千分比,70,双抗下降/千分比,70,持续时间/10,50,持续时间/10,50,,,0,0,0,0,0,0,Enemy,300,AttackPer,0,ICON_TALENT_LONGTONGUED_MONSTER,6,100,Attack1,,,,,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_LONGTONGUED_MONSTER,,,,90,,90,,90,,50,,50,,,0,0,0,0,0,,,400,,0,,6,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_LONGTONGUED_MONSTER,,,,150,,150,,150,,50,,50,,,0,0,0,0,0,,,500,,0,,6,,,,,,,Hero,,,,
PASSIVE_LONGING_FOR_FREEDOM,90502,不要拘束我,LOC_SKILL_NAMECN_PASSIVE_LONGING_FOR_FREEDOM,1,,LOC_SKILL_DES_DETAIL_PASSIVE_LONGING_FOR_FREEDOM,LOC_SKILL_DES_DETAIL_PASSIVE_LONGING_FOR_FREEDOM,Magical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_LONGINGFORFREEDOM,0,,,,HP#MagicDef,0.04#0.06,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_LONGING_FOR_FREEDOM,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#MagicDef,0.06#0.08,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_LONGING_FOR_FREEDOM,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#MagicDef,0.10#0.14,Percentage#Percentage,Hero,,,,
PASSIVE_BELLY_DANCE,90503,肚皮舞,LOC_SKILL_NAMECN_PASSIVE_BELLY_DANCE,1,,LOC_SKILL_DES_DETAIL_PASSIVE_BELLY_DANCE,LOC_SKILL_DES_DETAIL_PASSIVE_BELLY_DANCE,Magical,,,,,,,,,,,,,0,0.3,200,0,0,0,Friendly,5,AttackNum,0,ICON_PASSIVE_BELLY_DANCE,9,100,Attack2,,,,,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_BELLY_DANCE,,,,,,,,,,,,,,,0,0.45,1200,0,0,,,4,,0,,9,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_BELLY_DANCE,,,,,,,,,,,,,,,0,0.6,2000,0,0,,,4,,0,,9,,,,,,,Hero,,,,
,,,,4,,LOC_SKILL_DES_DETAIL_PASSIVE_BELLY_DANCE,,,,,,,,,,,,,,,0,10,0,0,0,,,4,,0,,9,,,,,,,Hero,,,,
TALENT_VULTURES_EYE,90601,苍鹰之眼,LOC_SKILL_NAMECN_TALENT_VULTURES_EYE,1,,LOC_SKILL_DES_DETAIL_TALENT_VULTURES_EYE,LOC_SKILL_DES_DETAIL_TALENT_VULTURES_EYE,Physical,增加物理攻击千分比,90,持续时间/10,50,间隔时间/10,15,最大叠加层数,4,,,,,0,0,0,0,0,0,Enemy,100#1,MadeDamage,0,ICON_TALENT_VULTURES_EYE,0,900,,,,,,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_VULTURES_EYE,,,,100,,60,,15,,4,,,,,0,0,0,0,0,,,120#1,,0,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_VULTURES_EYE,,,,110,,70,,15,,4,,,,,0,0,0,0,0,,,150#1,,0,,0,,,,,,,Hero,,,,
PASSIVE_STEEL_BEAK,90602,钢制喙,LOC_SKILL_NAMECN_PASSIVE_STEEL_BEAK,1,,LOC_SKILL_DES_DETAIL_PASSIVE_STEEL_BEAK_NEW_1,LOC_SKILL_DES_DETAIL_PASSIVE_STEEL_BEAK,Physical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_STEELCROW,0,,,,Damage#HP,0.03#0.03,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_STEEL_BEAK,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage#HP#Armor,0.05#0.05#0.03,Percentage#Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_STEEL_BEAK,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage#HP#Armor,0.075#0.075#0.075,Percentage#Percentage#Percentage,Hero,,,,
PASSIVE_FALCON_ASSAULT,90603,猎鹰突击,LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,1,,LOC_SKILL_DES_DETAIL_PASSIVE_FALCON_ASSAULT,LOC_SKILL_DES_DETAIL_PASSIVE_FALCON_ASSAULT,Physical,技能半径 R,5,无视护甲/千分比,120,显示用触发概率,100,,12,,,,,0.95,0,300,0,0,0,Enemy,,,0,ICON_PASSIVE_FALCONASSAULT,0,100,Attack1,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_FALCON_ASSAULT,,,,5,,150,,120,,12,,,,,1.1,0,800,0,0,,,,,0,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_FALCON_ASSAULT,,,,5,,200,,140,,12,,,,,1.35,0,1500,0,0,,,,,0,,0,,,,,,,Hero,,,,
PASSIVE_FALCON_ASSAULT_SUMMON,90604,猎鹰突击(召唤物),LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,1,,LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,Physical,技能半径 R,5,无视护甲/千分比,120,,,,,,,,,0.95,0,300,0,0,0,Enemy,100,AttackPer,0,ICON_PASSIVE_FALCONASSAULT,12,100,Attack1,,,,,Hero,TRUE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,,,,5,,150,,,,,,,,,1.1,0,800,0,0,,,120,,0,,12,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_NAMECN_PASSIVE_FALCON_ASSAULT,,,,5,,200,,,,,,,,,1.35,0,1500,0,0,,,140,,0,,12,,,,,,,Hero,,,,
TALENT_THE_SOUL_OF_DEAD,90701,亡者之魂,LOC_SKILL_NAMECN_TALENT_THE_SOUL_OF_DEAD,1,,LOC_SKILL_DES_DETAIL_TALENT_THE_SOUL_OF_DEAD,LOC_SKILL_DES_DETAIL_TALENT_THE_SOUL_OF_DEAD,Physical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_TALENT_THE_SOUL_OF_DEAD,0,,,,HP#Damage,0.03#0.07,Percentage#Percentage,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_THE_SOUL_OF_DEAD,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#Damage,0.05#0.1,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_THE_SOUL_OF_DEAD,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,HP#Damage,0.07#0.18,Percentage#Percentage,Hero,,,,
PASSIVE_TWO_HANDED_SWORD_MASTERY,90702,双手剑使用熟练度,LOC_SKILL_NAMECN_PASSIVE_TWO_HANDED_SWORD_MASTERY,1,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_MASTERY,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_MASTERY,Physical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_TWOHANDEDSWORDMASTERY,0,,,,Damage#CriticalHit,0.04#0.04,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_MASTERY,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage#CriticalHit,0.06#0.06,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_MASTERY,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Damage#CriticalHit,0.10#0.10,Percentage#Percentage,Hero,,,,
PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,90703,双手剑攻击速度增加,LOC_SKILL_NAMECN_PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,1,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,Physical,攻速增加/千分比,150,物理攻击增加千分比,150,持续时间/10,60,,,,,,,0,0,0,0,0,0,Enemy,5#10,Time,3,ICON_PASSIVE_TWOHANDQUICKEN,0,200,Attack1,,,,,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,,,,180,,220,,70,,,,,,,0,0,0,0,0,,,5#10,,3,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_TWO_HANDED_SWORD_ATTACK_SPEED_INCREASE,,,,200,,300,,80,,,,,,,0,0,0,0,0,,,5#10,,3,,0,,,,,,,Hero,,,,
TALENT_THE_WATER_OVERLORD,90801,水中的霸者,LOC_SKILL_NAMECN_TALENT_THE_WATER_OVERLORD,1,,LOC_SKILL_DES_DETAIL_TALENT_THE_WATER_OVERLORD,LOC_SKILL_DES_DETAIL_TALENT_THE_WATER_OVERLORD,Magical,增加魔攻千分比,80,增加魔法伤害千分比,130,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_TALENT_THE_WATER_OVERLORD,0,,,,,,,Hero,FALSE,Talent,,
,,,,2,,LOC_SKILL_DES_DETAIL_TALENT_THE_WATER_OVERLORD_LV2,,,,120,,190,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_TALENT_THE_WATER_OVERLORD_LV2,,,,200,,320,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,,,,Hero,,,,
PASSIVE_WEAPON_VALUE_MAX,90802,武器值最大化,LOC_SKILL_NAMECN_PASSIVE_WEAPON_VALUE_MAX,1,,LOC_SKILL_DES_DETAIL_PASSIVE_WEAPON_VALUE_MAX,LOC_SKILL_DES_DETAIL_PASSIVE_WEAPON_VALUE_MAX,Magical,,,,,,,,,,,,,0,0,0,0,0,0,Enemy,,,0,ICON_PASSIVE_POWERMAXIMIZE,0,,,,Magic#MagicalAttack,0.04#0.04,Percentage#Percentage,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_1
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_WEAPON_VALUE_MAX,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Magic#MagicalAttack,0.06#0.06,Percentage#Percentage,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_WEAPON_VALUE_MAX,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,,0,,,,Magic#MagicalAttack,0.10#0.10,Percentage#Percentage,Hero,,,,
PASSIVE_WATER_ELEMENT_DOMAIN,90803,水元素领域,LOC_SKILL_NAMECN_PASSIVE_WATER_ELEMENT_DOMAIN,1,,LOC_SKILL_DES_DETAIL_PASSIVE_WATER_ELEMENT_DOMAIN,LOC_SKILL_DES_DETAIL_PASSIVE_WATER_ELEMENT_DOMAIN,Magical,技能半径 R,5,魔攻增加千分比,400,持续时间/10,50,,,,,,,0,0,0,0,0,0,Enemy,28,Time,1,ICON_PASSIVE_DELUGE,0,200,Attack1,,,,,Hero,FALSE,Passive,,LOC_PASSIVE_UNLOCK_CONDITION_2
,,,,2,,LOC_SKILL_DES_DETAIL_PASSIVE_WATER_ELEMENT_DOMAIN,,,,5,,500,,60,,,,,,,0,0,0,0,0,,,28,,1,,0,,,,,,,Hero,,,,
,,,,3,,LOC_SKILL_DES_DETAIL_PASSIVE_WATER_ELEMENT_DOMAIN,,,,5,,600,,80,,,,,,,0,0,0,0,0,,,28,,1,,0,,,,,,,Hero,,,,
