_ID,_VALUE,ArtifactLv:int[],ZenyConsume:int[],Item1:id[],Number1:int[],Item2:id[],Number2:int[],Item3:id[],Number3:int[],Item4:id[],Number4:int[],Item5:id[],Number5:int[],Model:string[]
,,10,100000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,45,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_1,270,ITEM_ARTIFACT_MATERIAL_BASIC_2,270,Mjolnir_Evolve_2
,,11,30000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Mjolnir_Evolve_2
,,12,40000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Mjolnir_Evolve_2
,,13,50000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Mjolnir_Evolve_2
,,14,60000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Mjolnir_Evolve_2
,,15,70000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Mjolnir_Evolve_2
,,16,80000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Mjolnir_Evolve_2
,,17,90000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Mjolnir_Evolve_2
,,18,100000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Mjolnir_Evolve_2
,,19,110000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Mjolnir_Evolve_2
,,20,120000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,30,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,75,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,158,ITEM_ARTIFACT_MATERIAL_BASIC_1,450,ITEM_ARTIFACT_MATERIAL_BASIC_2,450,Mjolnir_Evolve_2
ARTIFACT_STRENGTHEN_2,2,0,20000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,190,ITEM_ARTIFACT_MATERIAL_BASIC_2,190,Sleipnir
,,1,25000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Sleipnir
,,2,30000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Sleipnir
,,3,35000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Sleipnir
,,4,40000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Sleipnir
,,5,50000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,10,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,20,ITEM_ARTIFACT_MATERIAL_BASIC_1,60,ITEM_ARTIFACT_MATERIAL_BASIC_2,60,Sleipnir_Evolve_1
,,6,60000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Sleipnir_Evolve_1
,,7,70000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,40,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Sleipnir_Evolve_1
,,8,80000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,25,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,150,ITEM_ARTIFACT_MATERIAL_BASIC_2,150,Sleipnir_Evolve_1
,,9,90000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,35,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,70,ITEM_ARTIFACT_MATERIAL_BASIC_1,210,ITEM_ARTIFACT_MATERIAL_BASIC_2,210,Sleipnir_Evolve_1
,,10,100000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,45,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,90,ITEM_ARTIFACT_MATERIAL_BASIC_1,270,ITEM_ARTIFACT_MATERIAL_BASIC_2,270,Sleipnir_Evolve_2
,,11,30000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Sleipnir_Evolve_2
,,12,40000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Sleipnir_Evolve_2
,,13,50000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Sleipnir_Evolve_2
,,14,60000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Sleipnir_Evolve_2
,,15,70000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Sleipnir_Evolve_2
,,16,80000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Sleipnir_Evolve_2
,,17,90000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Sleipnir_Evolve_2
,,18,100000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Sleipnir_Evolve_2
,,19,110000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Sleipnir_Evolve_2
,,20,120000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,30,ITEM_ARTIFACT_MATERIAL_ADVANCED_2,75,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_2,158,ITEM_ARTIFACT_MATERIAL_BASIC_1,450,ITEM_ARTIFACT_MATERIAL_BASIC_2,450,Sleipnir_Evolve_2
ARTIFACT_STRENGTHEN_3,3,0,20000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,190,ITEM_ARTIFACT_MATERIAL_BASIC_2,190,Brysinggamen
,,1,25000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Brysinggamen
,,2,30000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Brysinggamen
,,3,35000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Brysinggamen
,,4,40000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Brysinggamen
,,5,50000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,10,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,20,ITEM_ARTIFACT_MATERIAL_BASIC_1,60,ITEM_ARTIFACT_MATERIAL_BASIC_2,60,Brysinggamen_Evolve_1
,,6,60000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Brysinggamen_Evolve_1
,,7,70000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,40,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Brysinggamen_Evolve_1
,,8,80000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,25,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,150,ITEM_ARTIFACT_MATERIAL_BASIC_2,150,Brysinggamen_Evolve_1
,,9,90000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,35,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,70,ITEM_ARTIFACT_MATERIAL_BASIC_1,210,ITEM_ARTIFACT_MATERIAL_BASIC_2,210,Brysinggamen_Evolve_1
,,10,100000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,45,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,90,ITEM_ARTIFACT_MATERIAL_BASIC_1,270,ITEM_ARTIFACT_MATERIAL_BASIC_2,270,Brysinggamen_Evolve_2
,,11,30000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Brysinggamen_Evolve_2
,,12,40000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Brysinggamen_Evolve_2
,,13,50000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Brysinggamen_Evolve_2
,,14,60000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Brysinggamen_Evolve_2
,,15,70000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Brysinggamen_Evolve_2
,,16,80000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Brysinggamen_Evolve_2
,,17,90000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Brysinggamen_Evolve_2
,,18,100000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Brysinggamen_Evolve_2
,,19,110000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Brysinggamen_Evolve_2
,,20,120000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,30,ITEM_ARTIFACT_MATERIAL_ADVANCED_3,75,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_3,158,ITEM_ARTIFACT_MATERIAL_BASIC_1,450,ITEM_ARTIFACT_MATERIAL_BASIC_2,450,Brysinggamen_Evolve_2
ARTIFACT_STRENGTHEN_4,4,0,20000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,190,ITEM_ARTIFACT_MATERIAL_BASIC_2,190,Magingiorde
,,1,25000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Magingiorde
,,2,30000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Magingiorde
,,3,35000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Magingiorde
,,4,40000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Magingiorde
,,5,50000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,10,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,20,ITEM_ARTIFACT_MATERIAL_BASIC_1,60,ITEM_ARTIFACT_MATERIAL_BASIC_2,60,Magingiorde_Evolve_1
,,6,60000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Magingiorde_Evolve_1
,,7,70000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,40,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Magingiorde_Evolve_1
,,8,80000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,25,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,150,ITEM_ARTIFACT_MATERIAL_BASIC_2,150,Magingiorde_Evolve_1
,,9,90000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,35,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,70,ITEM_ARTIFACT_MATERIAL_BASIC_1,210,ITEM_ARTIFACT_MATERIAL_BASIC_2,210,Magingiorde_Evolve_1
,,10,100000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,45,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,90,ITEM_ARTIFACT_MATERIAL_BASIC_1,270,ITEM_ARTIFACT_MATERIAL_BASIC_2,270,Magingiorde_Evolve_2
,,11,30000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Magingiorde_Evolve_2
,,12,40000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,5,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,32,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Magingiorde_Evolve_2
,,13,50000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Magingiorde_Evolve_2
,,14,60000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,8,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,42,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Magingiorde_Evolve_2
,,15,70000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,12,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,63,ITEM_ARTIFACT_MATERIAL_BASIC_1,180,ITEM_ARTIFACT_MATERIAL_BASIC_2,180,Magingiorde_Evolve_2
,,16,80000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Magingiorde_Evolve_2
,,17,90000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,16,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,40,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,84,ITEM_ARTIFACT_MATERIAL_BASIC_1,240,ITEM_ARTIFACT_MATERIAL_BASIC_2,240,Magingiorde_Evolve_2
,,18,100000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Magingiorde_Evolve_2
,,19,110000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,20,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,50,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,105,ITEM_ARTIFACT_MATERIAL_BASIC_1,300,ITEM_ARTIFACT_MATERIAL_BASIC_2,300,Magingiorde_Evolve_2
,,20,120000000,ITEM_ARTIFACT_MATERIAL_PREMIUM_1,30,ITEM_ARTIFACT_MATERIAL_ADVANCED_4,75,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_4,158,ITEM_ARTIFACT_MATERIAL_BASIC_1,450,ITEM_ARTIFACT_MATERIAL_BASIC_2,450,Magingiorde_Evolve_2
ARTIFACT_STRENGTHEN_101,101,0,12000000,None,0,None,0,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_5,20,ITEM_ARTIFACT_MATERIAL_BASIC_1,100,ITEM_ARTIFACT_MATERIAL_BASIC_2,100,Helm_Of_Sun
