_ID,_VALUE,EmblemId:id,ScrollId:id,ItemId:id,Num:int
SCROLL_PET_DECOMPOSITION_13,13,ITEM_SCROLL_EMBLEM_MUKA,SCROLL_CHARA_MUKA,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_14,14,ITEM_SCROLL_EMBLEM_WHISPER,SCROLL_CHARA_WHISPER,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_15,15,ITEM_SCROLL_EMBLEM_GOBLIN_ARCHER,SCROLL_CHARA_GOBLIN_ARCHER,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_16,16,ITEM_SCROLL_EMBLEM_MUNAK,SCROLL_CHARA_MUNAK,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_17,17,ITEM_SCROLL_EMBLEM_ORK_WARRIOR,SCROLL_CHARA_ORK_WARRIOR,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_18,18,ITEM_SCROLL_EMBLEM_ORC_BABY,SCROLL_CHARA_ORC_BABY,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_19,19,ITEM_SCROLL_EMBLEM_BLOOD_BUTTERFLY,SCROLL_CHARA_BLOOD_BUTTERFLY,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_20,20,ITEM_SCROLL_EMBLEM_JAKK_S,SCROLL_CHARA_JAKK_S,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_21,21,ITEM_SCROLL_EMBLEM_DESERT_WOLF,SCROLL_CHARA_DESERT_WOLF,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_22,22,ITEM_SCROLL_EMBLEM_NINE_TAIL,SCROLL_CHARA_NINE_TAIL,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_23,23,ITEM_SCROLL_EMBLEM_EGGYRA,SCROLL_CHARA_EGGYRA,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_24,24,ITEM_SCROLL_EMBLEM_MD_MARSE,SCROLL_CHARA_MD_MARSE,ITEM_PET_SHOP_COIN,15
SCROLL_PET_DECOMPOSITION_25,25,ITEM_SCROLL_EMBLEM_WILOW,SCROLL_CHARA_WILOW,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_26,26,ITEM_SCROLL_EMBLEM_SAVAGE,SCROLL_CHARA_SAVAGE,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_27,27,ITEM_SCROLL_EMBLEM_PICKY,SCROLL_CHARA_PICKY,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_28,28,ITEM_SCROLL_EMBLEM_SPORE,SCROLL_CHARA_SPORE,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_29,29,ITEM_SCROLL_EMBLEM_LUNATIC,SCROLL_CHARA_LUNATIC,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_30,30,ITEM_SCROLL_EMBLEM_PORING,SCROLL_CHARA_PORING,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_31,31,ITEM_SCROLL_EMBLEM_YOYO,SCROLL_CHARA_YOYO,ITEM_PET_SHOP_COIN,3
SCROLL_PET_DECOMPOSITION_33,33,ITEM_SCROLL_EMBLEM_GLORIOUS,SCROLL_CHARA_GLORIOUS,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_34,34,ITEM_SCROLL_EMBLEM_VORTEX,SCROLL_CHARA_VORTEX,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_35,35,ITEM_SCROLL_EMBLEM_REVERIE,SCROLL_CHARA_REVERIE,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_36,36,ITEM_SCROLL_EMBLEM_PROFOUND,SCROLL_CHARA_PROFOUND,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_37,37,ITEM_SCROLL_EMBLEM_SHOCK,SCROLL_CHARA_SHOCK,ITEM_PET_SHOP_COIN,100
SCROLL_PET_DECOMPOSITION_38,38,ITEM_SCROLL_EMBLEM_FLAME,SCROLL_CHARA_FLAME,ITEM_PET_SHOP_COIN,100
