_ID,_VALUE,NameKey:loc,#Name:string,DesKey:loc,#Des:string,Type:string,Type_Factor_1:int,Type_Factor_2:int,AccomplishCondition_Type:string,Condition_Factor_1:long,Condition_Factor_2:long,Condition_Factor_3:long,ConvertServerFactor:int,Reward1:id,RewardNum1:int,Reward2:id,RewardNum2:int,Reward3:id,RewardNum3:int,Rare:id,Sort:int,UDiceCategory:string,UdiceCategoryName:loc,HideInAchieve:string
DAILY_QUEST_HANGUP_ACCELERATE,31,LOC_DAILYQUEST_NAME_DAILY_QUEST_HANGUP_ACCELERATE,冒险加速,LOC_DAILYQUEST_DESCN_DAILY_QUEST_HANGUP_ACCELERATE,使用1次冒险加速,Daily,2,,HangupAccelerate,1,,,1,ITEM_PET_EVOLVE_STONE,200,,,,,,,,,
DAILY_QUEST_COMPLETE_1,18,,,,,Daily,,,CompleteNum,1,,,1,,,,,,,,,,,
DAILY_QUEST_COMPLETE_2,19,,,,,Daily,,,CompleteNum,2,,,1,,,,,,,,,,,
DAILY_QUEST_COMPLETE_3,20,,,,,Daily,,,CompleteNum,3,,,1,,,,,,,,,,,
DAILY_QUEST_COMPLETE_4,21,,,,,Daily,,,CompleteNum,4,,,1,,,,,,,,,,,
DAILY_QUEST_PM_ARENA_BATTLE,401,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_ARENA_BATTLE,竞技场挑战,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_ARENA_BATTLE,进行5次竞技场挑战,Daily,14,,ArenaBattlePm,5,,,1,ITEM_RANDOM_POINT_MARKE_DISCOUNT_TICKET,2,,,,,,,,,
DAILY_QUEST_PM_PINNACLE_ARENA,402,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_PINNACLE_ARENA,巅峰竞技场,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_PINNACLE_ARENA,进行5次巅峰竞技场挑战,Daily,15,,PinnacleArenaPm,5,,,1,ITEM_RANDOM_POINT_MARKE_DISCOUNT_TICKET,2,,,,,,,,,
DAILY_QUEST_PM_SUMMONER,404,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_SUMMONER,召唤师竞技,LOC_DAILYQUEST_DESCN_DAILY_QUEST_PM_SUMMONER,进行5次召唤师竞技挑战,Daily,17,,SummonerPm,5,,,1,ITEM_RANDOM_POINT_MARKE_DISCOUNT_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10101,10101,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_1,3个英雄升到5级,Sevenday,1,1,UpgradeHeroTo,3,5,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10102,10102,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_2,3个英雄升到10级,Sevenday,1,1,UpgradeHeroTo,3,10,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10103,10103,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_3,3个英雄升到15级,Sevenday,1,1,UpgradeHeroTo,3,15,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10104,10104,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_4,3个英雄升到20级,Sevenday,1,1,UpgradeHeroTo,3,20,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10105,10105,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_5,3个英雄升到25级,Sevenday,1,1,UpgradeHeroTo,3,25,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10106,10106,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_6,3个英雄升到30级,Sevenday,1,1,UpgradeHeroTo,3,30,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10107,10107,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_7,5个英雄升到35级,Sevenday,1,1,UpgradeHeroTo,5,35,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10108,10108,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_8,5个英雄升到40级,Sevenday,1,1,UpgradeHeroTo,5,40,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10109,10109,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_9,3个英雄穿戴满1阶装备,Sevenday,1,1,HeroEquipment,3,1,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10110,10110,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_10,3个英雄穿戴满2阶装备,Sevenday,1,1,HeroEquipment,3,2,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_10111,10111,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_11,3个英雄穿戴满3阶装备,Sevenday,1,1,HeroEquipment,3,3,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10112,10112,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_12,3个英雄穿戴满4阶装备,Sevenday,1,1,HeroEquipment,3,4,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10113,10113,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_13,5个英雄穿戴满5阶装备,Sevenday,1,1,HeroEquipment,5,5,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10114,10114,LOC_SEVENDAY_QUEST_NAME_1,英雄强化,LOC_SEVENDAY_QUEST_DES_14,5个英雄穿戴满6阶装备,Sevenday,1,1,HeroEquipment,5,6,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_10201,10201,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_15,在骑士酒馆探宝3次,Sevenday,1,2,BuyTreasureNum,1,,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_10202,10202,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_16,在骑士酒馆探宝5次,Sevenday,1,2,BuyTreasureNum,2,,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_10203,10203,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_17,在骑士酒馆探宝10次,Sevenday,1,2,BuyTreasureNum,3,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_10204,10204,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_18,在骑士酒馆探宝20次,Sevenday,1,2,BuyTreasureNum,4,,,1,ITEM_LUCKY_BAG,4,,,,,,,,,
SEVENDAY_QUEST_10205,10205,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_19,在骑士酒馆探宝30次,Sevenday,1,2,BuyTreasureNum,5,,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_10206,10206,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_20,在骑士酒馆购买探宝1次,Sevenday,1,2,BuyTreasureNum,6,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_10207,10207,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_21,在骑士酒馆购买探宝2次,Sevenday,1,2,BuyTreasureNum,7,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_10208,10208,LOC_SEVENDAY_QUEST_NAME_2,酒馆探宝,LOC_SEVENDAY_QUEST_DES_22,在骑士酒馆购买探宝5次,Sevenday,1,2,BuyTreasureNum,8,,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_20101,20112,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_23,竞技场到达7000名,Sevenday,2,1,ArenaRank,1,7000,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20102,20111,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_24,竞技场到达5000名,Sevenday,2,1,ArenaRank,1,5000,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20103,20110,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_25,竞技场到达3000名,Sevenday,2,1,ArenaRank,1,3000,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20104,20109,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_26,竞技场到达1000名,Sevenday,2,1,ArenaRank,1,1000,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20105,20108,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_27,竞技场到达500名,Sevenday,2,1,ArenaRank,1,500,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20106,20107,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_28,竞技场到达300名,Sevenday,2,1,ArenaRank,1,300,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20107,20106,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_29,竞技场到达100名,Sevenday,2,1,ArenaRank,1,100,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20108,20105,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_30,竞技场到达50名,Sevenday,2,1,ArenaRank,1,50,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20109,20104,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_31,竞技场到达30名,Sevenday,2,1,ArenaRank,1,30,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20110,20103,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_32,竞技场到达10名,Sevenday,2,1,ArenaRank,1,10,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20111,20102,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_33,竞技场到达5名,Sevenday,2,1,ArenaRank,1,5,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20112,20101,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_34,竞技场到达1名,Sevenday,2,1,ArenaRank,1,1,,1,ITEM_BANQUET_TICKET,2,ITEM_EMBLEM_TURTLE_GENERAL,60,,,,,,,
SEVENDAY_QUEST_20113,20113,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_35,竞技胜利5次,Sevenday,2,1,ArenaWin,5,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20114,20114,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_36,竞技胜利10次,Sevenday,2,1,ArenaWin,10,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20115,20115,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_37,竞技胜利15次,Sevenday,2,1,ArenaWin,15,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20116,20116,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_38,竞技胜利20次,Sevenday,2,1,ArenaWin,20,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20117,20117,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_39,竞技场挑战10次,Sevenday,2,1,ArenaBattle,10,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_20118,20118,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_40,竞技场挑战20次,Sevenday,2,1,ArenaBattle,20,,,1,ITEM_BANQUET_TICKET,2,,,,,,,,,
SEVENDAY_QUEST_20119,20119,LOC_SEVENDAY_QUEST_NAME_3,疯狂竞技,LOC_SEVENDAY_QUEST_DES_41,竞技场挑战30次,Sevenday,2,1,ArenaBattle,30,,,1,ITEM_BANQUET_TICKET,3,,,,,,,,,
SEVENDAY_QUEST_20201,20201,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_42,完成10个每日任务,Sevenday,2,2,DailyQuestNum,10,,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_20202,20202,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_43,完成20个每日任务,Sevenday,2,2,DailyQuestNum,20,,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_20203,20203,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_44,完成30个每日任务,Sevenday,2,2,DailyQuestNum,30,,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_20204,20204,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_45,完成40个每日任务,Sevenday,2,2,DailyQuestNum,40,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_20205,20205,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_46,完成50个每日任务,Sevenday,2,2,DailyQuestNum,50,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_20206,20206,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_47,完成60个每日任务,Sevenday,2,2,DailyQuestNum,60,,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_20207,20207,LOC_SEVENDAY_QUEST_NAME_4,任务达人,LOC_SEVENDAY_QUEST_DES_48,完成70个每日任务,Sevenday,2,2,DailyQuestNum,70,,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_30001,30001,LOC_SEVENDAY_QUEST_NAME_5_0,加入公会,LOC_SEVENDAY_QUEST_DES_5_0,加入公会,Sevenday,2,2,InGuild,1,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_30101,30101,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_49,全民淘金5次,Sevenday,3,1,BuyGoldNum,5,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30102,30102,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_50,全民淘金10次,Sevenday,3,1,BuyGoldNum,10,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30103,30103,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_51,全民淘金15次,Sevenday,3,1,BuyGoldNum,15,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30104,30104,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_52,全民淘金20次,Sevenday,3,1,BuyGoldNum,20,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30105,30105,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_53,全民淘金25次,Sevenday,3,1,BuyGoldNum,25,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30106,30106,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_54,全民淘金30次,Sevenday,3,1,BuyGoldNum,30,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30107,30107,LOC_SEVENDAY_QUEST_NAME_5,全民淘金,LOC_SEVENDAY_QUEST_DES_55,全民淘金50次,Sevenday,3,1,BuyGoldNum,50,,,1,ITEM_BANQUET_TICKET,1,,,,,,,,,
SEVENDAY_QUEST_30201,30201,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_56,镶嵌10个绿色以上品质晶石,Sevenday,3,2,SparInlay,10,1,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_30202,30202,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_57,镶嵌10个蓝色以上品质晶石,Sevenday,3,2,SparInlay,10,2,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_30203,30203,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_58,镶嵌10个紫色以上品质晶石,Sevenday,3,2,SparInlay,10,3,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_30204,30204,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_59,镶嵌1个橙色晶石,Sevenday,3,2,SparInlay,1,4,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_30205,30205,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_60,镶嵌3个橙色晶石,Sevenday,3,2,SparInlay,3,4,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_30206,30206,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_61,镶嵌5个橙色晶石,Sevenday,3,2,SparInlay,5,4,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_30207,30207,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_62,镶嵌8个橙色晶石,Sevenday,3,2,SparInlay,8,4,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_30208,30208,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_63,镶嵌12个橙色晶石,Sevenday,3,2,SparInlay,12,4,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_30209,30209,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_64,晶石宝藏点击宝箱15次,Sevenday,3,2,SparTreasureNum,15,,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_30210,30210,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_65,晶石宝藏点击宝箱30次,Sevenday,3,2,SparTreasureNum,30,,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_30211,30211,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_66,晶石宝藏点击宝箱60次,Sevenday,3,2,SparTreasureNum,60,,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
SEVENDAY_QUEST_30212,30212,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_67,晶石宝藏点击宝箱90次,Sevenday,3,2,SparTreasureNum,90,,,1,ITEM_LUCKY_BAG,4,,,,,,,,,
SEVENDAY_QUEST_30213,30213,LOC_SEVENDAY_QUEST_NAME_6,晶石风暴,LOC_SEVENDAY_QUEST_DES_68,晶石宝藏点击宝箱120次,Sevenday,3,2,SparTreasureNum,120,,,1,ITEM_LUCKY_BAG,5,,,,,,,,,
SEVENDAY_QUEST_40101,40101,LOC_SEVENDAY_QUEST_NAME_7,战役通关,LOC_SEVENDAY_QUEST_DES_69,通关第7章,Sevenday,4,1,CompleteNormalLevel,1,710,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_40102,40102,LOC_SEVENDAY_QUEST_NAME_7,战役通关,LOC_SEVENDAY_QUEST_DES_70,通关第9章,Sevenday,4,1,CompleteNormalLevel,1,910,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_40103,40103,LOC_SEVENDAY_QUEST_NAME_7,战役通关,LOC_SEVENDAY_QUEST_DES_71,通关第11章,Sevenday,4,1,CompleteNormalLevel,1,1110,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_40104,40104,LOC_SEVENDAY_QUEST_NAME_7,战役通关,LOC_SEVENDAY_QUEST_DES_72,通关第13章,Sevenday,4,1,CompleteNormalLevel,1,1310,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_40201,40201,LOC_SEVENDAY_QUEST_NAME_8,英雄升星,LOC_SEVENDAY_QUEST_DES_73,拥有10个1星英雄,Sevenday,4,2,UpgradeHeroStar,10,1,,1,ITEM_LUCKY_BAG,1,,,,,,,,,
SEVENDAY_QUEST_40202,40202,LOC_SEVENDAY_QUEST_NAME_8,英雄升星,LOC_SEVENDAY_QUEST_DES_74,拥有5个2星英雄,Sevenday,4,2,UpgradeHeroStar,5,2,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_40203,40203,LOC_SEVENDAY_QUEST_NAME_8,英雄升星,LOC_SEVENDAY_QUEST_DES_75,拥有3个3星英雄,Sevenday,4,2,UpgradeHeroStar,3,3,,1,ITEM_LUCKY_BAG,2,,,,,,,,,
SEVENDAY_QUEST_40204,40204,LOC_SEVENDAY_QUEST_NAME_8,英雄升星,LOC_SEVENDAY_QUEST_DES_76,拥有2个4星英雄,Sevenday,4,2,UpgradeHeroStar,2,4,,1,ITEM_LUCKY_BAG,3,,,,,,,,,
