_ID,_VALUE,#ArtDungeonSize:int,ArtEnvironmentPrefab:string,BaseMap:string[],ArtFloorSprite:string[],ArtFloorSpriteProbaility:int[],ArtFloorMassif:string[],ArtFloorMassifSeal:int[],ArtFloorMassifProbaility:int[],ArtBarrierSprite:string[],ArtBarrierSpriteProbaility:int[],ArtBarrierUpperLeft:string[],ArtBarrierUpperLeftProbaility:int[],ArtBarrierUpperRight:string[],ArtBarrierUpperRighProbaility:int[],ArtBarrierLowerLeft:string[],ArtBarrierLowerLeftProbaility:int[],ArtBarrierLowerRight:string[],ArtBarrierLowerRightProbaility:int[],ArtBarrierUpperCorner:string[],ArtBarrierUpperCornerProbaility:int[],ArtBarrierLowerCorner:string[],ArtBarrierLowerCornerProbaility:int[],ArtBarrierLeftCorner:string[],ArtBarrierLeftCornerProbaility:int[],ArtBarrierRightCorner:string[],ArtBarrierRightCornerProbaility:int[],ArtEntrance:string[],ArtEnvironmentFxClick:string,ArtEnvironmentFxGroundShadow:string,ArtEnvironmentFxLightshafts:string,ArtEnvironmentFxPaoPao:string,ArtEnvironmentMassifBlast:string
,,,,,,,Desert/Mosaic_B_Desert_001,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_B_Desert_002,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_C_Desert_001,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_C_Desert_002,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_ART_TEMPLATE_003,10003,,25,Glacier/BG_Dungeons_Tile_03,Glacier/Mosaic_Explored_Glacier_001,10,Glacier/Mosaic_A_Glacier_001,-65,5,Glacier/Stop_Barricade_Glacier_1,5,Glacier/Cylinder_Left_Glacier_001,5,Glacier/Cylinder_Right_Glacier_001,5,Glacier/Jamb_Left_Glacier_001,5,Glacier/Jamb_Right_Glacier_001,5,Glacier/Wall_Joint_Glacier,10,Glacier/Jamb_Joint_Glacier,10,Glacier/Corner_Left_Glacier,10,Glacier/Corner_Right_Glacier,10,Glacier/Entrance_Off_Glacier,Ice/FX_Dungeon_Ice_Click,FX_Dungeon_GroundShadow,FX_Dungeon_Lightshafts,Ice/FX_Dungeon_Ice_Snow,FX_Dungeon_Ice_Plaid
,,,,,Glacier/Mosaic_Explored_Glacier_002,10,Glacier/Mosaic_A_Glacier_002,-65,5,Glacier/Stop_Barricade_Glacier_2,5,Glacier/Cylinder_Left_Glacier_002,5,Glacier/Cylinder_Right_Glacier_002,5,Glacier/Jamb_Left_Glacier_002,5,Glacier/Jamb_Right_Glacier_002,5,,,,,,,,,Glacier/Entrance_On_Glacier,,,,,
,,,,,Glacier/Mosaic_Explored_Glacier_003,10,Glacier/Mosaic_A_Glacier_003,-65,5,,,Glacier/Cylinder_Left_Glacier_003,5,Glacier/Cylinder_Right_Glacier_003,5,Glacier/Jamb_Left_Glacier_003,5,Glacier/Jamb_Right_Glacier_003,5,,,,,,,,,,,,,,
,,,,,Glacier/Mosaic_Explored_Glacier_004,10,Glacier/Mosaic_A_Glacier_004,-65,5,,,Glacier/Board_Left_Glacier,5,Glacier/Board_Right_Glacier,5,Glacier/Jamb_Left_Glacier_004,5,Glacier/Jamb_Right_Glacier_004,5,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_A_Glacier_005,-65,5,,,Glacier/Wall_Left_Glacier_001,5,Glacier/Wall_Right_Glacier_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_A_Glacier_006,-65,5,,,Glacier/Wall_Left_Glacier_002,5,Glacier/Wall_Right_Glacier_002,5,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_A_Glacier_007,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_A_Glacier_008,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_A_Glacier_009,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_B_Glacier_001,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_B_Glacier_002,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_C_Glacier_001,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glacier/Mosaic_C_Glacier_002,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_ART_TEMPLATE_004,10004,,25,Magicforest/BG_Dungeons_Tile_04,Magicforest/Mosaic_Explored_Magicforest_001,10,Magicforest/Mosaic_A_Magicforest_001,-65,5,Magicforest/Stop_Barricade_Magicforest_1,5,Magicforest/Cylinder_Left_Magicforest_001,5,Magicforest/Cylinder_Right_Magicforest_001,5,Magicforest/Jamb_Left_Magicforest_001,5,Magicforest/Jamb_Right_Magicforest_001,5,Magicforest/Wall_Joint_Magicforest,10,Magicforest/Jamb_Joint_Magicforest,10,Magicforest/Corner_Left_Magicforest,10,Magicforest/Corner_Right_Magicforest,10,Magicforest/Entrance_Off_Magicforest,,FX_Dungeon_GroundShadow,FX_Dungeon_Lightshafts,,FX_Dungeon_Forest_Plaid
,,,,,Magicforest/Mosaic_Explored_Magicforest_002,10,Magicforest/Mosaic_A_Magicforest_002,-65,5,Magicforest/Stop_Barricade_Magicforest_2,5,Magicforest/Cylinder_Left_Magicforest_002,5,Magicforest/Cylinder_Right_Magicforest_002,5,Magicforest/Jamb_Left_Magicforest_002,5,Magicforest/Jamb_Right_Magicforest_002,5,,,,,,,,,Magicforest/Entrance_On_Magicforest,,,,,
,,,,,Magicforest/Mosaic_Explored_Magicforest_003,10,Magicforest/Mosaic_A_Magicforest_003,-65,5,,,Magicforest/Cylinder_Left_Magicforest_003,5,Magicforest/Cylinder_Right_Magicforest_003,5,Magicforest/Jamb_Left_Magicforest_003,5,Magicforest/Jamb_Right_Magicforest_003,5,,,,,,,,,,,,,,
,,,,,Magicforest/Mosaic_Explored_Magicforest_004,10,Magicforest/Mosaic_A_Magicforest_004,-65,5,,,Magicforest/Board_Left_Magicforest,5,Magicforest/Board_Right_Magicforest,5,Magicforest/Jamb_Left_Magicforest_004,5,Magicforest/Jamb_Right_Magicforest_004,5,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_A_Magicforest_005,-65,5,,,Magicforest/Wall_Left_Magicforest_001,5,Magicforest/Wall_Right_Magicforest_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_A_Magicforest_006,-65,5,,,Magicforest/Wall_Left_Magicforest_002,5,Magicforest/Wall_Right_Magicforest_002,5,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_A_Magicforest_007,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_A_Magicforest_008,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_A_Magicforest_009,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_B_Magicforest_001,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_B_Magicforest_002,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_C_Magicforest_001,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest/Mosaic_C_Magicforest_002,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_ART_TEMPLATE_005,10005,,25,Magicforest/BG_Dungeons_Tile_04,Magicforest2/Mosaic_Explored_Magicforest_2_001,10,Magicforest2/Mosaic_A_Magicforest_2_001,-65,5,Magicforest2/Stop_Barricade_Magicforest_2_1,5,Magicforest2/Cylinder_Left_Magicforest_2_001,5,Magicforest2/Cylinder_Right_Magicforest_2_001,5,Magicforest2/Jamb_Left_Magicforest_2_001,5,Magicforest2/Jamb_Right_Magicforest_2_001,5,Magicforest2/Wall_Joint_Magicforest_2,10,Magicforest2/Jamb_Joint_Magicforest_2,10,Magicforest2/Corner_Left_Magicforest_2,10,Magicforest2/Corner_Right_Magicforest_2,10,Magicforest2/Entrance_Off_Magicforest_2,,FX_Dungeon_GroundShadow,FX_Dungeon_Lightshafts,,FX_Dungeon_Forest_Plaid
,,,,,Magicforest2/Mosaic_Explored_Magicforest_2_002,10,Magicforest2/Mosaic_A_Magicforest_2_002,-65,5,Magicforest2/Stop_Barricade_Magicforest_2_2,5,Magicforest2/Cylinder_Left_Magicforest_2_002,5,Magicforest2/Cylinder_Right_Magicforest_2_002,5,Magicforest2/Jamb_Left_Magicforest_2_002,5,Magicforest2/Jamb_Right_Magicforest_2_002,5,,,,,,,,,Magicforest2/Entrance_On_Magicforest_2,,,,,
,,,,,Magicforest2/Mosaic_Explored_Magicforest_2_003,10,Magicforest2/Mosaic_A_Magicforest_2_003,-65,5,,,Magicforest2/Cylinder_Left_Magicforest_2_003,5,Magicforest2/Cylinder_Right_Magicforest_2_003,5,Magicforest2/Jamb_Left_Magicforest_2_003,5,Magicforest2/Jamb_Right_Magicforest_2_003,5,,,,,,,,,,,,,,
,,,,,Magicforest2/Mosaic_Explored_Magicforest_2_004,10,Magicforest2/Mosaic_A_Magicforest_2_004,-65,5,,,Magicforest2/Board_Left_Magicforest_2,5,Magicforest2/Board_Right_Magicforest_2,5,Magicforest2/Jamb_Left_Magicforest_2_004,5,Magicforest2/Jamb_Right_Magicforest_2_004,5,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_A_Magicforest_2_005,-65,5,,,Magicforest2/Wall_Left_Magicforest_2_001,5,Magicforest2/Wall_Right_Magicforest_2_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_A_Magicforest_2_006,-65,5,,,Magicforest2/Wall_Left_Magicforest_2_002,5,Magicforest2/Wall_Right_Magicforest_2_002,5,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_A_Magicforest_2_007,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_A_Magicforest_2_008,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_A_Magicforest_2_009,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_B_Magicforest_2_001,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_B_Magicforest_2_002,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_C_Magicforest_2_001,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magicforest2/Mosaic_C_Magicforest_2_002,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_ART_TEMPLATE_006,10006,,25,LavaField/BG_Dungeons_Tile_06,LavaField/Mosaic_Explored_LavaField_001,10,LavaField/Mosaic_A_LavaField_001,-65,5,LavaField/Stop_Barricade_LavaField_1,5,LavaField/Cylinder_Left_LavaField_001,5,LavaField/Cylinder_Right_LavaField_001,5,LavaField/Jamb_Left_LavaField_001,5,LavaField/Jamb_Right_LavaField_001,5,LavaField/Wall_Joint_LavaField,10,LavaField/Jamb_Joint_LavaField,10,LavaField/Corner_Left_LavaField,10,LavaField/Corner_Right_LavaField,10,LavaField/Entrance_Off_LavaField,Lava/FX_Dungeon_Lava_Click,FX_Dungeon_GroundShadow,FX_Dungeon_Desert_Lightshafts,FX_Dungeon_Lava_Dust,FX_Dungeon_Lava_Plaid_1
,,,,,LavaField/Mosaic_Explored_LavaField_002,10,LavaField/Mosaic_A_LavaField_002,-65,5,LavaField/Stop_Barricade_LavaField_2,5,LavaField/Cylinder_Left_LavaField_002,5,LavaField/Cylinder_Right_LavaField_002,5,LavaField/Jamb_Left_LavaField_002,5,LavaField/Jamb_Right_LavaField_002,5,,,,,,,,,LavaField/Entrance_On_LavaField,,,,,
,,,,,LavaField/Mosaic_Explored_LavaField_003,10,LavaField/Mosaic_A_LavaField_003,-65,5,,,LavaField/Cylinder_Left_LavaField_003,5,LavaField/Cylinder_Right_LavaField_003,5,LavaField/Jamb_Left_LavaField_003,5,LavaField/Jamb_Right_LavaField_003,5,,,,,,,,,,,,,,
,,,,,LavaField/Mosaic_Explored_LavaField_004,10,LavaField/Mosaic_A_LavaField_004,-65,5,,,LavaField/Board_Left_LavaField,5,LavaField/Board_Right_LavaField,5,LavaField/Jamb_Left_LavaField_004,5,LavaField/Jamb_Right_LavaField_004,5,,,,,,,,,,,,,,
,,,,,,,LavaField/Mosaic_A_LavaField_005,-65,5,,,LavaField/Wall_Left_LavaField_001,5,LavaField/Wall_Right_LavaField_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,LavaField/Mosaic_A_LavaField_006,-65,5,,,LavaField/Wall_Left_LavaField_002,5,LavaField/Wall_Right_LavaField_002,5,,,,,,,,,,,,,,,,,,
