_ID,_VALUE,Type:string,Level:int,AttributeType:string[],AttributeNum:obsint[],AttributeDes:loc[],SuitsId:id
,,,,Magic,232,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_30,30,Helmet,8,HP,2280,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_8
NEW_EQUIPMENT_ATTRIBUTE_31,31,Boots,8,HP,1520,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_8
NEW_EQUIPMENT_ATTRIBUTE_32,32,Weapon,8,Damage,348,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_8
,,,,Magic,348,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_33,33,Armor,9,Damage,284,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_9
,,,,Magic,284,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_34,34,Helmet,9,HP,2793,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_9
NEW_EQUIPMENT_ATTRIBUTE_35,35,Boots,9,HP,1862,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_9
NEW_EQUIPMENT_ATTRIBUTE_36,36,Weapon,9,Damage,426,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_9
,,,,Magic,426,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_37,37,Armor,10,Damage,336,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_10
,,,,Magic,336,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_38,38,Helmet,10,HP,3306,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_10
NEW_EQUIPMENT_ATTRIBUTE_39,39,Boots,10,HP,2204,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_10
NEW_EQUIPMENT_ATTRIBUTE_40,40,Weapon,10,Damage,505,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_10
,,,,Magic,505,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_41,41,Armor,11,Damage,388,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_11
,,,,Magic,388,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_42,42,Helmet,11,HP,3819,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_11
NEW_EQUIPMENT_ATTRIBUTE_43,43,Boots,11,HP,2546,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_11
NEW_EQUIPMENT_ATTRIBUTE_44,44,Weapon,11,Damage,583,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_11
,,,,Magic,583,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_45,45,Armor,12,Damage,441,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_12
,,,,Magic,441,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_46,46,Helmet,12,HP,4332,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_12
NEW_EQUIPMENT_ATTRIBUTE_47,47,Boots,12,HP,2888,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_12
NEW_EQUIPMENT_ATTRIBUTE_48,48,Weapon,12,Damage,661,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_12
,,,,Magic,661,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_49,49,Armor,13,Damage,882,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_13
,,,,Magic,882,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_50,50,Helmet,13,HP,8664,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_13
NEW_EQUIPMENT_ATTRIBUTE_51,51,Boots,13,HP,5776,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_13
NEW_EQUIPMENT_ATTRIBUTE_52,52,Weapon,13,Damage,1322,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_13
,,,,Magic,1322,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_53,53,Armor,14,Damage,986,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_14
,,,,Magic,986,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_54,54,Helmet,14,HP,9690,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_14
NEW_EQUIPMENT_ATTRIBUTE_55,55,Boots,14,HP,6460,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_14
NEW_EQUIPMENT_ATTRIBUTE_56,56,Weapon,14,Damage,1479,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_14
,,,,Magic,1479,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_57,57,Armor,15,Damage,1102,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_15
,,,,Magic,1102,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_58,58,Helmet,15,HP,10830,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_15
NEW_EQUIPMENT_ATTRIBUTE_59,59,Boots,15,HP,7220,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_15
NEW_EQUIPMENT_ATTRIBUTE_60,60,Weapon,15,Damage,1653,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_15
,,,,Magic,1653,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_61,61,Armor,16,Damage,1218,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_16
,,,,Magic,1218,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_62,62,Helmet,16,HP,11970,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_16
NEW_EQUIPMENT_ATTRIBUTE_63,63,Boots,16,HP,7980,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_16
NEW_EQUIPMENT_ATTRIBUTE_64,64,Weapon,16,Damage,1827,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_16
,,,,Magic,1827,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_65,65,Armor,17,Damage,1392,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_17
,,,,Magic,1392,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_66,66,Helmet,17,HP,13680,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_17
NEW_EQUIPMENT_ATTRIBUTE_67,67,Boots,17,HP,9120,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_17
NEW_EQUIPMENT_ATTRIBUTE_68,68,Weapon,17,Damage,2088,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_17
,,,,Magic,2088,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_69,69,Armor,18,Damage,1566,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_18
,,,,Magic,1566,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_70,70,Helmet,18,HP,15390,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_18
NEW_EQUIPMENT_ATTRIBUTE_71,71,Boots,18,HP,10260,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_18
NEW_EQUIPMENT_ATTRIBUTE_72,72,Weapon,18,Damage,2349,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_18
,,,,Magic,2349,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_73,73,Armor,19,Damage,1740,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_19
,,,,Magic,1740,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_74,74,Helmet,19,HP,17100,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_19
NEW_EQUIPMENT_ATTRIBUTE_75,75,Boots,19,HP,11400,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_19
NEW_EQUIPMENT_ATTRIBUTE_76,76,Weapon,19,Damage,2610,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_19
,,,,Magic,2610,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_77,77,Armor,20,Damage,1914,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_20
,,,,Magic,1914,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_78,78,Helmet,20,HP,18810,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_20
NEW_EQUIPMENT_ATTRIBUTE_79,79,Boots,20,HP,12540,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_20
NEW_EQUIPMENT_ATTRIBUTE_80,80,Weapon,20,Damage,2871,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_20
,,,,Magic,2871,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_81,81,Armor,21,Damage,2088,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_21
,,,,Magic,2088,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_82,82,Helmet,21,HP,20520,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_21
NEW_EQUIPMENT_ATTRIBUTE_83,83,Boots,21,HP,13680,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_21
NEW_EQUIPMENT_ATTRIBUTE_84,84,Weapon,21,Damage,3132,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_21
,,,,Magic,3132,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_85,85,Armor,22,Damage,2262,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_22
,,,,Magic,2262,LOC_SPAR_DES_MGK,
,,,,CriticalHit,100,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_86,86,Helmet,22,HP,22230,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_22
NEW_EQUIPMENT_ATTRIBUTE_87,87,Boots,22,HP,14820,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_22
NEW_EQUIPMENT_ATTRIBUTE_88,88,Weapon,22,Damage,3393,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_22
,,,,Magic,3393,LOC_SPAR_DES_MGK,
,,,,CriticalHit,100,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_89,89,Armor,23,Damage,2552,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_23
,,,,Magic,2552,LOC_SPAR_DES_MGK,
,,,,CriticalHit,100,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_90,90,Helmet,23,HP,25080,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_23
NEW_EQUIPMENT_ATTRIBUTE_91,91,Boots,23,HP,16720,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_23
NEW_EQUIPMENT_ATTRIBUTE_92,92,Weapon,23,Damage,3828,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_23
,,,,Magic,3828,LOC_SPAR_DES_MGK,
,,,,CriticalHit,200,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_93,93,Armor,24,Damage,3480,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_24
,,,,Magic,3480,LOC_SPAR_DES_MGK,
,,,,CriticalHit,200,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_94,94,Helmet,24,HP,34200,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_24
NEW_EQUIPMENT_ATTRIBUTE_95,95,Boots,24,HP,22800,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_24
NEW_EQUIPMENT_ATTRIBUTE_96,96,Weapon,24,Damage,5220,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_24
,,,,Magic,5220,LOC_SPAR_DES_MGK,
,,,,CriticalHit,300,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_97,97,Armor,25,Damage,4408,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_25
,,,,Magic,4408,LOC_SPAR_DES_MGK,
,,,,CriticalHit,300,LOC_SPAR_DES_CRT,
NEW_EQUIPMENT_ATTRIBUTE_98,98,Helmet,25,HP,43320,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_25
NEW_EQUIPMENT_ATTRIBUTE_99,99,Boots,25,HP,28880,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_25
NEW_EQUIPMENT_ATTRIBUTE_100,100,Weapon,25,Damage,6612,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_25
,,,,Magic,6612,LOC_SPAR_DES_MGK,
,,,,CriticalHit,400,LOC_SPAR_DES_CRT,
