_INDEX,PlayerLevel:int,Chest1:int,Chest2:int,Chest3:int,Chest4:int,Chest5:int,Chest6:int,Chest7:int,Chest8:int,Chest9:int,Chest10:int,Chest11:int,Chest12:int
31,32,80800,80800,242400,161600,161600,484800,242400,242400,727200,323200,323200,969600
32,33,84100,84100,252300,168200,168200,504600,252300,252300,756900,336400,336400,1009200
33,34,87400,87400,262200,174800,174800,524400,262200,262200,786600,349600,349600,1048800
34,35,90700,90700,272100,181400,181400,544200,272100,272100,816300,362800,362800,1088400
35,36,93000,93000,279000,186000,186000,558000,279000,279000,837000,372000,372000,1116000
36,37,95300,95300,285900,190600,190600,571800,285900,285900,857700,381200,381200,1143600
37,38,97600,97600,292800,195200,195200,585600,292800,292800,878400,390400,390400,1171200
38,39,99900,99900,299700,199800,199800,599400,299700,299700,899100,399600,399600,1198800
39,40,102200,102200,306600,204400,204400,613200,306600,306600,919800,408800,408800,1226400
40,41,104500,104500,313500,209000,209000,627000,313500,313500,940500,418000,418000,1254000
41,42,106800,106800,320400,213600,213600,640800,320400,320400,961200,427200,427200,1281600
42,43,109100,109100,327300,218200,218200,654600,327300,327300,981900,436400,436400,1309200
43,44,111400,111400,334200,222800,222800,668400,334200,334200,1002600,445600,445600,1336800
44,45,113700,113700,341100,227400,227400,682200,341100,341100,1023300,454800,454800,1364400
45,46,116000,116000,348000,232000,232000,696000,348000,348000,1044000,464000,464000,1392000
46,47,118300,118300,354900,236600,236600,709800,354900,354900,1064700,473200,473200,1419600
47,48,120600,120600,361800,241200,241200,723600,361800,361800,1085400,482400,482400,1447200
48,49,122900,122900,368700,245800,245800,737400,368700,368700,1106100,491600,491600,1474800
49,50,125200,125200,375600,250400,250400,751200,375600,375600,1126800,500800,500800,1502400
50,51,127500,127500,382500,255000,255000,765000,382500,382500,1147500,510000,510000,1530000
51,52,129800,129800,389400,259600,259600,778800,389400,389400,1168200,519200,519200,1557600
52,53,132100,132100,396300,264200,264200,792600,396300,396300,1188900,528400,528400,1585200
53,54,134400,134400,403200,268800,268800,806400,403200,403200,1209600,537600,537600,1612800
54,55,136700,136700,410100,273400,273400,820200,410100,410100,1230300,546800,546800,1640400
55,56,137600,137600,412800,275200,275200,825600,412800,412800,1238400,550400,550400,1651200
56,57,138500,138500,415500,277000,277000,831000,415500,415500,1246500,554000,554000,1662000
57,58,139400,139400,418200,278800,278800,836400,418200,418200,1254600,557600,557600,1672800
58,59,140300,140300,420900,280600,280600,841800,420900,420900,1262700,561200,561200,1683600
59,60,141200,141200,423600,282400,282400,847200,423600,423600,1270800,564800,564800,1694400
60,61,142100,142100,426300,284200,284200,852600,426300,426300,1278900,568400,568400,1705200
61,62,143000,143000,429000,286000,286000,858000,429000,429000,1287000,572000,572000,1716000
62,63,143900,143900,431700,287800,287800,863400,431700,431700,1295100,575600,575600,1726800
63,64,144800,144800,434400,289600,289600,868800,434400,434400,1303200,579200,579200,1737600
64,65,145700,145700,437100,291400,291400,874200,437100,437100,1311300,582800,582800,1748400
65,66,146600,146600,439800,293200,293200,879600,439800,439800,1319400,586400,586400,1759200
66,67,147500,147500,442500,295000,295000,885000,442500,442500,1327500,590000,590000,1770000
67,68,148400,148400,445200,296800,296800,890400,445200,445200,1335600,593600,593600,1780800
68,69,149300,149300,447900,298600,298600,895800,447900,447900,1343700,597200,597200,1791600
69,70,150200,150200,450600,300400,300400,901200,450600,450600,1351800,600800,600800,1802400
70,71,151100,151100,453300,302200,302200,906600,453300,453300,1359900,604400,604400,1813200
71,72,152000,152000,456000,304000,304000,912000,456000,456000,1368000,608000,608000,1824000
72,73,152900,152900,458700,305800,305800,917400,458700,458700,1376100,611600,611600,1834800
73,74,153800,153800,461400,307600,307600,922800,461400,461400,1384200,615200,615200,1845600
74,75,154700,154700,464100,309400,309400,928200,464100,464100,1392300,618800,618800,1856400
75,76,155600,155600,466800,311200,311200,933600,466800,466800,1400400,622400,622400,1867200
76,77,156500,156500,469500,313000,313000,939000,469500,469500,1408500,626000,626000,1878000
77,78,157400,157400,472200,314800,314800,944400,472200,472200,1416600,629600,629600,1888800
78,79,158300,158300,474900,316600,316600,949800,474900,474900,1424700,633200,633200,1899600
79,80,159200,159200,477600,318400,318400,955200,477600,477600,1432800,636800,636800,1910400
80,81,160100,160100,480300,320200,320200,960600,480300,480300,1440900,640400,640400,1921200
81,82,161000,161000,483000,322000,322000,966000,483000,483000,1449000,644000,644000,1932000
82,83,161900,161900,485700,323800,323800,971400,485700,485700,1457100,647600,647600,1942800
83,84,162800,162800,488400,325600,325600,976800,488400,488400,1465200,651200,651200,1953600
84,85,163700,163700,491100,327400,327400,982200,491100,491100,1473300,654800,654800,1964400
85,86,164600,164600,493800,329200,329200,987600,493800,493800,1481400,658400,658400,1975200
86,87,165500,165500,496500,331000,331000,993000,496500,496500,1489500,662000,662000,1986000
87,88,166400,166400,499200,332800,332800,998400,499200,499200,1497600,665600,665600,1996800
88,89,167300,167300,501900,334600,334600,1003800,501900,501900,1505700,669200,669200,2007600
89,90,168200,168200,504600,336400,336400,1009200,504600,504600,1513800,672800,672800,2018400
90,91,169100,169100,507300,338200,338200,1014600,507300,507300,1521900,676400,676400,2029200
91,92,170000,170000,510000,340000,340000,1020000,510000,510000,1530000,680000,680000,2040000
92,93,170900,170900,512700,341800,341800,1025400,512700,512700,1538100,683600,683600,2050800
93,94,171800,171800,515400,343600,343600,1030800,515400,515400,1546200,687200,687200,2061600
94,95,172700,172700,518100,345400,345400,1036200,518100,518100,1554300,690800,690800,2072400
95,96,173600,173600,520800,347200,347200,1041600,520800,520800,1562400,694400,694400,2083200
96,97,174500,174500,523500,349000,349000,1047000,523500,523500,1570500,698000,698000,2094000
97,98,175400,175400,526200,350800,350800,1052400,526200,526200,1578600,701600,701600,2104800
98,99,176300,176300,528900,352600,352600,1057800,528900,528900,1586700,705200,705200,2115600
99,100,177200,177200,531600,354400,354400,1063200,531600,531600,1594800,708800,708800,2126400
100,101,178100,178100,534300,356200,356200,1068600,534300,534300,1602900,712400,712400,2137200
101,102,179000,179000,537000,358000,358000,1074000,537000,537000,1611000,716000,716000,2148000
102,103,179900,179900,539700,359800,359800,1079400,539700,539700,1619100,719600,719600,2158800
103,104,180800,180800,542400,361600,361600,1084800,542400,542400,1627200,723200,723200,2169600
104,105,181700,181700,545100,363400,363400,1090200,545100,545100,1635300,726800,726800,2180400
105,106,182600,182600,547800,365200,365200,1095600,547800,547800,1643400,730400,730400,2191200
106,107,183500,183500,550500,367000,367000,1101000,550500,550500,1651500,734000,734000,2202000
107,108,184400,184400,553200,368800,368800,1106400,553200,553200,1659600,737600,737600,2212800
108,109,185300,185300,555900,370600,370600,1111800,555900,555900,1667700,741200,741200,2223600
109,110,186200,186200,558600,372400,372400,1117200,558600,558600,1675800,744800,744800,2234400
110,111,187100,187100,561300,374200,374200,1122600,561300,561300,1683900,748400,748400,2245200
111,112,188000,188000,564000,376000,376000,1128000,564000,564000,1692000,752000,752000,2256000
112,113,188900,188900,566700,377800,377800,1133400,566700,566700,1700100,755600,755600,2266800
113,114,189800,189800,569400,379600,379600,1138800,569400,569400,1708200,759200,759200,2277600
114,115,190700,190700,572100,381400,381400,1144200,572100,572100,1716300,762800,762800,2288400
115,116,191600,191600,574800,383200,383200,1149600,574800,574800,1724400,766400,766400,2299200
116,117,192500,192500,577500,385000,385000,1155000,577500,577500,1732500,770000,770000,2310000
117,118,193400,193400,580200,386800,386800,1160400,580200,580200,1740600,773600,773600,2320800
118,119,194300,194300,582900,388600,388600,1165800,582900,582900,1748700,777200,777200,2331600
119,120,195200,195200,585600,390400,390400,1171200,585600,585600,1756800,780800,780800,2342400
