_ID,_VALUE,#GroupName:string,DropType:string,ItemID:id[],#ItemName:string[],ItemDropWeight:int[],ItemMinCount:int[],ItemMaxCount:int[],VipLimit:int[]
,,,,ITEM_SPAR_BLUE_MPEN_3,,1,1,1,0
,,,,ITEM_SPAR_BLUE_MPEN_2,,2,1,1,0
,,,,ITEM_SPAR_GREEN_HP_CRTH_3,,1,1,1,0
,,,,ITEM_SPAR_GREEN_HP_CRTH_2,,2,1,1,0
,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,,1,1,1,0
,,,,ITEM_SPAR_GREEN_ARM_MPEN_2,,2,1,1,0
,,,,ITEM_SPAR_GREEN_SPR_ARP_3,,1,1,1,0
,,,,ITEM_SPAR_GREEN_SPR_ARP_2,,2,1,1,0
,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,,1,1,1,0
,,,,ITEM_SPAR_PURPLE_ATK_ARP_2,,2,1,1,0
,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,,1,1,1,0
,,,,ITEM_SPAR_PURPLE_MGK_MPEN_2,,2,1,1,0
,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,,1,1,1,0
,,,,ITEM_SPAR_PURPLE_CRT_CRTH_2,,2,1,1,0
,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,,1,1,1,0
,,,,ITEM_SPAR_ORANGE_ATK_SPR_2,,2,1,1,0
,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,,1,1,1,0
,,,,ITEM_SPAR_ORANGE_MGK_ARM_2,,2,1,1,0
,,,,ITEM_SPAR_ORANGE_CRT_HP_3,,1,1,1,0
,,,,ITEM_SPAR_ORANGE_CRT_HP_2,,2,1,1,0
RANDOM_SSHERO_PACKAGE_DROP_1,1007,随机SS英雄礼包,Item,ITEM_EMBLEM_ALICE,格瑞兹骑士徽章,1,30,30,0
RANDOM_SS_HERO_25_QUALIFICATION_DROP,1008,25资质随机传说英雄宝箱,Item,ITEM_EMBLEM_ALICE,格瑞兹骑士徽章,1,30,30,0
RANDOM_SS_HERO_22_QUALIFICATION_DROP,1009,22资质随机传说英雄宝箱,Item,ITEM_EMBLEM_ALICE,迪雅骑士徽章,1,30,30,0
DROP_RANDOM_PACKAGE_FOOD,1010,食物礼包,Item,ITEM_FOOD_APPLE,苹果,40,1,1,0
,,,,ITEM_FOOD_BANANA,香蕉,40,1,1,0
,,,,ITEM_FOOD_GRAPE,葡萄,40,1,1,0
,,,,ITEM_FOOD_CARROT,红萝卜,40,1,1,0
,,,,ITEM_FOOD_DONUTS,甜甜圈,40,1,1,0
,,,,ITEM_FOOD_MILK,牛奶,40,1,1,0
,,,,ITEM_FOOD_MASTELA,玛丝黛拉果实,40,1,1,0
,,,,ITEM_FOOD_HONEY,蜂蜜,40,1,1,0
,,,,ITEM_FOOD_JELLY,蜂胶,40,1,1,0
,,,,ITEM_FOOD_MEAT,肉,30,1,1,0
,,,,ITEM_FOOD_MONSTER,魔物饲料,30,1,1,0
,,,,ITEM_FOOD_PUMPKIN,南瓜,30,1,1,0
,,,,ITEM_FOOD_APPLEJUICE,苹果汁,30,1,1,0
,,,,ITEM_FOOD_BANANAJUICE,香蕉汁,30,1,1,0
,,,,ITEM_FOOD_GRAPEJUICE,葡萄汁,30,1,1,0
,,,,ITEM_FOOD_CARROTJUICE,红萝卜汁,30,1,1,0
,,,,ITEM_FOOD_SHUSI,明虾寿司,30,1,1,0
,,,,ITEM_FOOD_ICECREAM,冰淇淋,30,1,1,0
,,,,ITEM_FOOD_CAKE,小蛋糕,18,1,1,0
,,,,ITEM_FOOD_CHOCOLATE,巧克力,18,1,1,0
,,,,ITEM_FOOD_LOVECHOCOLATE,手制巧克力,18,1,1,0
,,,,ITEM_FOOD_CHOCOLATEDRINK,巧克力饮料,18,1,1,0
,,,,ITEM_FOOD_ASAI,巴西梅果,18,1,1,0
,,,,ITEM_FOOD_PUMPKINCAKE,南瓜蛋糕,18,1,1,0
,,,,ITEM_FOOD_SALAD,清脆色拉,18,1,1,0
,,,,ITEM_FOOD_ROASTEDAPPLE,金黄烤苹果,18,1,1,0
,,,,ITEM_FOOD_SCORPION,烤蝎子,18,1,1,0
,,,,ITEM_FOOD_LOCUST,油炸蚂蚱,18,1,1,0
,,,,ITEM_FOOD_RIBS,药草腌排骨,9,1,1,0
,,,,ITEM_FOOD_CRAB,蒸蟹螯,9,1,1,0
,,,,ITEM_FOOD_JELLYFISH,凉拌海蜇,9,1,1,0
,,,,ITEM_FOOD_FISH,人鱼料理,9,1,1,0
,,,,ITEM_FOOD_PIG,整只BBQ,9,1,1,0
,,,,ITEM_FOOD_SOUP,不死之汤,9,1,1,0
,,,,ITEM_FOOD_CROCODILE,特制烤鳄鱼蒸野菜,9,1,1,0
,,,,ITEM_FOOD_FTQ,特制佛跳墙,9,1,1,0
,,,,ITEM_FOOD_NINETAIL,特大九尾狐尾巴料理,9,1,1,0
,,,,ITEM_FOOD_RICECAKE,咸咸的糕饼,9,1,1,0
LUCKY_BAG_RANDOM_PACKAGE_DROP,1011,福袋掉落,Item,ITEM_CRYSTAL,水晶,198,5,15,0
,,,,ITEM_BANQUET_TICKET,魔物招募券,1,10,10,0
,,,,ITEM_MONSTER_SPLINTER_ALL_4,全阵营SS碎片,1,60,60,0
LUCKY_BAG_RANDOM_PACKAGE_DROP_2,1012,GP福袋掉落,Item,ITEM_CRYSTAL,水晶,99,1,199,0
,,,,ITEM_SPAR_KEY,晶石钥匙,1,10,10,0
DROP_RANDOM_PACKAGE_FOOD_BLUE,1013,普通食物礼包,Item,ITEM_FOOD_MEAT,肉,1,1,1,0
,,,,ITEM_FOOD_MONSTER,魔物饲料,1,1,1,0
,,,,ITEM_FOOD_PUMPKIN,南瓜,1,1,1,0
,,,,ITEM_FOOD_APPLEJUICE,苹果汁,1,1,1,0
,,,,ITEM_FOOD_BANANAJUICE,香蕉汁,1,1,1,0
,,,,ITEM_FOOD_GRAPEJUICE,葡萄汁,1,1,1,0
,,,,ITEM_FOOD_CARROTJUICE,红萝卜汁,1,1,1,0
,,,,ITEM_FOOD_SHUSI,明虾寿司,1,1,1,0
,,,,ITEM_FOOD_ICECREAM,冰淇淋,1,1,1,0
LUCKY_BAG_BANQUET_TICKET_RANDOM_PACKAGE_DROP,1014,福袋掉落,Item,ITEM_CRYSTAL,水晶,99,1,199,0
,,,,ITEM_BANQUET_TICKET,魔物招募券,1,10,10,0
FEEDERMAP_DROP_1,1101,秘境挑战掉落,Item,ITEM_CRYSTAL,水晶,1,200,200,0
FEEDERMAP_SHOW_DROP_1,1102,秘境挑战掉落展示,Item,ITEM_CRYSTAL,水晶,1,200,200,0
SKY_SINGLE_MAP_DROP_1,1201,天空单人-灵晶1,Item,ITEM_HERO_SHOP_COIN,灵晶,1,30,30,0
SKY_SINGLE_MAP_DROP_2,1202,天空单人-灵晶2,Item,ITEM_HERO_SHOP_COIN,灵晶,1,100,100,0
SKY_SINGLE_MAP_DROP_3,1301,天空单人-圣器1,Item,ITEM_CORPS_BREAK_ARCHER_BLUE_5,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_5,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_5,圣器,1,1,1,0
SKY_SINGLE_MAP_DROP_4,1302,天空单人-圣器2,Item,ITEM_CORPS_BREAK_ARCHER_BLUE_10,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_10,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_10,圣器,1,1,1,0
SKY_SINGLE_MAP_DROP_5,1303,天空单人-圣器3,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_5,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_5,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_5,圣器,1,1,1,0
SKY_SINGLE_MAP_DROP_6,1304,天空单人-圣器4,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_10,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_10,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_10,圣器,1,1,1,0
SKY_SINGLE_MAP_DROP_7,1305,天空单人-圣器5,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_15,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_15,圣器,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_15,圣器,1,1,1,0
SKY_SINGLE_MAP_DROP_8,1401,天空单人-装备1,Item,ITEM_CORPS_BREAK_ARCHER_GREEN_1,弓兵绿装1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,弓兵绿装2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,弓兵绿装3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,弓兵绿装4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,骑兵绿装1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,骑兵绿装2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,骑兵绿装3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,骑兵绿装4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,步兵绿装1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,步兵绿装2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,步兵绿装3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,步兵绿装4,1,1,1,0
SKY_SINGLE_MAP_DROP_9,1402,天空单人-装备2,Item,ITEM_CORPS_BREAK_ARCHER_BLUE_1,弓兵蓝装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_2,弓兵蓝装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_3,弓兵蓝装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_4,弓兵蓝装A4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_1,骑兵蓝装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_2,骑兵蓝装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_3,骑兵蓝装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_4,骑兵蓝装A4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_1,步兵蓝装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_2,步兵蓝装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_3,步兵蓝装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_4,步兵蓝装A4,1,1,1,0
SKY_SINGLE_MAP_DROP_10,1403,天空单人-装备3,Item,ITEM_CORPS_BREAK_ARCHER_BLUE_6,弓兵蓝装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_7,弓兵蓝装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_8,弓兵蓝装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_9,弓兵蓝装B4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_6,骑兵蓝装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_7,骑兵蓝装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_8,骑兵蓝装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_BLUE_9,骑兵蓝装B4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_6,步兵蓝装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_7,步兵蓝装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_8,步兵蓝装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_BLUE_9,步兵蓝装B4,1,1,1,0
SKY_SINGLE_MAP_DROP_11,1404,天空单人-装备4,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_1,弓兵紫装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_2,弓兵紫装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_3,弓兵紫装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_4,弓兵紫装A4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_1,骑兵紫装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_2,骑兵紫装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_3,骑兵紫装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_4,骑兵紫装A4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_1,步兵紫装A1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_2,步兵紫装A2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_3,步兵紫装A3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_4,步兵紫装A4,1,1,1,0
SKY_SINGLE_MAP_DROP_12,1405,天空单人-装备5,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_6,弓兵紫装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_7,弓兵紫装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_8,弓兵紫装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_9,弓兵紫装B4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_6,骑兵紫装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_7,骑兵紫装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_8,骑兵紫装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_9,骑兵紫装B4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_6,步兵紫装B1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_7,步兵紫装B2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_8,步兵紫装B3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_9,步兵紫装B4,1,1,1,0
SKY_SINGLE_MAP_DROP_13,1406,天空单人-装备6,Item,ITEM_CORPS_BREAK_ARCHER_PURPLE_11,弓兵紫装C1,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_12,弓兵紫装C2,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_13,弓兵紫装C3,1,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_PURPLE_14,弓兵紫装C4,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_11,骑兵紫装C1,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_12,骑兵紫装C2,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_13,骑兵紫装C3,1,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_14,骑兵紫装C4,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_11,步兵紫装C1,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_12,步兵紫装C2,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_13,步兵紫装C3,1,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_14,步兵紫装C4,1,1,1,0
SKY_SINGLE_MAP_DROP_NEW_1,1501,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,30,30,0
SKY_SINGLE_MAP_DROP_NEW_2,1502,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,10,10,0
SKY_SINGLE_MAP_DROP_NEW_3,1503,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,20,20,0
SKY_SINGLE_MAP_DROP_NEW_4,1504,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,50,50,0
SKY_SINGLE_MAP_DROP_NEW_5,1505,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,188,188,0
SKY_SINGLE_MAP_DROP_NEW_6,1506,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,88,88,0
SKY_SINGLE_MAP_DROP_NEW_7,1507,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,35,35,0
SKY_SINGLE_MAP_DROP_NEW_8,1508,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,15,15,0
SKY_SINGLE_MAP_DROP_NEW_9,1509,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,25,25,0
SKY_SINGLE_MAP_DROP_NEW_10,1510,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,60,60,0
SKY_SINGLE_MAP_DROP_NEW_11,1511,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,228,228,0
SKY_SINGLE_MAP_DROP_NEW_12,1512,天空单人灵晶,Item,ITEM_HERO_SHOP_COIN,灵晶,1,108,108,0
DROP_HEAD_1,2001,头像掉落,Item,ITEM_DRAGON_HEAD,巨龙头像,1,1,1,0
DROP_HEAD_2,2002,头像掉落,Item,ITEM_BEAR_HEAD,冰熊头像,1,1,1,0
DROP_HEAD_3,2003,头像掉落,Item,ITEM_WOLF_HEAD,沙狼头像,1,1,1,0
DROP_HEAD_4,2004,头像掉落,Item,ITEM_MINOTAUR_HEAD,火牛头像,1,1,1,0
DROPGROUD_3001,3001,白绿蓝军装加勋章,Item,ITEM_CORPS_BREAK_ARCHER_WHITE_1,弓兵白装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_WHITE_2,弓兵白装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_WHITE_3,弓兵白装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_WHITE_4,弓兵白装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_1,骑兵白装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_2,骑兵白装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_3,骑兵白装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_WHITE_4,骑兵白装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_1,步兵白装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_2,步兵白装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_3,步兵白装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_WHITE_4,步兵白装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_1,弓兵绿装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,弓兵绿装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,弓兵绿装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,弓兵绿装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,骑兵绿装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,骑兵绿装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,骑兵绿装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,骑兵绿装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,步兵绿装1,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,步兵绿装2,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,步兵绿装3,10,1,1,0
,,,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,步兵绿装4,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_1,弓兵蓝装A1,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_2,弓兵蓝装A2,10,1,1,0
,,,,ITEM_CORPS_BREAK_ARCHER_BLUE_3,弓兵蓝装A3,10,1,1,0
