_ID,_VALUE,FileName:string,FileName_KR:string,FileName_EN:string,FileName_CNT:string,FileName_TH:string,Volume:float
SFX_TUTPORIALTEXT_13,13,,Cnt\Rag Kr_19,En\Rag Eng_19,Cnt\Rag Kr_19,Th\SFX_TUTPORIALTEXT_13,1
SFX_TUTPORIALTEXT_14,14,,Cnt\Rag Kr_20,En\Rag Eng_20,Cnt\Rag Kr_20,Th\SFX_TUTPORIALTEXT_14,1
SFX_TUTPORIALTEXT_15,15,,Cnt\Rag Kr_21,En\Rag Eng_21,Cnt\Rag Kr_21,Th\SFX_TUTPORIALTEXT_15,1
SFX_TUTPORIALTEXT_16,16,,Cnt\Rag Kr_22,En\Rag Eng_22,Cnt\Rag Kr_22,Th\SFX_TUTPORIALTEXT_16,1
SFX_TUTPORIALTEXT_17,17,,Cnt\Rag Kr_23,En\Rag Eng_23,Cnt\Rag Kr_23,Th\SFX_TUTPORIALTEXT_17,1
SFX_TUTPORIALTEXT_18,18,,Cnt\Rag Kr_24_2,En\Rag Eng_24,Cnt\Rag Kr_24_2,Th\SFX_TUTPORIALTEXT_18,1
SFX_TUTPORIALTEXT_19,19,,Cnt\Rag Kr_25_2,En\Rag Eng_25,Cnt\Rag Kr_25_2,Th\SFX_TUTPORIALTEXT_19,1
SFX_TUTPORIALTEXT_20,20,,Cnt\Rag Kr_26_2,En\Rag Eng_26,Cnt\Rag Kr_26_2,Th\SFX_TUTPORIALTEXT_20,1
SFX_TUTPORIALTEXT_21,21,,Cnt\Rag Kr_27,En\Rag Eng_27,Cnt\Rag Kr_27,Th\SFX_TUTPORIALTEXT_21,1
SFX_TUTPORIALTEXT_22,22,,Cnt\Rag Kr_28,En\Rag Eng_28,Cnt\Rag Kr_28,Th\SFX_TUTPORIALTEXT_22,1
SFX_TUTPORIALTEXT_23,23,,Cnt\Rag Kr_29_3,En\Rag Eng_29,Cnt\Rag Kr_29_3,Th\SFX_TUTPORIALTEXT_23,1
SFX_TUTPORIALTEXT_24,24,,Cnt\Rag Kr_30,En\Rag Eng_30,Cnt\Rag Kr_30,Th\SFX_TUTPORIALTEXT_24,1
SFX_TUTPORIALTEXT_25,25,,Cnt\Rag Kr_31_2,En\Rag Eng_31,Cnt\Rag Kr_31_2,Th\SFX_TUTPORIALTEXT_25,1
SFX_TUTPORIALTEXT_26,26,,Cnt\Rag Kr_32,En\Rag Eng_32,Cnt\Rag Kr_32,Th\SFX_TUTPORIALTEXT_26,1
SFX_TUTPORIALTEXT_27,27,,Cnt\Rag Kr_33,En\Rag Eng_33,Cnt\Rag Kr_33,Th\SFX_TUTPORIALTEXT_27,1
SFX_TUTPORIALTEXT_28,28,,Cnt\Rag Kr_34_2,En\Rag Eng_34,Cnt\Rag Kr_34_2,Th\SFX_TUTPORIALTEXT_28,1
SFX_TUTPORIALTEXT_29,29,,Cnt\Rag Kr_35,En\Rag Eng_35,Cnt\Rag Kr_35,Th\SFX_TUTPORIALTEXT_29,1
SFX_TUTPORIALTEXT_30,30,,Cnt\Rag Kr_36,En\Rag Eng_36,Cnt\Rag Kr_36,Th\SFX_TUTPORIALTEXT_30,1
SFX_TUTPORIALTEXT_31,31,,Cnt\Rag Kr_37_2,En\Rag Eng_37,Cnt\Rag Kr_37_2,Th\SFX_TUTPORIALTEXT_31,1
SFX_TUTPORIALTEXT_32,32,,Cnt\Rag Kr_38,En\Rag Eng_38,Cnt\Rag Kr_38,Th\SFX_TUTPORIALTEXT_32,1
SFX_TUTPORIALTEXT_33,33,,Cnt\Rag Kr_39,En\Rag Eng_39,Cnt\Rag Kr_39,Th\SFX_TUTPORIALTEXT_33,1
SFX_TUTPORIALTEXT_34,34,,Cnt\Rag Kr_40_2,En\Rag Eng_40,Cnt\Rag Kr_40_2,Th\SFX_TUTPORIALTEXT_34,1
SFX_TUTPORIALTEXT_35,35,,Cnt\Rag Kr_41_2,En\Rag Eng_41,Cnt\Rag Kr_41_2,Th\SFX_TUTPORIALTEXT_35,1
SFX_TUTPORIALTEXT_36,36,,Cnt\Rag Kr_42,En\Rag Eng_42,Cnt\Rag Kr_42,Th\SFX_TUTPORIALTEXT_36,1
SFX_TUTPORIALTEXT_37,37,,Cnt\Rag Kr_43,En\Rag Eng_43,Cnt\Rag Kr_43,Th\SFX_TUTPORIALTEXT_37,1
SFX_TUTPORIALTEXT_38,38,,Cnt\Rag Kr_44,En\Rag Eng_44,Cnt\Rag Kr_44,Th\SFX_TUTPORIALTEXT_38,1
SFX_TUTPORIALTEXT_39,39,,Cnt\Rag Kr_45_2,En\Rag Eng_45,Cnt\Rag Kr_45_2,Th\SFX_TUTPORIALTEXT_39,1
SFX_TUTPORIALTEXT_40,40,,Cnt\Rag Kr_46_2,En\Rag Eng_46,Cnt\Rag Kr_46_2,Th\SFX_TUTPORIALTEXT_40,1
SFX_TUTPORIALTEXT_41,41,,Cnt\Rag Kr_47,En\Rag Eng_47,Cnt\Rag Kr_47,Th\SFX_TUTPORIALTEXT_41,1
SFX_TUTPORIALTEXT_42,42,,Cnt\Rag Kr_48,En\Rag Eng_48,Cnt\Rag Kr_48,Th\SFX_TUTPORIALTEXT_42,1
SFX_TUTPORIALTEXT_43,43,,Cnt\Rag Kr_49,En\Rag Eng_49,Cnt\Rag Kr_49,Th\SFX_TUTPORIALTEXT_43,1
SFX_TUTPORIALTEXT_44,44,,Cnt\Rag Kr_50,En\Rag Eng_50,Cnt\Rag Kr_50,Th\SFX_TUTPORIALTEXT_44,1
SFX_TUTPORIALTEXT_45,45,,Cnt\Rag Kr_51,En\Rag Eng_51,Cnt\Rag Kr_51,Th\SFX_TUTPORIALTEXT_45,1
SFX_TUTPORIALTEXT_46,46,,Cnt\Rag Kr_52,En\Rag Eng_52,Cnt\Rag Kr_52,Th\SFX_TUTPORIALTEXT_46,1
SFX_TUTPORIALTEXT_47,47,,Cnt\Rag Kr_53,En\Rag Eng_53,Cnt\Rag Kr_53,Th\SFX_TUTPORIALTEXT_47,1
SFX_TUTPORIALTEXT_48,48,,Cnt\Rag Kr_54,En\Rag Eng_54,Cnt\Rag Kr_54,Th\SFX_TUTPORIALTEXT_48,1
SFX_TUTPORIALTEXT_49,49,,Cnt\Rag Kr_55_2,En\Rag Eng_55,Cnt\Rag Kr_55_2,Th\SFX_TUTPORIALTEXT_49,1
SFX_TUTPORIALTEXT_50,50,,Cnt\Rag Kr_56,En\Rag Eng_56,Cnt\Rag Kr_56,Th\SFX_TUTPORIALTEXT_50,1
SFX_TUTPORIALTEXT_51,51,,Cnt\Rag Kr_57_2,En\Rag Eng_57,Cnt\Rag Kr_57_2,Th\SFX_TUTPORIALTEXT_51,1
SFX_TUTPORIALTEXT_52,52,,Cnt\Rag Kr_58_2,En\Rag Eng_58,Cnt\Rag Kr_58_2,Th\SFX_TUTPORIALTEXT_52,1
SFX_TUTPORIALTEXT_53,53,,Cnt\Rag Kr_59_2,En\Rag Eng_59,Cnt\Rag Kr_59_2,Th\SFX_TUTPORIALTEXT_53,1
SFX_TUTPORIALTEXT_54,54,,Cnt\Rag Kr_60,En\Rag Eng_60,Cnt\Rag Kr_60,Th\SFX_TUTPORIALTEXT_54,1
SFX_TUTPORIALTEXT_55,55,,Cnt\Rag Kr_61,En\Rag Eng_61,Cnt\Rag Kr_61,Th\SFX_TUTPORIALTEXT_55,1
SFX_TUTPORIALTEXT_56,56,,Cnt\Rag Kr_62,En\Rag Eng_62,Cnt\Rag Kr_62,Th\SFX_TUTPORIALTEXT_56,1
SFX_TUTPORIALTEXT_57,57,,Cnt\Rag Kr_63,En\Rag Eng_63,Cnt\Rag Kr_63,Th\SFX_TUTPORIALTEXT_57,1
SFX_TUTPORIALTEXT_58,58,,Cnt\Rag Kr_64,En\Rag Eng_64,Cnt\Rag Kr_64,Th\SFX_TUTPORIALTEXT_58,1
SFX_TUTPORIALTEXT_59,59,,Cnt\Rag Kr_65,En\Rag Eng_65,Cnt\Rag Kr_65,Th\SFX_TUTPORIALTEXT_59,1
SFX_TUTPORIALTEXT_60,60,,Cnt\Rag Kr_66_2,En\Rag Eng_66,Cnt\Rag Kr_66_2,Th\SFX_TUTPORIALTEXT_60,1
SFX_TUTPORIALTEXT_61,61,,Cnt\Rag Kr_67,En\Rag Eng_67,Cnt\Rag Kr_67,Th\SFX_TUTPORIALTEXT_61,1
SFX_TUTPORIALTEXT_62,62,,Cnt\Rag Kr_68,En\Rag Eng_68,Cnt\Rag Kr_68,Th\SFX_TUTPORIALTEXT_62,1
SFX_TUTPORIALTEXT_63,63,,Cnt\Rag Kr_69_2,En\Rag Eng_69,Cnt\Rag Kr_69_2,Th\SFX_TUTPORIALTEXT_63,1
SFX_TUTPORIALTEXT_64,64,,Cnt\Rag Kr_70_2,En\Rag Eng_70,Cnt\Rag Kr_70_2,Th\SFX_TUTPORIALTEXT_64,1
SFX_TUTPORIALTEXT_65,65,,Cnt\Rag Kr_71,En\Rag Eng_71,Cnt\Rag Kr_71,Th\SFX_TUTPORIALTEXT_65,1
SFX_TUTPORIALTEXT_66,66,,Cnt\Rag Kr_72_2,En\Rag Eng_72,Cnt\Rag Kr_72_2,Th\SFX_TUTPORIALTEXT_66,1
SFX_TUTPORIALTEXT_67,67,,Cnt\Rag Kr_73,En\Rag Eng_73,Cnt\Rag Kr_73,Th\SFX_TUTPORIALTEXT_67,1
SFX_TUTPORIALTEXT_68,68,,Cnt\Rag Kr_74,En\Rag Eng_74,Cnt\Rag Kr_74,Th\SFX_TUTPORIALTEXT_68,1
SFX_TUTPORIALTEXT_69,69,,Cnt\Rag Kr_75,En\Rag Eng_75,Cnt\Rag Kr_75,Th\SFX_TUTPORIALTEXT_69,1
SFX_TUTPORIALTEXT_70,70,,Cnt\Rag Kr_76,En\Rag Eng_76,Cnt\Rag Kr_76,Th\SFX_TUTPORIALTEXT_70,1
SFX_TUTPORIALTEXT_71,71,,Cnt\Rag Kr_77,En\Rag Eng_77,Cnt\Rag Kr_77,Th\SFX_TUTPORIALTEXT_71,1
SFX_TUTPORIALTEXT_72,72,,Cnt\Rag Kr_78,En\Rag Eng_78,Cnt\Rag Kr_78,Th\SFX_TUTPORIALTEXT_72,1
SFX_TUTPORIALTEXT_73,73,,Cnt\Rag Kr_79,En\Rag Eng_79,Cnt\Rag Kr_79,Th\SFX_TUTPORIALTEXT_73,1
SFX_TUTPORIALTEXT_74,74,,Cnt\Rag Kr_80_2,En\Rag Eng_80,Cnt\Rag Kr_80_2,Th\SFX_TUTPORIALTEXT_74,1
SFX_TUTPORIALTEXT_75,75,,Cnt\Rag Kr_81,En\Rag Eng_81,Cnt\Rag Kr_81,Th\SFX_TUTPORIALTEXT_75,1
SFX_TUTPORIALTEXT_76,76,,Cnt\Rag Kr_82,En\Rag Eng_82,Cnt\Rag Kr_82,Th\SFX_TUTPORIALTEXT_76,1
SFX_TUTPORIALTEXT_77,77,,Cnt\Rag Kr_83,En\Rag Eng_83,Cnt\Rag Kr_83,Th\SFX_TUTPORIALTEXT_77,1
SFX_TUTPORIALTEXT_78,78,,Cnt\Rag Kr_84,En\Rag Eng_84,Cnt\Rag Kr_84,Th\SFX_TUTPORIALTEXT_78,1
SFX_TUTPORIALTEXT_79,79,,Cnt\Rag Kr_85,En\Rag Eng_85,Cnt\Rag Kr_85,Th\SFX_TUTPORIALTEXT_79,1
SFX_TUTPORIALTEXT_80,80,,Cnt\Rag Kr_86,En\Rag Eng_86,Cnt\Rag Kr_86,Th\SFX_TUTPORIALTEXT_80,1
SFX_TUTPORIALTEXT_81,81,,Cnt\Rag Kr_87,En\Rag Eng_87,Cnt\Rag Kr_87,Th\SFX_TUTPORIALTEXT_81,1
SFX_TUTPORIALTEXT_82,82,,Cnt\Rag Kr_88,En\Rag Eng_88,Cnt\Rag Kr_88,Th\SFX_TUTPORIALTEXT_82,1
SFX_TUTPORIALTEXT_83,83,,Cnt\Rag Kr_89,En\Rag Eng_89,Cnt\Rag Kr_89,Th\SFX_TUTPORIALTEXT_83,1
SFX_TUTPORIALTEXT_84,84,,Cnt\Rag Kr_90_2,En\Rag Eng_90,Cnt\Rag Kr_90_2,Th\SFX_TUTPORIALTEXT_84,1
SFX_TUTPORIALTEXT_85,85,,Cnt\Rag Kr_91,En\Rag Eng_91,Cnt\Rag Kr_91,Th\SFX_TUTPORIALTEXT_85,1
SFX_TUTPORIALTEXT_86,86,,Cnt\Rag Kr_92,En\Rag Eng_92,Cnt\Rag Kr_92,Th\SFX_TUTPORIALTEXT_86,1
SFX_TUTPORIALTEXT_87,87,,Cnt\Rag Kr_93_2,En\Rag Eng_93,Cnt\Rag Kr_93_2,Th\SFX_TUTPORIALTEXT_87,1
SFX_VOICE_LOGIN,88,,Cnt\Rag Kr_01,En\Rag Eng_01,Cnt\Rag Kr_01,Th\SFX_VOICE_LOGIN,1
SFX_VOICE_LOGOUT,89,,Cnt\Rag Kr_02,En\Rag Eng_02,Cnt\Rag Kr_02,Th\SFX_VOICE_LOGOUT,1
SFX_VOICE_BATTLEWIN,90,,Cnt\Rag Kr_03,En\Rag Eng_03,Cnt\Rag Kr_03,Th\SFX_VOICE_BATTLEWIN,1
SFX_VOICE_BATTLELOSE,91,,Cnt\Rag Kr_04,En\Rag Eng_04,Cnt\Rag Kr_04,Th\SFX_VOICE_BATTLELOSE,1
SFX_VOICE_CASHSHOP,92,,Cnt\Rag Kr_05,En\Rag Eng_05,Cnt\Rag Kr_05,Th\SFX_VOICE_CASHSHOP,1
SFX_VOICE_LEVELUP,93,,Cnt\Rag Kr_06,En\Rag Eng_06,Cnt\Rag Kr_06,Th\SFX_VOICE_LEVELUP,1
