_ID,_VALUE,#Name:string,Sort:int,Type:string,UnlockConditionType:string,UnlockConditionFactor1:int,UnlockConditionFactor2:int,Painting:string,Badge:string,Music:id,Name:loc,HowToUnlock:loc,AttributeType:string{},AttributeNum:int{},AttributeKind:string{},BuffTarget:string,AttributeDes:loc{},PowerKind:string,Power:int,BuffSort:int,EquipAttributeType:string{},EquipAttributeNum:int{},EquipAttributeKind:string{},EquipBuffTarget:string,EquipAttributeDes:loc{},EquipPowerKind:string,EquipPower:int,IsShow:bool,BadgeFX:string,BadgeType:int
COLLECTION_PAINTING_11,1011,挑战好友MVP,1989,painting,Drop,,24011,UI_Picture_BG_16,,,LOC_NAME_COLLECTION_PAINTING_11,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_11,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_12,1012,竞技场战胜战斗力大于自身的敌人,1988,painting,Drop,,24012,UI_Picture_BG_08,,,LOC_NAME_COLLECTION_PAINTING_12,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_12,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_13,1013,召唤师竞技,1987,painting,Drop,,24013,UI_Picture_BG_21,,,LOC_NAME_COLLECTION_PAINTING_13,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_13,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_14,1014,魔物升星,1986,painting,Drop,,24014,UI_Picture_BG_15,,,LOC_NAME_COLLECTION_PAINTING_14,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_14,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_15,1015,成就等级奖励,1985,painting,Drop,,24015,UI_Picture_BG_07,,,LOC_NAME_COLLECTION_PAINTING_15,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_15,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_16,1016,成就等级奖励,1984,painting,Drop,,24016,UI_Picture_BG_14,,,LOC_NAME_COLLECTION_PAINTING_16,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_16,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_17,1017,成就等级奖励,1983,painting,Drop,,24017,UI_Picture_BG_19,,,LOC_NAME_COLLECTION_PAINTING_17,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_17,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_HOME,2001,BGM_主城（直接给）,2999,music,Drop,,22001,,,BGM_HOME,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_HOME,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_HOME,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_DIALOG_BGM_1,2002,BGM_（等级成就）,2998,music,Drop,,22002,,,BGM_RO_DIALOG_BGM_1,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_DIALOG_BGM_1,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_DIALOG_BGM_1,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_BATTLE,2003,BGM_冒险（冒险成就）,2997,music,Drop,,22003,,,BGM_NEW_COLLECTION_MUSIC_1,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_BATTLE,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_BATTLE,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_LOGIN,2004,BGM_登录（登录成就）,2996,music,Drop,,22004,,,BGM_RO_LOGIN,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_LOGIN,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_LOGIN,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_BGM_GOOD_MORNING,2005,BGM_（成就成就）,2995,music,Drop,,22005,,,BGM_GOOD_MORNING,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_BGM_GOOD_MORNING,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_BGM_GOOD_MORNING,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_GEFFEN_TOWER,2006,BGM_吉芬塔（吉芬塔成就）,2994,music,Drop,,22006,,,BGM_RO_GEFFEN_TOWER,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_GEFFEN_TOWER,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_GEFFEN_TOWER,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_BATTLE_DOJO,2007,BGM_道场（道场成就）,2993,music,Drop,,22007,,,BGM_RO_BATTLE_DOJO,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_BATTLE_DOJO,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_BATTLE_DOJO,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_LOTTERY,2008,BGM_孵蛋（获得魔物成就）,2992,music,Drop,,22008,,,BGM_LOTTERY,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_LOTTERY,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_LOTTERY,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_HATCH,2009,BGM_孵蛋（隐藏孵蛋成就）,2991,music,Drop,,22009,,,BGM_HATCH,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_HATCH,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_HATCH,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_PRO_BATTLE,2010,BGM_（竞技胜场）,2990,music,Drop,,22010,,,BGM_NEW_COLLECTION_MUSIC_2,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_PRO_BATTLE,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_PRO_BATTLE,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_BATTLE_SUMMONNER_DUEL,2011,BGM_召唤师（召唤师成就）,2989,music,Drop,,22011,,,BGM_NEW_COLLECTION_MUSIC_3,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_BATTLE_SUMMONNER_DUEL,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_BATTLE_SUMMONNER_DUEL,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_GUILD,2012,BGM_公会（公会签到成就）,2988,music,Drop,,22012,,,BGM_RO_GUILD,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_GUILD,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_GUILD,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_EREBOS_PRELUD,2013,BGM_公会战（公会战成就）,2987,music,Drop,,22013,,,BGM_EREBOS_PRELUD,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_EREBOS_PRELUD,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_EREBOS_PRELUD,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_HONOR,2014,BGM_巅峰竞技场（巅峰竞技场成就）,2986,music,Drop,,22014,,,BGM_HONOR,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_HONOR,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_HONOR,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_ENDLESS_TOWER_START,2015,BGM_无尽塔（无尽塔成就）,2985,music,Drop,,22015,,,BGM_RO_ENDLESS_TOWER_START,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_ENDLESS_TOWER_START,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_ENDLESS_TOWER_START,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV,2016,BGM_久仰大名,2984,music,Drop,,22016,,,BGM_NEW_COLLECTION_MUSIC_4,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_ACTIVITY_LOGIN_REWARD,2017,BGM_WELCOME_MY_LORD,2983,music,Drop,,22017,,,BGM_NEW_COLLECTION_MUSIC_5,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_ACTIVITY_LOGIN_REWARD,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_ACTIVITY_LOGIN_REWARD,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV_2,2018,BGM_ONE_FINE_DAY,2982,music,Drop,,22018,,,BGM_NEW_COLLECTION_MUSIC_6,LOC_NAME_ITEM_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV_2,LOC_HOW_TO_UNLOCK_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV_2,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_BADGE_ADVENTURE_LV_1,3001,初心者1,3999,badge,Drop,,23001,,ICON_COLLECTION_BADGE_ADVENTURE_LV_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_LV_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_LV_1,HP,2500,Constant,Hero,LOC_BADGE_BUFF_DES_HP,Constant,5,8989,HP,20,Percentage,Group,LOC_BADGE_BUFF_DES_HP,Percentage,10,TRUE,,1
COLLECTION_BADGE_ADVENTURE_LV_2,3002,初心者2,3998,badge,Drop,,23002,,ICON_COLLECTION_BADGE_ADVENTURE_LV_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_LV_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_LV_2,HP,5000,Constant,Hero,LOC_BADGE_BUFF_DES_HP,Constant,10,8988,HP,30,Percentage,Group,LOC_BADGE_BUFF_DES_HP,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,1
COLLECTION_BADGE_ADVENTURE_LV_3,3003,初心者3,3997,badge,Drop,,23003,,ICON_COLLECTION_BADGE_ADVENTURE_LV_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_LV_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_LV_3,HP,7500,Constant,Hero,LOC_BADGE_BUFF_DES_HP,Constant,15,8987,HP,50,Percentage,Group,LOC_BADGE_BUFF_DES_HP,Percentage,25,TRUE,FX_UI_Badge_Stars_High,1
COLLECTION_BADGE_ADVENTURE_ADVENTURE_1,3004,冒险家1,3996,badge,Drop,,23004,,ICON_COLLECTION_BADGE_ADVENTURE_ADVENTURE_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ADVENTURE_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_ADVENTURE_1,Armor,10,Constant,Character,LOC_BADGE_BUFF_DES_ARMOR,Constant,5,7959,Armor,20,Percentage,Group,LOC_BADGE_BUFF_DES_ARMOR,Percentage,10,TRUE,,2
COLLECTION_BADGE_ADVENTURE_ADVENTURE_2,3005,冒险家2,3995,badge,Drop,,23005,,ICON_COLLECTION_BADGE_ADVENTURE_ADVENTURE_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ADVENTURE_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_ADVENTURE_2,Armor,20,Constant,Character,LOC_BADGE_BUFF_DES_ARMOR,Constant,10,7958,Armor,30,Percentage,Group,LOC_BADGE_BUFF_DES_ARMOR,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,2
COLLECTION_BADGE_ADVENTURE_ADVENTURE_3,3006,冒险家3,3994,badge,Drop,,23006,,ICON_COLLECTION_BADGE_ADVENTURE_ADVENTURE_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ADVENTURE_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_ADVENTURE_3,Armor,30,Constant,Character,LOC_BADGE_BUFF_DES_ARMOR,Constant,15,7957,Armor,50,Percentage,Group,LOC_BADGE_BUFF_DES_ARMOR,Percentage,25,TRUE,FX_UI_Badge_Stars_High,2
COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_1,3007,持之以恒的冒险家1,3993,badge,Drop,,23007,,ICON_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_1,MagicDef,10,Constant,Character,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,5,7949,MagicDef,20,Percentage,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Percentage,10,TRUE,,3
COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_2,3008,持之以恒的冒险家2,3992,badge,Drop,,23008,,ICON_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_2,MagicDef,20,Constant,Character,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,10,7948,MagicDef,30,Percentage,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,3
COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_3,3009,持之以恒的冒险家3,3991,badge,Drop,,23009,,ICON_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_3,MagicDef,30,Constant,Character,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,15,7947,MagicDef,50,Percentage,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Percentage,25,TRUE,FX_UI_Badge_Stars_High,3
COLLECTION_BADGE_ADVENTURE_CHALLENGE_1,3010,挑战者1,3990,badge,Drop,,23010,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_1,Magic,500,Constant,Hero,LOC_BADGE_BUFF_DES_MAGIC,Constant,5,8969,CriticalHit,20,Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT,Percentage,10,TRUE,,4
COLLECTION_BADGE_ADVENTURE_CHALLENGE_2,3011,挑战者2,3989,badge,Drop,,23011,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_2,Magic,1000,Constant,Hero,LOC_BADGE_BUFF_DES_MAGIC,Constant,10,8968,CriticalHit,30,Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,4
COLLECTION_BADGE_ADVENTURE_CHALLENGE_3,3012,挑战者3,3988,badge,Drop,,23012,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_3,Magic,1500,Constant,Hero,LOC_BADGE_BUFF_DES_MAGIC,Constant,15,8967,CriticalHit,50,Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT,Percentage,25,TRUE,FX_UI_Badge_Stars_High,4
COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_1,3013,全能挑战者1,3987,badge,Drop,,23013,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_1,MagicDef,10,Constant,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,5,6939,CriticalHit#CriticalDamage,10#20,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT#LOC_BADGE_BUFF_DES_CRITICAL_DAMAGE,Percentage,10,TRUE,,5
COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_2,3014,全能挑战者2,3986,badge,Drop,,23014,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_2,MagicDef,20,Constant,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,10,6938,CriticalHit#CriticalDamage,20#30,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT#LOC_BADGE_BUFF_DES_CRITICAL_DAMAGE,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,5
COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_3,3015,全能挑战者3,3985,badge,Drop,,23015,,ICON_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_3,MagicDef,30,Constant,Group,LOC_BADGE_BUFF_DES_MAGIC_DEF,Constant,15,6937,CriticalHit#CriticalDamage,30#50,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_CRITICAL_HIT#LOC_BADGE_BUFF_DES_CRITICAL_DAMAGE,Percentage,25,TRUE,FX_UI_Badge_Stars_High,5
COLLECTION_BADGE_ADVENTURE_ACHIEVE_1,3016,传说中的冒险家1,3984,badge,Drop,,23016,,ICON_COLLECTION_BADGE_ADVENTURE_ACHIEVE_1,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ACHIEVE_1,LOC_DES_COLLECTION_BADGE_ADVENTURE_ACHIEVE_1,HP#Damage#Magic#Armor#MagicDef,10#10#10#10#10,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,10,6919,HP#Damage#Magic#Armor#MagicDef,20#20#20#20#20,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,20,TRUE,,6
COLLECTION_BADGE_ADVENTURE_ACHIEVE_2,3017,传说中的冒险家2,3983,badge,Drop,,23017,,ICON_COLLECTION_BADGE_ADVENTURE_ACHIEVE_2,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ACHIEVE_2,LOC_DES_COLLECTION_BADGE_ADVENTURE_ACHIEVE_2,HP#Damage#Magic#Armor#MagicDef,20#20#20#20#20,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,20,6918,HP#Damage#Magic#Armor#MagicDef,30#30#30#30#30,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,30,TRUE,FX_UI_Badge_Stars_Low,6
COLLECTION_BADGE_ADVENTURE_ACHIEVE_3,3018,传说中的冒险家3,3982,badge,Drop,,23018,,ICON_COLLECTION_BADGE_ADVENTURE_ACHIEVE_3,,LOC_NAME_COLLECTION_BADGE_ADVENTURE_ACHIEVE_3,LOC_DES_COLLECTION_BADGE_ADVENTURE_ACHIEVE_3,HP#Damage#Magic#Armor#MagicDef,30#30#30#30#30,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,30,6917,HP#Damage#Magic#Armor#MagicDef,50#50#50#50#50,Percentage#Percentage#Percentage#Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_ALL_ATTR,Percentage,50,TRUE,FX_UI_Badge_Stars_High,6
COLLECTION_BADGE_GROW_MONSTER_HATCH_1,3019,魔物孵化员1,3981,badge,Drop,,23019,,ICON_COLLECTION_BADGE_GROW_MONSTER_HATCH_1,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_HATCH_1,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_HATCH_1,Armor,10,Constant,Hero,LOC_BADGE_BUFF_DES_ARMOR,Constant,5,8959,Cured,40,Percentage,Group,LOC_BADGE_BUFF_DES_CURED,Percentage,10,TRUE,,7
COLLECTION_BADGE_GROW_MONSTER_HATCH_2,3020,魔物孵化员2,3980,badge,Drop,,23020,,ICON_COLLECTION_BADGE_GROW_MONSTER_HATCH_2,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_HATCH_2,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_HATCH_2,Armor,20,Constant,Hero,LOC_BADGE_BUFF_DES_ARMOR,Constant,10,8958,Cured,60,Percentage,Group,LOC_BADGE_BUFF_DES_CURED,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,7
COLLECTION_BADGE_GROW_MONSTER_HATCH_3,3021,魔物孵化员3,3979,badge,Drop,,23021,,ICON_COLLECTION_BADGE_GROW_MONSTER_HATCH_3,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_HATCH_3,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_HATCH_3,Armor,30,Constant,Hero,LOC_BADGE_BUFF_DES_ARMOR,Constant,15,8957,Cured,100,Percentage,Group,LOC_BADGE_BUFF_DES_CURED,Percentage,25,TRUE,FX_UI_Badge_Stars_High,7
COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_1,3022,魔物驯养员1,3978,badge,Drop,,23022,,ICON_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_1,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_1,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_1,HP,2500,Constant,Group,LOC_BADGE_BUFF_DES_HP,Constant,5,6989,PhysicalHurt#MagicalHurt,-20#-20,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_HURT,Percentage,10,TRUE,,8
COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_2,3023,魔物驯养员2,3977,badge,Drop,,23023,,ICON_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_2,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_2,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_2,HP,5000,Constant,Group,LOC_BADGE_BUFF_DES_HP,Constant,10,6988,PhysicalHurt#MagicalHurt,-30#-30,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_HURT,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,8
COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_3,3024,魔物驯养员3,3976,badge,Drop,,23024,,ICON_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_3,,LOC_NAME_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_3,LOC_DES_COLLECTION_BADGE_GROW_MONSTER_STRONGTHEN_3,HP,7500,Constant,Group,LOC_BADGE_BUFF_DES_HP,Constant,15,6987,PhysicalHurt#MagicalHurt,-50#-50,Percentage#Percentage,Group,LOC_BADGE_BUFF_DES_HURT,Percentage,25,TRUE,FX_UI_Badge_Stars_High,8
COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_1,3025,装备锻造匠1,3975,badge,Drop,,23025,,ICON_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_1,,LOC_NAME_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_1,LOC_DES_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_1,Damage,500,Constant,Group,LOC_BADGE_BUFF_DES_DAMAGE,Constant,5,6979,Damage,20,Percentage,Group,LOC_BADGE_BUFF_DES_DAMAGE,Percentage,10,TRUE,,9
COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_2,3026,装备锻造匠2,3974,badge,Drop,,23026,,ICON_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_2,,LOC_NAME_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_2,LOC_DES_COLLECTION_BADGE_GROW_EQUIP_STRONGTHEN_2,Damage,1000,Constant,Group,LOC_BADGE_BUFF_DES_DAMAGE,Constant,10,6978,Damage,30,Percentage,Group,LOC_BADGE_BUFF_DES_DAMAGE,Percentage,15,TRUE,FX_UI_Badge_Stars_Low,9
