_ID,_VALUE,LibType:string[],#LibComment:string,Reward:id[],LibSecond:int,LibNum:int[],Weight:int[],Follow:id[],FollowRate:int[]
,,Item,瓦尔基里的盔甲,DUNGEON_ITEM_VALKYRIE_ARMOR,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_013,10000
,,Item,特级防御药水,DUNGEON_ITEM_EX_DEF_POTION,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_015,10000
,,Item,高浓度的能量结晶,DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_016,10000
,,Item,元素之剑,DUNGEON_ITEM_ELEMENTAL_SWORD,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_017,10000
,,Item,毒药瓶,DUNGEON_ITEM_POISON_BOTTLE,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_018,10000
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,6,700,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,7,700,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,8,700,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,9,700,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,10,700,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,6,700,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,7,700,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,8,700,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,9,700,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,10,700,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,6,700,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,7,700,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,8,700,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,9,700,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,10,700,None,0
DUNGEON_LIB_ITEMLIB_GROUP_004,10025,Item,HP增加药水(小),DUNGEON_ITEM_HP_INCREASE_POTION_S,1,5,3,DUNGEON_LIB_EFFECTLIB_ITEM_001,10000
,,Item,HP增加药水(中),DUNGEON_ITEM_HP_INCREASE_POTION_M,,3,5,DUNGEON_LIB_EFFECTLIB_ITEM_002,10000
,,Item,HP增加药水(大),DUNGEON_ITEM_HP_INCREASE_POTION_L,,1,8,DUNGEON_LIB_EFFECTLIB_ITEM_003,10000
DUNGEON_LIB_ITEMLIB_GROUP_005,10026,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,3,30,10,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,30,10,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,30,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,1000,Item,HP增加药水(小),DUNGEON_ITEM_HP_INCREASE_POTION_S,1,1,2778,DUNGEON_LIB_EFFECTLIB_ITEM_001,10000
,,Item,HP增加药水(中),DUNGEON_ITEM_HP_INCREASE_POTION_M,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_002,10000
,,Item,HP增加药水(大),DUNGEON_ITEM_HP_INCREASE_POTION_L,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_003,10000
,,Item,SP增加药水,DUNGEON_ITEM_SP_INCREASE_POTION_L,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_004,10000
,,Item,净化药水,DUNGEON_ITEM_PURI_POTION,,1,556,DUNGEON_LIB_EFFECTLIB_ABILITY_GROUP_005,10000
,,Item,战神的精魄,DUNGEON_ITEM_ESSENCE_OF_FIRE,,1,1389,DUNGEON_LIB_EFFECTLIB_ITEM_009,10000
,,Item,天地树叶子,DUNGEON_ITEM_LEAF_OF_YGGDEASIL,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_010,10000
,,Item,强化大驹短剑,DUNGEON_ITEM_UPG_DAGGER,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_011,10000
,,Item,拉格利玛之杖,DUNGEON_ITEM_LACRYMA_STICK,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_012,10000
,,Item,瓦尔基里的盔甲,DUNGEON_ITEM_VALKYRIE_ARMOR,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_013,10000
,,Item,特级防御药水,DUNGEON_ITEM_EX_DEF_POTION,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_015,10000
,,Item,高浓度的能量结晶,DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_016,10000
,,Item,元素之剑,DUNGEON_ITEM_ELEMENTAL_SWORD,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_017,10000
,,Item,毒药瓶,DUNGEON_ITEM_POISON_BOTTLE,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_018,10000
,,Item,出击令,DUNGEON_ITEM_ATTACK_TOKEN,,1,5175,None,0
DUNGEON_LIB_ITEMLIB_027,10039,Item,修补精华,DUNGEON_ITEM_REPAIR,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_MACHETE_01,10040,Item,岩刀,DUNGEON_ITEM_MACHETE,1,1,10,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_MACHETE_1,10000
DUNGEON_LIB_ITEMLIB_SHOVEL_01,10041,Item,岩铲,DUNGEON_ITEM_SHOVEL,1,1,10,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_SHOVEL_1,10000
DUNGEON_LIB_ITEMLIB_PROBE_01,10042,Item,探测眼镜,DUNGEON_ITEM_PROBE,1,1,10,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_PROBE_1,10000
DUNGEON_LIB_ITEMLIB_DELIVERY_DEAD_01,10043,Item,传送珠,DUNGEON_ITEM_DELIVERY_DEAD,1,1,10,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_DELIVERY_DEAD_1,10000
DUNGEON_LIB_ITEMLIB_LAVA_STONE_01,10044,Item,熔岩矿石,DUNGEON_ITEM_LAVA_STONE,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_001,30000,Effect,加血1,DUNGEON_EFFECT_HPBOOST_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_002,30001,Effect,加血2,DUNGEON_EFFECT_HPBOOST_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_003,30002,Effect,加血3,DUNGEON_EFFECT_HPBOOST_3,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_004,30003,Effect,加SP,DUNGEON_EFFECT_SPBOOST_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_005,30004,Effect,解除减益,DUNGEON_EFFECT_RELIEVE_DEBUFF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_006,30005,Effect,免疫减益,DUNGEON_EFFECT_IMMUNE_DEBUFF_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_007,30006,Effect,封印被动1,DUNGEON_EFFECT_SEAL_ABILITY_ADD_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_008,30007,Effect,封印被动2,DUNGEON_EFFECT_SEAL_ABILITY_ADD_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_009,30008,Effect,对敌人造成伤害,DUNGEON_EFFECT_ATTACK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_010,30009,Effect,复活1个死亡的魔物,DUNGEON_EFFECT_RESURRECTION_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_011,30010,Effect,战斗中物理攻击提升,DUNGEON_EFFECT_ITEM_UP_ATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_012,30011,Effect,战斗中魔法攻击提升,DUNGEON_EFFECT_ITEM_UP_MATK_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_013,30012,Effect,战斗中物理防御提升和魔法防御提升,DUNGEON_EFFECT_ABILITY_025,2,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_015,30014,Effect,战斗中受到伤害减少,DUNGEON_EFFECT_ITEM_UP_INCOMINGDMGREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_016,30015,Effect,扣血1,DUNGEON_EFFECT_ITEM_HPREDUCE_1,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_017,30016,Effect,扣血2,DUNGEON_EFFECT_ITEM_HPREDUCE_2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_018,30017,Effect,扣血3,DUNGEON_EFFECT_ITEM_HPREDUCE_3,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_019,30018,Effect,空BUFF,DUNGEON_EFFECT_HPBOOST_1,0,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ITEM_020,20001,Effect,扣血,DUNGEON_EFFECT_HPBOOST_T2,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_001,20002,Effect,（普通第5层BOSS）每4回合扣玩家血,DUNGEON_EFFECT_ABILITY_001,2,1,10,None,0
,,Effect,描述：战斗中MVP受到的行动限制效果的持续时间降低50%,DUNGEON_EFFECT_ABILITY_020,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_002,20003,Effect,无法使用道具,DUNGEON_EFFECT_ABILITY_002,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_003,20004,Effect,加血,DUNGEON_EFFECT_ABILITY_003,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_004,20005,Effect,SP恢复加快,DUNGEON_EFFECT_ABILITY_004,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_005,20006,Effect,提高在场其他怪物的物理攻击,DUNGEON_EFFECT_ABILITY_005,2,1,10,None,0
,,Effect,提高在场其他怪物的魔法攻击,DUNGEON_EFFECT_ABILITY_024,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_006,20007,Effect,降低在场其他怪物的物理防御,DUNGEON_EFFECT_ABILITY_006,2,1,10,None,0
,,Effect,降低在场其他怪物的魔法防御,DUNGEON_EFFECT_ABILITY_028,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_007,20008,Effect,（普通第15层BOSS1）死亡后同伴物理攻击提升,DUNGEON_EFFECT_ABILITY_ADD_007,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_008,20009,Effect,（普通第15层BOSS2）死亡后同伴物理防御提升,DUNGEON_EFFECT_ABILITY_ADD_008,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_009,20010,Effect,（普通第15层BOSS3）死亡后同伴魔法攻击提升,DUNGEON_EFFECT_ABILITY_ADD_009,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_010,20011,Effect,（普通第15层BOSS4）死亡后同伴魔法防御提升,DUNGEON_EFFECT_ABILITY_ADD_010,2,1,10,None,0
,,Effect,战斗中MVP控制时间减免50%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_022,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_011,20012,Effect,每死亡1个伙伴生命提升2%,DUNGEON_EFFECT_ABILITY_011,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_012,20013,Effect,每3回合自动翻开随机1格,DUNGEON_EFFECT_ABILITY_012,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_013,20014,Effect,BOSS每回合治疗恢复1%血,DUNGEON_EFFECT_ABILITY_013,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_014,20015,Effect,每死亡1个同伴扣15%,DUNGEON_EFFECT_ABILITY_014,1,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_015,20016,Effect,（普通第20层BOSS1）每3回合扣玩家血,DUNGEON_EFFECT_ABILITY_026,4,1,10,None,0
,,Effect,战斗中敌人物理伤害提升150,DUNGEON_EFFECT_ABILITY_20_017,,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升150,DUNGEON_EFFECT_ABILITY_20_018,,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
DUNGEON_LIB_EFFECTLIB_ABILITY_016,20017,Effect,（普通第20层BOSS2）每3回合治疗伙伴5%血,DUNGEON_EFFECT_ABILITY_027,4,1,10,None,0
,,Effect,战斗中敌人物理伤害提升150,DUNGEON_EFFECT_ABILITY_20_017,,1,10,None,0
,,Effect,战斗中敌人魔法伤害提升150,DUNGEON_EFFECT_ABILITY_20_018,,1,10,None,0
,,Effect,战斗中MVP控制时间减免99%、免疫所有减益效果,DUNGEON_EFFECT_ABILITY_023,,1,10,None,0
