_ID,_VALUE,#ManualTips:string,ManualMapInfo:string[][],PortalEventLib:id[],PortalLayer:int[],PortalTarget:id[],ManualEnemyMonsterLib:id[],ManualEnemySpecialEffectLib:id[],ManualEnemyMVP:bool[],ManualKeyInfo:int[],ManualItemLib:id[],ManualEventLib:id[],ManualDefaultOpenInfo:string[][],ManualEnemyMonsterNum:int[],ManualEnemyMonsterNumMVP:int[],MonsterAttrLevel:int[],MonsterStar:int[],MonsterHpRate:int[],MonsterAttackRate:int[],ScrollStar:int[],ScrollHpRate:int[],ScrollAttackRate:int[],UsedMonsterAttrLevel:int[],UsedMonsterStar:int[],UsedMonsterHpRate:int[],UsedMonsterAttackRate:int[],UsedScrollStar:int[],UsedScrollHpRate:int[],UsedScrollAttackRate:int[]
,,,N#M#N#M#N#M,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_009,DUNGEON_LIB_EFFECTLIB_ABILITY_006,FALSE,0,,,T|F|T|F|T|F,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_006,DUNGEON_LIB_EFFECTLIB_ABILITY_006,FALSE,0,,,,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_007,DUNGEON_LIB_EFFECTLIB_ABILITY_006,FALSE,0,,,,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,,,,,DUNGEON_LIB_MONSTER_BOSS_02,DUNGEON_LIB_EFFECTLIB_ABILITY_017,TRUE,1,,,,3,3,115,5,270,250,5,170,150,100,5,270,250,4,170,150
DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_007,1007,,N#G#N#N#G#N,,,,DUNGEON_LIB_MONSTER_BOSS_03,DUNGEON_LIB_EFFECTLIB_ABILITY_007,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_THEME_001,F|F|F|F|F|F,3,3,140,7,450,300,6,250,170,120,6,450,300,5,250,170
,,,E#M#N#N#M#E,,,,DUNGEON_LIB_MONSTER_BOSS_03,DUNGEON_LIB_EFFECTLIB_ABILITY_008,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|T|T|T|T|F,3,3,140,7,450,300,6,250,170,120,6,450,300,5,250,170
,,,N#N#I#N#N#N,,,,DUNGEON_LIB_MONSTER_BOSS_03,DUNGEON_LIB_EFFECTLIB_ABILITY_009,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|T|T|T|T|F,3,3,140,7,450,300,6,250,170,120,6,450,300,5,250,170
,,,N#N#N#O#N#N,,,,DUNGEON_LIB_MONSTER_BOSS_03,DUNGEON_LIB_EFFECTLIB_ABILITY_010,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_BUBBLE_001,F|T|T|T|T|F,3,3,140,7,450,300,6,250,170,120,6,450,300,5,250,170
,,,E#M#N#N#M#E,,,,,None,FALSE,,,,F|T|T|T|T|F,,,,,,,,,,,,,,,,
,,,N#G#N#N#G#N,,,,,None,FALSE,,,,F|F|F|F|F|F,,,,,,,,,,,,,,,,
DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_009,1009,,E#N#N#G#N#N#O,,,,DUNGEON_LIB_MONSTER_BOSS_04,DUNGEON_LIB_EFFECTLIB_ABILITY_015,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_THEME_001,T|F|F|T|F|F|T,4,4,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,N#G#N#N#N#G#N,,,,DUNGEON_LIB_MONSTER_BOSS_05,DUNGEON_LIB_EFFECTLIB_ABILITY_016,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,F|T|F|F|F|T|F,4,4,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,N#N#N#N#N#N#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_BUBBLE_001,F|F|F|F|F|F|F,5,5,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,M#N#N#I#N#N#M,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,T|F|F|T|F|F|T,5,5,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,N#N#N#N#N#N#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,F|F|F|F|F|F|F,5,5,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,N#G#N#N#N#G#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,F|T|F|F|F|T|F,5,5,180,8,400,270,8,200,130,140,7,400,270,6,200,130
,,,E#N#N#G#N#N#E,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,T|F|F|T|F|F|T,5,5,180,8,400,270,8,200,130,140,7,400,270,6,200,130
DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_005,10014,空格N，阻挡B，入口I，出口O，怪物+魔物数量M，事件E，道具G,M#N#O#B#I,,,,DUNGEON_LIB_MONSTER_BOSS_11,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_001,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_BUBBLE_001,T|F|F|F|F,5,5,180,9,450,300,9,200,130,80,4,450,300,3,200,130
,,,G#B#M#B#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_THEME_001,F|F|F|F|F,5,5,180,9,450,300,9,200,130,80,4,450,300,3,200,130
,,,N#G#N#N#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|F|F|F|F,5,5,180,9,450,300,9,200,130,80,4,450,300,3,200,130
,,,N#B#M#B#G,,,,,None,FALSE,,,,F|F|F|F|F,,,,,,,,,,,,,,,,
,,,E#B#E#N#E,,,,,None,FALSE,,,,F|F|F|F|F,,,,,,,,,,,,,,,,
DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_006,10015,,I#M#N#M#N#M,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_004,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_003,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_GROUP_009,T|F|T|F|T|F,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,M#N#G#N#G#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_005,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_003,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_THEME_001,F|T|F|T|F|T,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,N#O#N#M#N#E,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_006,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_003,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_BUBBLE_001,T|F|T|F|T|F,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,M#N#M#N#E#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_007,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_002,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|T|F|T|F|T,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,N#G#N#E#N#G,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_008,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_003,FALSE,0,,DUNGEON_LIB_EVENTLIB_GROUP_009,T|F|T|F|T|F,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,M#N#E#N#E#M,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_009,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_002,FALSE,0,,,F|T|F|T|F|T,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_006,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_002,FALSE,0,,,,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_007,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_002,FALSE,0,,,,5,5,205,10,500,350,10,220,150,100,5,500,350,4,220,150
,,,,,,,DUNGEON_LIB_MONSTER_BOSS_12,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_004,TRUE,1,,,,5,5,205,10,500,450,10,220,200,100,5,500,450,4,220,200
DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_007,10016,,M#N#G#N#N#M,,,,DUNGEON_LIB_MONSTER_BOSS_13,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_006,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,T|T|F|F|T|T,5,5,235,10,480,380,10,220,160,120,6,480,380,5,220,160
,,,N#E#N#N#E#N,,,,DUNGEON_LIB_MONSTER_BOSS_13,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_007,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_BUBBLE_001,T|F|F|F|F|T,5,5,235,10,480,380,10,220,160,120,6,480,380,5,220,160
,,,G#N#N#I#N#N,,,,DUNGEON_LIB_MONSTER_BOSS_13,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_008,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_THEME_001,F|F|T|T|F|F,5,5,235,10,480,380,10,220,160,120,6,480,380,5,220,160
,,,N#N#O#N#N#G,,,,DUNGEON_LIB_MONSTER_BOSS_13,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_009,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|F|T|T|F|F,5,5,235,10,480,380,10,220,160,120,6,480,380,5,220,160
,,,N#E#N#N#E#N,,,,,None,FALSE,,,,T|F|F|F|F|T,,,,,,,,,,,,,,,,
,,,M#N#N#G#N#M,,,,,None,FALSE,,,,T|T|F|F|T|T,,,,,,,,,,,,,,,,
DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_009,10018,,I#N#N#N#N#N#M,,,,DUNGEON_LIB_MONSTER_BOSS_14,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_010,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_BUBBLE_001,T|F|F|F|F|F|T,5,5,300,10,1500,700,10,600,240,140,7,1500,700,6,600,240
,,,N#N#E#G#N#G#N,,,,DUNGEON_LIB_MONSTER_BOSS_15,DUNGEON_LIB_EFFECTLIB_ABILITY_INFERNAL_011,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,F|F|F|F|F|F|F,5,5,300,10,720,450,10,400,200,140,7,720,450,6,400,200
,,,N#E#N#N#N#N#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_THEME_001,F|F|F|F|F|F|F,5,5,300,10,600,450,10,260,170,140,7,600,450,6,260,170
,,,N#G#N#E#N#G#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,F|F|F|F|F|T|F,5,5,300,10,600,450,10,260,170,140,7,600,450,6,260,170
,,,N#N#N#N#N#N#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,F|F|F|F|F|T|F,5,5,300,10,600,450,10,260,170,140,7,600,450,6,260,170
,,,N#G#N#G#N#N#N,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,F|F|F|T|T|T|F,5,5,300,10,600,450,10,260,170,140,7,600,450,6,260,170
,,,M#N#N#N#N#N#O,,,,,None,FALSE,,DUNGEON_LIB_ITEMLIB_GROUP_003,,T|F|F|F|F|F|T,5,5,300,10,600,450,10,260,170,140,7,600,450,6,260,170
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_001,11001,沙漠普通手动第5层,G#N#M#B#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,F|F|T|F|F,5,5,90,5,290,110,4,240,100,120,6,360,130,5,290,120
,,,E#B#N#B#I,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_01,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_001,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F,5,4,90,5,290,180,4,250,120,120,6,360,220,5,310,150
,,,N#B#M#B#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|T|F|F,5,5,90,5,290,110,3,240,100,120,6,360,130,5,290,120
,,,E#B#B#B#E,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F,5,5,90,5,290,110,3,240,100,120,6,360,130,5,290,120
,,,O#N#M#E#N,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_9,F|F|T|F|F,5,5,90,5,290,110,3,240,100,120,6,360,130,5,290,120
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_002,11002,沙漠普通手动第10层,E#N#B#N#E#M,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_02,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_002,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|T,5,3,115,5,410,250,5,260,130,140,7,500,310,6,320,160
,,,N#B#N#M#B#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_003,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|T|F|F,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
,,,G#N#M#B#M#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_003,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|T|F|T|F,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
,,,N#E#B#M#N#B,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_004,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|T|F|F,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
,,,I#N#E#N#B#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_004,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,T|F|F|F|F|F,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
,,,E#O#N#G#N#E,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,T|T|F|F|F|F,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
,,,,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_7,,5,5,115,5,810,170,5,510,110,140,7,990,210,6,620,130
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_003,11003,沙漠普通手动第15层,M#M#M#N#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,T|T|T|F|F|F,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
,,,E#M#G#N#E#N,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_03,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_003,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|F|F|F,5,3,140,7,820,450,6,500,220,160,8,1000,550,6,610,270
,,,N#N#N#E#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|F,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
,,,G#N#E#N#G#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_003,None,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F|T,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
,,,I#E#N#N#M#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,T|F|F|F|T|T,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
,,,E#O#G#N#E#M,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,T|T|F|F|F|T,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
,,,,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_04,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_004,TRUE,1,,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,,5,5,140,7,530,350,6,300,180,160,8,650,430,6,370,220
,,,,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,None,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,140,7,1840,290,6,950,160,160,8,2250,360,6,1160,200
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_ORDINARY_004,11004,沙漠普通手动第20层,E#N#E#N#E#N#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_006,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_2,F|F|F|F|F|F|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,N#E#N#N#N#I#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_007,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|T|F|T|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,E#N#G#M#G#N#E,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_05,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_BOSS_005,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|F|F|F|F,5,1,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,N#N#M#M#M#N#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_009,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,F|T|F|T|F|T|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,E#N#G#M#G#N#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_008,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|F|F|F|F|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,N#M#N#N#N#O#N,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_004,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_001,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|T|F|T|F|T|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,G#N#E#N#E#N#E,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F|F|F,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
,,,,,,,,,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,,5,5,180,8,3000,500,8,1500,250,180,9,3670,610,7,1840,310
DUNGEON_DESERT_MANUAL_GENERATE_TEMPLATE_INFERNAL_001,12001,沙漠地狱手动第5层,G#N#M#B#E,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_001,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_001,FALSE,0,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_THEME_ADVENTURER_SQUAD_1,F|F|T|F|F,5,5,180,9,750,300,9,380,130,120,6,920,370,5,470,160
,,,E#B#N#B#I,,,,DUNGEON_LIB_MONSTER_BOSS_DESERT_11,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_INFERNAL_BOSS_001,TRUE,1,DUNGEON_DESERT_LIB_ITEMLIB_GROUP_005,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F,5,5,180,9,700,400,9,300,150,120,6,860,490,5,370,180
,,,N#B#M#B#G,,,,DUNGEON_LIB_DESERT_MONSTER_GROUP_002,DUNGEON_DAMAGE_LIB_EFFECT_ABILITY_001,FALSE,0,,DUNGEON_LIB_EVENT_HELP_THEME_GROUP_1,F|F|T|F|F,5,5,180,9,750,300,9,380,130,120,6,920,370,5,470,160
,,,E#B#B#B#E,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_8,F|F|F|F|F,5,5,180,9,750,300,9,380,130,120,6,920,370,5,470,160
,,,O#N#M#E#N,,,,,None,FALSE,,,DUNGEON_LIB_EVENT_HELP_THEME_9,F|F|T|F|F,5,5,180,9,750,300,9,380,130,120,6,920,370,5,470,160
