_ID,_VALUE,TechnologyLevel:int[],UpgradeStoneCost:int[],UpgradeGoldCost:int[],ConditionType:string[],ConditionParam:int[]
,,11,5500,6000000,PlayerLevel,53
,,12,6000,7000000,None,0
,,13,6500,8000000,None,0
,,14,7000,9000000,None,0
,,15,7500,10000000,None,0
,,16,8000,12000000,PlayerLevel,62
,,17,8500,14000000,None,0
,,18,9000,16000000,None,0
,,19,9500,18000000,None,0
,,20,10000,20000000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,204,1,800,170000,None,0
,,2,1600,340000,None,0
,,3,2400,510000,None,0
,,4,3200,850000,None,0
,,5,4000,1700000,None,0
,,6,4800,2550000,None,0
,,7,5600,3400000,None,0
,,8,6400,5100000,None,0
,,9,7200,6800000,None,0
,,10,8000,8500000,None,0
,,11,8800,10200000,PlayerLevel,55
,,12,9600,11900000,None,0
,,13,10400,13600000,None,0
,,14,11200,15300000,None,0
,,15,12000,17000000,None,0
,,16,12800,20400000,PlayerLevel,65
,,17,13600,23800000,None,0
,,18,14400,27200000,None,0
,,19,15200,30600000,None,0
,,20,16000,34000000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,205,1,16000,30000000,None,0
,,2,19000,31100000,None,0
,,3,22000,32200000,None,0
,,4,25000,33300000,PlayerLevel,70
,,5,28000,34400000,None,0
,,6,31000,35500000,None,0
,,7,34000,36600000,None,0
,,8,37000,37700000,PlayerLevel,80
,,9,40000,38800000,None,0
,,10,43000,39900000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,206,1,24000,45000000,None,0
,,2,28500,46650000,None,0
,,3,33000,48300000,None,0
,,4,37500,49950000,PlayerLevel,75
,,5,42000,51600000,None,0
,,6,46500,53250000,None,0
,,7,51000,54900000,None,0
,,8,55500,56550000,PlayerLevel,85
,,9,60000,58200000,None,0
,,10,64500,59850000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_301,301,1,26,6650,None,0
,,2,53,13300,None,0
,,3,79,19950,None,0
,,4,106,26600,None,0
,,5,133,39900,None,0
,,6,159,53200,None,0
,,7,186,66500,None,0
,,8,212,79800,None,0
,,9,239,93100,None,0
,,10,266,106400,None,0
,,11,399,119700,PlayerLevel,48
,,12,532,133000,None,0
,,13,665,199500,None,0
,,14,798,266000,None,0
,,15,931,332500,None,0
,,16,1064,399000,None,0
,,17,1197,532000,None,0
,,18,1330,665000,None,0
,,19,1596,798000,None,0
,,20,1862,931000,None,0
,,21,2128,1064000,PlayerLevel,58
,,22,2394,1197000,None,0
,,23,2660,1330000,None,0
,,24,2926,1596000,None,0
,,25,3192,1862000,None,0
,,26,3458,2128000,None,0
,,27,3724,2394000,None,0
,,28,3990,2660000,None,0
,,29,4256,2926000,None,0
,,30,4522,3192000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_302,302,1,53,13300,None,0
,,2,79,26600,None,0
,,3,106,39900,None,0
,,4,133,53200,None,0
,,5,212,66500,None,0
,,6,266,133000,None,0
,,7,532,199500,None,0
,,8,798,266000,None,0
,,9,1064,332500,None,0
,,10,1330,399000,None,0
,,11,1596,532000,PlayerLevel,50
,,12,1862,665000,None,0
,,13,2128,798000,None,0
,,14,2394,1064000,None,0
,,15,2660,1330000,None,0
,,16,3325,1995000,None,0
,,17,3990,2660000,None,0
,,18,4655,3325000,None,0
,,19,5320,3990000,None,0
,,20,5985,5320000,None,0
,,21,6650,6650000,PlayerLevel,60
,,22,7315,7980000,None,0
,,23,7980,9310000,None,0
,,24,8645,10640000,None,0
,,25,9310,11970000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_303,303,1,665,133000,None,0
,,2,1330,266000,None,0
,,3,1995,399000,None,0
,,4,2660,665000,None,0
,,5,3325,1330000,None,0
,,6,3990,1995000,None,0
,,7,4655,2660000,None,0
,,8,5320,3990000,None,0
,,9,5985,5320000,None,0
,,10,6650,6650000,None,0
,,11,7315,7980000,PlayerLevel,53
,,12,7980,9310000,None,0
,,13,8645,10640000,None,0
,,14,9310,11970000,None,0
,,15,9975,13300000,None,0
,,16,10640,15960000,PlayerLevel,62
,,17,11305,18620000,None,0
,,18,11970,21280000,None,0
,,19,12635,23940000,None,0
,,20,13300,26600000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_304,304,1,1064,226100,None,0
,,2,2128,452200,None,0
,,3,3192,678300,None,0
,,4,4256,1130500,None,0
,,5,5320,2261000,None,0
,,6,6384,3391500,None,0
,,7,7448,4522000,None,0
,,8,8512,6783000,None,0
,,9,9576,9044000,None,0
,,10,10640,11305000,None,0
,,11,11704,13566000,PlayerLevel,55
,,12,12768,15827000,None,0
,,13,13832,18088000,None,0
,,14,14896,20349000,None,0
,,15,15960,22610000,None,0
,,16,17024,27132000,PlayerLevel,65
,,17,18088,31654000,None,0
,,18,19152,36176000,None,0
,,19,20216,40698000,None,0
,,20,21280,45220000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_305,305,1,21280,39900000,None,0
,,2,25270,41363000,None,0
,,3,29260,42826000,None,0
,,4,33250,44289000,PlayerLevel,70
,,5,37240,45752000,None,0
,,6,41230,47215000,None,0
,,7,45220,48678000,None,0
,,8,49210,50141000,PlayerLevel,80
,,9,53200,51604000,None,0
,,10,57190,53067000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_LEGEND_306,306,1,31920,59850000,None,0
,,2,37905,62044500,None,0
,,3,43890,64239000,None,0
,,4,49875,66433500,PlayerLevel,75
,,5,55860,68628000,None,0
,,6,61845,70822500,None,0
,,7,67830,73017000,None,0
,,8,73815,75211500,PlayerLevel,85
,,9,79800,77406000,None,0
,,10,85785,79600500,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_401,401,1,22,5652,None,0
,,2,45,11305,None,0
,,3,67,16957,None,0
,,4,90,22610,None,0
,,5,113,33915,None,0
,,6,135,45220,None,0
,,7,158,56525,None,0
,,8,180,67830,None,0
,,9,203,79135,None,0
,,10,226,90440,None,0
,,11,339,101745,PlayerLevel,48
,,12,452,113050,None,0
,,13,565,169575,None,0
,,14,678,226100,None,0
,,15,791,282625,None,0
,,16,904,339150,None,0
,,17,1017,452200,None,0
,,18,1130,565250,None,0
,,19,1356,678300,None,0
,,20,1582,791350,None,0
,,21,1808,904400,PlayerLevel,58
,,22,2034,1017450,None,0
,,23,2261,1130500,None,0
,,24,2487,1356600,None,0
,,25,2713,1582700,None,0
,,26,2939,1808800,None,0
,,27,3165,2034900,None,0
,,28,3391,2261000,None,0
,,29,3617,2487100,None,0
,,30,3843,2713200,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_402,402,1,45,11305,None,0
,,2,67,22610,None,0
,,3,90,33915,None,0
,,4,113,45220,None,0
,,5,180,56525,None,0
,,6,226,113050,None,0
,,7,452,169575,None,0
,,8,678,226100,None,0
,,9,904,282625,None,0
,,10,1130,339150,None,0
,,11,1356,452200,PlayerLevel,50
,,12,1582,565250,None,0
,,13,1808,678300,None,0
,,14,2034,904400,None,0
,,15,2261,1130500,None,0
,,16,2826,1695750,None,0
,,17,3391,2261000,None,0
,,18,3956,2826250,None,0
,,19,4522,3391500,None,0
,,20,5087,4522000,None,0
,,21,5652,5652500,PlayerLevel,60
,,22,6217,6783000,None,0
,,23,6783,7913500,None,0
,,24,7348,9044000,None,0
,,25,7913,10174500,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_403,403,1,565,113050,None,0
,,2,1130,226100,None,0
,,3,1695,339150,None,0
,,4,2261,565250,None,0
,,5,2826,1130500,None,0
,,6,3391,1695750,None,0
,,7,3956,2261000,None,0
,,8,4522,3391500,None,0
,,9,5087,4522000,None,0
,,10,5652,5652500,None,0
,,11,6217,6783000,PlayerLevel,53
,,12,6783,7913500,None,0
,,13,7348,9044000,None,0
,,14,7913,10174500,None,0
,,15,8478,11305000,None,0
,,16,9044,13566000,PlayerLevel,62
,,17,9609,15827000,None,0
,,18,10174,18088000,None,0
,,19,10739,20349000,None,0
,,20,11305,22610000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_404,404,1,904,192185,None,0
,,2,1808,384370,None,0
,,3,2713,576555,None,0
,,4,3617,960925,None,0
,,5,4522,1921850,None,0
,,6,5426,2882775,None,0
,,7,6330,3843700,None,0
,,8,7235,5765550,None,0
,,9,8139,7687400,None,0
,,10,9044,9609250,None,0
,,11,9948,11531100,PlayerLevel,55
,,12,10852,13452950,None,0
,,13,11757,15374800,None,0
,,14,12661,17296650,None,0
,,15,13566,19218500,None,0
,,16,14470,23062200,PlayerLevel,65
,,17,15374,26905900,None,0
,,18,16279,30749600,None,0
,,19,17183,34593300,None,0
,,20,18088,38437000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_405,405,1,18088,33915000,None,0
,,2,21479,35158550,None,0
,,3,24871,36402100,None,0
,,4,28262,37645650,PlayerLevel,70
,,5,31654,38889200,None,0
,,6,35045,40132750,None,0
,,7,38437,41376300,None,0
,,8,41828,42619850,PlayerLevel,80
,,9,45220,43863400,None,0
,,10,48611,45106950,None,0
ALCHEMY_TECHNOLOGY_LEVLE_EPIC_406,406,1,27132,50872500,None,0
,,2,32219,52737825,None,0
,,3,37306,54603150,None,0
,,4,42393,56468475,PlayerLevel,75
,,5,47481,58333800,None,0
,,6,52568,60199125,None,0
,,7,57655,62064450,None,0
,,8,62742,63929775,PlayerLevel,85
,,9,67830,65795100,None,0
,,10,72917,67660425,None,0
