_ID,_VALUE,ExclusiveHero:id,StrengthenConsume:id,ExclusiveLv:int[],AttributeType:string[][],AttributeNum:int[][],PassiveBuff:id[],PassiveBuffLevel:int[],PassiveBuffDes:loc[],PassiveBuffPreviewDes:loc[]
,,,,10,HP#Armor#MagicDef,10000#100#80,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,11,HP#Armor#MagicDef,11000#110#88,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,12,HP#Armor#MagicDef,12000#120#96,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,13,HP#Armor#MagicDef,13000#130#104,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,14,HP#Armor#MagicDef,14000#140#112,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,15,HP#Armor#MagicDef,15000#150#120,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,16,HP#Armor#MagicDef,16000#160#128,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,17,HP#Armor#MagicDef,18000#180#144,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,18,HP#Armor#MagicDef,20000#200#160,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,19,HP#Armor#MagicDef,22000#220#176,EXCLUSIVEEQUIP_MOON_BELL,2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_2,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_2
,,,,20,HP#Armor#MagicDef,22000#220#176,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,21,HP#Armor#MagicDef,24000#240#192,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,22,HP#Armor#MagicDef,27000#270#216,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,23,HP#Armor#MagicDef,30000#300#240,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,24,HP#Armor#MagicDef,33000#330#264,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,25,HP#Armor#MagicDef,36000#360#288,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,26,HP#Armor#MagicDef,39000#390#312,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,27,HP#Armor#MagicDef,42000#420#336,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,28,HP#Armor#MagicDef,46000#460#368,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,29,HP#Armor#MagicDef,50000#500#400,EXCLUSIVEEQUIP_MOON_BELL,3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_3,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_3
,,,,30,HP#Armor#MagicDef,50000#500#400,EXCLUSIVEEQUIP_MOON_BELL,4,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_4,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_4
EXCLUSIVE_EQUIPMENT_ATTRIBUTE_2,2,HERO_ORK_HERO,EXCLUSIVE_EQUIPMENT_STRENGTHEN_1,0,HP#Armor#MagicDef,5000#50#40,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,1,HP#Armor#MagicDef,5500#55#44,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,2,HP#Armor#MagicDef,6000#60#48,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,3,HP#Armor#MagicDef,6500#65#52,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,4,HP#Armor#MagicDef,7000#70#56,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,5,HP#Armor#MagicDef,7500#75#60,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,6,HP#Armor#MagicDef,8000#80#64,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,7,HP#Armor#MagicDef,8500#85#68,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,8,HP#Armor#MagicDef,9000#90#72,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,9,HP#Armor#MagicDef,10000#100#80,EXCLUSIVEEQUIP_HERO_CROWN,1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_1,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_1
,,,,10,HP#Armor#MagicDef,10000#100#80,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,11,HP#Armor#MagicDef,11000#110#88,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,12,HP#Armor#MagicDef,12000#120#96,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,13,HP#Armor#MagicDef,13000#130#104,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,14,HP#Armor#MagicDef,14000#140#112,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,15,HP#Armor#MagicDef,15000#150#120,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,16,HP#Armor#MagicDef,16000#160#128,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,17,HP#Armor#MagicDef,18000#180#144,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,18,HP#Armor#MagicDef,20000#200#160,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,19,HP#Armor#MagicDef,22000#220#176,EXCLUSIVEEQUIP_HERO_CROWN,2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_2,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_2
,,,,20,HP#Armor#MagicDef,22000#220#176,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,21,HP#Armor#MagicDef,24000#240#192,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,22,HP#Armor#MagicDef,27000#270#216,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,23,HP#Armor#MagicDef,30000#300#240,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,24,HP#Armor#MagicDef,33000#330#264,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,25,HP#Armor#MagicDef,36000#360#288,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,26,HP#Armor#MagicDef,39000#390#312,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,27,HP#Armor#MagicDef,42000#420#336,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,28,HP#Armor#MagicDef,46000#460#368,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,29,HP#Armor#MagicDef,50000#500#400,EXCLUSIVEEQUIP_HERO_CROWN,3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_3,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_3
,,,,30,HP#Armor#MagicDef,50000#500#400,EXCLUSIVEEQUIP_HERO_CROWN,4,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_DES_4,LOC_EXCLUSIVE_EQUIPMENT_ORK_HERO_PREVIEW_DES_4
EXCLUSIVE_EQUIPMENT_ATTRIBUTE_3,3,HERO_SHECI,EXCLUSIVE_EQUIPMENT_STRENGTHEN_1,0,HP#Armor#MagicDef,4000#40#50,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,1,HP#Armor#MagicDef,4400#44#55,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,2,HP#Armor#MagicDef,4800#48#60,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,3,HP#Armor#MagicDef,5200#52#65,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,4,HP#Armor#MagicDef,5600#56#70,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,5,HP#Armor#MagicDef,6000#60#75,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,6,HP#Armor#MagicDef,6400#64#80,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,7,HP#Armor#MagicDef,6800#68#85,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,8,HP#Armor#MagicDef,7200#72#90,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,9,HP#Armor#MagicDef,8000#80#100,EXCLUSIVEEQUIP_LONG_CHANT,1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_1,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_1
,,,,10,HP#Armor#MagicDef,8000#80#100,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,11,HP#Armor#MagicDef,8800#88#110,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,12,HP#Armor#MagicDef,9600#96#120,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,13,HP#Armor#MagicDef,10400#104#130,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,14,HP#Armor#MagicDef,11200#112#140,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,15,HP#Armor#MagicDef,12000#120#150,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,16,HP#Armor#MagicDef,12800#128#160,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,17,HP#Armor#MagicDef,14400#144#180,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,18,HP#Armor#MagicDef,16000#160#200,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,19,HP#Armor#MagicDef,17600#176#220,EXCLUSIVEEQUIP_LONG_CHANT,2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_2,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_2
,,,,20,HP#Armor#MagicDef,17600#176#220,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,21,HP#Armor#MagicDef,19200#192#240,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,22,HP#Armor#MagicDef,21600#216#270,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,23,HP#Armor#MagicDef,24000#240#300,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,24,HP#Armor#MagicDef,26400#264#330,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,25,HP#Armor#MagicDef,28800#288#360,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,26,HP#Armor#MagicDef,31200#312#390,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,27,HP#Armor#MagicDef,33600#336#420,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,28,HP#Armor#MagicDef,36800#368#460,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,29,HP#Armor#MagicDef,40000#400#500,EXCLUSIVEEQUIP_LONG_CHANT,3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_3,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_3
,,,,30,HP#Armor#MagicDef,40000#400#500,EXCLUSIVEEQUIP_LONG_CHANT,4,LOC_EXCLUSIVE_EQUIPMENT_SHECI_DES_4,LOC_EXCLUSIVE_EQUIPMENT_SHECI_PREVIEW_DES_4
EXCLUSIVE_EQUIPMENT_ATTRIBUTE_4,4,HERO_TAO_GUNKA,EXCLUSIVE_EQUIPMENT_STRENGTHEN_1,0,HP#Armor#MagicDef,4000#40#50,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,1,HP#Armor#MagicDef,4400#44#55,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,2,HP#Armor#MagicDef,4800#48#60,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,3,HP#Armor#MagicDef,5200#52#65,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,4,HP#Armor#MagicDef,5600#56#70,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,5,HP#Armor#MagicDef,6000#60#75,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,6,HP#Armor#MagicDef,6400#64#80,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,7,HP#Armor#MagicDef,6800#68#85,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,8,HP#Armor#MagicDef,7200#72#90,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
,,,,9,HP#Armor#MagicDef,8000#80#100,EXCLUSIVEEQUIP_LOST_TABLET,1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_DES_1,LOC_EXCLUSIVE_EQUIPMENT_TAO_GUNKA_PREVIEW_DES_1
