_INDEX,Id:string,ProductId:string,IdNum:int,Type:string,PriceTier:int,Hide:bool,DisplayOrder:int,Name:string,GMOrderId:int,NameKey:loc,Gem:int,VipExp:int,FirstBonusGem:int,DefaultBonusGem:int,IsPromotion:bool,AvailableChannelId:int{},Tag:string,Platform:string,CNY:int,USD:int,TWD:int,HKD:int,MOP:int,KRW:int,THB:int,PHP:int,SGD:int,IDR:int,MYR:int
15,CRYSTAL_PRICE_Bag_1499,qs_bag1499,1499,bag,1499,FALSE,0,打折礼包1499,4,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1080,0,0,FALSE,0|1|2,test,test,9800,1499,49000,11800,9800,1900000,44900,74900,2198,21900000,5990
16,CRYSTAL_PRICE_Bag_1999,qs_bag1999,1999,bag,1999,FALSE,0,打折礼包1999,5,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1440,0,0,FALSE,0|1|2,test,test,12800,1999,67000,15800,12800,2500000,59900,99900,2898,29900000,7990
17,CRYSTAL_PRICE_Bag_2699,qs_bag2699,2699,bag,2699,FALSE,0,打折礼包2699,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1950,0,0,FALSE,0|1|2,test,test,17800,2699,89000,20800,17800,3300000,82900,135000,3898,38900000,11490
18,CRYSTAL_PRICE_Bag_4499,qs_bag4499,4499,bag,4499,FALSE,0,打折礼包4499,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,3240,0,0,FALSE,0|1|2,test,test,28300,4499,149000,35800,28300,5500000,140000,225000,6398,65900000,18490
19,CRYSTAL_PRICE_Bag_5999,qs_bag5999,5999,bag,5999,FALSE,0,打折礼包5999,11,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,4320,0,0,FALSE,0|1|2,test,test,38800,5999,199000,44800,38800,7500000,180000,299000,8898,89900000,24990
20,CRYSTAL_PRICE_Bag_7999,qs_bag7999,7999,bag,7999,FALSE,0,打折礼包7999,13,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,5760,0,0,FALSE,0|1|2,test,test,51800,7999,269000,61800,51800,9900000,250000,399000,10898,119900000,34990
21,CRYSTAL_PRICE_PT,gs_pt,200,passport,200,FALSE,0,通行证,200,LOC_CRYSTALPRICE_NAME_PASSPORT,0,1296,0,0,FALSE,0|1|2,test,test,11800,1799,59000,13800,11800,2200000,54900,89900,2598,26900000,7490
22,CRYSTAL_PRICE_MC,qs_m1,100,mc,100,FALSE,2,月卡,100,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC,500,500,0,0,TRUE,0|1|2,test,test,2500,399,13000,2800,2500,490000,11900,19900,598,5900000,1690
23,CRYSTAL_PRICE_MC_PRO,qs_m1_pro,101,supermc,101,FALSE,1,至尊月卡,101,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC_PRO,720,720,0,0,TRUE,0|1|2,test,test,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
24,CRYSTAL_PRICE_Tier_1,com.ggt.rott.trd.gp1,1,crystal,1,FALSE,3,一小捧钻石,1,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_1,72,72,72,0,FALSE,702|705,razer,android,600,99,3300,800,600,120000,2900,4900,148,1500000,390
25,CRYSTAL_PRICE_Tier_2,com.ggt.rott.trd.gp2,2,crystal,2,FALSE,4,一小堆钻石,2,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_2,360,360,360,15,FALSE,702|705,razer,android,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
26,CRYSTAL_PRICE_Tier_3,com.ggt.rott.trd.gp3,3,crystal,3,FALSE,5,一大堆钻石,3,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_3,720,720,720,60,FALSE,702|705,razer,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
27,CRYSTAL_PRICE_Tier_4,com.ggt.rott.trd.gp4,4,crystal,4,FALSE,6,一小袋钻石,4,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_4,1800,1800,1800,145,FALSE,702|705,razer,android,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
28,CRYSTAL_PRICE_Tier_5,com.ggt.rott.trd.gp5,5,crystal,5,FALSE,7,一大袋钻石,5,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_5,3600,3600,3600,600,FALSE,702|705,razer,android,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
29,CRYSTAL_PRICE_Tier_6,com.ggt.rott.trd.gp6,6,crystal,6,FALSE,8,一小箱钻石,6,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_6,5040,5040,5040,1260,TRUE,702|705,razer,android,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
30,CRYSTAL_PRICE_Tier_7,com.ggt.rott.trd.gp7,7,crystal,7,FALSE,9,一大箱钻石,7,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_7,7200,7200,7200,2700,TRUE,702|705,razer,android,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
31,CRYSTAL_PRICE_Bag_1,com.ggt.rott.trd.bag1,1001,bag,1,FALSE,0,打折礼包1,1,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,72,0,0,FALSE,702|705,razer,android,600,99,3300,800,600,120000,2900,4900,148,1500000,390
32,CRYSTAL_PRICE_Bag_2,com.ggt.rott.trd.bag2,1002,bag,2,FALSE,0,打折礼包2,2,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_02,0,360,0,0,FALSE,702|705,razer,android,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
33,CRYSTAL_PRICE_Bag_3,com.ggt.rott.trd.bag3,1003,bag,3,FALSE,0,打折礼包3,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_03,0,720,0,0,FALSE,702|705,razer,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
34,CRYSTAL_PRICE_Bag_4,com.ggt.rott.trd.bag4,1004,bag,4,FALSE,0,打折礼包4,6,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_04,0,1800,0,0,FALSE,702|705,razer,android,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
35,CRYSTAL_PRICE_Bag_5,com.ggt.rott.trd.bag5,1005,bag,5,FALSE,0,打折礼包5,7,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_05,0,3600,0,0,FALSE,702|705,razer,android,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
36,CRYSTAL_PRICE_Bag_6,com.ggt.rott.trd.bag6,1006,bag,6,FALSE,0,打折礼包6,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_06,0,5040,0,0,FALSE,702|705,razer,android,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
37,CRYSTAL_PRICE_Bag_7,com.ggt.rott.trd.bag7,1007,bag,7,FALSE,0,打折礼包7,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_07,0,7200,0,0,FALSE,702|705,razer,android,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
38,CRYSTAL_PRICE_Bag_0899,com.ggt.rott.trd.bag0899,899,bag,899,FALSE,0,打折礼包899,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,650,0,0,FALSE,702|705,razer,android,6000,899,29000,6800,6000,1100000,27900,44900,1298,12900000,3790
39,CRYSTAL_PRICE_Bag_1499,com.ggt.rott.trd.bag1499,1499,bag,1499,FALSE,0,打折礼包1499,4,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1080,0,0,FALSE,702|705,razer,android,9800,1499,49000,11800,9800,1900000,44900,74900,2198,21900000,5990
40,CRYSTAL_PRICE_Bag_1999,com.ggt.rott.trd.bag1999,1999,bag,1999,FALSE,0,打折礼包1999,5,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1440,0,0,FALSE,702|705,razer,android,12800,1999,67000,15800,12800,2500000,59900,99900,2898,29900000,7990
41,CRYSTAL_PRICE_Bag_2699,com.ggt.rott.trd.bag2699,2699,bag,2699,FALSE,0,打折礼包2699,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1950,0,0,FALSE,702|705,razer,android,17800,2699,89000,20800,17800,3300000,82900,135000,3898,38900000,11490
42,CRYSTAL_PRICE_Bag_4499,com.ggt.rott.trd.bag4499,4499,bag,4499,FALSE,0,打折礼包4499,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,3240,0,0,FALSE,702|705,razer,android,28300,4499,149000,35800,28300,5500000,140000,225000,6398,65900000,18490
43,CRYSTAL_PRICE_Bag_5999,com.ggt.rott.trd.bag5999,5999,bag,5999,FALSE,0,打折礼包5999,11,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,4320,0,0,FALSE,702|705,razer,android,38800,5999,199000,44800,38800,7500000,180000,299000,8898,89900000,24990
44,CRYSTAL_PRICE_Bag_7999,com.ggt.rott.trd.bag7999,7999,bag,7999,FALSE,0,打折礼包7999,13,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,5760,0,0,FALSE,702|705,razer,android,51800,7999,269000,61800,51800,9900000,250000,399000,10898,119900000,34990
45,CRYSTAL_PRICE_PT,com.ggt.rott.trd.tp,200,passport,200,FALSE,0,通行证,200,LOC_CRYSTALPRICE_NAME_PASSPORT,0,1296,0,0,FALSE,702|705,razer,android,11800,1799,59000,13800,11800,2200000,54900,89900,2598,26900000,7490
46,CRYSTAL_PRICE_MC,com.ggt.rott.trd.mc.discount,100,mc,100,FALSE,2,月卡,100,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC,500,500,0,0,TRUE,702|705,razer,android,2500,399,13000,2800,2500,490000,11900,19900,598,5900000,1690
47,CRYSTAL_PRICE_MC_PRO,com.ggt.rott.trd.supermc,101,supermc,101,FALSE,1,至尊月卡,101,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC_PRO,720,720,0,0,TRUE,702|705,razer,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
48,CRYSTAL_PRICE_Tier_1,com.ggt.rott.aos.gp1,1,crystal,1,FALSE,3,一小捧钻石,1,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_1,72,72,72,0,FALSE,701,googleplay,android,600,99,3300,800,600,120000,2900,4900,148,1500000,390
49,CRYSTAL_PRICE_Tier_2,com.ggt.rott.aos.gp2,2,crystal,2,FALSE,4,一小堆钻石,2,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_2,360,360,360,15,FALSE,701,googleplay,android,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
50,CRYSTAL_PRICE_Tier_3,com.ggt.rott.aos.gp3,3,crystal,3,FALSE,5,一大堆钻石,3,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_3,720,720,720,60,FALSE,701,googleplay,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
51,CRYSTAL_PRICE_Tier_4,com.ggt.rott.aos.gp4,4,crystal,4,FALSE,6,一小袋钻石,4,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_4,1800,1800,1800,145,FALSE,701,googleplay,android,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
52,CRYSTAL_PRICE_Tier_5,com.ggt.rott.aos.gp5,5,crystal,5,FALSE,7,一大袋钻石,5,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_5,3600,3600,3600,600,FALSE,701,googleplay,android,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
53,CRYSTAL_PRICE_Tier_6,com.ggt.rott.aos.gp6,6,crystal,6,FALSE,8,一小箱钻石,6,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_6,5040,5040,5040,1260,TRUE,701,googleplay,android,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
54,CRYSTAL_PRICE_Tier_7,com.ggt.rott.aos.gp7,7,crystal,7,FALSE,9,一大箱钻石,7,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_7,7200,7200,7200,2700,TRUE,701,googleplay,android,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
55,CRYSTAL_PRICE_Bag_1,com.ggt.rott.aos.bag1,1001,bag,1,FALSE,0,打折礼包1,1,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,72,0,0,FALSE,701,googleplay,android,600,99,3300,800,600,120000,2900,4900,148,1500000,390
56,CRYSTAL_PRICE_Bag_2,com.ggt.rott.aos.bag2,1002,bag,2,FALSE,0,打折礼包2,2,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_02,0,360,0,0,FALSE,701,googleplay,android,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
57,CRYSTAL_PRICE_Bag_3,com.ggt.rott.aos.bag3,1003,bag,3,FALSE,0,打折礼包3,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_03,0,720,0,0,FALSE,701,googleplay,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
58,CRYSTAL_PRICE_Bag_4,com.ggt.rott.aos.bag4,1004,bag,4,FALSE,0,打折礼包4,6,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_04,0,1800,0,0,FALSE,701,googleplay,android,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
59,CRYSTAL_PRICE_Bag_5,com.ggt.rott.aos.bag5,1005,bag,5,FALSE,0,打折礼包5,7,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_05,0,3600,0,0,FALSE,701,googleplay,android,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
60,CRYSTAL_PRICE_Bag_6,com.ggt.rott.aos.bag6,1006,bag,6,FALSE,0,打折礼包6,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_06,0,5040,0,0,FALSE,701,googleplay,android,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
61,CRYSTAL_PRICE_Bag_7,com.ggt.rott.aos.bag7,1007,bag,7,FALSE,0,打折礼包7,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_07,0,7200,0,0,FALSE,701,googleplay,android,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
62,CRYSTAL_PRICE_Bag_0899,com.ggt.rott.aos.bag0899,899,bag,899,FALSE,0,打折礼包899,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,650,0,0,FALSE,701,googleplay,android,6000,899,29000,6800,6000,1100000,27900,44900,1298,12900000,3790
63,CRYSTAL_PRICE_Bag_1499,com.ggt.rott.aos.bag1499,1499,bag,1499,FALSE,0,打折礼包1499,4,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1080,0,0,FALSE,701,googleplay,android,9800,1499,49000,11800,9800,1900000,44900,74900,2198,21900000,5990
64,CRYSTAL_PRICE_Bag_1999,com.ggt.rott.aos.bag1999,1999,bag,1999,FALSE,0,打折礼包1999,5,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1440,0,0,FALSE,701,googleplay,android,12800,1999,67000,15800,12800,2500000,59900,99900,2898,29900000,7990
65,CRYSTAL_PRICE_Bag_2699,com.ggt.rott.aos.bag2699,2699,bag,2699,FALSE,0,打折礼包2699,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1950,0,0,FALSE,701,googleplay,android,17800,2699,89000,20800,17800,3300000,82900,135000,3898,38900000,11490
66,CRYSTAL_PRICE_Bag_4499,com.ggt.rott.aos.bag4499,4499,bag,4499,FALSE,0,打折礼包4499,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,3240,0,0,FALSE,701,googleplay,android,28300,4499,149000,35800,28300,5500000,140000,225000,6398,65900000,18490
67,CRYSTAL_PRICE_Bag_5999,com.ggt.rott.aos.bag5999,5999,bag,5999,FALSE,0,打折礼包5999,11,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,4320,0,0,FALSE,701,googleplay,android,38800,5999,199000,44800,38800,7500000,180000,299000,8898,89900000,24990
68,CRYSTAL_PRICE_Bag_7999,com.ggt.rott.aos.bag7999,7999,bag,7999,FALSE,0,打折礼包7999,13,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,5760,0,0,FALSE,701,googleplay,android,51800,7999,269000,61800,51800,9900000,250000,399000,10898,119900000,34990
69,CRYSTAL_PRICE_PT,com.ggt.rott.aos.tp,200,passport,200,FALSE,0,通行证,200,LOC_CRYSTALPRICE_NAME_PASSPORT,0,1296,0,0,FALSE,701,googleplay,android,11800,1799,59000,13800,11800,2200000,54900,89900,2598,26900000,7490
70,CRYSTAL_PRICE_MC,com.ggt.rott.aos.mc.discount,100,mc,100,FALSE,2,月卡,100,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC,500,500,0,0,TRUE,701,googleplay,android,2500,399,13000,2800,2500,490000,11900,19900,598,5900000,1690
71,CRYSTAL_PRICE_MC_PRO,com.ggt.rott.aos.supermc,101,supermc,101,FALSE,1,至尊月卡,101,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_MC_PRO,720,720,0,0,TRUE,701,googleplay,android,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
72,CRYSTAL_PRICE_Tier_1,com.ggt.rott.ios.gp1,1,crystal,1,FALSE,3,一小捧钻石,1,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_1,72,72,72,0,FALSE,700,appstore,ios,600,99,3300,800,600,120000,2900,4900,148,1500000,390
73,CRYSTAL_PRICE_Tier_2,com.ggt.rott.ios.gp2,2,crystal,2,FALSE,4,一小堆钻石,2,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_2,360,360,360,15,FALSE,700,appstore,ios,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
74,CRYSTAL_PRICE_Tier_3,com.ggt.rott.ios.gp3,3,crystal,3,FALSE,5,一大堆钻石,3,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_3,720,720,720,60,FALSE,700,appstore,ios,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
75,CRYSTAL_PRICE_Tier_4,com.ggt.rott.ios.gp4,4,crystal,4,FALSE,6,一小袋钻石,4,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_4,1800,1800,1800,145,FALSE,700,appstore,ios,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
76,CRYSTAL_PRICE_Tier_5,com.ggt.rott.ios.gp5,5,crystal,5,FALSE,7,一大袋钻石,5,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_5,3600,3600,3600,600,FALSE,700,appstore,ios,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
77,CRYSTAL_PRICE_Tier_6,com.ggt.rott.ios.gp6,6,crystal,6,FALSE,8,一小箱钻石,6,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_6,5040,5040,5040,1260,TRUE,700,appstore,ios,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
78,CRYSTAL_PRICE_Tier_7,com.ggt.rott.ios.gp7,7,crystal,7,FALSE,9,一大箱钻石,7,LOC_CRYSTALPRICE_NAME_CRYSTAL_PRICE_Tier_7,7200,7200,7200,2700,TRUE,700,appstore,ios,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
79,CRYSTAL_PRICE_Bag_1,com.ggt.rott.ios.bag1,1001,bag,1,FALSE,0,打折礼包1,1,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,72,0,0,FALSE,700,appstore,ios,600,99,3300,800,600,120000,2900,4900,148,1500000,390
80,CRYSTAL_PRICE_Bag_2,com.ggt.rott.ios.bag2,1002,bag,2,FALSE,0,打折礼包2,2,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_02,0,360,0,0,FALSE,700,appstore,ios,3000,499,17000,3800,3000,590000,14900,24900,698,7500000,1990
81,CRYSTAL_PRICE_Bag_3,com.ggt.rott.ios.bag3,1003,bag,3,FALSE,0,打折礼包3,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_03,0,720,0,0,FALSE,700,appstore,ios,6800,999,33000,7800,6800,1200000,29900,49900,1498,14900000,3990
82,CRYSTAL_PRICE_Bag_4,com.ggt.rott.ios.bag4,1004,bag,4,FALSE,0,打折礼包4,6,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_04,0,1800,0,0,FALSE,700,appstore,ios,16300,2499,83000,19800,16300,3100000,74900,125000,3498,35900000,10490
83,CRYSTAL_PRICE_Bag_5,com.ggt.rott.ios.bag5,1005,bag,5,FALSE,0,打折礼包5,7,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_05,0,3600,0,0,FALSE,700,appstore,ios,32800,4999,169000,39800,32800,6500000,160000,249000,6898,73900000,19990
84,CRYSTAL_PRICE_Bag_6,com.ggt.rott.ios.bag6,1006,bag,6,FALSE,0,打折礼包6,8,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_06,0,5040,0,0,FALSE,700,appstore,ios,44800,6999,229000,54800,44800,8900000,210000,349000,9898,99900000,29990
85,CRYSTAL_PRICE_Bag_7,com.ggt.rott.ios.bag7,1007,bag,7,FALSE,0,打折礼包7,9,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_07,0,7200,0,0,FALSE,700,appstore,ios,64800,9999,329000,78800,64800,11900000,300000,499000,14898,149900000,39990
86,CRYSTAL_PRICE_Bag_0899,com.ggt.rott.ios.bag0899,899,bag,899,FALSE,0,打折礼包899,3,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,650,0,0,FALSE,700,appstore,ios,6000,899,29000,6800,6000,1100000,27900,44900,1298,12900000,3790
87,CRYSTAL_PRICE_Bag_1499,com.ggt.rott.ios.bag1499,1499,bag,1499,FALSE,0,打折礼包1499,4,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1080,0,0,FALSE,700,appstore,ios,9800,1499,49000,11800,9800,1900000,44900,74900,2198,21900000,5990
88,CRYSTAL_PRICE_Bag_1999,com.ggt.rott.ios.bag1999,1999,bag,1999,FALSE,0,打折礼包1999,5,LOC_CRYSTALPRICE_NAME_DISCOUNT_BAG_01,0,1440,0,0,FALSE,700,appstore,ios,12800,1999,67000,15800,12800,2500000,59900,99900,2898,29900000,7990
