_ID,_VALUE,#Name:string,Name:loc,Icon:string,AttrDes:loc,ResonanceType:string,ActivationCondition:id[],ConditionNum:int[],ConditionType:string,Exclusive:id{},ChoseType:string[],PassiveBuffId:id[],PassiveBuffLv:int[],AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],AttributeDuration:decimal[][],#Parameter1Name:string[],Parameter1:decimal[],#Parameter2Name:string[],Parameter2:decimal[],#Parameter3Name:string[],Parameter3:decimal[],FxName:id
,,,,,,,,,,,All,,1,Armor#MagicDef,0.08#0.08,Percentage#Percentage,,,,,,,,
RESONANCE_7,7,3水,LOC_RESONANCE_NAME_ELEMENT_7,ICON_ELEMENT_RESONANCE_LIFE_FOUNTAIN,LOC_RESONANCE_DESC_ELEMENT_NEW_7,Element,ELEMENT_TYPE_WATER,3,All,,All,,1,HP,0.06,Percentage,,,,,,,,EFFECT_RESONANCE_7
RESONANCE_8,8,6水,LOC_RESONANCE_NAME_ELEMENT_8,ICON_ELEMENT_RESONANCE_HEALING_TIDES,LOC_RESONANCE_DESC_ELEMENT_NEW_8,Element,ELEMENT_TYPE_WATER,6,All,,All,HALO_REBORN,1,HP,0.09,Percentage,,,,,,,,EFFECT_RESONANCE_8
RESONANCE_9,9,3暗,LOC_RESONANCE_NAME_ELEMENT_9,ICON_ELEMENT_RESONANCE_DEATH_MELODY,LOC_RESONANCE_DESC_ELEMENT_NEW_9,Element,ELEMENT_TYPE_DARK,3,All,,Dark,,1,PhysicalArmorIgnoreFactor,0.07,Percentage,,,,,,,,EFFECT_RESONANCE_9
RESONANCE_10,10,6暗,LOC_RESONANCE_NAME_ELEMENT_10,ICON_ELEMENT_RESONANCE_MIDNIGHT_WITHER,LOC_RESONANCE_DESC_ELEMENT_NEW_10,Element,ELEMENT_TYPE_DARK,6,All,,Dark,HALO_ATK_TO_DARK,1,PhysicalArmorIgnoreFactor,0.11,Percentage,,,,,,,,EFFECT_RESONANCE_10
RESONANCE_11,11,3圣,LOC_RESONANCE_NAME_ELEMENT_11,ICON_ELEMENT_RESONANCE_LIGHT_SURROUND,LOC_RESONANCE_DESC_ELEMENT_NEW_11,Element,ELEMENT_TYPE_HOLY,3,All,,Holy,HALO_GETSHIELD,1,None,,,,,,,,,,EFFECT_RESONANCE_11
RESONANCE_12,12,6圣,LOC_RESONANCE_NAME_ELEMENT_12,ICON_ELEMENT_RESONANCE_HOLY_PRAYER,LOC_RESONANCE_DESC_ELEMENT_NEW_12,Element,ELEMENT_TYPE_HOLY,6,All,,All,HALO_GETSHIELD,1,None,,,,,,,,,,EFFECT_RESONANCE_12
,,,,,,,,,,,Holy,HALO_SHIELD,1,None,,,,,,,,,,
RESONANCE_13,13,2风,LOC_RESONANCE_NAME_ELEMENT_13,ICON_ELEMENT_RESONANCE_DOOMSDAY,LOC_RESONANCE_DESC_ELEMENT_NEW_131,Element,ELEMENT_TYPE_WIND,2,All,,All,,1,CriticalHit#CriticalDamage,0.08#0.3,Percentage#Percentage,,,,,,,,EFFECT_RESONANCE_13
,,2火,,,,,ELEMENT_TYPE_FIRE,2,,,,,1,,,,,,,,,,,
,,2地,,,,,ELEMENT_TYPE_EARTH,2,,,,,1,,,,,,,,,,,
,,2水,,,,,ELEMENT_TYPE_WATER,2,,,,,1,,,,,,,,,,,
RESONANCE_14,14,4暗,LOC_RESONANCE_NAME_ELEMENT_14,ICON_ELEMENT_RESONANCE_VORTEX,LOC_RESONANCE_DESC_ELEMENT_NEW_14,Element,ELEMENT_TYPE_DARK,4,All,,Dark,HALO_ATK_TO_SILENCE,1,None,,,,,,,,,,EFFECT_RESONANCE_14
,,4圣,,,,,ELEMENT_TYPE_HOLY,4,,,Holy,HALO_ATK_TO_SILENCE,1,None,,,,,,,,,,
RESONANCE_15,15,1风,LOC_RESONANCE_NAME_ELEMENT_15,ICON_ELEMENT_RESONANCE_SKYFALL_GOD,LOC_RESONANCE_DESC_ELEMENT_NEW_15,Element,ELEMENT_TYPE_WIND,1,All,,TeamMana,,1,None,,,,队伍增加的初始魔力值,3,空,0,,,EFFECT_RESONANCE_15
,,1火,,,,,ELEMENT_TYPE_FIRE,1,,,TeamSpeed,,1,None,,,,加快多少恢复速度,0.15,持续时间,9999,,,
,,1地,,,,,ELEMENT_TYPE_EARTH,1,,,,,1,,,,,,,,,,,
,,1水,,,,,ELEMENT_TYPE_WATER,1,,,,,1,,,,,,,,,,,
,,1暗,,,,,ELEMENT_TYPE_DARK,1,,,,,1,,,,,,,,,,,
,,1圣,,,,,ELEMENT_TYPE_HOLY,1,,,,,1,,,,,,,,,,,
RESONANCE_16,20,5剪,LOC_RESONANCE_NAME_CAMP_1,ICON_FRACTION_RESONANCE_ELF_KNOTS,LOC_RESONANCE_DESC_CAMP_NEW_1,Camp,CAMP_TYPE_SCISSORS,5,All,,All,,1,HP#Damage#Magic#PhysicalAttack#MagicalAttack,0.15#0.20#0.15#0.08#0.08,Percentage#Percentage#Percentage#Percentage#Percentage,,,,,,,,
RESONANCE_17,21,5石,LOC_RESONANCE_NAME_CAMP_2,ICON_FRACTION_RESONANCE_CHAIN_GUARIAN,LOC_RESONANCE_DESC_CAMP_NEW_2,Camp,CAMP_TYPE_ROCK,5,All,,All,,1,HP#Damage#Magic#MagicalHurt,0.20#0.15#0.15#-0.10,Percentage#Percentage#Percentage#Percentage,,,,,,,,
RESONANCE_18,22,5布,LOC_RESONANCE_NAME_CAMP_3,ICON_FRACTION_RESONANCE_VOID_BARRIER,LOC_RESONANCE_DESC_CAMP_NEW_3,Camp,CAMP_TYPE_PAPER,5,All,,All,,1,HP#Damage#Magic#CriticalHit,0.15#0.15#0.20#0.08,Percentage#Percentage#Percentage#Percentage,,,,,,,,
RESONANCE_19,23,5黑,LOC_RESONANCE_NAME_CAMP_4,ICON_FRACTION_RESONANCE_MAGIC_GATE,LOC_RESONANCE_DESC_CAMP_NEW_4,Camp,CAMP_TYPE_BLACK,5,All,,All,,1,HP#Damage#Magic#AttackSpeed,0.25#0.18#0.18#0.09,Percentage#Percentage#Percentage#Percentage,,,,,,,,
RESONANCE_20,24,5白,LOC_RESONANCE_NAME_CAMP_5,ICON_FRACTION_RESONANCE_HOLY_SPIRIT,LOC_RESONANCE_DESC_CAMP_NEW_5,Camp,CAMP_TYPE_WHITE,5,All,,All,,1,HP#Damage#Magic#PhysicalHurt,0.25#0.18#0.18#-0.12,Percentage#Percentage#Percentage#Percentage,,,,,,,,
RESONANCE_21,17,1剪,LOC_RESONANCE_NAME_CAMP_6,ICON_FRACTION_RESONANCE_ENDLESS_CHAOS,LOC_RESONANCE_DESC_CAMP_NEW_6,Camp,CAMP_TYPE_SCISSORS,1,All,,All,,1,HP#Damage#Magic,0.12#0.10#0.10,Percentage#Percentage#Percentage,,,,,,,,
,,1石,,,,,CAMP_TYPE_ROCK,1,,,,,1,,,,,,,,,,,
,,1布,,,,,CAMP_TYPE_PAPER,1,,,,,1,,,,,,,,,,,
,,1黑,,,,,CAMP_TYPE_BLACK,1,,,,,1,,,,,,,,,,,
,,1白,,,,,CAMP_TYPE_WHITE,1,,,,,1,,,,,,,,,,,
RESONANCE_27,18,3黑,LOC_RESONANCE_NAME_CAMP_12,ICON_FRACTION_RESONANCE_SKY_POWER,LOC_RESONANCE_DESC_CAMP_NEW_12,Camp,CAMP_TYPE_BLACK,3,All,,All,,1,HP#Damage#Magic,0.12#0.18#0.12,Percentage#Percentage#Percentage,,,,,,,,
,,2白,,,,,CAMP_TYPE_WHITE,2,,,,,1,,,,,,,,,,,
RESONANCE_28,19,3白,LOC_RESONANCE_NAME_CAMP_13,ICON_FRACTION_RESONANCE_NETHER_WORLD,LOC_RESONANCE_DESC_CAMP_NEW_13,Camp,CAMP_TYPE_WHITE,3,All,,All,,1,HP#Damage#Magic,0.18#0.12#0.12,Percentage#Percentage#Percentage,,,,,,,,
,,2黑,,,,,CAMP_TYPE_BLACK,2,,,,,1,,,,,,,,,,,
RESONANCE_0_2,16,3剪/3石/3布,LOC_RESONANCE_NAME_CAMP_15,ICON_FRACTION_RESONANCE_NOVICE,LOC_RESONANCE_DESC_CAMP_NEW_15,Camp,CAMP_TYPE_SCISSORS,3,Any,RESONANCE_16#RESONANCE_17#RESONANCE_18,All,,1,HP#Damage#Magic,0.10#0.08#0.08,Percentage#Percentage#Percentage,,,,,,,,
,,,,,,,CAMP_TYPE_ROCK,3,,,,,,,,,,,,,,,,
,,,,,,,CAMP_TYPE_PAPER,3,,,,,,,,,,,,,,,,
