_ID,_VALUE,DescKey:id,#Desc:string,FeatureUnlockDescKey:id,Param:int,VIPLevel:int,IdParam:id,Heroes:id[],LimitType:string[],LimitValue:string[],IconResName:string,SystemName:loc,Des:loc,OpenConditionText:loc,JudgmentLevel:int,Priority:int
FEATURE_UNLOCK_BATTLESOUL,13,LOC_FEATURE_DESC_FEATURE_UNLOCK_SOUL,战魂试炼{0}级解锁,,31,,ATTACKON_SOUL,,,,ICON_System_Cat02,LOC_NAME_LEVEL_UP_SOUL,LOC_DES_LEVEL_UP_SOUL,LOC_OPEN_LEVEL_UP_SOUL,31,2
FEATURE_UNLOCK_GOLD,14,LOC_FEATURE_DESC_FEATURE_UNLOCK_GOLD,金币大作战{0}级解锁,,21,,ATTACKON_GOLD,,,,ICON_System_Cat03,LOC_NAME_LEVEL_UP_GOLD,LOC_DES_LEVEL_UP_GOLD,LOC_OPEN_LEVEL_UP_GOLD,21,1
FEATURE_UNLOCK_SHOP,15,LOC_OPEN_LEVEL_UP_SHOP,商店11级解锁,,11,,,,VIP,8,ICON_System_Shop,LOC_NAME_LEVEL_UP_SHOP,LOC_DES_LEVEL_UP_SHOP,LOC_OPEN_LEVEL_UP_SHOP,,
,,,,,,,,,None,0,,,,,,
FEATURE_UNLOCK_FEAST,16,LOC_FEATURE_DESC_FEATURE_UNLOCK_FEAST,盛宴解锁(vip8),,101,6,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
,,,,,,,,,PlayerLevel,32,,,,,,
FEATURE_TRAVEL_SHOP,17,LOC_FEATURE_DESC_FEATURE_TRAVEL_SHOP,旅行商人(vip6),,999,99,,,,,,,,,,
FEATURE_FIRST_CHARGE,18,LOC_FEATURE_DESC_FEATURE_FIRST_CHARGE,首次充值,,,,,,None,0,,,,,,
FEATURE_TRAVEL_SHOP_LEVEL,19,LOC_FEATURE_DESC_FEATURE_TRAVEL_SHOP_LEVEL,旅行商人306解锁,,,,LEVEL_306,,,,,,,,,
FEATURE_UNLOCK_GUILD,20,LOC_OPEN_LEVEL_UP_GUILD,公会10级,,10,,,,,,ICON_System_Contest,LOC_NAME_LEVEL_UP_GUILD,LOC_DES_LEVEL_UP_GUILD,LOC_OPEN_LEVEL_UP_GUILD,10,2
FEATURE_UNLOCK_SPAR_1,21,LOC_OPEN_LEVEL_UP_SPAR,晶石1,,26,,,,,,ICON_System_Spar,LOC_NAME_LEVEL_UP_SPAR,LOC_DES_LEVEL_UP_SPAR,LOC_OPEN_LEVEL_UP_SPAR,26,1
FEATURE_UNLOCK_SPAR_2,22,LOC_FEATURE_DESC_FEATURE_UNLOCK_SPAR_2,晶石2,,26,,,,,,,,,,,
FEATURE_UNLOCK_SPAR_3,23,LOC_FEATURE_DESC_FEATURE_UNLOCK_SPAR_3,晶石3,,26,,,,,,,,,,,
FEATURE_UNLOCK_SPAR_4,24,LOC_FEATURE_DESC_FEATURE_UNLOCK_SPAR_4,晶石4,,26,,,,,,,,,,,
FEATURE_UNLOCK_BADGE,25,LOC_FEATURE_DESC_FEATURE_UNLOCK_BADGE,徽章,,29,,,,,,,,,,,
FEATURE_UNLOCK_TREASURE,26,LOC_FEATURE_DESC_FEATURE_UNLOCK_TREASURE,探宝,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
,,,,,,,,,None,0,,,,,,
FEATURE_UNLOCK_MAILS_CHEST,27,LOC_FEATURE_DESC_FEATURE_UNLOCK_MAILS_CHEST,3星宝箱,,,,,,,,,,,,,
FEATURE_UNLOCK_MAPLEVEL_201,28,,手指201解锁（无用）,,,,LEVEL_201,,,,,,,,,
FEATURE_UNLOCK_MAPLEVEL_102,29,,手指到102解锁,,,,LEVEL_101,,,,,,,,,
FEATURE_UNLOCK_BATTLE_FINGER,30,,主界面战役手指0-13级,,12,,,,,,,,,,,
FEATURE_UNLOCK_TEAMTOURNAMEN,31,LOC_FEATURE_DESC_FEATURE_UNLOCK_TEAMTOURNAMEN,公会组队试炼37级解锁,,37,,,,,,ICON_System_Infinite_Tower,LOC_NAME_LEVEL_UP_TEAMTOURNAMEN,LOC_DES_LEVEL_UP_TEAMTOURNAMEN,LOC_OPEN_LEVEL_UP_TEAMTOURNAMEN,37,1
FEATURE_UNLOCK_GUILD_SPORTS,32,,公会竞技40级解锁(暂时关闭),,3,,,,,,,,,,,
FEATURE_UNLOCK_FRIENDS,33,LOC_FEATURE_DESC_FEATURE_UNLOCK_GUILD_SPORTS,好友1级解锁,,1,,,,,,,,,,,
FEATURE_UNLOCK_TEAM_LEVEL,34,,组队副本29级解锁,,29,,,,,,,,,,,
FEATURE_UNLOCK_HERO_SHOP,35,LOC_FEATURE_DESC_FEATURE_UNLOCK_HERO_SHOP,英雄商店和天空单人一起解锁,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
,,,,,,,,,PlayerLevel,20,,,,,,
FEATURE_UNLOCK_HERO_CHAIN,36,,连携技能106关卡解锁,,,,LEVEL_105,,,,,,,,,
FEATURE_UNLOCK_SKY_SINGLE_MAP,37,,天空单人挑战20级解锁,,101,,,,,,,,,,,
FEATURE_UNLOCK_FEEDER_MAP,38,,秘境挑战204出来后,,,,LEVEL_204,,,,,,,,,
FEATURE_UNLOCK_HERO_CHAIN_PROMPT,39,,连携英雄获得解锁提示106,,,,LEVEL_105,,,,,,,,,
FEATURE_UNLOCK_GAME_SCORE,40,,游戏中的评分弹出框302关弹出,,,,LEVEL_207,,,,,,,,,
FEATURE_UNLOCK_CALL_KARGATH,41,,召唤卡加斯201关之后触发,,,,LEVEL_201,,,,,,,,,
FEATURE_UNLOCK_GOLDMINE,42,,金矿派遣第3章解锁,,999,,,,,,,,,,,
FEATURE_UNLOCK_AUTO_BATTLE,43,,自动战斗,,1,,,,,,,,,,,
FEATURE_UNLOCK_AUTO_ARRANGE,44,,自动布阵,,1,1,,,,,,,,,,
FEATURE_UNLOCK_AUTO_FASTBATTLE,45,,战斗加速,,30,0,,,,,,,,,,
FEATURE_UNLOCK_SPAR_EXTREME_BOX,46,,至尊宝箱开启,,10,0,,,,,,,,,,
FEATURE_UNLOCK_OPEN_BNAQUET,47,,盛宴解锁出现解锁,,15,4,,,,,,,,,,
FEATURE_UNLOCK_EMBLEM_DECOMPOSITION,48,,徽章分解,,10,,,,,,,,,,,
FEATURE_UNLOCK_CHAIN_SKILL_LV_UP,49,,连携强化,,101,,,,,,,,,,,
FEATURE_UNLOCK_FRIEND_BOSS,50,,好友BOSS,,24,,,,,,btn_Friends,LOC_NAME_LEVEL_UP_FRIEND_BOSS,LOC_DES_LEVEL_UP_FRIEND_BOSS,LOC_OPEN_LEVEL_UP_FRIEND_BOSS,24,1
FEATURE_UNLOCK_GUILD_BOSS,51,,公会BOSS,,39,,,,,,ICON_System_MVP_Train,LOC_NAME_LEVEL_UP_GUILD_BOSS,LOC_DES_LEVEL_UP_GUILD_BOSS,LOC_OPEN_LEVEL_UP_GUILD_BOSS,39,2
FEATURE_UNLOCK_GUILD_TECHNOLOGY,52,LOC_FEATURE_DESC_GUILD_TECHNOLOGY,炼金科技,,39,,,,,,ICON_System_Elements_Research,LOC_NAME_LEVEL_UP_GUILD_TECHNOLOGY,LOC_DES_LEVEL_UP_GUILD_TECHNOLOGY,LOC_OPEN_LEVEL_UP_GUILD_TECHNOLOGY,39,1
FEATURE_UNLOCK_RESONANCE,53,,共鸣按钮,,8,,,,,,,,,,,
FEATURE_UNLOCK_FRUIT,54,LOC_FEATURE_DESC_FEATURE_UNLOCK_FRUIT,天赋果实园{0}级解锁,,35,,ATTACKON_FRUIT,,,,ICON_System_Cat,LOC_NAME_LEVEL_UP_FRUIT,LOC_DES_LEVEL_UP_FRUIT,LOC_OPEN_LEVEL_UP_FRUIT,35,2
FEATURE_UNLOCK_CONNECT,55,LOC_FEATURE_DESC_FEATURE_UNLOCK_CONNECT,亲密度解锁,,29,,,,PlayerLevel,,btn_Intimacy,LOC_NAME_LEVEL_UP_CONNECT,LOC_DES_LEVEL_UP_CONNECT,LOC_OPEN_LEVEL_UP_CONNECT,29,1
FEATURE_UNLOCK_GUARDIAN_OF_GOD,56,LOC_FEATURE_DESC_FEATURE_UNLOCK_GUARDIAN_OF_GOD,神之守护兽,,43,,,,PlayerLevel,,ICON_System_Guardian,LOC_NAME_LEVEL_UP_GUARDIAN_OF_GOD,LOC_DES_LEVEL_UP_GUARDIAN_OF_GOD,LOC_OPEN_LEVEL_UP_GUARDIAN_OF_GOD,43,2
FEATURE_UNLOCK_RESONANCE_CAMP,57,,共鸣阵营,,8,,,,PlayerLevel,,btn_Resonation,LOC_NAME_LEVEL_UP_RESONANCE_CAMP,LOC_DES_LEVEL_UP_RESONANCE_CAMP,LOC_OPEN_LEVEL_UP_RESONANCE_CAMP,8,1
FEATURE_UNLOCK_RESONANCE_ELEMENT,58,LOC_FEATURE_DESC_FEATURE_UNLOCK_RESONANCE_ELEMENT,共鸣元素,,20,,,,PlayerLevel,,btn_Resonation,LOC_NAME_LEVEL_UP_RESONANCE__ELEMENT,LOC_DES_LEVEL_UP_RESONANCE_ELEMENT,LOC_OPEN_LEVEL_UP_RESONANCE_ELEMENT,20,2
,,,,,,,,,,,,,,,,
FEATURE_UNLOCK_EVENT,59,LOC_FEATURE_DESC_FEATURE_UNLOCK_EVENT,活动开启等级,,1,,,,PlayerLevel,,,,,,,
FEATURE_UNLOCK_CHALLENGE,60,LOC_FEATURE_DESC_FEATURE_UNLOCK_CHALLENGE,挑战入口开启等级,,14,,,,PlayerLevel,,,,,,,
FEATURE_UNLOCK_SUMMONER_ATHLETICS,61,LOC_FEATURE_DESC_FEATURE_UNLOCK_SUMMONER_ATHLETICS,召唤师竞技场,,33,,,,PlayerLevel,,ICON_System_Summoner_Arena,LOC_NAME_LEVEL_UP_SUMMONER_ATHLETICS,LOC_DES_LEVEL_UP_SUMMONER_ATHLETICS,LOC_OPEN_LEVEL_UP_SUMMONER_ATHLETICS,33,1
FEATURE_UNLOCK_MONSTER_EVOLVE,62,LOC_FEATURE_DESC_FEATURE_UNLOCK_MONSTER_EVOLVE,魔物进化2-3开启,,,,LEVEL_203,,,,,,,,,
FEATURE_UNLOCK_ADVENTURE_BOOST,63,LOC_FEATURE_DESC_FEATURE_UNLOCK_ADVENTURE_BOOST,挂机加速开启等级,,19,,,,,,,,,,,
FEATURE_UNLOCK_SCROLL,64,LOC_FEATURE_DESC_FEATURE_UNLOCK_ESSENCE_EVOLVE,精华开启等级,,12,,,,,,,,,,,
FEATURE_UNLOCK_GUILD_WAR,65,LOC_FEATURE_DESC_FEATURE_UNLOCK_GUILD_WAR,公会战开启等级,,45,,,,,,,,,,,
FEATURE_UNLOCK_ARTIFACT,66,LOC_FEATURE_DESC_FEATURE_UNLOCK_ARTIFACT,神器开启等级,,45,,,,,,,,,,,
FEATURE_UNLOCK_PINNACLE_ARENA,67,LOC_FEATURE_DESC_FEATURE_UNLOCK_PINNACLE_ARENA,巅峰斗技场开启等级,,65,,,,,,,,,,,
FEATURE_UNLOCK_EXCLUSIVE,68,LOC_FEATURE_DESC_FEATURE_UNLOCK_EXCLUSIVE,专属开启等级,,30,,,,,,,,,,,
FEATURE_UNLOCK_DUNGEON,69,LOC_FEATURE_DESC_FEATURE_UNLOCK_DUNGEON,30级仙境大冒险,,30,,,,,,,,,,,
FEATURE_UNLOCK_CRUSADE_CHALLENGE_FASTBATTLE,70,,道场挑战战斗加速,,27,0,,,,,,,,,,
FEATURE_UNLOCK_ONE_CLICK_UPGRADE,71,,一键升级解锁等级,,20,,,,,,,,,,,
FEATURE_UNLOCK_HERO_INFORMATION,72,,布阵魔物详情104关卡解锁,,,,LEVEL_103,,,,,,,,,
FEATURE_UNLOCK_GUILD_WAR_SHOP,73,LOC_FEATURE_DESC_FEATURE_UNLOCK_GUILD_WAR,公会战商店开启等级,,45,,,,,,,,,,,
