_ID,_VALUE,DefaultSkin:id,Prefab:string,SummonPrefab:string,Animation:id,Projectiles:id,ProjectileHeight:decimal,SkillEffect:id{},SkillProj:id{},TotalHeight:decimal,HudHeight:decimal,HeadHeight:decimal,BodyHeight:decimal,#DeadAniType:string,DeadFlyTime:decimal,DeadFlyV:decimal,DeadEffectTime:decimal,ExtraAtkEff:id{},ExtraSkillEff:id{},PassiveEff:id{},PassiveProj:id{}
SKINBATTLE_HERO_CAT_O_NINE_TAIL,15,,Cat_O_Nine_Tail,,ANIMATION_CAT_O_NINE_TAIL,,4,EFFECT_FIRE_PILLAR_ATTACK,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_MINOROUS,16,,Minorous,,ANIMATION_MINOROUS,,4,EFFECT_GROUND_SLAM_EX,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_GOBLIN_LEADER,17,,Goblin_Leader,,ANIMATION_GOBLIN_LEADER,,4,,PROJ_SPEAR_BOOMERANG,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_HIGH_ORC,18,,High_Orc,,ANIMATION_HIGH_ORC,,4,,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_JAKK,19,,Jakk,,ANIMATION_JAKK,PROJ_FIRE_BALL,3.5,,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_ANTONIO,20,,Antonio,,ANIMATION_ANTONIO,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_SOHEE,21,,Sohee,,ANIMATION_SOHEE,PROJ_SOHEE_BULLET,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_MASTERING,22,,Mastering,,ANIMATION_MASTERING,PROJ_BULLET_LIGHT_BALL,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_MARC,23,,Marc,,ANIMATION_MARC,PROJ_MARC,8,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DEVIRUCHI,24,,Deviruchi,,ANIMATION_DEVIRUCHI,,4,,,4,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_GHOSTRING,25,,Ghostring,,ANIMATION_PORING_GHOST,,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_WHISPER_BOSS,26,,Whisper_Boss,,ANIMATION_WHISPER_BOSS,PROJ_WHISPER_ATTACK_BULLET,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_ISSUS,27,,Issus,,ANIMATION_ISSUS,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_VANESSA,28,,Vanessa,,ANIMATION_VANESSA,PROJ_ARROW_ATTLACK_3,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_HAROLD,29,,Harold,,ANIMATION_HAROLD,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_HELENA,30,,Helena,,ANIMATION_HELENA,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DALEME,31,,Daleme,,ANIMATION_DALEME,PROJ_BULLET_LIGHT_KNIFE,4,,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_GIORGILI,32,,Giorgili,,ANIMATION_GIORGILI,PROJ_BULLET_LIGHT_KNIFE,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DARK_ILLUSION,33,,Dark_Illusion,,ANIMATION_DARK_ILLUSION,PROJ_FIRE_BALL,7,,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_ATROCE,34,,Atroce,,ANIMATION_ATROCE,,4,,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_LEIB_OLMAI,35,,Leib_Olmai,,ANIMATION_LEIB_OLMAI,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_GRYPHON,36,,Gryphon,,ANIMATION_GRYPHON,PROJ_GRYPHON_ATTACK,4,,,5,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_NIGHTMARE_TERROR,37,,Nightmare_Terror,,ANIMATION_NIGHTMARE_TERROR,,4,,,6,1,1,0.5,Getdown,1.5,0.3,1.5,,,,
SKINBATTLE_HERO_ORC_LORD,38,,Orc_Lord,,ANIMATION_ORC_LORD,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_WANDER_MAN,39,,Wander_Man,,ANIMATION_WANDER_MAN,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_ALICE,40,,Alice,,ANIMATION_ALICE,,4,,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_LOLI_RURI,41,,Loli_Ruri,,ANIMATION_LOLI_RURI,PROJ_LOLI_RURI,4,,,8,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_OWL_BARON,42,,Owl_Baron,,ANIMATION_OWL_BARON,PROJ_BULLET_LIGHT_KNIFE,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DEVILING,43,,deviling,,ANIMATION_DEVILING,,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_MINI_DEMON,44,,Mini_Demon,,ANIMATION_MINI_DEMON,,4,,,4,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_GOLDEN_BUG,45,,Golden_Bug,,ANIMATION_GOLDEN_BUG,,4,,,2,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_DELETER,46,,Deleter,,ANIMATION_DELETER,PROJ_GRANDEL_BULLET,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_ANGELING,47,,Angeling,,ANIMATION_ANGELING,,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_DARK_LORD,48,,Dark_Lord,,ANIMATION_DARK_LORD,PROJ_FIRE_BALL,6,EFFECT_SUMMONER_METEOR_STORM,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,PROJ_PASSIVE_ANNIHILATION_BALL
SKINBATTLE_HERO_BAPHOMET,49,,Baphomet,,ANIMATION_BAPHOMET,,4,EFFECT_KNIGHT_ATTACK,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_OSIRIS,50,,Osiris,,ANIMATION_OSIRIS,,4,EFFECT_DARKNESS_MOMENT,,20,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_EDDGA,51,,Eddga,,ANIMATION_EDDGA,,4,EFFECT_STOIC#EFFECT_STOIC_BUFF,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_PHREEONI,52,,Phreeoni,,ANIMATION_PHREEONI,PROJ_BULLET_STONE,4,EFFECT_WAR_DRUM_CAST#EFFECT_WAR_DRUM_CAST_KEEP#EFFECT_WAR_DRUM_BUFF1#EFFECT_WAR_DRUM_BUFF2#EFFECT_WAR_DRUM_BUFF3#EFFECT_WAR_DRUM_BUFF4,,6,1,1,0.5,Bounce,0.95,1,0.95,,,EFFECT_TALENT_LONGTONGUE#EFFECT_PASSIVE_BELLY_DANCE,
SKINBATTLE_HERO_DRAKE,53,,Drake,,ANIMATION_DRAKE,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DOPPELGANGER,54,,Doppelganger,,ANIMATION_DOPPELGANGER,,4,EFFECT_GROUND_SLAM_EX,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_TURTLE_GENERAL,55,,Turtle_General,,ANIMATION_TURTLE_GENERA,PROJ_OBEAUNE_BULLET,4,EFFECT_WATERBALL_SKIN_SELF,PROJ_WATERBALL_BULLET,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_ORK_HERO,56,,Orc_Hero,,ANIMATION_ORC_HERO,,4,EFFECT_AUTO_DEFENSE,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_MOONLIGHT,57,,Moonlight,,ANIMATION_MOONLIGHT,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_GARM,58,,Garm,,ANIMATION_GARM,,4,EFFECT_GARM_SNOWSTORM,,6,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_G_RANDGRIS,59,,G_Randgris,,ANIMATION_RANDGRIS,,4,EFFECT_BACK_STAB,,8,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_TAO_GUNKA,60,,Tao_Gunka,,ANIMATION_TAO_GUNKA,PROJ_BULLET_STONE,4,EFFECT_GANBANTEIN,,6,1,1,0.5,Getdown,1.5,0.3,1.5,,,,
SKINBATTLE_HERO_MAYA,61,,Maya,,ANIMATION_MAYA,,4,EFFECT_VENOM_DUST,,7,1,1,0.5,Getdown,0.95,0.3,0.95,,,EFFECT_TALENT_DOUBLEEDGED_POISONING#EFFECT_PASSIVE_ENCHANT_DEADLY_POISON,
SKINBATTLE_HERO_MISTRESS,62,,Mistress,,ANIMATION_MISTRESS,PROJ_MISTRESS_BULLET2,4,EFFECT_LIGHT_COUNTER_GUARD#EFFECT_LIGHT_COUNTER_GUARD_END,,5,1,1,0.5,Bounce,0.95,1,0.95,,,EFFECT_PASSIVE_POTION_THROW#EFFECT_TALENT_THE_SOLIDARITY_OF_LOVE,
SKINBATTLE_HERO_SEYREN,63,,Seyren,,ANIMATION_SEYREN,,4,EFFECT_SHAUT_EX,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,EFFECT_PASSIVE_CONCENTRATION#EFFECT_PASSIVE_CONCENTRATION_BUFF#EFFECT_PASSIVE_BROKEN_BLADE_LOW#EFFECT_PASSIVE_BROKEN_BLADE_HIGH,
SKINBATTLE_HERO_SHECI,64,,Sheci,,ANIMATION_SHECI,PROJ_ARROW_ATTLACK_3,4.5,EFFECT_ARROW_RAIN_SHOOT,PROJ_ARROW_RAIN,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_G_EREMES,65,,G_Eremes,,ANIMATION_G_EREMES,,4,EFFECT_HEART_SHOCKWAVE_BULLET#EFFECT_EMPTY,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,EFFECT_TALENT_BLOOD_KING,
SKINBATTLE_HERO_G_RANDEL,66,,G_Randel_H,,ANIMATION_G_RANDEL,,4,,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_MAGALETA,67,,Magaleta,,ANIMATION_MAGALETA,PROJ_MAGALETA_BULLET,4,EFFECT_MADONNA_SONG_TARGET,,5,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_G_KATRINN,68,,G_Katrinn,,ANIMATION_G_KATRINN,PROJ_BULLET_LIGHT_BALL,4,EFFECT_MIND_COMBO,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DARK_SNAKE_LORD,69,,Dark_Snake_Lord,,ANIMATION_DARK_SNAKE_LORD,PROJ_DARK_SNAKE_LORD,4,EFFECT_SKILL_VENOM_PRESSURE_SELF,PROJ_SKILL_VENOM_PRESSURE,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,EFFECT_TALENT_SNAKE_PROTECTION#EFFECT_PASSIVE_POISON_REACT#EFFECT_PASSIVE_VENOM_SPLASHER,
SKINBATTLE_HERO_KNIGHT_OF_WINDSTORM,70,,Knight_Of_Windstorm,,ANIMATION_KNIGHT_OF_WINDSTORM,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_DRACULA_BARON,71,,Dracula,,ANIMATION_DRACULA_BARON,PROJ_DRACULA_BARON,4,EFFECT_SKILL_BLOOD_BURST#EFFECT_SKILL_BLOOD_BURST_SMALL#EFFECT_SKILL_BLOOD_BURST_EX,,7,1,1,0.5,Fallback,0.55,1.5,0.55,,,EFFECT_PASSIVE_BLOODBOIL#EFFECT_PASSIVE_KILLING_BOIL,
SKINBATTLE_HERO_EGGYRA_SCISSORS,72,,Eggyra_Scissors,,ANIMATION_EGGYRA,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_EGGYRA_ROCK,73,,Eggyra_Rock,,ANIMATION_EGGYRA,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_EGGYRA_PAPER,74,,Eggyra_Paper,,ANIMATION_EGGYRA,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_EGGYRA_WHITE,75,,Eggyra_White,,ANIMATION_EGGYRA,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_EGGYRA_BLACK,76,,Eggyra_Black,,ANIMATION_EGGYRA,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_CROW,77,,Crow,,ANIMATION_CROW,,4,,,6,1,1,0.5,Getdown,0,0,0,,,,
SKINBATTLE_HERO_SUMMON_1,78,,Baphomet_S,,ANIMATION_BAPHOMET_S,,4,,,6,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_SUMMON_2,79,,orc_warrior,,ANIMATION_RETINUE_ORC_LORD,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_SUMMON_3,80,,poring,,ANIMATION_MASTERING,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_SUMMON_4,81,,deviling,,ANIMATION_DEVILING,,4,,,6,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_SUMMON_5,82,,Eggyra_Paper,,ANIMATION_EGGYRA,,4,,,3,1,1,0.5,Bounce,0.95,1,0.95,,,,
SKINBATTLE_HERO_MIMIC,83,,Mimic,,ANIMATION_MIMIC,,4,,,7,1,1,0.5,Getdown,0,0,0,,,,
SKINBATTLE_HERO_BOSS_MAYA,84,,Boss/Maya_Evolve_1,,ANIMATION_BOSS_MAYA,,4,,,14,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_BOSS_ORC_HERO,85,,Boss/Orc_Hero_Evolve_1,,ANIMATION_BOSS_ORC_HERO,,8,,,16,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_BOSS_ORC,86,,Boss/Orc_Lord_Evolve_2,,ANIMATION_BOSS_HIGH_ORC,,8,,,16,1,1,0.5,Bounce,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_BOSS_DARK_RANDGRIS,87,,Boss/Dark_Randgris,,ANIMATION_BOSS_RANDGRIS,,4,,,16,1,1,0.5,Bounce,0.55,1.5,0.55,,,,
SKINBATTLE_HERO_BOSS_DIFFUSE,88,,Boss/Garm_Diffuse,,ANIMATION_BOSS_GARM,,4,,,12,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_BOSS_BAPHOMET,89,,Boss/Boss_Baphomet,,ANIMATION_BOSS_BAPHOMET,,9,,,18,1,1,0.5,Bounce,0.95,0.3,0.95,,,,
SKINBATTLE_HERO_BOSS_DRACULA_BARON,90,,Boss/Boss_Dracula,,ANIMATION_BOSS_DRACULA_BARON,PROJ_DRACULA_BARON_BOSS,9,,,18,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_DEVILING,91,,Pet/deviling_Pet,,ANIMATION_RETINUE_DEVILING,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_DEVIRUCHI,92,,Pet/Deviruchi_Pet,,ANIMATION_RETINUE_DEVIRUCHI,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_DARK_LORD,93,,Pet/Dark_Lord_Pet,,ANIMATION_RETINUE_DARK_LORD,PROJ_FIRE_BALL,3,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_DARK_ILLUSION,94,,Pet/Dark_Illusion_Pet,,ANIMATION_RETINUE_DARK_ILLUSION,PROJ_FIRE_BALL,4,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_BAPHOMET,95,,Pet/Baphomet_S_Pet,,ANIMATION_BAPHOMET_S,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_OSIRIS,96,,Pet/Osiris_Pet,,ANIMATION_RETINUE_OSIRIS,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_ATROCE,97,,Pet/Atroce_Pet,,ANIMATION_RETINUE_ATROCE,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_DRAKE,98,,Pet/Drake_Pet,,ANIMATION_RETINUE_DRAKE,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_DOPPELGANGER,99,,Pet/Doppelganger_Pet,,ANIMATION_RETINUE_DOPPELGANGER,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_RAYDRIC,100,,Pet/Raydric_Pet,,ANIMATION_RETINUE_RAYDRIC,,2,,,3,1,1,0.5,Getdown,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_MAYA,101,,Pet/Maya_Pet,,ANIMATION_RETINUE_MAYA,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_LEIB_OLMAI,102,,Pet/bear_Pet,,ANIMATION_RETINUE_LEIB_OLMAI,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_PETIT,103,,Pet/Petit_Pet,,ANIMATION_RETINUE_PETIT,PROJ_GRANDEL_BULLET,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_VAGABOND_WOLF,104,,Pet/Vagabond_Wolf_Pet1,,ANIMATION_RETINUE_VAGABOND_WOLF,,2,,,3,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_RETINUE_MUMMY,105,,Pet/Mummy_Pet,,ANIMATION_RETINUE_MUMMY,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_TURTLE_GENERAL,106,,Pet/Turtle_Genera_Pet,,ANIMATION_RETINUE_TURTLE_GENERAL,PROJ_OBEAUNE_BULLET,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_ORC_LORD,107,,Pet/Orc_Lord_Pet,,ANIMATION_RETINUE_ORC_LORD,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_ORK_HERO,108,,Pet/Orc_Hero_Pet,,ANIMATION_RETINUE_ORK_HERO,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_WANDER_MAN,109,,Pet/Wander_Man_Pet,,ANIMATION_RETINUE_WANDER_MAN,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_SEYREN,110,,Pet/Seyren_Pet,,ANIMATION_RETINUE_SEYREN,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_MISTRESS,111,,Pet/Mistress_Pet,,ANIMATION_RETINUE_MISTRESS,PROJ_MISTRESS_BULLET2,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_GHOSTRING,112,,Pet/poring_ghost_Pet,,ANIMATION_RETINUE_GHOSTRING,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_MINI_DEMON,113,,Pet/Mini_Demon_Pet,,ANIMATION_RETINUE_MINI_DEMON,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_WHISPER_BOSS,114,,Pet/Whisper_Boss_Pet,,ANIMATION_RETINUE_WHISPER_BOSS,PROJ_WHISPER_ATTACK_BULLET,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_GOBLIN_1,115,,Pet/Goblin_1_Pet,,ANIMATION_RETINUE_GOBLIN_1,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_SHECI,116,,Pet/Sheci_Pet,,ANIMATION_RETINUE_SHECI,PROJ_ARROW_ATTLACK_3,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_GRYPHON,117,,Pet/gryphon_Pet,,ANIMATION_RETINUE_GRYPHON,PROJ_GRYPHON_ATTACK,2,,,3,1,1,0.5,Getdown,0.95,0.3,0.95,,,,
SKINBATTLE_RETINUE_KOBOLD_LEADER,118,,Pet/Kobold_Leader_Pet,,ANIMATION_RETINUE_KOBOLD_LEADER,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_BON_GUN,119,,Pet/Munak_Pet,,ANIMATION_RETINUE_BON_GUN,PROJ_FIRE_BALL,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_GOBLIN_LEADER,120,,Pet/Goblin_Leader_Pet,,ANIMATION_RETINUE_GOBLIN_LEADER,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_CAT_O_NINE_TAIL,121,,Pet/Cat_O_Nine_Tail_Pet,,ANIMATION_RETINUE_CAT_O_NINE_TAIL,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_GOLDEN_BUG,122,,Pet/Golden_Bug_Pet,,ANIMATION_RETINUE_GOLDEN_BUG,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_KOBOLD_ARCHER,123,,Pet/Kobold_Archer_Pet,,ANIMATION_RETINUE_KOBOLD_ARCHER,PROJ_ARROW_ATTLACK_3,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_DELETER,124,,Pet/Deleter_Pet,,ANIMATION_RETINUE_DELETER,PROJ_GRANDEL_BULLET,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_EDDGA,125,,Pet/Eddga_Pet,,ANIMATION_RETINUE_EDDGA,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_NIGHTMARE_TERROR,126,,Pet/Nightmare_Terror_Pet,,ANIMATION_RETINUE_NIGHTMARE_TERROR,,2,,,3,1,1,0.5,Getdown,1.5,0.3,1.5,,,,
SKINBATTLE_RETINUE_MINOROUS,127,,Pet/Minorous_Pet,,ANIMATION_RETINUE_MINOROUS,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_KOBOLD_3,128,,Pet/Kobold_3_Pet,,ANIMATION_RETINUE_KOBOLD_3,,2,,,3,1,1,0.5,Bounce,0.95,0.5,0.95,,,,
SKINBATTLE_RETINUE_MOONLIGHT,129,,Pet/Moonlight_Pet,,ANIMATION_RETINUE_MOONLIGHT,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
SKINBATTLE_RETINUE_HIGH_ORC,130,,Pet/High_Orc_Pet,,ANIMATION_RETINUE_HIGH_ORC,,2,,,3,1,1,0.5,Fallback,0.55,1.5,0.55,,,,
