_ID,_VALUE,UpgradeProb:decimal,InvariantProb:decimal,ReduceNum:int,Item:id[],ItemNum:int[],Probability:int[],SpecialUpgradeProb:decimal,SpecialInvariantProb:decimal,PresentItem:id,PresentItemNum:int,SpecialItem:id[],SpecialItemNum:int[],SpecialProbability:int[],FirstCrystalItem:id[],FirstCrystalItemNum:int[],FirstCrystalProbability:int[]
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_2,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_2,1,1,,,,,,,,,,
SPAR_DRAW_2,2,0.5,0,1,ITEM_SPAR_RED_ATK_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_1,1,7,,,,,,,,,,
,,,,,ITEM_SPAR_RED_ATK_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_2,1,3,,,,,,,,,,
SPAR_DRAW_3,3,0.4,0,1,ITEM_SPAR_RED_ATK_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_1,1,15,,,,,,,,,,
,,,,,ITEM_SPAR_RED_ATK_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_2,1,4,,,,,,,,,,
,,,,,ITEM_SPAR_RED_ATK_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,1,1,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_3,1,1,,,,,,,,,,
SPAR_DRAW_4,4,0.19,0,1,ITEM_SPAR_RED_ATK_2,1,3,0.5,0,ITEM_GRANILE,0,,,,,,
,,,,,ITEM_SPAR_RED_MGK_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_2,1,3,,,,,,,,,,
,,,,,ITEM_SPAR_RED_ATK_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_RED_MGK_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_RED_CRT_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_HP_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_ARM_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_YELLOW_SPR_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_CRTH_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_ARP_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_BLUE_MPEN_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,1,2,,,,,,,,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_3,1,2,,,,,,,,,,
SPAR_DRAW_5,5,0,0,4,ITEM_SPAR_RED_ATK_3,1,9,,,,,ITEM_SPAR_RED_ATK_3,1,1,ITEM_SPAR_RED_ATK_4,1,1
,,,,,ITEM_SPAR_RED_MGK_3,1,9,,,,,ITEM_SPAR_RED_MGK_3,1,1,ITEM_SPAR_RED_MGK_4,1,1
,,,,,ITEM_SPAR_RED_CRT_3,1,9,,,,,ITEM_SPAR_RED_CRT_3,1,1,ITEM_SPAR_YELLOW_HP_4,1,2
,,,,,ITEM_SPAR_YELLOW_HP_3,1,9,,,,,ITEM_SPAR_YELLOW_HP_3,1,1,ITEM_SPAR_BLUE_ARP_4,1,1
,,,,,ITEM_SPAR_YELLOW_ARM_3,1,9,,,,,ITEM_SPAR_YELLOW_ARM_3,1,1,ITEM_SPAR_BLUE_MPEN_4,1,1
,,,,,ITEM_SPAR_YELLOW_SPR_3,1,9,,,,,ITEM_SPAR_YELLOW_SPR_3,1,1,ITEM_SPAR_GREEN_HP_CRTH_4,1,2
,,,,,ITEM_SPAR_BLUE_CRTH_3,1,9,,,,,ITEM_SPAR_BLUE_CRTH_3,1,1,ITEM_SPAR_PURPLE_ATK_ARP_4,1,1
,,,,,ITEM_SPAR_BLUE_ARP_3,1,9,,,,,ITEM_SPAR_BLUE_ARP_3,1,1,ITEM_SPAR_PURPLE_MGK_MPEN_4,1,1
,,,,,ITEM_SPAR_BLUE_MPEN_3,1,9,,,,,ITEM_SPAR_BLUE_MPEN_3,1,1,ITEM_SPAR_ORANGE_CRT_HP_4,1,2
,,,,,ITEM_SPAR_GREEN_HP_CRTH_3,1,9,,,,,ITEM_SPAR_GREEN_HP_CRTH_3,1,1,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,1,9,,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,1,1,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_3,1,9,,,,,ITEM_SPAR_GREEN_SPR_ARP_3,1,1,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,1,9,,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,1,1,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,1,9,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,1,1,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,1,9,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,1,1,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,1,9,,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,1,1,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,1,9,,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,1,1,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_3,1,9,,,,,ITEM_SPAR_ORANGE_CRT_HP_3,1,1,,,
,,,,,ITEM_SPAR_RED_ATK_4,1,1,,,,,ITEM_SPAR_RED_ATK_4,1,1,,,
,,,,,ITEM_SPAR_RED_MGK_4,1,1,,,,,ITEM_SPAR_RED_MGK_4,1,1,,,
,,,,,ITEM_SPAR_RED_CRT_4,1,1,,,,,ITEM_SPAR_RED_CRT_4,1,1,,,
,,,,,ITEM_SPAR_YELLOW_HP_4,1,1,,,,,ITEM_SPAR_YELLOW_HP_4,1,1,,,
,,,,,ITEM_SPAR_YELLOW_ARM_4,1,1,,,,,ITEM_SPAR_YELLOW_ARM_4,1,1,,,
,,,,,ITEM_SPAR_YELLOW_SPR_4,1,1,,,,,ITEM_SPAR_YELLOW_SPR_4,1,1,,,
,,,,,ITEM_SPAR_BLUE_CRTH_4,1,1,,,,,ITEM_SPAR_BLUE_CRTH_4,1,1,,,
,,,,,ITEM_SPAR_BLUE_ARP_4,1,1,,,,,ITEM_SPAR_BLUE_ARP_4,1,1,,,
,,,,,ITEM_SPAR_BLUE_MPEN_4,1,1,,,,,ITEM_SPAR_BLUE_MPEN_4,1,1,,,
,,,,,ITEM_SPAR_GREEN_HP_CRTH_4,1,1,,,,,ITEM_SPAR_GREEN_HP_CRTH_4,1,1,,,
,,,,,ITEM_SPAR_GREEN_ARM_MPEN_4,1,1,,,,,ITEM_SPAR_GREEN_ARM_MPEN_4,1,1,,,
,,,,,ITEM_SPAR_GREEN_SPR_ARP_4,1,1,,,,,ITEM_SPAR_GREEN_SPR_ARP_4,1,1,,,
,,,,,ITEM_SPAR_PURPLE_ATK_ARP_4,1,1,,,,,ITEM_SPAR_PURPLE_ATK_ARP_4,1,1,,,
,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_4,1,1,,,,,ITEM_SPAR_PURPLE_MGK_MPEN_4,1,1,,,
,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_4,1,1,,,,,ITEM_SPAR_PURPLE_CRT_CRTH_4,1,1,,,
,,,,,ITEM_SPAR_ORANGE_ATK_SPR_4,1,1,,,,,ITEM_SPAR_ORANGE_ATK_SPR_4,1,1,,,
,,,,,ITEM_SPAR_ORANGE_MGK_ARM_4,1,1,,,,,ITEM_SPAR_ORANGE_MGK_ARM_4,1,1,,,
,,,,,ITEM_SPAR_ORANGE_CRT_HP_4,1,1,,,,,ITEM_SPAR_ORANGE_CRT_HP_4,1,1,,,
