_ID,_VALUE,#Name:string,ChoicePoolId:int,ChoicePoolPos:int[],Times:int,#Remark:string,DropTimes:int,GuaranteeTimes:int,DrawQuestNum:int,isCountinQuest:int,DropID:id[],DropWeight:int[],GuaranteeWeight:int[],DropWeightChoice:int[],GuaranteeWeightChoice:int[],CostItem1:id,CostNum1:int,CostItem2:id,CostNum2:int,HatchEnergy:int,OpenTime:int,StartTime:int,EndTime:int,ShowRate:loc[],ShowTips:loc,Name:loc,Prefab:string,Sort:int,LinkID:id,Hero:id[]
,,,,,,,,,,,DROP_GUIDE_PET_6,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_7,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_8,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_9,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_10,1,0,,,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_UP_1,14,新号UP池-单抽,0,0,1,,1,0,1,0,DROP_RO_LOTTERY_UP_1,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,1209600,,,LOC_PAN_LOTTERY_RULE_6,LOC_PAN_LOTTERY_INTRO_1,LOC_PAN_LOTTERY_NAME_1,MAIN_UP_1,101,LOTTERY_ASSOCIATED_UP_1_TEN,HERO_BAPHOMET
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_DARK_LORD
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,LOC_PAN_LOTTERY_ADD_RULE_4,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_6,13,0,,,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_UP_1_TEN,15,新号UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_UP_1,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,1209600,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_6,13,13,,,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_UP_2,16,新号UP池-单抽,0,0,1,,1,0,1,0,DROP_RO_LOTTERY_ASSOCIATED_UP_2_1,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,1209600,,,LOC_PAN_LOTTERY_RULE_6,LOC_PAN_LOTTERY_INTRO_2,LOC_PAN_LOTTERY_NAME_2,MAIN_UP_2,102,LOTTERY_ASSOCIATED_UP_2_TEN,HERO_DOPPELGANGER
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_TURTLE_GENERAL
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,LOC_PAN_LOTTERY_ADD_RULE_4,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_ASSOCIATED_UP_2_6,13,0,,,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_UP_2_TEN,17,新号UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_ASSOCIATED_UP_2_1,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,1209600,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_ASSOCIATED_UP_2_6,13,13,,,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_CHOICE,18,新号精选池-单抽,1,6,1,,1,0,1,0,DROP_RO_LOTTERY_CHOICE_1,7,0,0,0,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,1209600,,,LOC_LOTTERY_ADD_10,LOC_PAN_LOTTERY_INTRO_3,LOC_PAN_LOTTERY_NAME_3,MAIN_CHOICE_1,103,LOTTERY_ASSOCIATED_CHOICE_TEN,HERO_MOONLIGHT
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,0,180,0,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_2,,,,,,HERO_MISTRESS
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_5,,,,,,HERO_PHREEONI
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,0,50,0,,,,,,,,,LOC_PAN_LOTTERY_ADD_RULE_4,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_6,13,0,20,0,,,,,,,,,,,,,,,
LOTTERY_ASSOCIATED_CHOICE_TEN,19,新号精选池-十连,1,6,10,,9,1,10,1,DROP_RO_LOTTERY_CHOICE_1,7,7,0,0,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,1209600,,,,,,,,,
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,930,180,930,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_6,13,13,20,20,,,,,,,,,,,,,,,
LOTTERY_UP_1,20,UP池-单抽,0,0,1,贝思波、乌龟将军,1,0,1,0,DROP_RO_LOTTERY_UP_NEW_1,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1576225906,1577916000,LOC_PAN_LOTTERY_RULE_6,LOC_LOTTERY_3_0_INTRO_1,LOC_LOTTERY_3_0_NAME_1,MAIN_UP_2,8,LOTTERY_UP_TEN_1,HERO_VESPER
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_TURTLE_GENERAL
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_1,13,0,,,,,,,,,,,,,,,,,
LOTTERY_UP_TEN_1,21,UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_UP_NEW_1,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1576225906,1577916000,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_1,13,13,,,,,,,,,,,,,,,,,
LOTTERY_CHOICE_1,22,精选池-单抽,4,6,1,塔奥群卡、兽人英雄、神射手,1,0,1,0,DROP_RO_LOTTERY_CHOICE_NEW_1,7,0,0,0,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1577311200,1578520800,LOC_LOTTERY_ADD_10,LOC_PAN_LOTTERY_INTRO_5,LOC_PAN_LOTTERY_NAME_5,MAIN_CHOICE_1,7,LOTTERY_CHOICE_TEN_1,HERO_ORK_HERO
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,0,180,0,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_2,,,,,,HERO_TAO_GUNKA
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_5,,,,,,HERO_G_KATRINN
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,0,50,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_NEW_TEN_1,13,0,20,0,,,,,,,,,,,,,,,
LOTTERY_CHOICE_TEN_1,23,精选池-十连,4,6,10,,9,1,10,1,DROP_RO_LOTTERY_CHOICE_NEW_1,7,7,0,0,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1577311200,1578520800,,,,,,,
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,930,180,930,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_NEW_TEN_1,13,13,20,20,,,,,,,,,,,,,,,
LOTTERY_UP_2,24,UP池-单抽,0,0,1,幽暗梦魇、死灵,1,0,1,0,DROP_RO_LOTTERY_UP_NEW_2,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1579125600,1580335200,LOC_PAN_LOTTERY_RULE_6,LOC_LOTTERY_3_0_INTRO_2,LOC_LOTTERY_3_0_NAME_2,MAIN_UP_2,5,LOTTERY_UP_TEN_2,HERO_GLOOMUNDERNIGHT
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_DOPPELGANGER
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_2,13,0,,,,,,,,,,,,,,,,,
LOTTERY_UP_TEN_2,25,UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_UP_NEW_2,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1579125600,1580335200,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_2,13,13,,,,,,,,,,,,,,,,,
LOTTERY_UP_3,26,UP池-单抽,0,0,1,冷艳舞姬、神射手迪文,1,0,1,0,DROP_RO_LOTTERY_UP_NEW_3,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1578520800,1579730400,LOC_PAN_LOTTERY_RULE_6,LOC_LOTTERY_3_0_INTRO_3,LOC_LOTTERY_3_0_NAME_3,MAIN_UP_2,6,LOTTERY_UP_TEN_3,HERO_GYPSY_TRENTINI
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_SHECI
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_3,13,0,,,,,,,,,,,,,,,,,
LOTTERY_UP_TEN_3,27,UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_UP_NEW_3,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1578520800,1579730400,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_NEW_TEN_3,13,13,,,,,,,,,,,,,,,,,
LOTTERY_CHOICE_1231_1,28,精选池-单抽,10,6,1,蚁后、死灵、圣殿十字军,1,0,1,0,DROP_RO_LOTTERY_CHOICE_NEW_1231_5,7,0,0,0,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1579730400,1580940000,LOC_LOTTERY_ADD_10,LOC_PAN_LOTTERY_TIPS_2,LOC_PAN_LOTTERY_LABEL_4,MAIN_CHOICE_1,7,LOTTERY_CHOICE_TEN_1231_1,HERO_MAYA
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,0,180,0,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_2,,,,,,HERO_DOPPELGANGER
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_5,,,,,,HERO_G_RANDEL
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,0,50,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_NEW_1231_6,13,0,20,0,,,,,,,,,,,,,,,
LOTTERY_CHOICE_TEN_1231_1,29,精选池-十连,10,6,10,,9,1,10,1,DROP_RO_LOTTERY_CHOICE_NEW_1231_5,7,7,0,0,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1579730400,1580940000,,,,,,,
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,930,180,930,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_NEW_1231_6,13,13,20,20,,,,,,,,,,,,,,,
LOTTERY_UP_1231_1,30,UP池-单抽,0,0,1,皮里恩、虎王,1,0,1,0,DROP_RO_LOTTERY_UP_NEW_1231_1,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1580335200,1581544800,LOC_PAN_LOTTERY_RULE_6,LOC_PAN_LOTTERY_INTRO_9,LOC_PAN_LOTTERY_NAME_9,MAIN_UP_2,5,LOTTERY_UP_TEN_1231_1,HERO_PHREEONI
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_SPECIAL_RULE_1,,,,,,HERO_EDDGA
