_ID,_VALUE,ArtifactLv:int[],AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],PassiveBuff:id[],PassiveBuffLevel:int[],Cost:int[]
,,4,HP#ArmorPenetration#MagicPenetration,0.17#35#35,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,1,4
,,5,HP#ArmorPenetration#MagicPenetration,0.17#100#100,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,1,4
,,6,HP#ArmorPenetration#MagicPenetration,0.2#100#100,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,2,4
,,7,HP#ArmorPenetration#MagicPenetration,0.25#165#165,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,2,4
,,8,HP#ArmorPenetration#MagicPenetration,0.3#165#165,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,2,4
,,9,HP#ArmorPenetration#MagicPenetration,0.3#335#335,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,2,4
,,10,HP#ArmorPenetration#MagicPenetration,0.35#335#335,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,2,4
,,11,HP#ArmorPenetration#MagicPenetration,0.35#500#500,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,3,4
,,12,HP#ArmorPenetration#MagicPenetration,0.42#500#500,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,3,4
,,13,HP#ArmorPenetration#MagicPenetration,0.42#600#600,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,3,4
,,14,HP#ArmorPenetration#MagicPenetration,0.49#600#600,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,3,4
,,15,HP#ArmorPenetration#MagicPenetration,0.49#700#700,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,3,4
,,16,HP#ArmorPenetration#MagicPenetration,0.56#700#700,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,4,4
,,17,HP#ArmorPenetration#MagicPenetration,0.56#800#800,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,4,4
,,18,HP#ArmorPenetration#MagicPenetration,0.63#800#800,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,4,4
,,19,HP#ArmorPenetration#MagicPenetration,0.63#900#900,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,4,4
,,20,HP#ArmorPenetration#MagicPenetration,0.7#900#900,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,4,4
,,21,HP#ArmorPenetration#MagicPenetration,0.7#1000#1000,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,5,4
ARTIFACT_ATTRIBUTE_3,3,1,HP,0.1,Percentage,ARTIFACT_GODDESS_NECKLACE,1,3
,,2,HP,0.12,Percentage,ARTIFACT_GODDESS_NECKLACE,1,3
,,3,HP#Damage#Magic,0.14#0.01#0.01,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,1,3
,,4,HP#Damage#Magic,0.17#0.01#0.01,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,1,3
,,5,HP#Damage#Magic,0.17#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,1,3
,,6,HP#Damage#Magic,0.2#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,2,3
,,7,HP#Damage#Magic,0.25#0.05#0.05,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,2,3
,,8,HP#Damage#Magic,0.3#0.05#0.05,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,2,3
,,9,HP#Damage#Magic,0.3#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,2,3
,,10,HP#Damage#Magic,0.35#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,2,3
,,11,HP#Damage#Magic,0.35#0.15#0.15,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,3,3
,,12,HP#Damage#Magic,0.42#0.15#0.15,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,3,3
,,13,HP#Damage#Magic,0.42#0.18#0.18,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,3,3
,,14,HP#Damage#Magic,0.49#0.18#0.18,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,3,3
,,15,HP#Damage#Magic,0.49#0.21#0.21,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,3,3
,,16,HP#Damage#Magic,0.56#0.21#0.21,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,4,3
,,17,HP#Damage#Magic,0.56#0.24#0.24,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,4,3
,,18,HP#Damage#Magic,0.63#0.24#0.24,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,4,3
,,19,HP#Damage#Magic,0.63#0.27#0.27,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,4,3
,,20,HP#Damage#Magic,0.7#0.27#0.27,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,4,3
,,21,HP#Damage#Magic,0.7#0.3#0.3,Percentage#Percentage#Percentage,ARTIFACT_GODDESS_NECKLACE,5,3
ARTIFACT_ATTRIBUTE_4,4,1,HP,0.1,Percentage,ARTIFACT_THOR_BELT,1,5
,,2,HP,0.12,Percentage,ARTIFACT_THOR_BELT,1,5
,,3,HP#CriticalHit,0.12#0.03,Percentage#Percentage,ARTIFACT_THOR_BELT,1,5
,,4,HP#CriticalHit,0.15#0.03,Percentage#Percentage,ARTIFACT_THOR_BELT,1,5
,,5,HP#CriticalHit#CriticalDamage,0.15#0.03#0.05,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,1,5
,,6,HP#CriticalHit#CriticalDamage,0.18#0.03#0.05,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,2,5
,,7,HP#CriticalHit#CriticalDamage,0.2#0.05#0.1,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,2,5
,,8,HP#CriticalHit#CriticalDamage,0.25#0.05#0.1,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,2,5
,,9,HP#CriticalHit#CriticalDamage,0.25#0.08#0.15,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,2,5
,,10,HP#CriticalHit#CriticalDamage,0.3#0.08#0.15,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,2,5
,,11,HP#CriticalHit#CriticalDamage,0.35#0.1#0.2,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,3,5
,,12,HP#CriticalHit#CriticalDamage,0.42#0.1#0.2,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,3,5
,,13,HP#CriticalHit#CriticalDamage,0.42#0.13#0.25,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,3,5
,,14,HP#CriticalHit#CriticalDamage,0.49#0.13#0.25,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,3,5
,,15,HP#CriticalHit#CriticalDamage,0.49#0.16#0.3,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,3,5
,,16,HP#CriticalHit#CriticalDamage,0.56#0.16#0.3,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,4,5
,,17,HP#CriticalHit#CriticalDamage,0.56#0.19#0.35,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,4,5
,,18,HP#CriticalHit#CriticalDamage,0.63#0.19#0.35,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,4,5
,,19,HP#CriticalHit#CriticalDamage,0.63#0.22#0.4,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,4,5
,,20,HP#CriticalHit#CriticalDamage,0.7#0.22#0.4,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,4,5
,,21,HP#CriticalHit#CriticalDamage,0.7#0.25#0.45,Percentage#Percentage#Percentage,ARTIFACT_THOR_BELT,5,5
ARTIFACT_ATTRIBUTE_101,101,1,HP,0.06,Percentage,ARTIFACT_HELIOS_HELMET,1,3
,,2,HP,0.07,Percentage,ARTIFACT_HELIOS_HELMET,1,3
,,3,HP#Armor#MagicDef,0.08#0.01#0.01,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,1,3
,,4,HP#Armor#MagicDef,0.1#0.01#0.01,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,1,3
,,5,HP#Armor#MagicDef,0.1#0.02#0.02,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,1,3
,,6,HP#Armor#MagicDef,0.12#0.02#0.02,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,2,3
,,7,HP#Armor#MagicDef,0.15#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,2,3
,,8,HP#Armor#MagicDef,0.18#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,2,3
,,9,HP#Armor#MagicDef,0.18#0.06#0.06,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,2,3
,,10,HP#Armor#MagicDef,0.21#0.06#0.06,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,2,3
,,11,HP#Armor#MagicDef,0.21#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,3,3
,,12,HP#Armor#MagicDef,0.25#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,3,3
,,13,HP#Armor#MagicDef,0.25#0.12#0.12,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,3,3
,,14,HP#Armor#MagicDef,0.29#0.12#0.12,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,3,3
,,15,HP#Armor#MagicDef,0.29#0.14#0.14,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,3,3
,,16,HP#Armor#MagicDef,0.33#0.14#0.14,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,4,3
,,17,HP#Armor#MagicDef,0.33#0.16#0.16,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,4,3
,,18,HP#Armor#MagicDef,0.37#0.16#0.16,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,4,3
,,19,HP#Armor#MagicDef,0.37#0.18#0.18,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,4,3
,,20,HP#Armor#MagicDef,0.41#0.18#0.18,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,4,3
,,21,HP#Armor#MagicDef,0.41#0.2#0.2,Percentage#Percentage#Percentage,ARTIFACT_HELIOS_HELMET,5,3
