_INDEX,Level:int,Buy_1:int,Buy_2:int,Buy_3:int,Buy_4:int,Buy_5:int,Buy_6:int,Buy_7:int,Buy_8:int,Buy_9:int,Buy_10:int,Buy_11:int,Buy_12:int,Buy_13:int,Buy_14:int,Buy_15:int,Buy_16:int,Buy_17:int,Buy_18:int,Buy_19:int,Buy_20:int,Buy_21:int,Buy_22:int,Buy_23:int,Buy_24:int,Buy_25:int,Buy_26:int,Buy_27:int,Buy_28:int,Buy_29:int,Buy_30:int,Buy_31:int,Buy_32:int,Buy_33:int,Buy_34:int,Buy_35:int
14,15,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
15,16,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
16,17,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
17,18,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
18,19,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
19,20,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
20,21,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
21,22,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
22,23,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
23,24,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
24,25,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
25,26,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
26,27,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
27,28,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
28,29,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
29,30,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
30,31,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
31,32,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
32,33,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
33,34,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
34,35,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
35,36,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
36,37,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
37,38,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
38,39,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
39,40,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
40,41,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
41,42,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
42,43,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
43,44,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
44,45,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
45,46,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
46,47,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
47,48,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
48,49,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
49,50,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
50,51,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
51,52,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
52,53,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
53,54,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
54,55,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
55,56,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
56,57,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
57,58,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
58,59,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
59,60,63000,64260,65520,106848,108864,166320,169344,215460,219240,297360,302400,384300,390600,476280,483840,573300,582120,675360,685440,782460,793800,894600,907200,1011780,1025640,1134000,1149120,1261260,1277640,1393560,1411200,1530900,1549800,1673280,1693440
60,61,63000,64260,65520,106848,108864,166320,169344,215460,219240,297360,302400,384300,390600,476280,483840,573300,582120,675360,685440,782460,793800,894600,907200,1011780,1025640,1134000,1149120,1261260,1277640,1393560,1411200,1530900,1549800,1673280,1693440
61,62,63000,64260,65520,106848,108864,166320,169344,215460,219240,297360,302400,384300,390600,476280,483840,573300,582120,675360,685440,782460,793800,894600,907200,1011780,1025640,1134000,1149120,1261260,1277640,1393560,1411200,1530900,1549800,1673280,1693440
62,63,63000,64260,65520,106848,108864,166320,169344,215460,219240,297360,302400,384300,390600,476280,483840,573300,582120,675360,685440,782460,793800,894600,907200,1011780,1025640,1134000,1149120,1261260,1277640,1393560,1411200,1530900,1549800,1673280,1693440
63,64,63000,64260,65520,106848,108864,166320,169344,215460,219240,297360,302400,384300,390600,476280,483840,573300,582120,675360,685440,782460,793800,894600,907200,1011780,1025640,1134000,1149120,1261260,1277640,1393560,1411200,1530900,1549800,1673280,1693440
64,65,66000,67320,68640,111936,114048,174240,177408,225720,229680,311520,316800,402600,409200,498960,506880,600600,609840,707520,718080,819720,831600,937200,950400,1059960,1074480,1188000,1203840,1321320,1338480,1459920,1478400,1603800,1623600,1752960,1774080
65,66,66000,67320,68640,111936,114048,174240,177408,225720,229680,311520,316800,402600,409200,498960,506880,600600,609840,707520,718080,819720,831600,937200,950400,1059960,1074480,1188000,1203840,1321320,1338480,1459920,1478400,1603800,1623600,1752960,1774080
66,67,66000,67320,68640,111936,114048,174240,177408,225720,229680,311520,316800,402600,409200,498960,506880,600600,609840,707520,718080,819720,831600,937200,950400,1059960,1074480,1188000,1203840,1321320,1338480,1459920,1478400,1603800,1623600,1752960,1774080
67,68,66000,67320,68640,111936,114048,174240,177408,225720,229680,311520,316800,402600,409200,498960,506880,600600,609840,707520,718080,819720,831600,937200,950400,1059960,1074480,1188000,1203840,1321320,1338480,1459920,1478400,1603800,1623600,1752960,1774080
68,69,66000,67320,68640,111936,114048,174240,177408,225720,229680,311520,316800,402600,409200,498960,506880,600600,609840,707520,718080,819720,831600,937200,950400,1059960,1074480,1188000,1203840,1321320,1338480,1459920,1478400,1603800,1623600,1752960,1774080
69,70,69000,70380,71760,117024,119232,182160,185472,235980,240120,325680,331200,420900,427800,521640,529920,627900,637560,739680,750720,856980,869400,979800,993600,1108140,1123320,1242000,1258560,1381380,1399320,1526280,1545600,1676700,1697400,1832640,1854720
70,71,69000,70380,71760,117024,119232,182160,185472,235980,240120,325680,331200,420900,427800,521640,529920,627900,637560,739680,750720,856980,869400,979800,993600,1108140,1123320,1242000,1258560,1381380,1399320,1526280,1545600,1676700,1697400,1832640,1854720
71,72,69000,70380,71760,117024,119232,182160,185472,235980,240120,325680,331200,420900,427800,521640,529920,627900,637560,739680,750720,856980,869400,979800,993600,1108140,1123320,1242000,1258560,1381380,1399320,1526280,1545600,1676700,1697400,1832640,1854720
72,73,69000,70380,71760,117024,119232,182160,185472,235980,240120,325680,331200,420900,427800,521640,529920,627900,637560,739680,750720,856980,869400,979800,993600,1108140,1123320,1242000,1258560,1381380,1399320,1526280,1545600,1676700,1697400,1832640,1854720
73,74,69000,70380,71760,117024,119232,182160,185472,235980,240120,325680,331200,420900,427800,521640,529920,627900,637560,739680,750720,856980,869400,979800,993600,1108140,1123320,1242000,1258560,1381380,1399320,1526280,1545600,1676700,1697400,1832640,1854720
74,75,72000,73440,74880,122112,124416,190080,193536,246240,250560,339840,345600,439200,446400,544320,552960,655200,665280,771840,783360,894240,907200,1022400,1036800,1156320,1172160,1296000,1313280,1441440,1460160,1592640,1612800,1749600,1771200,1912320,1935360
75,76,72000,73440,74880,122112,124416,190080,193536,246240,250560,339840,345600,439200,446400,544320,552960,655200,665280,771840,783360,894240,907200,1022400,1036800,1156320,1172160,1296000,1313280,1441440,1460160,1592640,1612800,1749600,1771200,1912320,1935360
76,77,72000,73440,74880,122112,124416,190080,193536,246240,250560,339840,345600,439200,446400,544320,552960,655200,665280,771840,783360,894240,907200,1022400,1036800,1156320,1172160,1296000,1313280,1441440,1460160,1592640,1612800,1749600,1771200,1912320,1935360
77,78,72000,73440,74880,122112,124416,190080,193536,246240,250560,339840,345600,439200,446400,544320,552960,655200,665280,771840,783360,894240,907200,1022400,1036800,1156320,1172160,1296000,1313280,1441440,1460160,1592640,1612800,1749600,1771200,1912320,1935360
78,79,72000,73440,74880,122112,124416,190080,193536,246240,250560,339840,345600,439200,446400,544320,552960,655200,665280,771840,783360,894240,907200,1022400,1036800,1156320,1172160,1296000,1313280,1441440,1460160,1592640,1612800,1749600,1771200,1912320,1935360
79,80,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
80,81,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
81,82,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
82,83,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
83,84,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
84,85,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
85,86,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
86,87,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
87,88,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
88,89,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
89,90,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
90,91,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
91,92,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
92,93,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
93,94,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
94,95,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
95,96,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
96,97,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
97,98,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
98,99,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
99,100,75000,76500,78000,127200,129600,198000,201600,256500,261000,354000,360000,457500,465000,567000,576000,682500,693000,804000,816000,931500,945000,1065000,1080000,1204500,1221000,1350000,1368000,1501500,1521000,1659000,1680000,1822500,1845000,1992000,2016000
100,101,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
101,102,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
102,103,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
103,104,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
104,105,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
105,106,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
106,107,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
107,108,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
108,109,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
109,110,78000,79560,81120,132288,134784,205920,209664,266760,271440,368160,374400,475800,483600,589680,599040,709800,720720,836160,848640,968760,982800,1107600,1123200,1252680,1269840,1404000,1422720,1561560,1581840,1725360,1747200,1895400,1918800,2071680,2096640
110,111,81000,82620,84240,137376,139968,213840,217728,277020,281880,382320,388800,494100,502200,612360,622080,737100,748440,868320,881280,1006020,1020600,1150200,1166400,1300860,1318680,1458000,1477440,1621620,1642680,1791720,1814400,1968300,1992600,2151360,2177280
