_ID,_VALUE,#Des:string,IsBattle:bool,NextTutorial:id,PassingMustBattleWin:bool,SkipBattlePreparaion:bool,SkipEndBattleGUI:bool,UploadBattleResult:bool,UseServerPlayerData:bool,StartBattleCutscene:id
TUTORIAL_LIMITED_POSITION_BATTLE,1008,布阵位置,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_SWAP_HERO_BATTLE,1009,布阵交换,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_GAIN_NEW_CHARACTER_BATTLE,1010,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_LEARN_EQUIPMENT_UP,1011,装备升级,FALSE,,,,,,,
TUTORIAL_LEARN_HERO_EVOLVE,1012,进化,FALSE,,,,,,,
TUTORIAL_LEARN_HERO_BREAK,1013,英雄突破（加升级）,FALSE,,,,,,,
TUTORIAL_UNLOCK_RUSH_LEVEL,1014,,FALSE,,,,,,,
TUTORIAL_UNLOCK_ELITE_LEVEL,1015,精英关卡,FALSE,,,,,,,
TUTORIAL_UNLOCK_DAILY_QUEST,1016,每日任务,FALSE,,,,,,,
TUTORIAL_UNLOCK_TROOPS_CHALLENGE,1017,部队挑战,FALSE,,,,,,,
TUTORIAL_UNLOCK_CORPS_CHALLENGE,1018,兵团挑战,FALSE,,,,,,,
TUTORIAL_UNLOCK_ARENA,1019,竞技场,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,
TUTORIAL_ARENA_DEFEND_HERO,1020,,FALSE,,,,,,,
TUTORIAL_UNLOCK_CRUSADE_CHALLENGE,1021,遗落宝藏,FALSE,,,,,,,
TUTORIAL_UNLOCK_SKILLTREE,1022,士兵科技,FALSE,,,,,,,
TUTORIAL_UNLOCK_RANDOM_QUEST,1023,,FALSE,,,,,,,
TUTORIAL_UNLOCK_TROOPS_CHALLENGE_GOLD,1024,,FALSE,,,,,,,
TUTORIAL_UNLOCK_TROOPS_CHALLENGE_BATTLE_SOUL,1025,,FALSE,,,,,,,
TUTORIAL_BATTLE_LEARN_DRAG_BATTLE_LINE,1026,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_BATTLE_SHOW_BATTLE_HINT_TIPS,1027,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_LEARN_HERO_UPGRADE,1028,英雄升级,FALSE,,,,,,,
TUTORIAL_LEARN_CASTING_CHAINSKILL,1029,战斗连协技能,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_LEARN_VIEWING_ENEMY_INFO,1030,查看战斗信息,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_FIRST_ENTER_SKY_SINGLE_MAP_BATTLE,1031,第一次进入天空单人模式,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_BATTLE_DIALOG_DRAGON_BOSS,1032,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_MEAL,1033,,FALSE,,,,,,,
TUTORIAL_UNLOCK_DIALOG_SHOP,1034,,FALSE,,,,,,,
TUTORIAL_UNLOCK_GUILD,1035,,FALSE,,,,,,,
TUTORIAL_UNLOCK_HERO_SPAR,1036,,FALSE,,,,,,,
TUTORIAL_UNLOCK_HERO_SPAR_SLOT,1037,,FALSE,,,,,,,
TUTORIAL_UNLOCK_HERO_EMBLEM,1038,,FALSE,,,,,,,
TUTORIAL_FIRST_ENTER_CHAPTER_2,1039,,FALSE,,,,,,,
TUTORIAL_UNLOCK_GUILD_TEAM,1040,,FALSE,,,,,,,
TUTORIAL_GUILD_TEAM_CRUSADE_TOWER,1041,,FALSE,,,,,,,
TUTORIAL_GUILD_TEAM_SECOND_DAY,1042,,FALSE,,,,,,,
TUTORIAL_UNLOCK_GUILD_ARENA,1043,,FALSE,,,,,,,
TUTORIAL_UNLOCK_TEAM_LEVEL,1044,天空组队,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
TUTORIAL_UNLOCK_TEAM_LEVEL_SHOP,1045,天空组队商店,FALSE,,,,,,,
TUTORIAL_FORCE_FINGER,1046,101-102强制手指,FALSE,,,,,,,
TUTORIAL_HERO_CHAIN,1047,连携技能201后界面,FALSE,,,,,,,
TUTORIAL_FEEDER_MAP,1048,秘境关卡,FALSE,,,,,,,
TUTORIAL_SKY_SINGLE_MAP,1049,天空单人组队,FALSE,,,,,,,
TUTORIAL_CALL_HERO_KARGATH,1050,召唤卡加斯,FALSE,,,,,,,
TUTORIAL_CALL_HERO,1051,招募引导,FALSE,,,,,,,
TUTORIAL_UNLOCK_BATTLE_SLOT,1052,阵位解锁,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,
