_ID,_VALUE,LastLevel:int,NameKey:loc,#Name:string,DesKey:loc,EnemyComatEff:int,OpenOurSquare:bool,OurSquare:int,OpenEnemySquare:bool,EnemySquare:int,MapLevelGrade:int,MapLevelPower:int,Recommend:int,AiSkillPointAddRate:decimal,PlayerSkillPointAddRate:decimal,AiStartSkillPoint:int,PlayerStartSkillPoint:int,BGM:id,IsSignificantBattle:bool,LevelType:string,NumOfTime:int,OutputHeroExp:int,OutputHeroGold:int,OutputBattleSoul:int,OutputTeamExp:int,AutoBattleDrop:int[][],FirstReward:id,FirstRewardNumber:int,OutputItem1:id,OutputItem1Num:int,OutputItem1Percentage:decimal,OutputItem2:id,OutputItem2Num:int,OutputItem2Percentage:decimal,OutputItem3:id,OutputItem3Num:int,OutputItem3Percentage:decimal,OutputItem4:id,OutputItem4Num:int,OutputItem4Percentage:decimal,OutputItem5:id,OutputItem5Num:int,OutputItem5Percentage:decimal,MapFileName:string,PlayerFileName:string,BattleScene:string,StartBattleCutscene:id,EnterBattleCutscene:id,RecommendedLevel:int,LevelReward:id,LevelRewardNum:int,IsBossLevel:bool,IsEndPoint:bool,JammingRule:string,OnHookScene:string,OnHookBGM:id
LEVEL_206,206,205,,普隆德拉,,,FALSE,,FALSE,,1,0,2300,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,15,8,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,ITEM_NEW_EQUIPMENT_3,1,1,ITEM_FOOD_GRAPE,5,1,ITEM_KNIGHTS_EXP,1300,1,206,,battle_001_Night,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_207,207,206,,普隆德拉,,,FALSE,,FALSE,,1,0,2500,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,16,9,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,ITEM_NEW_EQUIPMENT_4,1,1,,,,ITEM_KNIGHTS_EXP,1500,1,207,,Battle_005,CUTSCENE_LEVEL_207,,,ITEM_SCROLL_EMBLEM_WILOW,15,TRUE,TRUE,BossRule_105,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_301,301,207,,普隆德拉,,,FALSE,,FALSE,,7,0,2839,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,21,12,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_5,1,1,,,,ITEM_KNIGHTS_EXP,1500,1,301,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_302,302,301,,普隆德拉,,,FALSE,,FALSE,,7,0,3352,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,22,12,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_6,1,1,,,,ITEM_KNIGHTS_EXP,1600,1,302,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_303,303,302,,普隆德拉,,,FALSE,,FALSE,,7,0,3901,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,23,13,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_7,1,1,,,,ITEM_KNIGHTS_EXP,1600,1,303,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_304,304,303,,普隆德拉,,,FALSE,,FALSE,,7,0,4495,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,24,13,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_8,1,1,,,,ITEM_KNIGHTS_EXP,1600,1,304,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_305,305,304,,普隆德拉,,,FALSE,,FALSE,,7,0,5134,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,25,14,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_5,1,1,,,,ITEM_KNIGHTS_EXP,1600,1,305,,Battle_005,,,,ITEM_EMBLEM_DALEME,30,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_306,306,305,,普隆德拉,,,FALSE,,FALSE,,7,0,5809,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,26,14,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_6,1,1,,,,ITEM_KNIGHTS_EXP,1600,1,306,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_307,307,306,,普隆德拉,,,FALSE,,FALSE,,7,0,6529,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,27,15,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_7,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,307,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_308,308,307,,普隆德拉,,,FALSE,,FALSE,,7,0,6925,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,28,15,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_8,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,308,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_309,309,308,,普隆德拉,,,FALSE,,FALSE,,7,0,7087,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,29,16,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_9,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,309,,Battle_005,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_310,310,309,,普隆德拉,,,FALSE,,FALSE,,7,0,7308,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,30,16,2,700001#100000|710002#7500,None,0,ITEM_GOLD,5000,1,ITEM_BATTLE_SOUL,1000,1,ITEM_NEW_EQUIPMENT_10,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,310,,Battle_002,CUTSCENE_LEVEL_310,,,ITEM_SCROLL_EMBLEM_PORING,30,TRUE,TRUE,BossRule_105,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_401,401,310,,普隆德拉,,,FALSE,,FALSE,,15,0,7950,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,35,19,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,ITEM_NEW_EQUIPMENT_11,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,401,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_402,402,401,,普隆德拉,,,FALSE,,FALSE,,15,0,9170,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,36,19,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,ITEM_NEW_EQUIPMENT_12,1,1,,,,ITEM_KNIGHTS_EXP,2500,1,402,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_403,403,402,,普隆德拉,,,FALSE,,FALSE,,15,0,10485,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,37,20,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,403,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_404,404,403,,普隆德拉,,,FALSE,,FALSE,,15,0,11885,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,38,20,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,404,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_405,405,404,,普隆德拉,,,FALSE,,FALSE,,15,0,13370,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,39,21,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,405,,battle_001,,,,ITEM_HERO_EVOLVE_STONE,200,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_406,406,405,,普隆德拉,,,FALSE,,FALSE,,15,0,14945,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,40,21,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,406,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_407,407,406,,普隆德拉,,,FALSE,,FALSE,,15,0,15735,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,41,22,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,407,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_408,408,407,,普隆德拉,,,FALSE,,FALSE,,15,0,16525,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,42,22,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,408,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_409,409,408,,普隆德拉,,,FALSE,,FALSE,,15,0,16930,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,43,23,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,2500,1,409,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_410,410,409,,普隆德拉,,,FALSE,,FALSE,,15,0,17295,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,44,23,3,700001#100000|710003#7500,None,0,ITEM_GOLD,8000,1,ITEM_BATTLE_SOUL,1500,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,410,,battle_001,,,,ITEM_HERO_EVOLVE_STONE,200,TRUE,TRUE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_501,501,410,,普隆德拉,,,FALSE,,FALSE,,20,0,16220,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,49,26,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,501,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_502,502,501,,普隆德拉,,,FALSE,,FALSE,,20,0,17270,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,50,26,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,502,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_503,503,502,,普隆德拉,,,FALSE,,FALSE,,20,0,18095,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,51,27,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,503,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_504,504,503,,普隆德拉,,,FALSE,,FALSE,,20,0,19195,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,52,27,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,504,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_505,505,504,,普隆德拉,,,FALSE,,FALSE,,20,0,20060,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,53,28,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,505,,battle_001,,,,ITEM_SCROLL_EMBLEM_DESERT_WOLF,15,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_506,506,505,,普隆德拉,,,FALSE,,FALSE,,20,0,21755,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,54,28,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,506,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_507,507,506,,普隆德拉,,,FALSE,,FALSE,,20,0,22945,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,55,29,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,507,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_508,508,507,,普隆德拉,,,FALSE,,FALSE,,20,0,23880,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,56,29,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,508,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_509,509,508,,普隆德拉,,,FALSE,,FALSE,,20,0,25120,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,57,30,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,509,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_510,510,509,,普隆德拉,,,FALSE,,FALSE,,20,0,26095,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,58,30,4,700001#100000|710003#10000,None,0,ITEM_GOLD,12000,1,ITEM_BATTLE_SOUL,2000,1,,,,,,,ITEM_KNIGHTS_EXP,4200,1,510,,battle_001,,,,ITEM_CRYSTAL,888,TRUE,TRUE,BossRule_101,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_601,601,510,,吉芬,,18684,TRUE,100,TRUE,100,23,0,20760,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,63,32,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,601,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_602,602,601,,吉芬,,20560,TRUE,100,TRUE,100,23,0,22845,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,64,32,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,602,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_603,603,602,,吉芬,,22504,TRUE,100,TRUE,100,23,0,25005,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,65,33,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,603,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_604,604,603,,吉芬,,24511,TRUE,100,TRUE,100,23,0,27235,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,66,33,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,604,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_605,605,604,,吉芬,,26577,TRUE,100,TRUE,100,23,0,29530,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,67,34,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,605,,Battle_008,,,,ITEM_SCROLL_EMBLEM_DESERT_WOLF,15,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_606,606,605,,吉芬,,28710,TRUE,100,TRUE,100,23,0,31900,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,68,34,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,606,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_607,607,606,,吉芬,,30901,TRUE,100,TRUE,100,23,0,34335,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,69,34,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,607,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_608,608,607,,吉芬,,33160,TRUE,100,TRUE,100,23,0,36845,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,69,35,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,608,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_609,609,608,,吉芬,,33790,TRUE,100,TRUE,100,23,0,37545,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,70,35,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,609,,Battle_008,,,,,,FALSE,FALSE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_610,610,609,,吉芬,,34425,TRUE,100,TRUE,100,23,0,38250,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,70,35,8,700001#100000|710004#5000,None,0,ITEM_GOLD,15000,1,ITEM_BATTLE_SOUL,2500,1,,,,,,,ITEM_KNIGHTS_EXP,4500,1,610,,Battle_010,CUTSCENE_LEVEL_610,,,ITEM_CRYSTAL,999,TRUE,TRUE,,Map_on-hook_5,BGM_RO_BATTLE_GEFFEN
LEVEL_701,701,610,,吉芬,,24826,TRUE,100,TRUE,100,26,0,27585,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,75,37,9,700001#100000|710004#7500,None,0,ITEM_GOLD,18000,1,ITEM_BATTLE_SOUL,3000,1,,,,,,,ITEM_KNIGHTS_EXP,5000,1,701,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_GEFFEN
LEVEL_702,702,701,,吉芬,,27162,TRUE,100,TRUE,100,26,0,30180,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,76,37,9,700001#100000|710004#7500,None,0,ITEM_GOLD,18000,1,ITEM_BATTLE_SOUL,3000,1,,,,,,,ITEM_KNIGHTS_EXP,5000,1,702,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_GEFFEN
LEVEL_703,703,702,,吉芬,,29560,TRUE,100,TRUE,100,26,0,32845,1,1,2,2,BGM_BATTLE,TRUE,story,999,0,76,38,9,700001#100000|710004#7500,None,0,ITEM_GOLD,18000,1,ITEM_BATTLE_SOUL,3000,1,,,,,,,ITEM_KNIGHTS_EXP,5000,1,703,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_GEFFEN
LEVEL_704,704,703,,吉芬,,32022,TRUE,100,TRUE,100,26,0,35580,1,1,2,2,BGM_BATTLE,FALSE,story,999,0,77,38,9,700001#100000|710004#7500,None,0,ITEM_GOLD,18000,1,ITEM_BATTLE_SOUL,3000,1,,,,,,,ITEM_KNIGHTS_EXP,5000,1,704,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_GEFFEN
