_ID,_VALUE,PlayerInfoType:string,UnlockConditionType:string,UnlockConditionFactor1:int,UnlockConditionFactor2:int,AvatarFrameName:loc,UnlockDes:loc,Resource:string,UISpriteIcon:string,FXResource:string,IsShow:bool
PALYERINFO_1090,1090,HeadPortrait,UpgradeHeroStar,5,938,LOC_HEROES_NAMECN_HERO_LEAK,LOC_PLAYER_INFO_DES_1090,Leak,,,TRUE
PALYERINFO_1091,1091,HeadPortrait,UpgradeHeroStar,5,939,LOC_HEROES_NAMECN_HERO_PYURIEL,LOC_PLAYER_INFO_DES_1091,Angry_Student_Pyuriel,,,TRUE
PALYERINFO_1092,1092,HeadPortrait,UpgradeHeroStar,5,940,LOC_HEROES_NAMECN_HERO_ANNIVERSARY_PORING,LOC_PLAYER_INFO_DES_1092,Anniversary_Poring,,,TRUE
PALYERINFO_2001,2001,AvatarFrame,Default,,,LOC_PLAYER_INFO_NAME_2001,LOC_PLAYER_INFO_DES_2001,Icon_Frame_Normal_1,,,TRUE
PALYERINFO_2002,2002,AvatarFrame,Default,,,LOC_PLAYER_INFO_NAME_2001,LOC_PLAYER_INFO_DES_2001,Icon_Frame_Normal_2,,,TRUE
PALYERINFO_2003,2003,AvatarFrame,Default,,,LOC_PLAYER_INFO_NAME_2001,LOC_PLAYER_INFO_DES_2001,Icon_Frame_Normal_3,,,TRUE
PALYERINFO_2004,2004,AvatarFrame,OrangeSparInlay,2,3,LOC_PLAYER_INFO_NAME_2004,LOC_PLAYER_INFO_DES_2004,Icon_Frame_Special_5,,FX_UI_HeadIcon_5,TRUE
PALYERINFO_2005,2005,AvatarFrame,OrangeSparInlay,4,5,LOC_PLAYER_INFO_NAME_2005,LOC_PLAYER_INFO_DES_2005,Icon_Frame_Special_6,,FX_UI_HeadIcon_6,TRUE
PALYERINFO_2006,2006,AvatarFrame,UpgradeHeroBadge,3,3,LOC_PLAYER_INFO_NAME_2006,LOC_PLAYER_INFO_DES_2010,Icon_Frame_Special_4,,FX_UI_HeadIcon_4,TRUE
PALYERINFO_2007,2007,AvatarFrame,UpgradeHeroBadge,5,5,LOC_PLAYER_INFO_NAME_2007,LOC_PLAYER_INFO_DES_2011,Icon_Frame_Special_2,,FX_UI_HeadIcon_2,TRUE
PALYERINFO_2008,2008,AvatarFrame,ArenaRank,,100,LOC_PLAYER_INFO_NAME_2008,LOC_PLAYER_INFO_DES_2008,Icon_Frame_Special_1,,FX_UI_HeadIcon_1,TRUE
PALYERINFO_2009,2009,AvatarFrame,ArenaRank,,1,LOC_PLAYER_INFO_NAME_2009,LOC_PLAYER_INFO_DES_2009,Icon_Frame_Special_3,,FX_UI_HeadIcon_3,TRUE
PALYERINFO_2010,2010,AvatarFrame,Drop,,70003,LOC_PLAYER_INFO_NAME_2023,LOC_PLAYER_INFO_DES_2023,Icon_Frame_Senior_03,Icon_Item_Frame_Senior_03,,TRUE
PALYERINFO_2011,2011,AvatarFrame,Drop,,70002,LOC_PLAYER_INFO_NAME_2022,LOC_PLAYER_INFO_DES_2022,Icon_Frame_Senior_02,Icon_Item_Frame_Senior_02,FX_UI_FrameSenior_02,TRUE
PALYERINFO_2012,2012,AvatarFrame,Drop,,70001,LOC_PLAYER_INFO_NAME_2021,LOC_PLAYER_INFO_DES_2021,Icon_Frame_Senior_01,Icon_Item_Frame_Senior_01,FX_UI_FrameSenior_01,TRUE
PALYERINFO_3001,3001,AvatarFrame,Drop,,70004,LOC_PLAYER_INFO_NAME_3001,LOC_PLAYER_INFO_DES_3001,Icon_Frame_Snake,Icon_Item_Frame_Senior_01,FX_UI_HeadIcon2_1,TRUE
PALYERINFO_3002,3002,AvatarFrame,GuildBattle,5,8,LOC_PLAYER_INFO_NAME_3002,LOC_PLAYER_INFO_DES_3002,Icon_Frame_Top_8,Icon_Item_Frame_Senior_02,FX_UI_HeadIcon2_4,TRUE
PALYERINFO_3003,3003,AvatarFrame,GuildBattle,2,4,LOC_PLAYER_INFO_NAME_3003,LOC_PLAYER_INFO_DES_3003,Icon_Frame_Top_4,Icon_Item_Frame_Senior_03,FX_UI_HeadIcon2_3,TRUE
PALYERINFO_3004,3004,AvatarFrame,GuildBattle,1,1,LOC_PLAYER_INFO_NAME_3004,LOC_PLAYER_INFO_DES_3004,Icon_Frame_Champion,,FX_UI_HeadIcon2_2,TRUE
PALYERINFO_3005,3005,AvatarFrame,Drop,,70005,LOC_PLAYER_INFO_NAME_3005,LOC_PLAYER_INFO_DES_3005,Icon_Frame_Champion_Guild,,FX_UI_HeadIcon2_5,TRUE
PALYERINFO_3006,3006,AvatarFrame,Drop,,70006,LOC_PLAYER_INFO_NAME_3006,LOC_PLAYER_INFO_DES_3006,Icon_Frame_Champion_Guild_Leader,,FX_UI_HeadIcon2_6,TRUE
PALYERINFO_3007,3007,AvatarFrame,Drop,,70007,LOC_PLAYER_INFO_NAME_3007,LOC_PLAYER_INFO_DES_3007,Icon_Frame_Newears_Day,,FX_UI_HeadIcon2_7,TRUE
PALYERINFO_3008,3008,AvatarFrame,Drop,,70008,LOC_PLAYER_INFO_NAME_3008,LOC_PLAYER_INFO_DES_3008,Icon_Frame_Knight_Of_Windstorm,,FX_UI_HeadIcon2_8,TRUE
PALYERINFO_3009,3009,AvatarFrame,Drop,,70009,LOC_PLAYER_INFO_NAME_3009,LOC_PLAYER_INFO_DES_3009,Icon_Frame_Dracula,,FX_UI_HeadIcon2_9,TRUE
PALYERINFO_3010,3010,AvatarFrame,Drop,,70010,LOC_PLAYER_INFO_NAME_3010,LOC_PLAYER_INFO_DES_3010,Icon_Spring_Festival,,FX_UI_HeadIcon2_10,TRUE
PALYERINFO_3011,3011,AvatarFrame,Drop,,70012,LOC_PLAYER_INFO_NAME_3012,LOC_PLAYER_INFO_DES_3012,Icon_Frame_Harword,,FX_UI_HeadIcon_Harword,TRUE
PALYERINFO_3012,3012,AvatarFrame,Drop,,70013,LOC_PINNACLE_ARENA_NAME_128_PERMANENT_FRAME,LOC_PINNACLE_ARENA_DES_128_PERMANENT_FRAME,Icon_Frame_Pinnacle_Arena_128,Icon_Item_Frame_Pinnacle_Arena_128,,TRUE
PALYERINFO_3013,3013,AvatarFrame,Drop,,70014,LOC_PINNACLE_ARENA_NAME_8_PERMANENT_FRAME,LOC_PINNACLE_ARENA_DES_8_PERMANENT_FRAME,Icon_Frame_Pinnacle_Arena_8,Icon_Item_Frame_Pinnacle_Arena_8,FX_UI_HeadIcon_Pinnacle_Arena_8,TRUE
PALYERINFO_3014,3014,AvatarFrame,Drop,,70015,LOC_PINNACLE_ARENA_NAME_1_PERMANENT_FRAME,LOC_PINNACLE_ARENA_DES_1_PERMANENT_FRAME,Icon_Frame_Pinnacle_Arena_Champion,Icon_Item_Frame_Pinnacle_Arena_Champion,FX_UI_HeadIcon_Pinnacle_Arena_Champion,TRUE
PALYERINFO_3015,3015,AvatarFrame,Drop,,70016,LOC_PINNACLE_ARENA_NAME_3CONTINUOUS_PERMANENT_FRAME,LOC_PINNACLE_ARENA_DES_3CONTINUOUS_PERMANENT_FRAME,Icon_Frame_Pinnacle_Arena_Three_Consecutive,Icon_Item_Frame_Pinnacle_Arena_Three_Consecutive,FX_UI_HeadIcon_Pinnacle_Arena_Consecutive,TRUE
PALYERINFO_3016,3016,AvatarFrame,Drop,,70017,LOC_HERO_FRAME_ALICE_NAME,LOC_HERO_FRAME_ALICE_DES,Icon_Frame_Celia,Icon_Item_Frame_Celia,FX_UI_HeadIcon_Celia,TRUE
PALYERINFO_3017,3017,AvatarFrame,Drop,,70018,LOC_HERO_FRAME_BACSOJIN_NAME,LOC_HERO_FRAME_BACSOJIN_DES,Icon_Frame_Bacsojin,Icon_Item_Frame_Bacsojin,FX_UI_HeadIcon_Bacsojin,TRUE
PALYERINFO_3018,3018,AvatarFrame,Drop,,70019,LOC_HERO_FRAME_VESPER_NAME,LOC_HERO_FRAME_VESPER_DES,Icon_HeadFrame_Verper,Icon_Item_HeadFrame_Verper,FX_UI_HeadIcon_Vesper,TRUE
PALYERINFO_3019,3019,AvatarFrame,Drop,,70020,LOC_HERO_FRAME_GLOOMUNDERNIGHT_NAME,LOC_HERO_FRAME_GLOOMUNDERNIGHT_DES,Icon_HeadFrame_Gloomundernight,Icon_Item_HeadFrame_Gloomundernight,FX_UI_HeadIcon_Gloomundernight,TRUE
PALYERINFO_3020,3020,AvatarFrame,Drop,,70021,LOC_HERO_FRAME_DUNGEON,LOC_HERO_FRAME_DUNGEON_DES,Icon_HeadFrame_Dungeon_1_1,Icon_Item_Frame_Dungeon_1_1,FX_UI_HeadIcon_Dungeon,TRUE
PALYERINFO_3021,3021,AvatarFrame,Drop,,70022,LOC_NAME_FRAME_DUNGEON_2,LOC_DES_FRAME_DUNGEON_2,Icon_HeadFrame_Desert_World,Icon_Item_HeadFrame_Desert_World,FX_UI_HeadIcon_Desert_World,TRUE
PALYERINFO_3022,3022,AvatarFrame,Drop,,70023,LOC_HERO_FRAME_LADY_TANEE,LOC_HERO_FRAME_LADY_TANEE_DES,Icon_HeadFrame_Lady_Tanee,Icon_Item_HeadFrame_Lady_Tanee,FX_UI_HeadIcon_Lady_Tanee,TRUE
PALYERINFO_3023,3023,AvatarFrame,Drop,,70024,LOC_HERO_FRAME_LORD_OF_DEATH_NAME,LOC_HERO_FRAME_LORD_OF_DEATH_DES,Icon_HeadFrame_Lord_of_Death,Icon_Item_HeadFrame_Lord_of_Death,FX_UI_HeadIcon_Lord_of_Death,TRUE
PALYERINFO_3024,3024,AvatarFrame,Drop,,70025,LOC_HERO_FRAME_CLOWN_ALPHOCCIO,LOC_HERO_FRAME_CLOWN_ALPHOCCIO_DES,Icon_HeadFrame_Clown_Alphoccio,Icon_Item_HeadFrame_Clown_Alphoccio,FX_UI_HeadIcon_Alphoccio,TRUE
PALYERINFO_3025,3025,AvatarFrame,Drop,,70026,LOC_NAME_FRAME_DUNGEON_3,LOC_DES_FRAME_DUNGEON_3,Icon_HeadFrame_Glacier,,FX_UI_HeadIcon_Glacier,TRUE
PALYERINFO_3026,3026,AvatarFrame,Drop,,70027,LOC_HERO_FRAME_GYPSY_TRENTINI,LOC_HERO_FRAME_GYPSY_TRENTINI_DES,Icon_HeadFrame_Gypsy_Trentini,,FX_UI_HeadIcon_Trentini,TRUE
PALYERINFO_3027,3027,AvatarFrame,Drop,,70028,LOC_HERO_FRAME_PHARAOH,LOC_HERO_FRAME_PHARAOH_DES,Icon_HeadFrame_Pharaoh,,FX_UI_HeadIcon_Pharaoh,TRUE
PALYERINFO_3028,3028,AvatarFrame,Drop,,70029,LOC_HERO_FRAME_AMON_RA,LOC_HERO_FRAME_AMON_RA_DES,Icon_HeadFrame_Amon_Ra,,FX_UI_HeadIcon_Amon_Ra,TRUE
PALYERINFO_3029,3029,AvatarFrame,Drop,,70030,LOC_NAME_FRAME_DUNGEON_4,LOC_DES_FRAME_DUNGEON_4,Icon_HeadFrame_Magicforest,,FX_UI_HeadIcon_Magicforest,TRUE
PALYERINFO_3030,3030,AvatarFrame,Drop,,70031,LOC_HERO_FRAME_CHEN,LOC_HERO_FRAME_CHEN_DES,Icon_HeadFrame_Chen,,FX_UI_HeadIcon_Chen,TRUE
PALYERINFO_3031,3031,AvatarFrame,Drop,,70032,LOC_HERO_FRAME_STALKER_GERTIE,LOC_HERO_FRAME_STALKER_GERTIE_DES,Icon_HeadFrame_Stalker_Gertie,,FX_UI_HeadIcon_Stalker_Gertie,TRUE
PALYERINFO_3032,3032,AvatarFrame,Drop,,70033,LOC_HERO_FRAME_LEAK,LOC_HERO_FRAME_LEAK_DES,Icon_HeadFrame_Leak,,FX_UI_HeadIcon_Leak,TRUE
PALYERINFO_3033,3033,AvatarFrame,Drop,,70034,LOC_HERO_FRAME_PYURIEL,LOC_HERO_FRAME_PYURIEL_DES,Icon_HeadFrame_Angry_Student_Pyuriel,,FX_UI_HeadIcon_Angry_Student_Pyuriel,TRUE
PALYERINFO_3034,3034,AvatarFrame,Drop,,70035,LOC_HERO_FRAME_ANNIVERSARY_PORING,LOC_HERO_FRAME_ANNIVERSARY_PORING_DES,Icon_HeadFrame_Anniversary_Poring,,FX_UI_HeadIcon_Anniversary_Poring,TRUE
PALYERINFO_3035,3035,AvatarFrame,Drop,,70036,LOC_HERO_FRAME_DUNGEON_LAVAFIEID,LOC_HERO_FRAME_DUNGEON_LAVAFIEID_DES,Icon_HeadFrame_Lava,,,FALSE
