_ID,_VALUE,#EffectComment:string,EffectNameLoc:loc[],EffectDesLoc:loc[],EffectDetailDesLoc:loc[],EffectIcon:string[],EffectRarity:string[],TargetTeam:string[],TargetTeamNum:int[],TargetUnitType:string[],TargetUnitNum:int[],EffectType:string[],EffectRoundType:string[],EffectRoundNumber:int[],FxPlayType:string[],Camp:string[],TriggerRound:int[],EffectBattle:bool[],EffectMVP:bool[],BuffType:string[],EffectAttackAnimation:string[],Delay:int[],FxPath:string[],FxDuration:int[],SFX:id[],#EffectPara1Name:string,EffectPara1:int[],#EffectPara2Name:string[],EffectPara2:int[],#EffectPara3Name:string,EffectPara3:int[],#EffectPara4Name:string,EffectPara4:int[],#EffectPara5Name:string,EffectPara5:int[],UPItem:id[],UPItemNumber:int[],ParaStr:string[]
DUNGEON_EFFECT_ATTACK_1,10010,对敌人造成伤害,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ATTACK_1,LOC_NONE,,Normal,TargetEnemy,1,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_Essence_Of_Fire,1500,SFX_DUNGEON_ITEM_ESSENCE_OF_FIRE,造成伤害X%,-100,,,,,,,,,None,0,
DUNGEON_EFFECT_RESURRECTION_1,10011,复活1个死亡的魔物,LOC_NONE,LOC_DUNGEON_EFFECT_DES_RESURRECTION_1,LOC_NONE,,Rare,Self,1,Dead,1,BUFF,Grid,0,DoEffect,None,1,FALSE,FALSE,Resurrection,,500,FX_Leaf_Of_Yggdrasil,1500,SFX_DUNGEON_ITEM_LEAF_OF_YGGDRASIL,复活血量,1000,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_UP_ATK_1,10012,战斗中物理攻击提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_UP_ATK_1,LOC_NONE,,Rare,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalAttackRule,,500,FX_Upg_Dagger,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,物理伤害加成,300,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_UP_MATK_1,10013,战斗中魔法攻击提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_UP_MATK_1,LOC_NONE,,Rare,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalAttackRule,,500,FX_Lacryma_Stick,1500,SFX_DUNGEON_ITEM_LACRYMA_STICK,魔法伤害加成,300,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_UP_DEF_1,10014,战斗中物理防御提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_UP_DEF_1,LOC_NONE,,Rare,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalArmorRule,,500,FX_Valkyrie_Armor,1500,SFX_DUNGEON_ITEM_VALKYRIE_ARMOR,物理防御加成,350,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_UP_MDEF_1,10015,战斗中魔法防御提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_UP_MDEF_1,LOC_NONE,,Rare,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalArmorRule,,500,,,,魔法防御加成,350,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_UP_INCOMINGDMGREDUCE_1,10016,战斗中受到伤害减少,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_UP_INCOMINGDMGREDUCE_1,LOC_NONE,,Rare,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,DecreasePhysicalMagicalHurtRule,,500,FX_Ex_Def_Potion,1500,SFX_DUNGEON_ITEM_EX_DEF_POTION,承受伤害加成,250,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_1,10017,扣血1,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_HPREDUCE_1,LOC_NONE,,Rare,TargetEnemy,1,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_High_Purity_Energy_Xtal,1500,SFX_DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,造成伤害X%,-1000,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_2,10018,扣血2,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_HPREDUCE_2,LOC_NONE,,Rare,Enemy,2,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_Elemental_Sword,1500,SFX_DUNGEON_ITEM_ELEMENTAL_SWORD,造成伤害X%,-350,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_3,10019,扣血3,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_HPREDUCE_3,LOC_NONE,,Rare,Enemy,99,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_Poison_Bottle,1500,SFX_DUNGEON_ITEM_POISON_BOTTLE,造成伤害X%,-250,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_4,10020,自动打开地块,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_OPEN_MASSIF_1,LOC_NONE,,Normal,Friendly,0,,,BUFF,Grid,0,,None,1,FALSE,FALSE,OpenGrid,,0,,,,打开5格,99,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_5,10021,普通难度窒息效果,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_ASPHYXIA_1,LOC_NONE,,Normal,Player,1,Random,999,SPECIALDEBUFF,Grid,-1,TeamChangeHPStart,None,1,FALSE,FALSE,Stifle,,500,FX_Dungeon_Asphyxia,1500,,X层后,25,造成伤害X%,10,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_6,10022,地狱难度窒息效果,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_ASPHYXIA_2,LOC_NONE,,Normal,Player,1,Random,999,SPECIALDEBUFF,Grid,-1,TeamChangeHPStart,None,1,FALSE,FALSE,Stifle,,500,FX_Dungeon_Asphyxia,1500,,X层后,20,造成伤害X%,20,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_7,10023,解除窒息层数,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_ASPHYXIA_3,LOC_NONE,,Normal,Player,1,Random,999,BUFF,Grid,0,,None,1,FALSE,FALSE,ClearStifle,,500,FX_Dungeon_PositiveEvent,1500,,,,,,,,,,,,None,0,
DUNGEON_EFFECT_ITEM_HPREDUCE_8,10024,禁止神器-太阳神头盔,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ITEM_ASPHYXIA_4,LOC_NONE,,Normal,Player,1,Random,999,BUFF,Grid,-1,,None,1,TRUE,FALSE,DisableArtifactRule,,0,,,,,,,,,,,,,,None,0,ARTIFACT_HELM_OF_SUN
DUNGEON_EFFECT_HPBOOST_T2,20000,扣血,LOC_NONE,LOC_DUNGEON_EFFECT_DES_HPBOOST_T2,LOC_NONE,,Rare,Enemy,99,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,0,,,SFX_DUNGEON_ITEM_ESSENCE_OF_FIRE,造成伤害X%,-1000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_001,20001,每4回合扣玩家血,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_001,LOC_NONE,,Normal,Player,1,Random,999,BUFF,Grid,-1,TeamChangeHPStart,None,4,FALSE,FALSE,HPAll,Dungeon_Monster_Attack,500,FX_Essence_Of_Fire,1500,SFX_DUNGEON_ITEM_ESSENCE_OF_FIRE,造成伤害X%,-30,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_002,20002,无法使用道具,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_002,LOC_NONE,,Normal,Player,1,,,BUFF,Grid,-1,DoEffect,None,1,FALSE,FALSE,SealAllItem,,0,,,,,,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_003,20003,加血,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_003,LOC_NONE,,Normal,Ally,1,Random,999,BUFF,Grid,-1,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,Dungeon_Monster_Cast,0,,,SFX_DUNGEON_ITEM_HP_S,恢复魔物总血量的X%,50,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_004,20004,SP恢复加快,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_004,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseManaPointRecoverSpeed,,0,,,,SP加快20%,200,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_005,20005,提高在场其他怪物的物理攻击,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_005,LOC_NONE,,Normal,Ally,99,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalAttackRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,200,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_006,20006,降低在场其他怪物的物理防御,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_006,LOC_NONE,,Normal,Ally,99,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,DecreasePhysicalArmorRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,100,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_007,20007,死亡后同伴物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_007,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_008,20008,死亡后同伴物理减伤提升-受伤下降,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_008,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,DecreasePhysicalHurtRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,300,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_009,20009,死亡后同伴魔法伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_009,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_010,20010,死亡后同伴魔法减伤提升-受伤下降,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_010,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,DecreaseMagicalHurtRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,300,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_ADD_007,20011,死亡后同伴物理伤害提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_007,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后物理攻击提升-赋予,20007,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_ADD_008,20012,死亡后同伴物理减伤提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_008,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后物理防御提升-赋予,20008,概率,1000,,,,,描述,300,None,0,
DUNGEON_EFFECT_ABILITY_ADD_009,20013,死亡后同伴魔法伤害提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_009,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后魔法攻击提升-赋予,20009,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_ADD_010,20014,死亡后同伴魔法减伤提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_010,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后魔法防御提升-赋予,20010,概率,1000,,,,,描述,300,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_007,20015,死亡后同伴物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_007,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_008,20016,死亡后同伴物理减伤提升-受伤下降,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_008,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,DecreasePhysicalHurtRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_009,20017,死亡后同伴魔法伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_009,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_010,20018,死亡后同伴魔法减伤提升-受伤下降,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_010,LOC_NONE,,Normal,Self,1,,,BUFF,SelfDead,-1,AddEffect,None,1,TRUE,FALSE,DecreaseMagicalHurtRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_007,20019,死亡后同伴物理伤害提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_007,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后物理攻击提升-赋予,20015,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_008,20020,死亡后同伴物理减伤提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_008,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后物理防御提升-赋予,20016,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_009,20021,死亡后同伴魔法伤害提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_009,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后魔法攻击提升-赋予,20017,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_ADD_010,20022,死亡后同伴魔法减伤提升-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_ADD_010,LOC_NONE,,Normal,Ally,99,,,BUFF,SelfDead,0,,None,1,FALSE,FALSE,AddEffect,,0,,,,同伴死亡后魔法防御提升-赋予,20018,概率,1000,,,,,描述,2000,None,0,
DUNGEON_EFFECT_ABILITY_011,20023,每死亡1个伙伴生命提升2%,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_011,LOC_NONE,,Normal,Self,1,Random,999,BUFF,EnemyDead,-1,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,0,,,SFX_DUNGEON_ITEM_HP_S,恢复百分比,100,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_012,20024,每3回合自动翻开随机1格,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_012,LOC_NONE,,Normal,Self,1,,,BUFF,Grid,-1,DoEffect,None,3,FALSE,FALSE,OpenGrid,,0,,,,自动翻开X格,1,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_013,20025,BOSS每回合治疗恢复1%血,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_013,LOC_NONE,,Normal,Self,1,Random,999,BUFF,Grid,-1,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,0,,,SFX_DUNGEON_ITEM_HP_S,恢复百分比,10,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_014,20026,每死亡1个同伴扣15%,LOC_NONE,LOC_DUNGEON_EFFECT_DES_ABILITY_014,LOC_NONE,,Normal,Self,1,Random,999,BUFF,EnemyDead,-1,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,0,,,SFX_DUNGEON_ITEM_ESSENCE_OF_FIRE,扣血百分比,-150,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_015,20027,战斗中敌人物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_PHYSDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,1000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_016,20028,战斗中敌人魔法伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_MAGICDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,1000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_017,20029,战斗中敌人物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_PHYSDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_018,20030,战斗中敌人魔法伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_MAGICDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_20_017,20031,战斗中敌人物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_PHYSDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,1500,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_20_018,20032,战斗中敌人魔法伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_MAGICDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseMagicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,1500,,,,,,,,,None,0,
DUNGEON_EFFECT_ABILITY_INFERNAL_20_017,20033,战斗中敌人物理伤害提升,LOC_NONE,LOC_DUNGEON_EFFECT_DES_EVENT_NEGATIVE_UP_PHYSDMG_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalDamageRule,Dungeon_Monster_Cast,500,Event/FX_Dungeon_PositiveEvent,1500,SFX_DUNGEON_ITEM_UPG_DAGGER,,2000,,,,,,,,,None,0,
