_ID,_VALUE,#MonsterLibComment:string,MonsterName:loc[],MonsterSprite:string[],MonsterSpriteWeight:int[],EliteMonsterId:id[],UsedEliteMonsterId:id[],EliteDisplayHeroId:id[],EliteMonsterLv:int[],UsedEliteMonsterLv:int[],EliteMonsterStation:int[],FixedMonsterId:id[],FixedScrollId:id[],Station:int[],RandomMonsterId:id[],RandomMonsterWeight:int[],RandomScrollId:id[],RandomScrollWeight:int[]
,,,,,,,,,,,,,,,HERO_MASTERING,5,SCROLL_CHARA_OWL_BARON_S,5
,,,,,,,,,,,,,,,HERO_MARC,5,SCROLL_CHARA_GARM_S,5
,,,,,,,,,,,,,,,HERO_JAKK,5,SCROLL_CHARA_EDDGA_S,5
,,,,,,,,,,,,,,,HERO_HIGH_ORC,5,SCROLL_CHARA_ORC_LORD_S,5
,,,,,,,,,,,,,,,HERO_CAT_O_NINE_TAIL,5,None,0
,,,,,,,,,,,,,,,HERO_MINOROUS,5,None,0
,,,,,,,,,,,,,,,HERO_OBEAUNE,5,None,0
DUNGEON_MONSTER_GROUP_009,20009,SS海盗之王,LOC_MONSTER_NAME_DRAKE_1,2D_Drake,5,None,None,None,0,0,0,HERO_DRAKE,SCROLL_CHARA_BIGFOOT,1,HERO_DRAKE,3,SCROLL_CHARA_BAPHOMET_S,3
,,S阿特罗斯,LOC_MONSTER_NAME_ATROCE_1,2D_Atroce,5,None,None,None,0,0,0,HERO_ATROCE,SCROLL_CHARA_SAVAGE,1,HERO_ATROCE,3,SCROLL_CHARA_ATROCE_S,3
,,S狂暴小恶魔,LOC_MONSTER_NAME_MINI_DEMON_1,2D_Mini_Demon,5,None,None,None,0,0,0,HERO_MINI_DEMON,SCROLL_CHARA_WILOW,1,HERO_MINI_DEMON,3,SCROLL_CHARA_WANDER_MAN_S,3
,,,,,,,,,,,,,,,HERO_DARK_ILLUSION,5,SCROLL_CHARA_GRYPHON_S,3
,,,,,,,,,,,,,,,HERO_DEVILING,5,SCROLL_CHARA_GOBLIN_ARCHER,10
,,,,,,,,,,,,,,,HERO_GRYPHON,5,SCROLL_CHARA_MUKA,10
,,,,,,,,,,,,,,,HERO_DEVIRUCHI,5,SCROLL_CHARA_WHISPER,10
,,,,,,,,,,,,,,,HERO_BAPHOMET,3,SCROLL_CHARA_BLOOD_BUTTERFLY,10
,,,,,,,,,,,,,,,HERO_OSIRIS,3,SCROLL_CHARA_JAKK_S,10
,,,,,,,,,,,,,,,HERO_MISTRESS,3,SCROLL_CHARA_PORING,3
,,,,,,,,,,,,,,,HERO_SHECI,3,SCROLL_CHARA_LUNATIC,3
,,,,,,,,,,,,,,,HERO_CELIA,3,None,0
,,,,,,,,,,,,,,,HERO_DOPPELGANGER,3,None,0
,,,,,,,,,,,,,,,HERO_ISSUS,1,None,0
DUNGEON_MONSTER_GROUP_010,20010,SS乌龟将军,LOC_MONSTER_NAME_TURTLE_GENERAL_1,2D_Turtle_General,5,None,None,None,0,0,0,HERO_TURTLE_GENERAL,SCROLL_CHARA_PHREEONI_S,1,HERO_TURTLE_GENERAL,2,SCROLL_CHARA_PHREEONI_S,5
,,SS塔奥群卡,LOC_MONSTER_NAME_TAO_GUNKA_1,2D_Tao_Gunka,5,None,None,None,0,0,0,HERO_TAO_GUNKA,SCROLL_CHARA_MISTRESS_S,1,HERO_TAO_GUNKA,2,SCROLL_CHARA_BIGFOOT,5
,,S爱丽丝女仆,LOC_MONSTER_NAME_ALICE_1,2D_Alice,5,None,None,None,0,0,0,HERO_ALICE,SCROLL_CHARA_G_RANDGRIS_S,1,HERO_ALICE,2,SCROLL_CHARA_MISTRESS_S,5
,,,,,,,,,,,,,,,HERO_ORK_HERO,5,SCROLL_CHARA_G_RANDGRIS_S,5
,,,,,,,,,,,,,,,HERO_MAYA,5,SCROLL_CHARA_ORC_LORD_S,5
,,,,,,,,,,,,,,,HERO_SEYREN,5,SCROLL_CHARA_ORK_WARRIOR,5
,,,,,,,,,,,,,,,HERO_HARWORD,5,SCROLL_CHARA_ORC_BABY,5
,,,,,,,,,,,,,,,HERO_MAGALETA,5,SCROLL_CHARA_WILOW,5
,,,,,,,,,,,,,,,HERO_G_RANDEL,5,SCROLL_CHARA_SAVAGE,5
,,,,,,,,,,,,,,,HERO_G_RANDGRIS,5,SCROLL_CHARA_SPORE,5
,,,,,,,,,,,,,,,HERO_ANGELING,5,SCROLL_CHARA_LUNATIC,5
,,,,,,,,,,,,,,,HERO_LEIB_OLMAI,5,None,0
,,,,,,,,,,,,,,,HERO_ORC_LORD,5,None,0
,,,,,,,,,,,,,,,HERO_WANDER_MAN,5,None,0
DUNGEON_MONSTER_GROUP_011,20011,SS月夜猫,LOC_MONSTER_NAME_MOONLIGHT_1,2D_Moonlight,5,None,None,None,0,0,0,HERO_MOONLIGHT,SCROLL_CHARA_ORC_LORD_S,1,HERO_MOONLIGHT,2,SCROLL_CHARA_ORC_LORD_S,1
,,,,,,,,,,,,HERO_EDDGA,SCROLL_CHARA_EDDGA_S,1,HERO_EDDGA,2,SCROLL_CHARA_EDDGA_S,1
,,,,,,,,,,,,HERO_GRYPHON,SCROLL_CHARA_WANDER_MAN_S,1,HERO_GRYPHON,2,SCROLL_CHARA_WANDER_MAN_S,1
,,,,,,,,,,,,,,,HERO_DRACULA_BARON,5,SCROLL_CHARA_PICKY,3
,,,,,,,,,,,,,,,HERO_GLOOMUNDERNIGHT,5,SCROLL_CHARA_EGGYRA,3
,,,,,,,,,,,,,,,HERO_CELIA,5,SCROLL_CHARA_NINE_TAIL,3
,,,,,,,,,,,,,,,HERO_SHECI,5,SCROLL_CHARA_DESERT_WOLF,3
,,,,,,,,,,,,,,,HERO_MISTRESS,5,SCROLL_CHARA_GOBLIN_ARCHER,3
,,,,,,,,,,,,,,,HERO_MINI_DEMON,5,SCROLL_CHARA_BLOOD_BUTTERFLY,3
,,,,,,,,,,,,,,,HERO_DELETER,5,SCROLL_CHARA_JAKK_S,5
,,,,,,,,,,,,,,,HERO_GOLDEN_BUG,5,SCROLL_CHARA_GRYPHON_S,5
,,,,,,,,,,,,,,,HERO_NIGHTMARE_TERROR,5,None,0
DUNGEON_MONSTER_GROUP_012,20012,SS白素贞,LOC_HEROES_NAMECN_HERO_BACSOJIN,2D_Bacsojin,5,None,None,None,0,0,0,HERO_BACSOJIN,SCROLL_CHARA_GARM_S,1,HERO_BACSOJIN,2,SCROLL_CHARA_PHREEONI_S,10
,,,,,,,,,,,,HERO_TURTLE_GENERAL,SCROLL_CHARA_OWL_BARON_S,1,HERO_TURTLE_GENERAL,2,SCROLL_CHARA_BIGFOOT,10
,,,,,,,,,,,,,,,HERO_KNIGHT_OF_WINDSTORM,10,SCROLL_CHARA_ORK_WARRIOR,10
,,,,,,,,,,,,,,,HERO_G_KATRINN,10,SCROLL_CHARA_ORC_BABY,10
,,,,,,,,,,,,,,,HERO_G_EREMES,10,SCROLL_CHARA_WILOW,10
,,,,,,,,,,,,,,,HERO_SEYREN,10,SCROLL_CHARA_SAVAGE,10
,,,,,,,,,,,,,,,HERO_MAYA,10,SCROLL_CHARA_PORING,5
,,,,,,,,,,,,,,,HERO_GARM,10,SCROLL_CHARA_YOYO,5
,,,,,,,,,,,,,,,HERO_PHREEONI,10,None,0
,,,,,,,,,,,,,,,HERO_OWL_BARON,10,None,0
,,,,,,,,,,,,,,,HERO_LOLI_RURI,5,None,0
,,,,,,,,,,,,,,,HERO_LEIB_OLMAI,5,None,0
DUNGEON_MONSTER_GROUP_013,20013,SS海盗之王,LOC_MONSTER_NAME_DRAKE_1,2D_Drake,5,None,None,None,0,0,0,HERO_DRAKE,SCROLL_CHARA_ATROCE_S,1,HERO_DRAKE,3,SCROLL_CHARA_ATROCE_S,10
,,SS俄塞里斯,LOC_MONSTER_NAME_OSIRIS_1,2D_Osiris,5,None,None,None,0,0,0,HERO_OSIRIS,SCROLL_CHARA_BAPHOMET_S,1,HERO_OSIRIS,3,SCROLL_CHARA_BAPHOMET_S,10
,,,,,,,,,,,,HERO_DARK_LORD,SCROLL_CHARA_EDDGA_S,1,HERO_DARK_LORD,3,SCROLL_CHARA_EDDGA_S,10
,,,,,,,,,,,,,,,HERO_BAPHOMET,10,SCROLL_CHARA_ORC_LORD_S,10
,,,,,,,,,,,,,,,HERO_DARK_LORD,10,SCROLL_CHARA_MUKA,10
,,,,,,,,,,,,,,,HERO_DOPPELGANGER,10,SCROLL_CHARA_WHISPER,10
,,,,,,,,,,,,,,,HERO_VESPER,10,SCROLL_CHARA_GOBLIN_ARCHER,10
,,,,,,,,,,,,,,,HERO_G_KATRINN,3,SCROLL_CHARA_MUNAK,10
,,,,,,,,,,,,,,,HERO_MAYA,3,SCROLL_CHARA_MISTRESS_S,5
,,,,,,,,,,,,,,,HERO_DEVILING,3,SCROLL_CHARA_G_RANDGRIS_S,5
,,,,,,,,,,,,,,,HERO_DARK_ILLUSION,3,SCROLL_CHARA_GARM_S,5
,,,,,,,,,,,,,,,HERO_ATROCE,3,SCROLL_CHARA_OWL_BARON_S,5
DUNGEON_MONSTER_GROUP_014,20014,SS卡伦,LOC_MONSTER_NAME_GARM_1,2D_Garm,5,None,None,None,0,0,0,HERO_GARM,SCROLL_CHARA_GARM_S,1,HERO_GARM,5,SCROLL_CHARA_YOYO,10
,,SS冰暴骑士,LOC_MONSTER_NAME_KNIGHT_OF_WINDSTORM_1,2D_Knight_Of_Windstorm,5,None,None,None,0,0,0,HERO_KNIGHT_OF_WINDSTORM,SCROLL_CHARA_OWL_BARON_S,1,HERO_KNIGHT_OF_WINDSTORM,3,SCROLL_CHARA_PORING,10
,,,,,,,,,,,,HERO_GARM,SCROLL_CHARA_MD_MARSE,1,HERO_G_KATRINN,10,SCROLL_CHARA_MD_MARSE,10
,,,,,,,,,,,,,,,HERO_BACSOJIN,10,SCROLL_CHARA_OWL_BARON_S,10
,,,,,,,,,,,,,,,HERO_PHREEONI,10,SCROLL_CHARA_GARM_S,10
,,,,,,,,,,,,,,,HERO_G_EREMES,10,SCROLL_CHARA_PHREEONI_S,10
,,,,,,,,,,,,,,,HERO_DOPPELGANGER,10,SCROLL_CHARA_BIGFOOT,10
,,,,,,,,,,,,,,,HERO_TAO_GUNKA,10,SCROLL_CHARA_ORK_WARRIOR,10
,,,,,,,,,,,,,,,HERO_HARWORD,10,SCROLL_CHARA_ORC_BABY,10
,,,,,,,,,,,,,,,HERO_MISTRESS,10,None,0
,,,,,,,,,,,,,,,HERO_EDDGA,10,None,0
,,,,,,,,,,,,,,,HERO_MOONLIGHT,10,None,0
,,,,,,,,,,,,,,,HERO_LOLI_RURI,1,None,0
DUNGEON_MONSTER_GROUP_015,20015,SS奥斯塔群,LOC_MONSTER_NAME_TAO_GUNKA_1,2D_Tao_Gunka,5,None,None,None,0,0,0,HERO_TAO_GUNKA,SCROLL_CHARA_MISTRESS_S,1,HERO_TAO_GUNKA,3,SCROLL_CHARA_MISTRESS_S,10
,,SS皮里恩,LOC_MONSTER_NAME_PHREEONI_1,2D_Phreeoni,5,None,None,None,0,0,0,HERO_PHREEONI,SCROLL_CHARA_GARM_S,1,HERO_PHREEONI,3,SCROLL_CHARA_G_RANDGRIS_S,10
,,,,,,,,,,,,,,,HERO_GARM,5,SCROLL_CHARA_GARM_S,10
,,,,,,,,,,,,,,,HERO_G_RANDGRIS,10,SCROLL_CHARA_OWL_BARON_S,10
,,,,,,,,,,,,,,,HERO_G_EREMES,10,SCROLL_CHARA_MD_MARSE,5
,,,,,,,,,,,,,,,HERO_G_RANDEL,10,SCROLL_CHARA_SPORE,5
,,,,,,,,,,,,,,,HERO_MAGALETA,10,SCROLL_CHARA_LUNATIC,5
,,,,,,,,,,,,,,,HERO_G_KATRINN,10,SCROLL_CHARA_PORING,5
,,,,,,,,,,,,,,,HERO_DARK_SNAKE_LORD,10,SCROLL_CHARA_YOYO,5
,,,,,,,,,,,,,,,HERO_KNIGHT_OF_WINDSTORM,10,SCROLL_CHARA_ATROCE_S,3
,,,,,,,,,,,,,,,HERO_BACSOJIN,5,SCROLL_CHARA_BAPHOMET_S,3
,,,,,,,,,,,,,,,HERO_OSIRIS,3,SCROLL_CHARA_WANDER_MAN_S,3
,,,,,,,,,,,,,,,HERO_EDDGA,3,SCROLL_CHARA_GRYPHON_S,3
,,,,,,,,,,,,,,,HERO_ANGELING,1,None,0
DUNGEON_MONSTER_GROUP_016,20016,SS乌龟将军,LOC_MONSTER_NAME_TURTLE_GENERAL_1,2D_Turtle_General,5,None,None,None,0,0,0,HERO_TURTLE_GENERAL,SCROLL_CHARA_PHREEONI_S,1,HERO_TURTLE_GENERAL,10,SCROLL_CHARA_ATROCE_S,1
,,SS蚁后,LOC_MONSTER_NAME_MAYA_1,2D_Maya,5,None,None,None,0,0,0,HERO_MAYA,SCROLL_CHARA_BIGFOOT,1,HERO_MAYA,10,SCROLL_CHARA_BAPHOMET_S,1
,,,,,,,,,,,,,,,HERO_ORK_HERO,10,SCROLL_CHARA_PHREEONI_S,1
,,,,,,,,,,,,,,,HERO_SEYREN,10,SCROLL_CHARA_BIGFOOT,1
,,,,,,,,,,,,,,,HERO_SEYREN,10,SCROLL_CHARA_WANDER_MAN_S,1
,,,,,,,,,,,,,,,HERO_HARWORD,10,SCROLL_CHARA_GRYPHON_S,1
,,,,,,,,,,,,,,,HERO_DARK_LORD,10,SCROLL_CHARA_EDDGA_S,1
,,,,,,,,,,,,,,,HERO_BAPHOMET,10,SCROLL_CHARA_ORC_LORD_S,1
,,,,,,,,,,,,,,,HERO_OSIRIS,10,SCROLL_CHARA_MISTRESS_S,1
,,,,,,,,,,,,,,,HERO_EDDGA,10,SCROLL_CHARA_G_RANDGRIS_S,1
,,,,,,,,,,,,,,,HERO_CELIA,10,SCROLL_CHARA_GARM_S,1
,,,,,,,,,,,,,,,HERO_BACSOJIN,10,SCROLL_CHARA_OWL_BARON_S,1
,,,,,,,,,,,,,,,HERO_VESPER,10,None,0
DUNGEON_MONSTER_GROUP_017,20017,SS兽人英雄,LOC_MONSTER_NAME_ORK_HERO_1,2D_Orc_Hero,5,None,None,None,0,0,0,HERO_ORK_HERO,SCROLL_CHARA_GARM_S,1,HERO_TURTLE_GENERAL,10,SCROLL_CHARA_ATROCE_S,1
,,SS白素贞,LOC_HEROES_NAMECN_HERO_BACSOJIN,2D_Bacsojin,5,None,None,None,0,0,0,HERO_BACSOJIN,SCROLL_CHARA_OWL_BARON_S,1,HERO_ORK_HERO,10,SCROLL_CHARA_BAPHOMET_S,1
,,,,,,,,,,,,,,,HERO_MOONLIGHT,10,SCROLL_CHARA_PHREEONI_S,1
,,,,,,,,,,,,,,,HERO_GARM,10,SCROLL_CHARA_BIGFOOT,1
,,,,,,,,,,,,,,,HERO_G_RANDGRIS,10,SCROLL_CHARA_WANDER_MAN_S,1
,,,,,,,,,,,,,,,HERO_TAO_GUNKA,10,SCROLL_CHARA_GRYPHON_S,1
,,,,,,,,,,,,,,,HERO_MAYA,10,SCROLL_CHARA_EDDGA_S,1
,,,,,,,,,,,,,,,HERO_MISTRESS,10,SCROLL_CHARA_ORC_LORD_S,1
