Name:string,_ID,_VALUE,LiveTime:float,Prefab:string,DestoryDelay:float,StartDelay:float,Sfx:id,SfxDelay:float,IsPlayOutOfCamera:bool,MinCount:int,MaxCount:int,HasDirection:bool,PreLoad:bool
旋风,EFFECT_RO_TORNADO,10013,2,Monster/FX_Tornado,0,0,,,TRUE,1,200,FALSE,FALSE
临时法师1,EFFECT_RO_TEMP_RAGE_1,10014,1.5,Monster/FX_RO_Hero_Magician_F_Skill_Ball,0,0,,,TRUE,1,200,FALSE,FALSE
临时法师2,EFFECT_RO_TEMP_RAGE_2,10015,2,Monster/FX_RO_Hero_Magician_F_Skill,0,1.2,,,TRUE,1,200,FALSE,FALSE
暴风雪,EFFECT_SNOWSTORM,10016,10,Monster/FX_Snowstorm,0,0,SFX_1000_SKILL_SNOW_STORM,,TRUE,1,200,FALSE,FALSE
暴风雪引导,EFFECT_SNOWSTORM_TUTORIAL,10017,10,Monster/FX_Snowstorm_Tutorial,0,0,SFX_1000_SKILL_SNOW_STORM,,TRUE,1,200,FALSE,FALSE
火球风暴,EFFECT_FIREBALL_STORM,10018,3,Monster/FX_Fireball,0,0,SFX_1001_SKILL_FIRE_METOR,,TRUE,1,200,FALSE,FALSE
火球风暴引导,EFFECT_FIREBALL_STORM_TUTORIAL,10019,5,Monster/FX_Fireball_Tutorial,0,0,SFX_1001_SKILL_FIRE_METOR,,TRUE,1,200,FALSE,FALSE
崩裂术,EFFECT_CRACK,10020,3,Monster/FX_Deviling_Crack,0,0,SFX_1008_SKILL_CRACK,,TRUE,1,200,FALSE,FALSE
光耀之堂,EFFECT_LIGHT_TWINKLE_PARADISE,10021,3,Monster/FX_MoonLight_LightHall,0,0,SFX_1004_SKILL_LIGHT_TWINKLE_PARADISE,0.1,TRUE,1,200,FALSE,FALSE
自动防御,EFFECT_AUTO_DEFENSE,10022,10,Monster/FX_OrkHero_AutoDefense,2,0,SFX_1003_SKILL_AUTO_DEFENSE,0.3,TRUE,1,200,FALSE,FALSE
媚眼射击,EFFECT_LEER_SHOT,10023,1,Monster/FX_LoliRuri_Charm_Shot,0,0,SFX_1005_SKILL_LEER_SHOOT,,TRUE,1,200,FALSE,FALSE
媚眼子弾,EFFECT_LEER_BULLET,10024,0,Monster/FX_LoliRuri_Charm_Bullet,0.6,0,,,TRUE,1,200,FALSE,FALSE
媚眼受击,EFFECT_LEER_HIT,10025,2,Monster/FX_LoliRuri_Charm_Hit,0,0,SFX_1006_SKILL_LEER_HIT,,TRUE,1,200,FALSE,FALSE
媚眼buff持续,EFFECT_LEER_BUFF,10026,0,Monster/FX_LoliRuri_Charm_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
背刺,EFFECT_BACK_STAB,10027,2,Monster/FX_Grandgris_Backstab,0,0.3,SFX_1007_SKILL_BACK_STAB,,TRUE,1,200,FALSE,FALSE
光之障壁,EFFECT_LIGHT_COUNTER_GUARD,10028,0,Monster/FX_Mistress_LightBarrier,0,0,SFX_1010_SKILL_LIGHT_COUNTER_GUARD,,TRUE,1,200,FALSE,FALSE
光之障壁,EFFECT_LIGHT_COUNTER_GUARD_END,10029,3,Monster/FX_Mistress_LightBarrier_Broken,0,0,SFX_1010_SKILL_LIGHT_COUNTER_GUARD_BROKEN,0.15,TRUE,1,200,FALSE,FALSE
骑乘攻击,EFFECT_KNIGHT_ATTACK,10030,3,Monster/FX_Baphomet_RideAttack,0,0.3,SFX_1002_SKILL_KNIGHT_ATTACK,,TRUE,1,200,FALSE,FALSE
黑暗瞬间,EFFECT_DARKNESS_MOMENT,10031,3,Monster/FX_Osiris_DarkMoment,0,0,SFX_1012_SKILL_DARKNESS_MOMENT,,TRUE,1,200,FALSE,FALSE
牺牲BUFF,EFFECT_SACRIFICE_BUFF,10032,0,Monster/FX_LeibOlmai_Sacrifice_Continued,2,0,,,TRUE,1,200,FALSE,FALSE
牺牲连接线,EFFECT_SACRIFICE_LINE,10033,0,Monster/FX_LeibOlmai_Sacrifice_Line,0,0,SFX_1015_SKILL_SACRIFICE,,TRUE,1,200,FALSE,FALSE
速度激发,EFFECT_SPEED_MOTIVATE,10034,3,Monster/FX_LionBeast_SpeedExcitation,0,0,SFX_1013_SKILL_SPEED_MOTIVATE,,TRUE,1,200,FALSE,FALSE
速度激发buff,EFFECT_SPEED_MOTIVATE_BUFF,10035,0,Monster/FX_LionBeast_SpeedExcitation_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
火柱攻击,EFFECT_FIRE_PILLAR_ATTACK,10036,2,Monster/FX_CatONineTail_FireColumn,0,0,SFX_1021_SKILL_FIRE_PILLAR_ATTACK,,TRUE,1,200,FALSE,FALSE
驯鹰术,EFFECT_FALCONRY,10037,3,Monster/FX_Drake_TamingEagle,0,0,SFX_1075_SKILL_FALCONRY,,TRUE,1,200,FALSE,FALSE
驯鹰术buff,EFFECT_FALCONRY_BUFF,10038,0,Monster/FX_Drake_TamingEagle_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
六合拳,EFFECT_LIUHE_BOXING,10039,2,Monster/FX_Orclord_LiuheBoxing,0,0,SFX_1018_SKILL_LIUHE_BOXING_1,,TRUE,1,200,FALSE,FALSE
六合拳1,EFFECT_LIUHE_BOXING1,10040,2,Monster/FX_Orclord_LiuheBoxing,0,0,SFX_1019_SKILL_LIUHE_BOXING_2,,TRUE,1,200,FALSE,FALSE
六合拳2,EFFECT_LIUHE_BOXING2,10041,2,Monster/FX_Orclord_LiuheBoxing,0,0,SFX_1020_SKILL_LIUHE_BOXING_3,,TRUE,1,200,FALSE,FALSE
魔法效果解除,EFFECT_MAGIC_DISPELL,10042,2,Monster/FX_Alice_MagicRelease,0,0,SFX_1036_SKILL_MAGIC_DISPELL,,TRUE,1,200,FALSE,FALSE
投掷长矛攻击,EFFECT_SPEAR_BOOMERANG,10043,2,Monster/FX_GoblinLeader_Throwing,0,0,SFX_1023_SKILL_SPEAR_BOOMERANG_HIT,,TRUE,1,200,FALSE,FALSE
投掷长矛攻击子弹,EFFECT_SPEAR_BOOMERANG_BULLET,10044,0,Monster/FX_GoblinLeader_Throwing_Bullet,1,0,SFX_1022_SKILL_SPEAR_BOOMERANG_SHOOT,,TRUE,1,200,FALSE,FALSE
双剑（手）格挡,EFFECT_DOUBLE_HANDS_PARRING,10045,0,Monster/FX_HighOrc_Block_Continued,0,0,SFX_1024_SKILL_DOUBLE_HANDS_PARRING,,TRUE,1,200,FALSE,FALSE
双剑（手）格挡被打,EFFECT_DOUBLE_HANDS_BEATEN,10046,2,Monster/FX_HighOrc_Block,0,0,SFX_1027_SKILL_DOUBLE_HANDS_PARRING_BEHIT,,TRUE,1,200,FALSE,FALSE
火球术受击,EFFECT_FIREBALL_HIT,10047,2,Monster/FX_Jakk_Fireball_Hit,0,0,SFX_1026_SKILL_FIREBALL_HIT,,TRUE,1,200,FALSE,FALSE
火球术子弹,EFFECT_FIREBALL_BULLET,10048,0,Monster/FX_Jakk_Fireball_Bullet,1,0,SFX_1025_SKILL_FIREBALL_SHOOT,,TRUE,1,200,FALSE,FALSE
火球术发射,EFFECT_FIREBALL_SHOOT,10049,2,Monster/FX_Jakk_Fireball_Shoot,0,0,,,TRUE,1,200,FALSE,FALSE
吸魂术自己,EFFECT_SOUL_DRAIN_SELF,10050,0,Monster/FX_Sohee_SoulAbsorbing_Self,1,0,,,TRUE,1,200,FALSE,FALSE
吸魂术目标,EFFECT_SOUL_DRAIN_TARGET,10051,0,Monster/FX_Sohee_SoulAbsorbing_Target,1,0,,,TRUE,1,200,FALSE,FALSE
吸魂术线,EFFECT_SOUL_DRAIN_LINE,10052,0,Monster/FX_Sohee_SoulAbsorbing_Line,0.5,0,SFX_1028_SKILL_SOUL_DRAIN,,TRUE,1,200,FALSE,FALSE
强酸火烟瓶投掷,EFFECT_ACID_FLASK_THROW,10053,3,Monster/FX_GoldenWorm_AcidBomb,0,0,SFX_1014_SKILL_ACID_FLASK_THROW,,TRUE,1,200,FALSE,FALSE
强酸火烟瓶子弹,EFFECT_ACID_FLASK_THROW_BULLET,10054,0,Monster/FX_GoldenWorm_Bullet,1,0,,,TRUE,1,200,FALSE,FALSE
天使之护,EFFECT_GUARDIAN_ANGEL,10055,2,Monster/FX_Angeling_AngelCare,0,0,SFX_1009_SKILL_GUARDIAN_ANGEL,,TRUE,1,200,FALSE,FALSE
天使之护buff持续,EFFECT_GUARDIAN_ANGEL_BUFF,10056,0,Monster/FX_Angeling_AngelCare_Continued,0.5,0,,,TRUE,1,200,FALSE,FALSE
勿忘我,EFFECT_FORGET_ME_NOT,10057,0,Monster/FX_Mastering_DontForgetMe,1,0,SFX_1029_SKILL_FORGET_ME_NOT,,TRUE,1,200,FALSE,FALSE
勿忘我BUFF,EFFECT_FORGET_ME_NOT_BUFF,10058,0,Monster/FX_Mastering_DontForgetMe_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
冰冻术,EFFECT_FREEZE,10059,3,Monster/FX_Marc_Frozen,0,0,SFX_1030_SKILL_FREEZE,,TRUE,1,200,FALSE,FALSE
冰冻术BUFF,EFFECT_FREEZE_BUFF,10060,0,Monster/FX_Marc_Frozen_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
精神耗弱术,EFFECT_SPIRIT_WEAK,10061,3,Monster/FX_Ghostring_Weakness,0,0,SFX_1031_SKILL_SPIRIT_WEAK,,TRUE,1,200,FALSE,FALSE
冲锋箭,EFFECT_CHARGE_ARROW,10062,1,Monster/FX_Whisper_Boss_Bullet,0,0,SFX_1035_SKILL_CHARGE_ARROW,,TRUE,1,200,FALSE,FALSE
治愈术,EFFECT_HEAL,10063,2,Monster/FX_Obeaune_Cure,0,0,SFX_1033_SKILL_HEAL,,TRUE,1,200,FALSE,FALSE
紧急治疗,EFFECT_EMERGENCY_TREAT,10064,2,Monster/FX_Bartley_Emergency,0,0,SFX_1032_SKILL_EMERGENCY_TREAT,,TRUE,1,200,FALSE,FALSE
挑衅,EFFECT_PROVOCATION,10065,3,Monster/FX_Grandel_Provocative,0,0,SFX_1016_SKILL_PROVOCATION,,TRUE,1,200,FALSE,FALSE
挑衅持续buff,EFFECT_PROVOCATION_BUFF,10066,0,Monster/FX_Grandel_Provocative_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
圣母之颂歌自身特效,EFFECT_MADONNA_SONG_SELF,10067,2,Monster/FX_Magaleta_Madonna_Self,0,0,SFX_1074_SKILL_MANDONNA_SONG,,TRUE,1,200,FALSE,FALSE
圣母之颂歌目标特效,EFFECT_MADONNA_SONG_TARGET,10068,3,Monster/FX_Magaleta_Madonna,0,0,,,TRUE,1,200,FALSE,FALSE
圣母之颂歌BUFF,EFFECT_MADONNA_SONG_BUFF,10069,0,Monster/FX_Magaleta_Madonna_Continued,1,0.2,,,TRUE,1,200,FALSE,FALSE
治疗术,EFFECT_TREAT,10070,2,Monster/FX_Daleme_Treatment,0,0,SFX_1034_SKILL_TREAT,,TRUE,1,200,FALSE,FALSE
巴风特攻击1,EFFECT_BAPHOMET_ATTACK_1,10071,5,Monster/FX_BossBaphomet_Attack1Wind,0,0,SFX_5001_BAPHOMET_ATTACK,,TRUE,1,200,TRUE,FALSE
巴风特攻击2,EFFECT_BAPHOMET_ATTACK_2,10072,5,Monster/FX_BossBaphomet_Attack2Wind,0,0,SFX_5006_BAPHOMET_ATTACK2,,TRUE,1,200,TRUE,FALSE
巴风特大招,EFFECT_BAPHOMET_ULTIMAT,10073,5,Monster/FX_BossBaphomet_Skill,0,0,SFX_5007_BAPHOMET_FINAL_ATTACK,,TRUE,1,200,TRUE,FALSE
巴风特大招闪光,EFFECT_BAPHOMET_ULTIMAT_LIGHT,10074,1,Hero/FX_Hero_SkillActiveRing_Baphomet,0,0,SFX_SKILL_LAUNCH,,TRUE,1,200,TRUE,FALSE
巴风特自身烟,EFFECT_BAPHOMET_SELFSMOKE,10075,0,Monster/FX_BossBaphomet_SelfSmoke,0,0,,,TRUE,1,200,TRUE,FALSE
巴风跳跃攻击,EFFECT_BAPHOMET_JUMP_ATTACK,10076,1,Monster/FX_BossBaphomet_JumpAttackWind,0,0,SFX_2026_BAPHOMET_JUMP_ATTACK,,TRUE,1,200,TRUE,FALSE
巴风特出场烟雾,EFFECT_BAPHOMET_SMOKE,10077,3,Monster/FX_BossBaphomet_Smoke,0,0,,,TRUE,1,200,TRUE,FALSE
旋风,EFFECT_GRIPHON_ATTACK,10078,0,Monster/FX_LionBeast_Bullet,1,0,SFX_5008_LONG_RANGE_UNIT_SHOOT,,TRUE,1,200,FALSE,FALSE
蝙蝠,EFFECT_LOLI_RURI,10079,0,Monster/FX_LoliRuri_Bullet,1,0,SFX_5008_LONG_RANGE_UNIT_SHOOT,,TRUE,1,200,FALSE,FALSE
锥形刺,EFFECT_MISTRESS,10080,0,Monster/FX_Mistress_Bullet,0,0,,,TRUE,1,200,FALSE,FALSE
小冰锥,EFFECT_MARC,10081,0,Monster/FX_Marc_Bullet,1,0,,,TRUE,1,200,FALSE,FALSE
鬼女子弹,EFFECT_SOHEE_BULLET,10082,0,Monster/FX_Sohee_Bullet,1,0,,,TRUE,1,200,FALSE,FALSE
鬼女子弹爆炸,EFFECT_SOHEE_BULLET_BLAST,10083,1,Monster/FX_Sohee_Attack_Hit,0,0,,,TRUE,1,200,FALSE,FALSE
巨大白幽灵子弹,EFFECT_WHISPER_ATTACK_BULLET,10084,0,Monster/FX_Whisper_Attack_Bullet,0,0,,,TRUE,1,200,FALSE,FALSE
人鱼子弹,EFFECT_OBEAUNE_BULLET,10085,0,Monster/FX_Obeaune_Bullet,0,0,,,TRUE,1,200,FALSE,FALSE
人鱼子弹爆炸,EFFECT_OBEAUNE_BULLET_BLAST,10086,1,Monster/FX_Obeaune_Attack_Hit,0,0,,,TRUE,1,200,FALSE,FALSE
神官玛嘉雷特子弹,EFFECT_GRANDEL_BULLET,10087,0,Monster/FX_Grandel_Bullet,1,0,SFX_5008_LONG_RANGE_UNIT_SHOOT,,TRUE,1,200,FALSE,FALSE
神官玛嘉雷特子弹爆炸,EFFECT_GRANDEL_BULLET_BLAST,10088,1,Monster/FX_Grandel_Attack_Hit,0,0,SFX_RO_ENEMY_HIT_2,,TRUE,1,200,FALSE,FALSE
霸体释放,EFFECT_STOIC,10089,5,Monster/FX_Eddga_Tyrants,0,0,SFX_1037_SKILL_STOIC,,TRUE,1,200,FALSE,FALSE
霸体buff,EFFECT_STOIC_BUFF,10090,0,Monster/FX_Eddga_Tyrants_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
战鼓震天释放,EFFECT_WAR_DRUM_CAST,10091,3,Monster/FX_Phreeoni_BattleDrum,0,0,SFX_1038_SKILL_WAR_DRUM,,TRUE,1,200,FALSE,FALSE
战鼓震天释放持续,EFFECT_WAR_DRUM_CAST_KEEP,10092,0,Monster/FX_Phreeoni_BattleDrum_SelfContinued,1,0,,,TRUE,1,200,FALSE,FALSE
战鼓震天释放BUFF1,EFFECT_WAR_DRUM_BUFF1,10093,0,Monster/FX_Phreeoni_BattleDrum_Continued_1,1,0,,,TRUE,1,200,FALSE,FALSE
战鼓震天释放BUFF2,EFFECT_WAR_DRUM_BUFF2,10094,0,Monster/FX_Phreeoni_BattleDrum_Continued_2,1,0,,,TRUE,1,200,FALSE,FALSE
战鼓震天释放BUFF3,EFFECT_WAR_DRUM_BUFF3,10095,0,Monster/FX_Phreeoni_BattleDrum_Continued_3,1,0,,,TRUE,1,200,FALSE,FALSE
战鼓震天释放BUFF4,EFFECT_WAR_DRUM_BUFF4,10096,0,Monster/FX_Phreeoni_BattleDrum_Continued_4,1,0,,,TRUE,1,200,FALSE,FALSE
连环全身掌,EFFECT_SERIAL_PALM,10097,3,Monster/FX_Baphomet_RideAttack,0,0.3,SFX_1002_SKILL_KNIGHT_ATTACK,,TRUE,1,200,FALSE,FALSE
大地之击(强),EFFECT_GROUND_SLAM_EX,10098,4,Monster/FX_Doppelganger_EarthStrike,0,0,SFX_1039_SKILL_GROUND_SLAM_EX,,TRUE,1,200,FALSE,FALSE
水球术子弹,EFFECT_WATERBALL_BULLET,10099,0,Monster/FX_TurtleGeneral_WaterBall,0,0,SFX_1041_SKILL_WATERBALL_BULLET,,TRUE,1,200,FALSE,FALSE
水球术子弹受击,EFFECT_WATERBALL_HIT,10100,2,Monster/FX_TurtleGeneral_WaterBall_Hit,0,0,SFX_1040_SKILL_WATERBALL_HIT,,TRUE,1,200,FALSE,FALSE
水球术子弹发射,EFFECT_WATERBALL_SELF,10101,2,Monster/FX_TurtleGeneral_WaterBall_Self,0,0,,,TRUE,1,200,FALSE,FALSE
病毒散播特效,EFFECT_VENOM_DUST,10102,0,Monster/FX_Maya_VirusSpread,2.5,0,SFX_1043_SKILL_VENOM_DUST,,TRUE,1,200,FALSE,FALSE
狂击(强)特效,EFFECT_SHAUT_EX,10103,1,Monster/FX_Seyren_MadHit,0,0,SFX_1044_SKILL_SHAUT_EX,,TRUE,1,200,FALSE,FALSE
箭雨子弹,EFFECT_ARROW_RAIN_BULLET,10104,2,Monster/FX_Sheci_ArrowRain_Bullet,1,0,,,TRUE,1,200,FALSE,FALSE
箭雨发射,EFFECT_ARROW_RAIN_SHOOT,10105,1,Monster/FX_Sheci_ArrowRain_Shoot,0,0,SFX_1045_SKILL_ARROW_RAIN,,TRUE,1,200,FALSE,FALSE
心灵震波子弹,EFFECT_HEART_SHOCKWAVE_BULLET,10106,2,Monster/FX_Germes_MindShock_Bullet,0,0,SFX_1064_SKILL_HEART_SHOCKWAVE,,TRUE,1,200,FALSE,FALSE
咖般塔音,EFFECT_GANBANTEIN,10107,2,Monster/FX_TaoGunka_TowerSound,0,0,SFX_1042_SKILL_GANBANTEIN,,TRUE,1,200,FALSE,FALSE
咖般塔音buff,EFFECT_GANBANTEIN_BUFF,10108,0,Monster/FX_TaoGunka_Silence_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
念力连击,EFFECT_MIND_COMBO,10109,3,Monster/FX_GKatrinn_MindfulCombo,0,0,SFX_1071_SKILL_MIND_COMBO,,TRUE,1,200,FALSE,FALSE
念力连击buff,EFFECT_MIND_COMBO_BUFF,10110,0,Monster/FX_GKatrinn_MindfulCombo_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
舍命攻击,EFFECT_DIE_HARD_ATTACK,10111,2,Monster/FX_Atroce_DesperateAttack,0,0,SFX_1046_SKILL_DIE_HARD_ATTACK,,TRUE,1,200,FALSE,FALSE
舍命攻击buff,EFFECT_DIE_HARD_ATTACK_BUFF,10112,0,Monster/FX_Atroce_DesperateAttack_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
舍命攻击平砍特效,EFFECT_DIE_HARD_ATTACK_PINGKAN,10113,1,Monster/FX_Atroce_DesperateAttack_Attack,0,0,,,TRUE,1,200,FALSE,FALSE
雷击术,EFFECT_THUNDER_BOLT,10114,2,Monster/FX_OwlBaron_LightningStrike,0,0,SFX_1042_SKILL_GANBANTEIN,,TRUE,1,200,FALSE,FALSE
雷击术buff,EFFECT_THUNDER_BOLT_BUFF,10115,0,Monster/FX_OwlBaron_LightningStrike_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
火焰墙,EFFECT_FLAME_COUNTERGUARD,10116,0,Monster/FX_NightmareTerror_FireWall,1,0,SFX_1047_SKILL_FLAME_COUNTERGUARD,,TRUE,1,200,FALSE,FALSE
长矛刺击(强),EFFECT_SPEAR_THRUST_EX,10117,2,Monster/FX_MiniDemon_SpearSpur,0,0,SFX_1068_SKILL_SPEAR_THRUST,,TRUE,1,200,FALSE,FALSE
地震术,EFFECT_EARTH_SHOCK,10118,5,Monster/FX_Deleter_EarthQuake,0,0,SFX_1060_SKILL_EARTH_SHOCK,,TRUE,1,200,FALSE,FALSE
二刀连击,EFFECT_SECOND_SWORD_COMBO,10119,2,Monster/FX_WanderMan_TwoknifeCombo,0,0,SFX_1054_SKILL_SECOND_SWORD_COMBO,,TRUE,1,200,FALSE,FALSE
二刀连击BUFF,EFFECT_SECOND_SWORD_COMBO_BUFF,10120,0,Monster/FX_WanderMan_TwoknifeCombo_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
泥沼地,EFFECT_MUD_FLAT,10121,0,Monster/FX_Petit_Slough,2,0,,,TRUE,1,200,FALSE,FALSE
泥沼地BUFF,EFFECT_MUD_FLAT_BUFF,10122,0,Monster/FX_Petit_Slough_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
长矛刺击,EFFECT_SPEAR_THRUST,10123,2,Monster/FX_Deviruchi_SpearSpur,0,0,SFX_1068_SKILL_SPEAR_THRUST,,TRUE,1,200,FALSE,FALSE
神威祈福,EFFECT_IMPOSITIO_MANUS,10124,2,Monster/FX_Antonio_GodBlessing,0,0,,,TRUE,1,200,FALSE,FALSE
神威祈福BUFF,EFFECT_IMPOSITIO_MANUS_BUFF,10125,0,Monster/FX_Antonio_GodBlessing_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
无影之牙,EFFECT_GRIM_TOOTH,10126,3,Monster/FX_KoboldLeader_ShadowlessTooth,0,0,SFX_1050_SKILL_GRIM_TOOTH,,TRUE,1,200,FALSE,FALSE
无影之牙受击,EFFECT_GRIM_TOOTH_HIT,10127,1,Monster/FX_KoboldLeader_ShadowlessTooth_Hit,0,0,,,TRUE,1,200,FALSE,FALSE
野蛮凶抓（砍）,EFFECT_BRUTAL_FIERCE_CATCH,10128,2,Monster/FX_VagabondWolf_BrutalSavage,0,0,,,TRUE,1,200,FALSE,FALSE
剧毒短刀子弹,EFFECT_VENOM_KNIFE_BULLET,10129,0,Monster/FX_Harold_PoisonousShortKnife_Bullet,0,0,SFX_1069_SKILL_VENOM_KNIFE_BULLET,,TRUE,1,200,FALSE,FALSE
剧毒短刀受击,EFFECT_VENOM_KNIFE_HIT,10130,2,Monster/FX_Harold_PoisonousShortKnife_Hit,0,0,SFX_1070_SKILL_VENOM_KNIFE_HIT,,TRUE,1,200,FALSE,FALSE
锐利射击子弹,EFFECT_SHARP_SHOOTING_BULLET,10131,2,Monster/FX_Vanessa_SharpShooting_Bullet,0,0,SFX_1067_SKILL_SHARP_SHOOTING,,TRUE,1,200,FALSE,FALSE
圣灵召唤,EFFECT_SOUL_STRIKE,10132,2,Monster/FX_Giorgili_HolySpirit,0,0,SFX_1073_SKILL_SOUL_STRIKE,,TRUE,1,200,FALSE,FALSE
灵气剑,EFFECT_AURA_BLADE,10133,0,Monster/FX_Helena_ReikiSword,0,0,SFX_1072_SKILL_AURA_BLADE,,TRUE,1,200,FALSE,FALSE
大地之击,EFFECT_GROUND_SLAM,10134,2,Monster/FX_Minorous_EarthStrike,0,0,SFX_1039_SKILL_GROUND_SLAM_EX,,TRUE,1,200,FALSE,FALSE
精神撼动,EFFECT_SPIRIT_SHACK,10135,2,Monster/FX_Nightmare_MentalAgitation,0,0,SFX_1053_SKILL_SPIRIT_SHACK,,TRUE,1,200,FALSE,FALSE
精神撼动BUFF,EFFECT_SPIRIT_SHACK_BUFF,10136,0,Monster/FX_Nightmare_MentalAgitation_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
怒爆,EFFECT_ANGER_BURST,10137,2,Monster/FX_Raydric_Fury,0,0,SFX_1058_SKILL_ANGER_BURST,,TRUE,1,200,FALSE,FALSE
狂怒之枪（锤）,EFFECT_BERSERK_SPEAR,10138,2,Monster/FX_Goblin_FuriousGun,0,0,,,TRUE,1,200,FALSE,FALSE
狂怒之枪（锤）BUFF,EFFECT_BERSERK_SPEAR_BUFF,10139,0,Monster/FX_Goblin_FuriousGun_Continued,1,0,,,TRUE,1,200,FALSE,FALSE
魔击术,EFFECT_MAGIC_CRASHER,10140,3,Monster/FX_BonGun_MagicAttack,0,0,SFX_1059_SKILL_MAGIC_CRASHER,,TRUE,1,200,FALSE,FALSE
音速投掷,EFFECT_SONIC_BLOW,10141,2,Monster/FX_Goblin1_SonicThrow,0,0,SFX_1061_SKILL_SONIC_BLOW,,TRUE,1,200,FALSE,FALSE
音速投掷文字,EFFECT_SONIC_BLOW_WORD,10142,2,Monster/FX_Goblin1_SonicThrow_Mie,0,0,,,TRUE,1,200,FALSE,FALSE
二连矢子弹,EFFECT_DOUBLE_STRAFING_BULLET,10143,0,Monster/FX_KoboldArcher_TwoArrows,1,0,SFX_1062_SKILL_DOUBLE_STRAFING_BULLET,,TRUE,1,200,FALSE,FALSE
二连矢受击,EFFECT_DOUBLE_STRAFING_HIT,10144,2,Monster/FX_KoboldArcher_TwoArrows_Hit,0,0,SFX_1063_SKILL_DOUBLE_STRAFING_HIT,,TRUE,1,200,FALSE,FALSE
冲锋攻击,EFFECT_CHARGE_ATTACK,10145,2,Monster/FX_Mummy_ChargeAttack,0,0,SFX_1066_SKILL_CHARGE_ATTACK,,TRUE,1,200,FALSE,FALSE
狂击,EFFECT_SHAUT,10146,2,Monster/FX_Issus_MadHit,0,0,SFX_1065_SKILL_SHAUT,,TRUE,1,200,FALSE,FALSE
通用冲锋,EFFECT_GENERAL_CHARGE,10147,0,Monster/FX_General_Charge,1,0,SFX_5003_MONSTER_CHARGE_START,,TRUE,1,200,FALSE,FALSE
通用冲锋受击,EFFECT_GENERAL_CHARGE_HIT,10148,2,Monster/FX_General_Charge_Hit,0,0,SFX_5002_MONSTER_CHARGE_HIT,,TRUE,1,200,FALSE,FALSE
