_ID,_VALUE,ThemeType:string,ThemeIcon:string,EntranceMap:string,EntranceLayer:string,Title:loc,Title2:loc,Descript:loc,Entrance:int[],Layer:int[],AutoPortalEventLayer:string[],LayerDispay:int[],SpecialLayerName:loc[],DifficultyChart:int[],IsSave:bool[],Map:id[],Map2:id[],UsedEnter:int,OpenLayer:int[],OpenTime:int[],ConditionParam:string[],#Remark:string,Main:int,OpenStatus:int,Reward1:id[],RewardNum1:int[],Reward2:id[],RewardNum2:int[],Reward3:id[],RewardNum3:int[],Reward4:id[],RewardNum4:int[],UsedReward1:id[],UsedRewardNum1:int[],UsedReward2:id[],UsedRewardNum2:int[],UsedReward3:id[],UsedRewardNum3:int[],UsedReward4:id[],UsedRewardNum4:int[]
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_020,DUNGEON_MAP_020,,,,,,,,ITEM_SKIN_TEST_1,1,ITEM_EXCLUSIVE_AMETHYST,600,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,ITEM_CRYSTAL,500,ITEM_BANQUET_TICKET,5,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_GOLD,500000
,,,,,,,,,,21,0#0,1,None,2,FALSE,DUNGEON_MAP_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,0#0,2,None,2,FALSE,DUNGEON_MAP_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,0#0,3,None,2,FALSE,DUNGEON_MAP_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,0#0,4,None,2,FALSE,DUNGEON_MAP_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,0#0,5,None,2,FALSE,DUNGEON_MAP_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,0#0,6,None,2,TRUE,DUNGEON_MAP_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,0#0,7,None,2,FALSE,DUNGEON_MAP_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,28,0#0,8,None,2,FALSE,DUNGEON_MAP_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,0#0,9,None,2,FALSE,DUNGEON_MAP_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,0#0,10,None,2,FALSE,DUNGEON_MAP_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,0#0,11,None,2,TRUE,DUNGEON_MAP_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,0#0,12,None,2,FALSE,DUNGEON_MAP_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,0#0,13,None,2,FALSE,DUNGEON_MAP_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,0#0,14,None,2,FALSE,DUNGEON_MAP_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,0#0,15,None,2,FALSE,DUNGEON_MAP_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1200,ITEM_CRYSTAL,250,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,36,0#0,16,None,2,TRUE,DUNGEON_MAP_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,0#0,17,None,2,FALSE,DUNGEON_MAP_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,0#0,18,None,2,FALSE,DUNGEON_MAP_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,0#0,19,None,2,FALSE,DUNGEON_MAP_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_040,,,,,,,,,ITEM_FRAME_30,1,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,500,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
DUNGEON_THEME_DESERT,2,Desert,UI_Dungeons_Entrance_02,UI_Preview_Dungeons_Mode_02,PAN_Dungeon_Map_Entrance_Desert,LOC_DUNGEON_START_TITLE_DESERT_2,LOC_DUNGEON_START_TITLE2_DESERT_2,LOC_DUNGEON_START_DESC_DESERT_2,1,1,0#0,1,None,1,FALSE,DUNGEON_MAP_DESERT_001,DUNGEON_MAP_DESERT_001,810,5,0,2020-06-05,第一次开启日期,0,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,0#0,2,None,1,FALSE,DUNGEON_MAP_DESERT_002,DUNGEON_MAP_DESERT_002,,10,600,14:20:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,0#0,3,None,1,FALSE,DUNGEON_MAP_DESERT_003,DUNGEON_MAP_DESERT_003,,15,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,0#0,4,None,1,FALSE,DUNGEON_MAP_DESERT_004,DUNGEON_MAP_DESERT_004,,20,1800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,0#0,5,None,1,FALSE,DUNGEON_MAP_DESERT_005,DUNGEON_MAP_DESERT_005,,30,2400,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,150,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,ITEM_CRYSTAL,175,ITEM_SPAR_SUPER_BOX_TICKET,1,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_GOLD,1000000
,,,,,,,,,,6,0#0,6,None,1,TRUE,DUNGEON_MAP_DESERT_006,DUNGEON_MAP_DESERT_006,,40,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,0#0,7,None,1,FALSE,DUNGEON_MAP_DESERT_007,DUNGEON_MAP_DESERT_007,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,0#0,8,None,1,FALSE,DUNGEON_MAP_DESERT_008,DUNGEON_MAP_DESERT_008,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,0#0,9,None,1,FALSE,DUNGEON_MAP_DESERT_009,DUNGEON_MAP_DESERT_009,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,0#0,10,None,1,FALSE,DUNGEON_MAP_DESERT_010,DUNGEON_MAP_DESERT_010,,,,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_CRYSTAL,80,ITEM_GOLD,3000000,ITEM_CRYSTAL,225,ITEM_BANQUET_TICKET,3,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_GOLD,1000000
,,,,,,,,,,11,0#0,11,None,1,TRUE,DUNGEON_MAP_DESERT_011,DUNGEON_MAP_DESERT_011,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,0#0,12,None,1,FALSE,DUNGEON_MAP_DESERT_012,DUNGEON_MAP_DESERT_012,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,0#0,13,None,1,FALSE,DUNGEON_MAP_DESERT_013,DUNGEON_MAP_DESERT_013,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,0#0,14,None,1,FALSE,DUNGEON_MAP_DESERT_014,DUNGEON_MAP_DESERT_014,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,0#0,15,None,1,FALSE,DUNGEON_MAP_DESERT_015,DUNGEON_MAP_DESERT_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,5000000,ITEM_CRYSTAL,325,ITEM_MONSTER_SPLINTER_RPS_SS,60,ITEM_EXCLUSIVE_AMETHYST,350,ITEM_GOLD,1000000
,,,,,,,,,,16,0#0,16,None,1,TRUE,DUNGEON_MAP_DESERT_016,DUNGEON_MAP_DESERT_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,0#0,17,None,1,FALSE,DUNGEON_MAP_DESERT_017,DUNGEON_MAP_DESERT_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,0#0,18,None,1,FALSE,DUNGEON_MAP_DESERT_018,DUNGEON_MAP_DESERT_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,0#0,19,None,1,FALSE,DUNGEON_MAP_DESERT_019,DUNGEON_MAP_DESERT_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_DESERT_020,DUNGEON_MAP_DESERT_020,,,,,,,,ITEM_SKIN_HERO_PHREEONI_PUFU,1,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,120,ITEM_GOLD,10000000,ITEM_CRYSTAL,550,ITEM_BANQUET_TICKET,5,ITEM_EXCLUSIVE_AMETHYST,450,ITEM_GOLD,1000000
,,,,,,,,,,21,0#0,1,None,2,FALSE,DUNGEON_MAP_DESERT_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,0#0,2,None,2,FALSE,DUNGEON_MAP_DESERT_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,0#0,3,None,2,FALSE,DUNGEON_MAP_DESERT_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,0#0,4,None,2,FALSE,DUNGEON_MAP_DESERT_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,0#0,5,None,2,FALSE,DUNGEON_MAP_DESERT_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,100,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,0#0,6,None,2,TRUE,DUNGEON_MAP_DESERT_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,0#0,7,None,2,FALSE,DUNGEON_MAP_DESERT_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,28,0#0,8,None,2,FALSE,DUNGEON_MAP_DESERT_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,0#0,9,None,2,FALSE,DUNGEON_MAP_DESERT_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,0#0,10,None,2,FALSE,DUNGEON_MAP_DESERT_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,900,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,0#0,11,None,2,TRUE,DUNGEON_MAP_DESERT_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,0#0,12,None,2,FALSE,DUNGEON_MAP_DESERT_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,0#0,13,None,2,FALSE,DUNGEON_MAP_DESERT_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,0#0,14,None,2,FALSE,DUNGEON_MAP_DESERT_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,0#0,15,None,2,FALSE,DUNGEON_MAP_DESERT_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,36,0#0,16,None,2,TRUE,DUNGEON_MAP_DESERT_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,0#0,17,None,2,FALSE,DUNGEON_MAP_DESERT_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,0#0,18,None,2,FALSE,DUNGEON_MAP_DESERT_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,0#0,19,None,2,FALSE,DUNGEON_MAP_DESERT_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_DESERT_040,,,,,,,,,ITEM_FRAME_31,1,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,400,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
DUNGEON_THEME_GLACIER,3,Glacier,UI_Dungeons_Entrance_03,UI_Preview_Dungeons_Mode_03,PAN_Dungeon_Map_Entrance_Glacier,LOC_DUNGEON_START_TITLE_GLACIER_2,LOC_DUNGEON_START_TITLE2_GLACIER_2,LOC_DUNGEON_START_DESC_GLACIER_2,1,1,0#0,1,None,1,FALSE,DUNGEON_MAP_GLACIER_001,DUNGEON_MAP_GLACIER_001,1310,5,0,2020-06-05,第一次开启日期,0,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,0#0,2,None,1,FALSE,DUNGEON_MAP_GLACIER_002,DUNGEON_MAP_GLACIER_002,,10,600,14:20:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,0#0,3,None,1,FALSE,DUNGEON_MAP_GLACIER_003,DUNGEON_MAP_GLACIER_003,,15,1200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,0#0,4,None,1,FALSE,DUNGEON_MAP_GLACIER_004,DUNGEON_MAP_GLACIER_004,,20,1800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,0#0,5,None,1,FALSE,DUNGEON_MAP_GLACIER_005,DUNGEON_MAP_GLACIER_005,,30,2400,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,150,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,ITEM_CRYSTAL,200,ITEM_NEW_EQUIPMENT_PACKAGE_18,1,ITEM_EXCLUSIVE_AMETHYST,300,ITEM_GOLD,1500000
,,,,,,,,,,6,0#0,6,None,1,TRUE,DUNGEON_MAP_GLACIER_006,DUNGEON_MAP_GLACIER_006,,40,3000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,0#0,7,None,1,FALSE,DUNGEON_MAP_GLACIER_007,DUNGEON_MAP_GLACIER_007,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,0#0,8,None,1,FALSE,DUNGEON_MAP_GLACIER_008,DUNGEON_MAP_GLACIER_008,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,0#0,9,None,1,FALSE,DUNGEON_MAP_GLACIER_009,DUNGEON_MAP_GLACIER_009,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,0#0,10,None,1,FALSE,DUNGEON_MAP_GLACIER_010,DUNGEON_MAP_GLACIER_010,,,,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,250,ITEM_CRYSTAL,80,ITEM_GOLD,3000000,ITEM_CRYSTAL,250,ITEM_BANQUET_TICKET,3,ITEM_EXCLUSIVE_AMETHYST,300,ITEM_GOLD,1500000
,,,,,,,,,,11,0#0,11,None,1,TRUE,DUNGEON_MAP_GLACIER_011,DUNGEON_MAP_GLACIER_011,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,0#0,12,None,1,FALSE,DUNGEON_MAP_GLACIER_012,DUNGEON_MAP_GLACIER_012,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,0#0,13,None,1,FALSE,DUNGEON_MAP_GLACIER_013,DUNGEON_MAP_GLACIER_013,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,0#0,14,None,1,FALSE,DUNGEON_MAP_GLACIER_014,DUNGEON_MAP_GLACIER_014,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,0#0,15,None,1,FALSE,DUNGEON_MAP_GLACIER_015,DUNGEON_MAP_GLACIER_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,5000000,ITEM_CRYSTAL,350,ITEM_OPTIONAL_EGGYRA_ALL,2,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_GOLD,1500000
,,,,,,,,,,16,0#0,16,None,1,TRUE,DUNGEON_MAP_GLACIER_016,DUNGEON_MAP_GLACIER_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,0#0,17,None,1,FALSE,DUNGEON_MAP_GLACIER_017,DUNGEON_MAP_GLACIER_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,0#0,18,None,1,FALSE,DUNGEON_MAP_GLACIER_018,DUNGEON_MAP_GLACIER_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,0#0,19,None,1,FALSE,DUNGEON_MAP_GLACIER_019,DUNGEON_MAP_GLACIER_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,20,0#0,20,None,1,FALSE,DUNGEON_MAP_GLACIER_020,DUNGEON_MAP_GLACIER_020,,,,,,,,ITEM_SKIN_HERO_DARK_SNAKE_LORD_KIMONO,1,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,120,ITEM_GOLD,10000000,ITEM_CRYSTAL,600,ITEM_BANQUET_TICKET,5,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_GOLD,1500000
,,,,,,,,,,21,0#0,1,None,2,FALSE,DUNGEON_MAP_GLACIER_021,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,22,0#0,2,None,2,FALSE,DUNGEON_MAP_GLACIER_022,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,23,0#0,3,None,2,FALSE,DUNGEON_MAP_GLACIER_023,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,24,0#0,4,None,2,FALSE,DUNGEON_MAP_GLACIER_024,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,25,0#0,5,None,2,FALSE,DUNGEON_MAP_GLACIER_025,,,,,,,,,ITEM_EXCLUSIVE_WASH,10,ITEM_EXCLUSIVE_AMETHYST,800,ITEM_CRYSTAL,100,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,26,0#0,6,None,2,TRUE,DUNGEON_MAP_GLACIER_026,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,27,0#0,7,None,2,FALSE,DUNGEON_MAP_GLACIER_027,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,28,0#0,8,None,2,FALSE,DUNGEON_MAP_GLACIER_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,0#0,9,None,2,FALSE,DUNGEON_MAP_GLACIER_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,0#0,10,None,2,FALSE,DUNGEON_MAP_GLACIER_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,900,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,0#0,11,None,2,TRUE,DUNGEON_MAP_GLACIER_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,0#0,12,None,2,FALSE,DUNGEON_MAP_GLACIER_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,0#0,13,None,2,FALSE,DUNGEON_MAP_GLACIER_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,0#0,14,None,2,FALSE,DUNGEON_MAP_GLACIER_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,0#0,15,None,2,FALSE,DUNGEON_MAP_GLACIER_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
