_ID,_VALUE,Country:string,Currency:string,Price:int,ProductId:string,Payment:string,Channel:string{},GP:int,GameCash:int,USDollar:double
G020,20,ID,IDR,5000000,,global_mol,1#3,273,11000,3.65
G021,21,ID,IDR,10000000,,global_mol,1#3,585,22000,7.3
G022,22,ID,IDR,20000000,,global_mol,1#3,1212,44000,14.59
G023,23,ID,IDR,50000000,,global_mol,1#3,3075,110000,36.48
G024,24,ID,IDR,100000000,,global_mol,1#3,6618,220000,72.95
G025,25,ID,IDR,500000,,goc,17#15#2#60#61,28,1100,0.36
G026,26,ID,IDR,900000,,goc,17#15#2#60#61,50,2000,0.66
G027,27,ID,IDR,1000000,,goc,91#92#93#94#10#13#3#17#15#2#60#61#12#5#18#6#11#9,56,2200,0.73
G028,28,ID,IDR,1400000,,goc,17#15#2#60#61,77,3100,1.03
G029,29,ID,IDR,1800000,,goc,17#15#2#60#61,99,4000,1.33
G030,30,ID,IDR,2000000,,goc,3#17#15#2#60#61,110,4400,1.46
G031,31,ID,IDR,2900000,,goc,17#15#2#60#61,159,6400,2.12
G032,32,ID,IDR,3000000,,goc,17#15#2#60#61#12#5#18#6#11#9,164,6600,2.19
G033,33,ID,IDR,5000000,,goc,91#92#93#94#10#13#3#17#15#2#60#61#12#5#18#6#11#9,273,11000,3.65
G034,34,ID,IDR,7500000,,goc,17#15#2#60#61,408,16500,5.47
G035,35,ID,IDR,10000000,,goc,17#15#2#60#61#12#5#18#6#11#9,585,22000,7.3
G036,36,ID,IDR,14900000,,goc,17#15#2#60#61,870,32800,10.88
G037,37,ID,IDR,20000000,,goc,91#92#93#94#10#13#3#17#15#2#60#61#12#5#18#6#11#9,1212,44000,14.59
G038,38,ID,IDR,29900000,,goc,17#15#2#60#61,1812,65800,21.82
G039,39,ID,IDR,30000000,,goc,12#5#18#6#11#9,1818,66000,21.89
G040,40,ID,IDR,40000000,,goc,12#5#18#6#11#9,2460,88000,29.18
G041,41,ID,IDR,47900000,,goc,17#15#2#60#61,2946,105400,34.95
G042,42,ID,IDR,50000000,,goc,91#92#93#94#3#17#15#2#60#61#12#5#18#6#11#9,3075,110000,36.48
G043,43,ID,IDR,73900000,,goc,17#15#2#60#61,4546,162600,53.92
G044,44,ID,IDR,100000000,,goc,10#13#3#17#15#2#60#61#12#5#18#6#11#9,6618,220000,72.95
G045,45,ID,IDR,149900000,,goc,17#15#2#60#61,10763,329800,109.36
G046,46,PH,PHP,2000,,global_mol,3#1,30,1200,0.4
G047,47,PH,PHP,5000,,global_mol,3#1#810#811,75,3000,0.99
G048,48,PH,PHP,10000,,global_mol,3#1#810#811,148,6000,1.99
G049,49,PH,PHP,15000,,global_mol,3#1#810#811,222,9000,2.98
G050,50,PH,PHP,20000,,global_mol,3#1#14#62#116#125#115#117#118#119#120,296,12000,3.98
G051,51,PH,PHP,25000,,global_mol,3#1,370,15000,4.97
G052,52,PH,PHP,30000,,global_mol,3#1#810#811,476,17900,5.94
G053,53,PH,PHP,50000,,global_mol,3#1#810#811#10,792,29900,9.91
G054,54,PH,PHP,60000,,global_mol,14#62#116#125#115#117#118#119#120,987,35800,11.87
G055,55,PH,PHP,100000,,global_mol,3#1#810#811,1643,59700,19.8
G056,56,PH,PHP,200000,,global_mol,3#1#14#62#116#125#115#117#118#119#120,3336,119300,39.56
G057,57,PH,PHP,300000,,global_mol,10,5384,179000,59.36
G058,58,PH,PHP,500000,,global_mol,3#1#14#62#116#125#115#117#118#119#120,9734,298300,98.92
G059,59,MA,MYR,300,,global_mol,3#1#815,56,2200,0.73
G060,60,MA,MYR,500,,global_mol,3#1#805#806#815,92,3700,1.23
G061,61,MA,MYR,700,,global_mol,3#1,128,5200,1.72
G062,62,MA,MYR,1000,,global_mol,3#1#805#806#815,182,7300,2.42
G063,63,MA,MYR,2000,,global_mol,3#1#805#806#815,362,14600,4.84
G064,64,MA,MYR,3000,,global_mol,3#1#805#806#815,581,21900,7.26
G065,65,MA,MYR,3500,,global_mol,12#13#10#147#21#22#24#25,677,25600,8.49
G066,66,MA,MYR,4000,,global_mol,3#1#805#806,776,29200,9.68
G067,67,MA,MYR,5000,,global_mol,3#1#805#806#12#13#10#147#21#22#24#25#815,1006,36500,12.1
G068,68,MA,MYR,10000,,global_mol,3#1#12#13#10#147#21#22#24#25,2009,73000,24.21
G069,69,MA,MYR,15000,,global_mol,3#1,3060,109500,36.31
G070,70,MA,MYR,20000,,global_mol,3#1#12#13#10#147#21#22#24#25,4079,145900,48.38
G071,71,MA,MYR,30000,,global_mol,3#1#12#13#10#147#21#22#24#25,6585,218900,72.59
G072,72,MA,MYR,45000,,global_mol,12#13#10#147#21#22#24#25,10714,328300,108.86
G073,73,MA,MYR,50000,,global_mol,3#1,13301,364800,120.97
G074,74,MA,MYR,100000,,global_mol,3#1,26598,729500,241.9
G075,75,MA,MYR,200000,,global_mol,3#1,53196,1459000,483.8
G076,76,MA,MYR,300000,,global_mol,3#1,79794,2188500,725.71
G077,77,SG,SGD,500,,global_mol,814#816,276,11200,3.71
G078,78,SG,SGD,1000,,global_mol,3#1#814#816,592,22300,7.39
G079,79,SG,SGD,1100,,global_mol,3#1,652,24600,8.16
G080,80,SG,SGD,1500,,global_mol,40#124#10,887,33500,11.11
G081,81,SG,SGD,2000,,global_mol,3#1#814#816,1229,44600,14.79
G082,82,SG,SGD,3000,,global_mol,3#1,1842,66900,22.18
G083,83,SG,SGD,5000,,global_mol,3#1#40#124#10,3116,111500,36.97
G084,84,SG,SGD,6000,,global_mol,3#1,3738,133800,44.37
G085,85,SG,SGD,8000,,global_mol,3#1,5363,178300,59.12
G086,86,SG,SGD,10000,,global_mol,3#1,6704,222900,73.91
G087,87,SG,SGD,12500,,global_mol,3#1,9092,278600,92.38
G088,88,SG,SGD,14000,,global_mol,40#124#10,10182,312100,103.49
G089,89,SG,SGD,15000,,global_mol,3#1,10910,334300,110.85
G090,90,SG,SGD,20000,,global_mol,3#1,16253,445800,147.83
G091,91,SG,SGD,30000,,global_mol,3#1,24380,668600,221.71
G092,92,OT,USD,100,,global_mol,1#3,74,3100,1.03
G093,93,OT,USD,200,,global_mol,1#3,146,6100,2.02
G094,94,OT,USD,500,,global_mol,1#3,363,15100,5.01
G095,95,OT,USD,1000,,global_mol,1#3,778,30200,10.01
G096,96,OT,USD,2000,,global_mol,1#3,1614,60400,20.03
G097,97,OT,USD,5000,,global_mol,1#3,4097,151000,50.07
G098,98,OT,USD,10000,,global_mol,1#3,9566,301900,100.11
M001,1000,TW,TWD,3000,com.gravity.rod.mycard30,gnjoy,,66,0,1
M002,1001,TW,TWD,5000,com.gravity.rod.mycard50,gnjoy,,110,0,1.67
M003,1002,TW,TWD,15000,com.gravity.rod.mycard150,gnjoy,,345,0,5
M004,1003,TW,TWD,30000,com.gravity.rod.mycard300,gnjoy,,715,0,10
M005,1004,TW,TWD,40000,com.gravity.rod.mycard400,gnjoy,,960,0,13.33
M006,1005,TW,TWD,50000,com.gravity.rod.mycard500,gnjoy,,1200,0,16.67
M007,1006,TW,TWD,100000,com.gravity.rod.mycard1000,gnjoy,,2500,0,33.33
M008,1007,TW,TWD,200000,com.gravity.rod.mycard2000,gnjoy,,5500,0,66.67
M009,1008,TW,TWD,300000,com.gravity.rod.mycard3000,gnjoy,,9100,0,100
